	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiaceae_bacterium_JC118	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprobacillus_unclassified	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Eggerthella_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
CSM5MCVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2957	0	0	0	1470	0	3567	264	0	0	0	0	0	0	0	81	0	14	305	0	49	0	314	82	0	0	7	3	0	0	271	0	1	0	0	128	0	0	0	0	165	0	0	1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	255	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0
CSM5MCVN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1826	0	0	0	1021	0	5193	202	0	0	0	0	0	0	0	0	0	6	28	1	17	0	1084	7	0	0	0	0	0	0	275	0	65	0	0	2	3	0	3	0	223	0	0	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5MCW6	0	0	0	0	0	0	0	0	0	0	0	0	8602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	97	0	169	0	0	35	0	0	0	0	0	0	0	1	1	0	0	260	0	0	0	0	0	0	5	0	7	1	16	0	0	16	0	19	0	221	68	0	0	0	62	0	0	321	0	13	0	3	0	3	6	13	0	0	51	0	0	0	0	0
CSM5MCWC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	6	0	0	0	0	3	0	0	0	0	0	0	0	15	0	0	6	104	0	0	0	2	0	0	0	0	0	0	0	525	0	2	0	0	1	0	0	5	25	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	7466	0	0	0	0	103	0	39	0	0	270	0	0	0	1400	0
CSM5MCWE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	24	0	0	0	0	0	0	0	15	0	0	374	76	0	0	0	2	0	0	0	0	0	0	2	2326	0	0	0	0	0	0	0	0	24	0	0	0	0	1	0	0	0	0	0	0	312	0	0	0	0	1	0	0	2787	0	0	0	0	426	0	51	0	0	207	0	0	0	3334	36
CSM5MCWG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5MCXD	323	0	0	0	0	0	13	89	0	0	243	0	0	0	150	0	0	0	1508	4141	867	0	0	0	0	0	0	0	0	0	0	43	19	0	197	3	296	5	32	0	0	0	0	0	551	0	16	0	0	11	1	0	107	0	0	0	0	581	30	0	3	0	0	0	4	0	15	14	0	0	269	0	0	0	0	0	0	4	0	86	67	0	0	5	25	197	0	0	84	0	0	0	0	0
CSM5MCXT	0	2	0	9	811	0	0	0	0	0	571	796	3	5	0	0	6	308	681	1006	2340	37	153	0	0	0	9	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	28	2	0	266	1151	18	654	2	6	0	1	31	0	2	0	0	2	0	103	23	409	155	0	2	0	0	8	103	35	0	0	42	0	3	26	1	2	176	0	0	0	0	0
CSM5MCXV	0	5	0	28	877	1	0	0	0	0	235	956	0	2	0	0	6	210	89	996	2658	3	262	0	0	0	5	1	6	2	0	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	5	3	0	0	0	0	0	0	13	1155	3	1045	3	22	1	0	0	0	2	0	0	6	0	124	0	534	253	0	4	0	0	3	9	185	0	0	46	0	3	32	5	6	180	0	0	1	1	4
CSM5MCY2	0	12	3	61	1179	112	0	0	0	0	241	1138	1	3	0	0	6	187	209	859	2768	6	162	0	0	0	5	1	10	0	0	0	0	0	1	0	0	0	8	0	1	0	0	4	0	0	7	0	0	4	0	39	4	0	155	680	19	978	3	20	0	0	0	0	4	0	0	7	11	121	26	297	195	0	6	2	0	27	32	13	0	0	44	0	3	22	9	6	281	0	0	1	4	3
CSM5MCYS	848	0	0	0	0	0	49	108	3	0	4216	0	0	0	335	0	0	0	1469	1209	70	0	0	0	0	0	0	0	0	0	0	20	4	3	27	1	153	16	39	6	0	3	0	0	2	0	21	5	6	24	0	0	653	0	0	0	0	1	9	0	4	0	13	0	10	9	53	3	0	0	147	0	0	2	0	0	0	0	0	0	5	1	0	2	16	186	0	0	250	0	0	0	0	0
CSM5MCYW	0	0	0	0	0	0	0	0	0	0	0	0	8161	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	2	2	0	0	282	0	450	0	0	62	0	3	0	0	0	0	0	0	4	0	1	96	0	0	0	0	0	1	10	0	26	0	0	0	0	50	0	31	0	268	125	0	0	0	92	0	0	103	0	20	0	4	0	10	50	80	0	0	60	0	0	0	0	0
