,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Collinsella_aerofaciens,Eggerthella_unclassified,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_faecis,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Bacteroidales_bacterium_ph8,Barnesiella_intestinihominis,Odoribacter_splanchnicus,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Prevotella_copri,Alistipes_finegoldii,Alistipes_indistinctus,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Streptococcus_parasanguinis,Streptococcus_salivarius,Clostridium_asparagiforme,Clostridium_bolteae,Clostridium_citroniae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Clostridiales_bacterium_1_7_47FAA,Flavonifractor_plautii,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Anaerostipes_hadrus,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Coprococcus_catus,Coprococcus_comes,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Oscillibacter_unclassified,Clostridium_bartlettii,Peptostreptococcaceae_noname_unclassified,Anaerotruncus_colihominis,Faecalibacterium_prausnitzii,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Subdoligranulum_unclassified,Coprobacillus_unclassified,Holdemania_filiformis,Holdemania_unclassified,Dialister_invisus,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified,Burkholderiales_bacterium_1_1_47,Parasutterella_excrementihominis,Sutterella_wadsworthensis,Bilophila_unclassified,Bilophila_wadsworthia,Escherichia_coli,Escherichia_unclassified,Haemophilus_parainfluenzae,Akkermansia_muciniphila,C2likevirus_unclassified,subject_id,timepoint
CSM5FZ3N_P,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,8.227313660289855,-2.738158571786684,2.673299226914427,-2.738158571786684,6.785118293205828,-2.738158571786684,-2.738158571786684,-2.738158571786684,9.013484013812691,10.449337703819031,8.275158772526117,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,4.171254902721778,5.171626982804922,2.586084711026576,7.617918016004097,2.62057092994975,3.271404690066026,3.272631835436174,4.785690078177393,3.2845788338041952,-2.738158571786684,5.386192127290969,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,5.700337366135513,4.329931867662751,6.842099510212586,-2.738158571786684,-2.738158571786684,-2.738158571786684,4.090163091017819,3.53459994908244,-2.738158571786684,-2.738158571786684,1.7925447063929418,-2.738158571786684,-2.738158571786684,1.343018021986918,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,7.463007914123716,5.927834696051845,-2.738158571786684,-2.738158571786684,3.1948757249235475,8.52570177124984,-2.738158571786684,-2.738158571786684,5.623084528291034,-2.738158571786684,-2.738158571786684,-2.738158571786684,7.330823141753033,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,-2.738158571786684,2.701916664816361,2.83615324540402,-2.738158571786684,-2.738158571786684,5.461757330245556,C3001,0.0
CSM5FZ3R_P,1.470513699102467,-3.687019675394925,3.628429724662908,-3.687019675394925,1.480264354429078,6.741224784502148,1.813962606026076,-3.687019675394925,-3.687019675394925,5.66545433716072,-3.687019675394925,2.797296304532339,6.159195458726624,8.465247375121663,9.560516614647664,6.964246872662461,0.2578392171491384,1.4808349722909568,-3.687019675394925,-3.687019675394925,3.3731009347319576,2.7243521070256485,-3.687019675394925,-3.687019675394925,-3.687019675394925,-3.687019675394925,0.6129704645428458,3.453051129432684,-3.687019675394925,-3.687019675394925,-3.687019675394925,2.4302330712358104,3.595522188757073,-3.687019675394925,6.3050544652754,1.3209621054309189,1.841383829621023,-3.687019675394925,4.6102165906835015,2.631686670491977,0.6143282631258149,5.332057690179234,-3.687019675394925,1.1378351799900894,3.379529076652028,-3.687019675394925,1.855209919274806,2.4557330575821803,2.9851085476465142,5.313790271877296,-3.687019675394925,-3.687019675394925,-3.687019675394925,1.8773253895154216,1.632457267845016,-3.687019675394925,-3.687019675394925,2.162511399577383,-3.687019675394925,2.443391195135894,2.0323535326714044,-3.687019675394925,3.4344638090757806,-3.687019675394925,2.6532889198532423,3.8844771771552793,5.731373128318839,-3.687019675394925,-3.687019675394925,3.2039338746003674,5.872343655660158,-0.1189827210264091,-3.687019675394925,5.252731056372059,-3.687019675394925,-3.687019675394925,-3.687019675394925,6.97073230932879,-3.687019675394925,-3.687019675394925,-3.687019675394925,-3.687019675394925,-3.687019675394925,-3.687019675394925,-3.687019675394925,-3.687019675394925,-3.687019675394925,0.957759736448576,1.7815541022730947,-3.687019675394925,-3.687019675394925,-3.687019675394925,C3001,2.0
CSM5YRY7_P,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,8.612767341983023,-2.5229483453593016,-0.4059740232425994,-2.5229483453593016,9.422135108617011,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,9.870545571149558,10.429470039902467,8.100280991538972,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,1.7966785696995853,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,3.527364539736612,5.354127460651831,-2.5229483453593016,7.270860493973838,2.313350341031656,1.6445214470905718,3.24117477681156,5.751766631994255,2.122251932788158,-2.5229483453593016,2.3667069741533187,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,3.090994013482092,5.406815014947605,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,0.0878786132468185,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-0.7644140487094493,-2.5229483453593016,-2.5229483453593016,0.9310001574782216,-2.5229483453593016,5.119000774902131,-2.5229483453593016,6.563518579964205,-2.5229483453593016,5.371589899816351,-2.5229483453593016,-2.5229483453593016,-1.06370608360721,6.868904427325076,-2.5229483453593016,-2.5229483453593016,4.682537884187978,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,5.4229279778905415,-2.5229483453593016,-2.5229483453593016,0.7883820875662959,2.503715784616313,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,-2.5229483453593016,4.814023714606224,3.488643743435839,4.822199742682744,6.778963549127232,-2.5229483453593016,C3001,4.0
CSM5FZ3V_P,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,7.970087990630322,-2.745178447158344,5.3126982628671975,-2.745178447158344,8.516317505800632,-2.745178447158344,5.013737597821511,-2.745178447158344,9.265185747275874,10.51150497740728,7.764968724791046,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-1.4356712417135729,3.9778543103789294,-2.745178447158344,-2.745178447158344,-2.745178447158344,1.2906427294584049,3.5069816698974607,-2.745178447158344,4.955502001206139,-2.745178447158344,2.9068065915376344,-2.745178447158344,3.2942976295000506,1.7617626324853166,-2.745178447158344,4.44280070924132,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,2.323436043624381,2.3037088260068157,3.099390422653765,4.51737357089348,-2.745178447158344,-2.745178447158344,-2.745178447158344,2.354456209892927,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,3.136120698284481,2.2407108611674467,-2.745178447158344,3.274533111041607,-2.745178447158344,3.841357830696981,5.597029363688701,4.920260100998213,-2.745178447158344,-2.745178447158344,2.375013360948259,7.718682049833626,-2.745178447158344,-2.745178447158344,4.466804582478385,-2.745178447158344,-2.745178447158344,-2.745178447158344,7.540280705709296,0.5595884115155538,-2.745178447158344,1.912278564445556,2.0799198031662414,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,-2.745178447158344,3.4696344441716223,-2.745178447158344,-2.745178447158344,6.943936241063453,-2.745178447158344,C3001,6.0
CSM5FZ4C_P,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,7.957559492977879,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,9.324219942561456,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,10.289091819666798,10.259762317902393,7.0366843050697,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,1.0188044045529665,2.534920781771268,-2.4217466958468634,4.376219359831572,3.239613095917628,4.811123750493534,2.0568616869429253,1.9478368268183832,3.861030965680909,-2.4217466958468634,2.7053256479551973,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,2.925973667469824,4.720268939212996,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,2.105597872705252,4.304623951203912,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,2.940620761419572,-2.4217466958468634,4.414757248920461,2.873201251398948,5.010460153186596,6.364893206411183,6.896373982247112,-2.4217466958468634,-2.4217466958468634,3.124738810872744,8.186042037167912,-2.4217466958468634,-2.4217466958468634,5.594477516947523,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,7.652325428130274,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,-2.4217466958468634,2.729945903146392,-2.4217466958468634,8.884940013920948,-2.4217466958468634,C3001,8.0
CSM5MCVD_P,-4.037854820718241,-4.037854820718241,-4.037854820718241,-4.037854820718241,2.077839970368214,6.945140395450853,-4.037854820718241,0.8710696143199659,-1.0641249076363248,6.683704484682451,-4.037854820718241,2.527967381866516,6.842475245857471,7.675282802588532,8.914686161305578,7.310988978830007,-4.037854820718241,0.9204655545251104,-4.037854820718241,-4.037854820718241,5.268842104199041,3.256560060588308,-4.037854820718241,6.151526820149243,2.3664733103069526,-4.037854820718241,-4.037854820718241,4.037986252850979,2.3287131524229627,-4.037854820718241,-4.037854820718241,2.012007221274831,4.889320389564744,-0.155842752307894,5.365128127685808,0.5078559163286904,1.3700867425664391,2.5268305193177145,3.309941962101022,2.88558304324381,-4.037854820718241,4.2666308580267405,-4.037854820718241,-4.037854820718241,-4.037854820718241,-4.037854820718241,0.2136966425962985,3.529206486127777,3.220126186958824,5.013559979158025,-4.037854820718241,-4.037854820718241,-4.037854820718241,2.600411124603214,1.6203546449563009,-4.037854820718241,-4.037854820718241,1.0053536352789472,-4.037854820718241,1.4470674999244562,2.7000363832302847,-4.037854820718241,4.81785736950733,-4.037854820718241,3.538917613873875,-4.037854820718241,5.407059640095537,-4.037854820718241,-4.037854820718241,2.775553403888395,5.605404887284899,-4.037854820718241,-4.037854820718241,4.84855191247403,-4.037854820718241,1.0424206834005183,-4.037854820718241,6.803163429159699,-4.037854820718241,-4.037854820718241,-4.037854820718241,-1.1225244246527808,-4.037854820718241,-4.037854820718241,-4.037854820718241,1.855192588444389,-4.037854820718241,1.4759484523573665,2.667588931397056,-4.037854820718241,6.218161359492164,2.213654630131175,C3001,12.0
CSM5MCVF_P,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,1.4189489790432734,6.970116390868599,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,6.864969230845667,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,9.665403955848832,10.656009120807154,7.965142752931264,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,2.5133502720562824,4.97002144639499,-2.5964234718923453,5.881546336335263,-0.3549922221242791,5.688458809145327,-2.5964234718923453,2.71807844866218,4.056213149635742,-2.5964234718923453,5.619227817502577,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,1.2373462822263424,3.255721671745383,3.056168299603483,5.892601207002175,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,3.814721968864592,3.5270942681362287,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,2.022462397787619,2.419669703932801,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,1.5020428992363737,6.200223396436164,6.994686938463624,-2.5964234718923453,-2.5964234718923453,5.196071715279047,5.974795432455181,-2.5964234718923453,-2.5964234718923453,6.992379579442603,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,7.729800314199143,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,-2.5964234718923453,4.706273180538021,-2.5964234718923453,-2.5964234718923453,8.321201816347791,2.3096527538902567,C3001,14.0
CSM5MCVV_P,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,8.938819203685814,-3.36483861020975,7.616754577301101,-3.36483861020975,4.71074367454967,-3.36483861020975,-3.36483861020975,0.4166013805737112,7.832750062493805,9.202838256552292,7.026787294129889,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,0.9140337297729282,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,2.797441300445283,4.837928538580852,2.378415364168058,7.782043230101397,1.003306880858272,4.801798855395171,1.0187156058731863,4.160148337879003,3.215606040978121,-3.36483861020975,5.909860228014116,-3.36483861020975,4.900810999187817,-3.36483861020975,-3.36483861020975,2.15582738459748,5.573949938949897,3.072740378824009,6.51671289893096,-3.36483861020975,-3.36483861020975,-3.36483861020975,4.957593268468733,-3.36483861020975,-3.36483861020975,4.386395430637271,3.265199818599108,-3.36483861020975,2.46365876034804,2.542758317667687,-3.36483861020975,-3.36483861020975,-3.36483861020975,-0.1795122524928984,3.829360933749436,7.1016371291743,-3.36483861020975,-3.36483861020975,4.507531408596449,5.093699025383514,-3.36483861020975,-3.36483861020975,6.428549507775761,2.5208706628681563,-3.36483861020975,-3.36483861020975,5.664295706801328,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,-3.36483861020975,4.138604772227265,-3.36483861020975,-3.36483861020975,8.132895415170792,-3.36483861020975,-3.36483861020975,6.698274274298086,-3.36483861020975,C3001,16.0
CSM5MCWI_P,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,2.67126424354092,8.006149858143633,-2.780024731737047,-0.2051870982389587,-2.780024731737047,7.920884963234737,-2.780024731737047,-2.780024731737047,-2.780024731737047,9.537584912664387,10.44123540895992,7.851154619250358,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,2.183812567437837,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,3.84750825654892,6.307002501202377,-2.780024731737047,6.461953156761869,0.9087003841273144,2.475168627667882,1.7008295882382356,4.358626969736417,3.9458532735743344,-2.780024731737047,3.6745872438435496,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-0.1316115018465655,3.4281486624324744,1.024538795971461,4.744729213027367,-2.780024731737047,-2.780024731737047,-2.780024731737047,1.660290191941689,0.8413131829999454,-2.780024731737047,-2.780024731737047,-0.0241081927235509,-2.780024731737047,1.2653934207227984,2.9271583301175443,-2.780024731737047,3.952325031028756,-2.780024731737047,4.861159321397578,-2.780024731737047,7.023346138247414,-2.780024731737047,-2.780024731737047,4.553181110995135,6.846118175074303,-2.780024731737047,-2.780024731737047,5.770804405202691,1.1462883896174123,1.035638281894812,-0.537161954401217,6.369486449658171,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,-2.780024731737047,6.379471377703698,-2.780024731737047,-2.780024731737047,4.897697208044393,-2.780024731737047,C3001,18.0
CSM5MCXD,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,0.5154271205542091,6.759514323518051,-3.299465011756075,-3.299465011756075,-3.299465011756075,6.277774294394798,-3.299465011756075,-3.299465011756075,-3.299465011756075,8.583151446067744,9.593104017860444,8.029094320057384,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,4.19698335120744,6.548967861700435,2.195593142783052,6.955794705956471,2.876278649342341,4.741990044718025,-3.299465011756075,5.030991326877639,4.669163940630448,-3.299465011756075,5.935351461815067,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,3.8223391155879023,2.774629063487533,4.485182733646438,6.548542526471174,-3.299465011756075,-3.299465011756075,-3.299465011756075,4.017026242029502,1.1374245916128611,-3.299465011756075,-3.299465011756075,2.563452852885603,-3.299465011756075,3.955109322800504,3.9181591425264752,-3.299465011756075,2.7383123573710773,-3.299465011756075,5.713287197756822,6.156675117007078,7.551916097936852,-3.299465011756075,-3.299465011756075,5.75613541603879,7.629250126394966,-3.299465011756075,-3.299465011756075,6.385372989623944,-3.299465011756075,2.3789514656907915,-3.299465011756075,7.576545369037651,-3.299465011756075,-3.299465011756075,-3.299465011756075,0.8670295106103563,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,-3.299465011756075,3.69425765672276,1.848308460751655,-3.299465011756075,7.043488283109429,-3.299465011756075,C3001,20.0
