,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Anaerostipes_hadrus,Anaerotruncus_unclassified,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_faecis,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Bilophila_unclassified,Bilophila_wadsworthia,Burkholderiales_bacterium_1_1_47,C2likevirus_unclassified,Clostridiales_bacterium_1_7_47FAA,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_citroniae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Collinsella_aerofaciens,Coprococcus_catus,Coprococcus_comes,Dialister_invisus,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Escherichia_coli,Escherichia_unclassified,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Faecalibacterium_prausnitzii,Flavonifractor_plautii,Haemophilus_parainfluenzae,Holdemania_filiformis,Holdemania_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Odoribacter_splanchnicus,Oscillibacter_unclassified,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Parasutterella_excrementihominis,Peptostreptococcaceae_noname_unclassified,Prevotella_copri,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Streptococcus_parasanguinis,Streptococcus_salivarius,Subdoligranulum_unclassified,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
CSM5MCVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4241869245620076e-05,0.0,0.2932703463159578,0.0,2.770888103428467e-05,0.0,0.14573407133572575,0.0,0.3536858443661987,0.026216093227994525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015985208413587713,0.0013584109970466386,0.030291551494590008,2.5794039661996703e-05,0.00486842787017826,0.0,0.031112567892390416,0.008089303696094398,0.0,0.0,0.0007253869669137938,0.0,0.0,0.026920416939813153,0.0,7.242605896359773e-05,0.0,0.012693032905985793,0.0,0.0,0.0,0.0,0.016394196003162866,0.0,0.0,0.00013662956379913537,0.005316050200382517,0.0,0.0,0.0,0.0,0.0,2.3428647378582158e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013978342017702144,0.0,0.0,0.0,0.025298433659757466,0.0,0.0,0.0,0.0,0.0,8.222554128060085e-05,0.0,0.0009258821223651219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.591462738958127e-06,0.0,0.1824901932382352,1.5305368425318804e-05,0.0,0.0,0.10199277121327126,0.0,0.5189107622330607,0.020146150350878633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005568705247867993,0.002771006342667119,9.428106949996384e-05,0.0016737950909928643,0.0,0.10832001052029805,0.0007311068389406287,0.0,0.0,9.672992844801485e-06,0.0,0.0,0.02746909570618297,0.0,0.006507230439708542,0.0,0.00022688678153692595,0.000519402982881619,0.0,0.0002757415175505436,0.0,0.022268698844101844,0.0,0.0,0.0,0.0015792691355980954,0.0,0.0,0.0,0.0,0.0,0.001290181336780674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008204901905444903,0.0,0.0,0.0,0.0011835335295930524,0.0,0.0,0.0,0.0,0.0,0.0,1.9223542742200414e-05,0.0,0.0,0.0,9.403618360515872e-05,0.0,0.0,0.0,0.0
CSM5MCW6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8498242153593495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039406432620857937,0.0,7.668278780275057e-06,0.0,0.0,0.009610163877507768,0.0,0.016735166406974727,0.0,0.0,0.0034821440933485138,0.0,0.0,0.0,0.0,0.0,0.0,0.0002622125327366277,0.0,0.0,0.025672651829257254,0.0,0.0,0.0,0.0,0.0,0.0,0.0005334778945888578,0.0,0.0006717199203777053,0.00016369645118448283,0.0016093800090102278,0.0,0.0,0.0015326972212074772,0.0,0.0018304820471748253,0.0,0.021833080741650364,0.01342193745453616,0.0,0.0,0.0,0.006079241010806949,0.0,0.0,0.03174784569293017,0.0,0.0012616448670991435,0.0,0.00025891091270623145,0.0,0.0003184465771253114,0.0005585063044966999,0.0012418351469167662,0.0,0.0,0.010154611670907296,0.0,0.0,0.0,1.3738999481326144e-05
CSM5MCWC,0.0,0.0,0.0,8.231318845134856e-05,0.0,0.0,0.0,1.454367992269226e-05,0.0,3.201629538537116e-05,0.0,0.0,0.0,6.66585329790062e-05,0.0002669371252477475,0.0,0.00019997559893701857,0.0005588207014740018,0.0,0.0,0.0,2.3330486542652167e-05,0.00031935497163578425,0.0,0.0,0.0,0.0,0.0,0.0,0.0014224526946610958,0.0,0.0,0.0006088146012082566,0.01007927517531194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05099509070004388,0.0,0.00021997315883072046,0.0,0.0,0.00013574101261179444,0.0,0.0,0.0004852943196426133,0.0024248556337772118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6866628799233386e-05,0.0,0.0,0.004139090906887321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7253922955663592,0.0,0.0,0.0,0.0,0.0099824183069379,0.0,0.003752471415609085,0.0,0.0,0.052381083197121,0.0,0.0,0.13600360683262083,0.0
CSM5MCWE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034510058667099736,0.002225898784027933,0.0,0.0,0.0,0.0,0.0,0.0,0.0013749213373662735,0.0,0.0,0.035385396155173464,0.007170581189988022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22023913440652848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022288422890318913,0.0,0.0,0.0,0.0,9.12486551227137e-05,0.0,0.0,0.0,9.541016219727573e-06,0.0,0.0,0.05910761048293782,0.0,0.0,0.0,0.0,0.00019548933233186493,0.0,0.0,0.2638994336290371,0.0,0.0,0.0,0.0,0.04032023304439617,0.0,0.004872008282414079,7.815513286372587e-06,0.0,0.03924291021294736,1.0251517427579626e-05,0.0,0.31575079677635454,0.006750268975457258
CSM5MCWG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4180060353430643e-05,0.0,0.0,0.0,0.0,0.0,0.00045619713866805814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999453654636322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596816465653898e-05,0.0,0.0,0.0,0.0
CSM5MCXD,0.031036557886514892,0.0,0.0,0.0,0.0,0.001237683160958879,0.0,0.023363646727132474,0.0,0.0,0.0,0.014431520482846353,0.0,0.0,0.0,0.14472773234329414,0.39734750844951944,0.08316212602997307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004147310154586135,0.0018006322940021218,0.0,0.018927667928631937,0.0002424856855467766,0.028430692006856814,0.0004799405477419603,0.0031061309537404732,0.0,0.0,0.0,0.0,0.05289115884110356,0.0,0.001503914332725174,8.351166763644173e-05,0.00108877078975173,0.00017104799395415777,0.0,0.010246781002524368,0.0,0.0,0.0,0.0,0.05575359671169288,0.002887893836748374,0.0,0.0002914859049912912,0.0,0.0,0.0,0.0003507490040730553,0.0,0.001413560745330566,0.0013622463471443186,0.0,0.0,0.051604374844233136,0.0,0.0,0.0,0.0,0.0,0.0,0.00041796080405033607,0.0,0.008206077818184233,0.012785435082205166,0.0,0.0,0.00043345573997324215,0.0024024193833196614,0.01891961861126939,0.0,0.0,0.01607106581313047,0.0,0.0,0.0,6.348899069710209e-05
CSM5MCXT,0.0,0.00014990826944154208,0.000869467962760944,0.0794642759384539,0.0,0.0,0.0,0.05597758968581989,0.07796283973537148,0.0002572487299495131,0.0004675296130228025,0.0,0.0,0.0006143680885508659,0.030148650677201648,0.06669464954362908,0.09852329610321384,0.22918876705104238,0.0036438453752991895,0.014940073018118024,0.0,0.0,0.0,0.0017023030514877091,0.0,0.000130670894250409,0.0,0.0,0.0,0.0,0.0007000153387369209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000336449412917263,7.746113308344527e-05,0.0,0.0,0.0027648610514064615,0.00020015056315880975,0.0,0.02609539712030819,0.11274534432496919,0.001723996261809625,0.06402618002110586,0.00018050388211254622,0.0006335031372782164,2.4353698380264167e-05,0.00011910800384297266,0.003003895670802668,0.0,0.0001950342399696786,0.0,0.0,0.00020690410976846284,0.0,0.010115380250767372,0.004511164482320699,0.040092224795278,0.015217377734968932,0.0,0.0001532850427463686,0.0,0.0,0.0007979417645768908,0.010124896611899154,0.003399182800394939,0.0,0.0,0.00415967307922739,0.0,0.0003329703131486538,0.00252367757627082,7.858672418505412e-05,0.00022440193507529128,0.03443009224833036,0.0,0.0,0.0,7.050293354622695e-05
CSM5MCXV,0.0,0.0005140970609501237,0.0027097135081954695,0.08605627488986496,6.971677738868264e-05,0.0,0.0,0.02302460745552655,0.09380130574698294,4.517729315319641e-05,0.00022352492544206498,0.0,0.0,0.0006259108615042847,0.020626617270088136,0.008715315903249131,0.09774959581723978,0.2607551220269491,0.00026613532693882977,0.025720973127108575,0.0,0.0,0.0,0.0010454436338314678,0.00011787166486333973,0.0006237546725128822,0.00030730826910799284,0.0,0.0,0.0,0.0003745608305065011,0.0,0.0,0.0,0.00014446466242397124,0.0,0.00017249511931220445,0.0,0.0,0.0,0.0,0.00044704985088412995,0.0005115301692936921,0.0,0.0,0.0,2.310202490788453e-05,0.0,0.0013130164200978994,0.11328719636495287,0.00031839724106377744,0.10255142870109327,0.00027855908255595876,0.002165532477031967,0.00012937133948415336,0.0,0.0,0.0,0.00019036068524096853,0.0,0.0,0.0005738542987118516,0.0,0.012185445395745903,0.0,0.05238327676246375,0.024831288478989376,0.0,0.0003940692070953814,0.0,0.0,0.00028235808220747756,0.0009262371853067836,0.018163222685243847,0.0,2.2588646576598206e-05,0.004481074102465797,1.0780944957012778e-05,0.00031798653839874836,0.003163231926053807,0.0005054723049845134,0.0005893583243166986,0.035304822491227905,0.0,0.00012978204214918242,0.00013224625813935674,0.000697373125219341
CSM5MCY2,0.0,0.0011175651952297276,0.005903223156360584,0.11423954246819445,0.010873776184163271,0.0,0.0,0.023361722152600607,0.11028760248359658,0.00011974644484175542,0.0003179580537115559,0.0,0.0,0.0005745575783724604,0.018077001163865788,0.020239812486696263,0.08327151384705275,0.2682750591203256,0.0005458757951768303,0.015701022730927792,0.0,0.0,0.0,0.000971697840691952,0.00013562386053933635,0.000958381298493981,0.0,0.0,0.0,0.0,5.8797655551041585e-05,0.0,0.0,0.0,0.0007275953787091435,0.0,9.843997732500169e-05,0.0,0.0003835164153015674,0.0,0.0,0.0007076205654121869,0.0,0.00039949626593913275,0.0,0.0038279937072167665,0.0003426448742477946,0.0,0.014987665808876479,0.06588820209676127,0.0017978356316660819,0.0948378526604505,0.0003271771983101513,0.0019442151609037792,0.0,2.079429281683178e-05,0.0,0.0,0.0004326851864940761,0.0,0.0,0.0006621394520591164,0.0010682939890972348,0.011728390888453063,0.005091016517224332,0.02873750780298155,0.018936635180214812,0.0,0.0006030344916881217,0.00044764068773179747,0.0,0.002652040596195935,0.003109822342986187,0.0012497062678095948,0.0,0.0,0.0042871071082268165,0.0,0.00029962219945434956,0.0021627088878904896,0.0008974325092032671,0.0005670798277535997,0.05445441409570332,0.0,5.234425433202483e-05,0.00041434933223686974,0.0005746600133124447
