	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
CSM5MCVL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34530153371241923	0.0	2957.394050216044	0.0	0.27942163583307605	0.0	1469.6101426419057	0.0	3566.6354437598934	264.36807916764616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.59894368398913	13.698475317670315	305.4657768412736	0.26011201059257893	49.09415424380981	0.0	313.7450626282139	81.57407975863426	0.0	0.0	7.314940385223617	0.0	0.0	271.47061367522434	0.0	0.7303581782140972	0.0	127.9989622780224	0.0	0.0	0.0	0.0	165.32219614728683	0.0	0.0	1.377798553924883	53.60806310885308	0.0	0.0	0.0	0.0	0.0	0.23625894411902368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7048013212781451	0.0	0.0	0.0	255.114225236215	0.0	0.0	0.0	0.0	0.0	0.8291780250331119	0.0	9.336771733934494	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CSM5MCVN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07597010919294071	0.0	1826.2356522943676	0.15316554272770302	0.0	0.0	1020.6731208992603	0.0	5192.900054153208	201.608740581621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.572775106604748	27.730315179765185	0.9434997432026508	16.750183752701606	0.0	1083.9917562628927	7.31641164501692	0.0	0.0	0.09680062300390835	0.0	0.0	274.8917134929469	0.0	65.11986214611024	0.0	2.27052600539547	2.5989129290036654	0.0	2.759430417782298	0.0	222.8497380470988	0.0	0.0	0.0	15.804233360815314	0.0	0.0	0.0	0.0	0.0	12.911242589774458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.105449207273352	0.0	0.0	0.0	11.843985088047823	0.0	0.0	0.0	0.0	0.0	0.0	0.19237592166599504	0.0	0.0	0.0	0.47052454725950377	0.0	0.0	0.0	0.0
CSM5MCW6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8601.974342027032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.988743980095951	0.0	0.07761880177484012	0.0	0.0	97.27468528540486	0.0	169.39441056228026	0.0	0.0	35.24648227817219	0.0	0.0	0.0	0.0	0.0	0.0	1.3270659025670584	0.0	0.0	259.8602020697699	0.0	0.0	0.0	0.0	0.0	0.0	5.399896917919086	0.0	6.7991914276932865	0.8284729050550642	16.29024602249457	0.0	0.0	15.51405800474617	0.0	18.52825480700246	0.0	220.9958211977594	67.92884900049081	0.0	0.0	0.0	61.53446118483159	0.0	0.0	321.35369777588704	0.0	12.77044896978828	0.0	2.620712598814394	0.0	3.2233363514829443	5.653236062600855	12.569933731869941	0.0	0.0	51.392810105709245	0.0	0.0	0.0	0.06953350992329428
CSM5MCWC	0.0	0.0	0.0	0.8472431073134754	0.0	0.0	0.0	0.149696941660295	0.0	0.3295411840716217	0.0	0.0	0.0	0.6861109826096856	2.747562616723332	0.0	2.058332947829056	5.751897070877864	0.0	0.0	0.0	0.24013884391338994	3.287095343957312	0.0	0.0	0.0	0.0	0.0	0.0	14.641192544052744	0.0	0.0	6.2664803078351285	103.74517838105876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	524.8884160036428	0.0	2.2641662426119624	0.0	0.0	1.397171455496087	0.0	0.0	4.995095865817484	24.958846335569607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1736068698421477	0.0	0.0	21.30166688584101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7466.40525145188	0.0	0.0	0.0	0.0	102.74823833208501	0.0	38.62389007254585	0.0	0.0	269.57716331572493	0.0	0.0	1399.8743169427314	0.0
CSM5MCWE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6442779557251304	23.505592814427093	0.0	0.0	0.0	0.0	0.0	0.0	14.519232114191945	0.0	0.0	373.67139942256404	75.7216648412228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2325.7353174854757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.53667636169651	0.0	0.0	0.0	0.0	0.9635899653520271	0.0	0.0	0.0	0.10075356701122418	0.0	0.0	312.08953304955475	0.0	0.0	0.0	0.0	1.0321881386362648	0.0	0.0	2786.7900712075825	0.0	0.0	0.0	0.0	425.78350234297585	0.0	51.448629963178306	0.08253217723259855	0.0	207.20346202118404	0.10825649221418769	0.0	3334.3428340552837	35.64157433022056
CSM5MCWG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24180857936839603	0.0	0.0	0.0	0.0	0.0	4.562121864083738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9994.86621785341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3298517031384274	0.0	0.0	0.0	0.0
CSM5MCXD	323.4361674558923	0.0	0.0	0.0	0.0	12.898063618039483	0.0	243.47572249628956	0.0	0.0	0.0	150.39282682700764	0.0	0.0	0.0	1508.227273296819	4140.812127136677	866.6437631057396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.21968004812369	18.76463267282616	0.0	197.2477874672574	2.526976125475584	296.2800866784267	5.001525360381135	32.369410775749685	0.0	0.0	0.0	0.0	551.1859198567948	0.0	15.672494667005623	0.4351431917312727	11.34622765716651	0.8912571396905585	0.0	106.78309071304292	0.0	0.0	0.0	0.0	581.0157720533322	30.095132262821657	0.0	3.0376140396277034	0.0	0.0	0.0	3.655202810542691	0.0	14.73090771236783	14.196153428553496	0.0	0.0	268.8880848933959	0.0	0.0	0.0	0.0	0.0	0.0	4.355626068558331	0.0	85.5166468222148	66.61937411624646	0.0	0.0	4.517100891514031	25.03593732281349	197.16390444234534	0.0	0.0	83.73937523189068	0.0	0.0	0.0	0.3308136794969073
CSM5MCXT	0.0	1.5303872490850459	8.876246044693266	811.2368657648249	0.0	0.0	0.0	571.4654022011777	795.9089667164802	2.62620719740601	4.77292787786319	0.0	0.0	6.271976138912365	307.7822907661605	680.8739879661423	1005.8070622514007	2339.747954099457	37.19937879857917	152.52058697297818	0.0	0.0	0.0	8.689256749412568	0.0	1.3339962573935857	0.0	0.0	0.0	0.0	7.146333905113173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.434753088731489	0.3953935657192422	0.0	0.0	28.2259818909747	2.043302019938805	0.0	266.4033355965307	1150.9974599227885	17.599975680945292	653.6320502994939	1.842732496509229	6.467322497669297	0.24862263841791188	0.6079763678959021	30.66624442603454	0.0	1.9910703732123531	0.0	0.0	2.112247793617722	0.0	103.26614410993388	23.026843775823664	409.29449617902014	155.35154222555187	0.0	1.5648601359245045	0.0	0.0	8.146047623457466	103.36329497284507	34.701661452120234	0.0	0.0	42.465373421540065	0.0	3.399235568957501	25.76378206428975	0.8022780937183038	2.290880025422188	175.7453886898951	0.0	0.0	0.0	0.3598760459452548
CSM5MCXV	0.0	5.240184269871056	27.62007251171701	877.1704260828676	0.7106221528345211	0.0	0.0	234.689507046436	956.11541906168	0.46049152760999895	2.278386490015836	0.0	0.0	6.379900800705804	210.24682607522794	88.83509510589076	996.3602854314865	2657.873371632622	2.7127137262843575	262.17352524317727	0.0	0.0	0.0	5.328096288778419	1.2014642584006339	6.357922795978963	1.5661944797008263	0.0	0.0	0.0	3.817893392548355	0.0	0.0	0.0	1.4725263166983378	0.0	1.758240378147269	0.0	0.0	0.0	0.0	4.556772980031672	2.6070099892647898	0.0	0.0	0.0	0.23547862207329495	0.0	13.383558306992425	1154.7348340647554	3.2454186979968336	1045.3053019581612	2.8393488963771074	22.073242747323842	1.3186802836104516	0.0	0.0	0.0	1.9403438458839504	0.0	0.0	5.849288972300646	0.0	124.20607728460698	0.0	533.942019407101	253.10498186422132	0.0	4.016742006743582	0.0	0.0	2.878072047562494	9.441122887658638	185.1374789606391	0.0	0.23024576380499948	45.6755266806436	0.10989002363420432	3.241232411382197	32.2427795059292	5.152272250963693	6.007321292003168	179.93078498368516	0.0	1.3228665702250881	1.347984289912906	3.554157335826265
CSM5MCY2	0.0	11.530564000469465	60.906954425577894	1178.6751783577972	112.19101378018655	0.0	0.0	241.03634722301268	1137.90073664028	1.2354930629283964	3.2805564305643657	0.0	0.0	5.92804156541093	186.5108360086937	208.82580652252616	859.1601849519377	2767.948350682817	5.632115083272391	161.9964976043959	0.0	0.0	0.0	5.012783231368165	1.3993095083979443	9.88817202460058	0.0	0.0	0.0	0.0	0.6066492883840031	0.0	0.0	0.0	7.5070207236787	0.0	1.0156619619111968	0.0	3.956959818309595	0.0	0.0	7.300929066475075	0.0	4.121833144072495	0.0	39.49561656256131	3.5352645812621786	0.0	154.63638324149306	679.8065422898233	18.549306028619583	978.4967663954765	3.3756756569660387	20.05958796781947	0.0	0.10727334977522004	0.0	0.0	4.464262359118519	0.0	0.0	6.831674216226823	11.022204579367193	121.00856606762164	26.263475289795252	296.5014250181215	195.38017543050302	0.0	6.221854286962764	2.309283440973949	0.0	27.36263079488126	32.08582882587099	12.893939578893447	0.0	0.0	44.23255403736463	0.0	3.091374858054371	22.313913633539126	9.259328250056187	5.850889303996238	280.9187819729408	0.0	0.5400658299028321	4.275080786608524	2.9645492228521406
