,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Collinsella_aerofaciens,Eggerthella_unclassified,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_faecis,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Bacteroidales_bacterium_ph8,Barnesiella_intestinihominis,Odoribacter_splanchnicus,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Prevotella_copri,Alistipes_finegoldii,Alistipes_indistinctus,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Streptococcus_parasanguinis,Streptococcus_salivarius,Clostridium_asparagiforme,Clostridium_bolteae,Clostridium_citroniae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Clostridiales_bacterium_1_7_47FAA,Flavonifractor_plautii,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Anaerostipes_hadrus,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Coprococcus_catus,Coprococcus_comes,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Oscillibacter_unclassified,Clostridium_bartlettii,Peptostreptococcaceae_noname_unclassified,Anaerotruncus_colihominis,Faecalibacterium_prausnitzii,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Subdoligranulum_unclassified,Coprobacillus_unclassified,Holdemania_filiformis,Holdemania_unclassified,Dialister_invisus,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified,Burkholderiales_bacterium_1_1_47,Parasutterella_excrementihominis,Sutterella_wadsworthensis,Bilophila_unclassified,Bilophila_wadsworthia,Escherichia_coli,Escherichia_unclassified,Haemophilus_parainfluenzae,Akkermansia_muciniphila,C2likevirus_unclassified
CSM5MCVL,0.0,0.0,0.0,0.0007253869669137937,0.0,0.0,0.0,3.4241869245620076e-05,0.0,0.2932703463159578,0.0,2.7708881034284668e-05,0.0,0.14573407133572572,0.0,0.35368584436619865,0.026216093227994522,0.0,0.0,0.0,0.0,0.0,0.00013978342017702142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030291551494590004,0.004868427870178259,0.0,0.031112567892390412,0.008089303696094398,0.0,0.0,0.0013584109970466386,0.005316050200382516,0.0,0.0,0.0,0.016394196003162862,0.0,0.0,0.0,8.222554128060083e-05,0.0,0.0009258821223651218,0.0,0.0,0.0,7.242605896359773e-05,0.0,0.0,0.0,2.3428647378582158e-05,0.0,0.0,0.0,0.0,0.025298433659757463,0.0,0.0,0.0,0.0,2.5794039661996703e-05,0.0,0.0,0.00013662956379913534,0.0,0.0,0.0,0.0005725375703141015,0.0,0.0,0.02692041693981315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012693032905985792,0.0,0.0,0.0,0.01598520841358771
CSM5MCVN,0.0,0.0,0.0,9.672992844801483e-06,0.0,0.0,0.0,7.591462738958126e-06,0.0,0.18249019323823518,1.53053684253188e-05,0.0,0.0,0.10199277121327124,0.0,0.5189107622330607,0.02014615035087863,0.0,0.0,0.0,0.0,0.0,0.0008204901905444902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027710063426671185,0.0016737950909928641,0.0,0.10832001052029804,0.0007311068389406286,0.0,0.0,0.0005568705247867993,0.0015792691355980952,0.0,0.0002757415175505435,0.0,0.02226869884410184,0.0,0.0,0.0,0.0,1.9223542742200414e-05,0.0,0.0,0.0,0.0,0.006507230439708541,0.0,0.0,0.0,0.0012901813367806737,0.0,0.0,0.0,0.0,0.0011835335295930522,0.0,0.0,0.0,0.0,9.428106949996382e-05,0.0,0.0,0.0,0.0,0.0,9.403618360515871e-05,2.669256253375599e-05,0.0,0.0,0.027469095706182965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022688678153692592,0.0005194029828816188,0.0,0.0,0.0
CSM5MCW6,0.0,0.0,0.0,0.0,0.0001020999769795459,0.0,0.0,0.8504011527279238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021847903007153394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009616688124003514,0.0,0.016746527748173284,0.0,0.0,0.0034845080870002645,7.673484699924119e-06,0.0005338400675266654,0.025690080742111234,0.0,0.0,0.0,0.0,0.0,0.0,0.0003186627673996266,0.0005588854689778066,0.0012426782166821558,0.0,0.0,0.0,0.0,0.0002623905462668497,0.0016104726013965744,0.0,0.0,0.0015337377543973333,0.0,0.0018317247435777199,0.0,0.03176939899562612,0.0,0.0012625013854902932,0.0,0.013431049476924127,0.0,0.0,0.0,0.0,0.0002590866847988268,0.0,0.010161505537698125,0.0,0.0006721759444780752,0.00016380758310810236,0.0,0.0,0.0,0.0,1.3748326754030713e-05,0.0003943318526349894,0.006083368148217621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSM5MCWC,0.0,2.3330486542652167e-05,0.00031935497163578425,0.0,0.0,1.454367992269226e-05,0.0,3.201629538537116e-05,0.0,0.0,0.0,6.66585329790062e-05,0.0002669371252477475,0.0,0.00019997559893701857,0.0005588207014740018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.231318845134856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006088146012082566,0.01007927517531194,0.0,0.0,0.0,0.0024248556337772118,0.00021997315883072046,0.0,0.0,0.00013574101261179444,0.0,0.0,0.0,0.0099824183069379,0.0,0.003752471415609085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6866628799233386e-05,0.0,0.0,0.7253922955663592,0.0,0.0,0.004139090906887321,0.0014224526946610958,0.0,0.0,0.0004852943196426133,0.0,0.0,0.052381083197121,0.0003967192690023278,0.0,0.0,0.0,0.0,0.0,0.13600360683262083,0.0,0.0,0.0,0.0,0.0,0.0,0.05099509070004388,0.0,0.0,0.0,0.0
CSM5MCWE,0.0,0.00034510058667099736,0.002225898784027933,0.0,0.0003824526501695053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.815513286372587e-06,0.0,0.0,0.0,0.0,0.035385396155173464,0.007170581189988023,0.0,0.0,0.0,0.0022288422890318917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04032023304439617,0.0,0.00487200828241408,0.0,0.0,0.0,0.0,0.0,0.0,9.124865512271372e-05,0.0,0.0,0.0,9.541016219727573e-06,0.0,0.0,0.2638994336290372,0.0,0.0,0.05910761048293782,0.0013749213373662737,0.00019548933233186496,0.0,0.0,0.0,0.0,0.03924291021294736,0.0003900651631107773,0.0,0.0,0.0,1.0251517427579626e-05,0.0,0.31575079677635454,0.006750268975457259,0.0,0.0,0.0,0.0,0.0,0.2202391344065285,0.0,0.0,0.0,0.0
CSM5MCWG,0.0,0.0,0.00045619713866805814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4180060353430643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596816465653898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999453654636322,0.0,0.0,0.0,0.0
CSM5MCXD,0.0,0.0,0.0,0.0,4.437186196104915e-05,0.02336364672713247,0.0,0.0,0.0,0.014431520482846351,0.0,0.0,0.0,0.14472773234329414,0.3973475084495194,0.08316212602997305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018006322940021216,0.018927667928631937,0.00024248568554677657,0.028430692006856814,0.00047994054774196023,0.003106130953740473,0.0,0.004147310154586134,0.0028878938367483736,0.0,0.010246781002524368,0.0,0.0,0.0,0.0,0.001237683160958879,0.0004334557399732421,0.0024024193833196614,0.01891961861126939,0.0,0.0,0.0,0.001503914332725174,8.351166763644172e-05,0.0,0.0,0.00035074900407305523,0.0,0.0014135607453305658,0.0013622463471443184,0.0,0.000417960804050336,0.0,0.008206077818184233,0.012785435082205164,0.051604374844233136,0.0,0.0,0.008565379221954997,0.055753596711692874,0.0,0.0,0.016071065813130468,0.0,0.0002914859049912911,0.0,0.052891158841103555,0.0,0.0,0.0,6.348899069710209e-05,0.0,0.0,0.0,0.0,0.0,0.00108877078975173,0.00017104799395415774,0.0,0.03103655788651489,0.0
CSM5MCXT,0.0,0.0,0.0,0.0,0.0,0.05597758968581989,0.07796283973537148,0.00025724872994951307,0.00046752961302280244,0.0,0.0,0.0006143680885508658,0.030148650677201645,0.06669464954362907,0.09852329610321382,0.22918876705104235,0.003643845375299189,0.0,0.014940073018118023,0.01011538025076737,0.04009222479527799,0.01521737773496893,0.0,0.0,0.00014990826944154205,0.0,0.0008694679627609438,0.07946427593845388,0.0,7.858672418505411e-05,0.00022440193507529125,0.0,0.0007000153387369209,0.0,0.0,0.0,0.0,0.0,0.0,0.0001805038821125462,0.0027648610514064615,0.00020015056315880972,0.0,0.026095397120308186,0.11274534432496919,0.0017239962618096248,0.0,0.0,0.0003329703131486538,0.00252367757627082,0.0,0.0,0.0,0.000336449412917263,7.746113308344527e-05,0.0030038956708026677,0.0,0.00019503423996967859,0.0,0.0,0.00020690410976846282,0.0,0.0007979417645768907,0.010124896611899152,0.0033991828003949384,0.0,0.004511164482320698,0.0,0.0,0.0,0.06402618002110584,0.0,0.004159673079227389,0.03443009224833036,0.0,2.4353698380264167e-05,0.00011910800384297265,0.0,0.0,0.0,0.0,7.050293354622693e-05,0.000130670894250409,0.00015328504274636859,0.0,0.001702303051487709,0.0,0.0,0.0,0.0006335031372782162,0.0,0.0
CSM5MCXV,0.0,0.0,0.0,0.00017249511931220445,0.0,0.023024607455526546,0.09380130574698292,4.5177293153196404e-05,0.00022352492544206495,0.0,0.0,0.0006259108615042847,0.020626617270088132,0.00871531590324913,0.09774959581723977,0.26075512202694906,0.0002661353269388297,0.0,0.02572097312710857,0.012185445395745901,0.052383276762463744,0.024831288478989372,0.0,0.0,0.0005140970609501236,0.0,0.002709713508195469,0.08605627488986495,6.971677738868262e-05,0.0005054723049845134,0.0005893583243166985,0.0,0.0003745608305065011,0.0,0.0,0.0,0.00014446466242397124,0.0,0.0,0.0002785590825559587,0.0,2.3102024907884525e-05,0.0,0.0013130164200978991,0.11328719636495285,0.0003183972410637774,0.0,1.0780944957012778e-05,0.0003179865383987483,0.0031632319260538064,0.0,0.0,0.0,0.0004470498508841299,0.000511530169293692,0.0,0.0,0.0001903606852409685,0.0,0.0,0.0005738542987118515,0.0,0.00028235808220747756,0.0009262371853067835,0.018163222685243844,0.0,0.0,0.0,0.0,0.0,0.10255142870109327,2.2588646576598202e-05,0.004481074102465797,0.035304822491227905,0.0,0.00012937133948415333,0.0,0.0,0.0,0.00012978204214918242,0.00013224625813935674,0.0006973731252193409,0.0006237546725128821,0.00039406920709538136,0.0,0.0010454436338314676,0.00011787166486333971,0.0,0.0,0.002165532477031967,0.0,0.00030730826910799284
CSM5MCY2,0.0,0.0,0.0,9.84399773250017e-05,0.0,0.02336172215260061,0.11028760248359659,0.00011974644484175543,0.00031795805371155595,0.0,0.0,0.0005745575783724604,0.01807700116386579,0.020239812486696266,0.08327151384705277,0.2682750591203257,0.0005458757951768304,0.0,0.015701022730927796,0.011728390888453065,0.028737507802981555,0.018936635180214816,0.0,0.0,0.0011175651952297278,0.00024983881862193456,0.005903223156360585,0.11423954246819447,0.010873776184163271,0.0008974325092032672,0.0005670798277535998,0.0,5.879765555104159e-05,0.0,0.0,0.0,0.0007275953787091436,0.0,0.0,0.00032717719831015134,0.003827993707216767,0.0003426448742477947,0.0,0.01498766580887648,0.06588820209676129,0.001797835631666082,0.0,0.0,0.0002996221994543496,0.00216270888789049,0.0,0.0003835164153015675,0.0,0.000707620565412187,0.0,0.0,0.0,0.00043268518649407613,0.0,0.0,0.0006621394520591164,0.0010682939890972348,0.0026520405961959355,0.0031098223429861876,0.0012497062678095948,0.0,0.005091016517224333,0.0,0.0004476406877317975,0.0,0.09483785266045051,0.0,0.0042871071082268165,0.05445441409570333,0.0,0.0,2.079429281683178e-05,0.0,0.0,5.2344254332024834e-05,0.0004143493322368698,0.0005746600133124448,0.0009583812984939811,0.0006030344916881218,0.0,0.0009716978406919521,0.00013562386053933635,0.0003994962659391328,0.0,0.0019442151609037795,0.0,0.0
