	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_desulfuricans	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Pseudoflavonifractor_capillosus	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
CSM67UH7	6282	0	20	55	17	0	0	2	0	1	0	237	32	0	0	0	0	170	514	0	53	0	291	0	766	1	0	0	0	0	6	0	157	3	0	0	0	112	0	0	0	2	0	0	6	17	32	0	5	5	1	2	1	27	4	0	107	4	0	196	0	21	24	0	0	0	44	7	10	1	0	0	0	1	0	0	24	68	1	0	0	3	2	42	0	0	0	0	0	0	6	65	0	0	0	552	0	0	0	0	1
CSM79HGX	0	1	0	51	343	0	0	0	0	0	0	501	0	0	0	0	680	0	0	0	193	1782	156	728	1007	141	0	0	0	0	0	0	0	0	0	2	0	6	1	0	0	7	0	160	0	155	0	0	0	0	3	0	0	337	0	0	317	327	8	1781	31	0	2	2	31	10	0	0	0	2	0	36	39	409	0	193	12	0	0	0	0	0	0	0	2	0	0	0	105	0	5	109	0	1	0	87	237	0	0	0	0
CSM79HGZ	867	0	39	875	686	17	3	0	0	0	0	419	447	0	0	0	0	72	2617	1	76	0	431	0	1277	1	0	0	0	0	10	0	48	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	3	0	0	0	0	94	0	1	435	14	0	575	0	23	0	0	2	0	122	0	0	3	0	0	7	3	0	0	82	9	0	0	1	7	204	35	23	0	0	0	0	0	1	22	0	0	0	433	0	0	0	8	1
CSM79HOV	0	5	5	23	905	0	151	0	0	2	0	361	506	0	0	3	0	0	0	80	4	247	345	963	2850	18	299	0	0	0	0	0	8	40	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	118	0	0	26	342	3	897	0	50	0	0	0	0	284	0	0	2	21	128	8	544	0	60	19	2	0	0	2	12	32	0	4	0	45	8	0	0	4	40	8	5	0	515	0	0	0	0	1
CSM79HOX	293	0	11	670	431	22	4	0	0	1	0	343	1080	0	0	0	0	110	1878	0	118	1	509	1	1450	1	0	0	0	0	3	0	33	6	0	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	1	0	0	116	0	1	400	19	0	1099	0	12	0	0	5	0	211	0	0	2	13	0	6	1	0	0	72	5	0	0	3	16	472	52	2	0	0	0	0	0	2	33	0	0	0	485	0	0	0	0	0
CSM79HOZ	686	0	35	809	716	14	2	0	0	0	0	325	554	0	0	0	0	135	2000	0	66	0	734	0	1433	1	0	0	0	0	14	0	72	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	1	0	0	66	0	1	356	136	0	772	0	1	1	0	0	0	228	0	0	3	9	0	8	3	0	0	124	13	0	0	5	10	168	45	76	0	0	0	0	0	1	3	0	0	0	367	0	0	0	0	0
CSM79HP2	306	0	18	659	571	17	3	0	0	1	0	630	421	1	0	0	0	163	2476	0	136	0	397	0	1183	1	0	0	0	0	6	0	39	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	33	0	1	326	334	0	1231	0	6	0	0	13	0	97	0	0	1	14	0	6	3	0	0	84	5	6	0	4	9	396	71	37	0	0	4	0	0	1	12	0	0	0	271	0	0	0	0	0
CSM79HP4	511	0	18	694	569	14	3	0	0	0	40	436	556	0	0	0	0	47	1827	0	99	0	389	0	1097	1	0	0	0	0	11	0	46	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	58	0	1	590	108	0	1265	0	0	0	0	2	0	239	0	0	2	0	0	14	2	0	0	34	14	0	0	0	12	653	133	69	0	0	1	0	0	1	0	0	0	0	438	0	0	0	0	0
CSM79HP6	314	0	7	355	570	15	3	0	0	1	56	567	922	1	0	0	0	67	1592	0	99	0	437	0	1083	1	0	0	0	0	5	0	47	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	161	0	0	470	151	0	1643	0	9	0	1	0	0	138	0	0	2	0	49	12	4	0	0	78	8	10	0	1	25	462	54	135	0	0	2	0	0	1	13	0	0	0	419	0	0	0	3	0
CSM7KOOH	769	0	15	770	702	41	6	0	0	0	166	280	2280	22	0	0	0	133	1754	0	81	0	182	550	358	5	0	0	0	0	5	0	83	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	1	1	0	0	51	0	0	4	105	0	522	0	13	0	0	2	0	38	0	0	2	5	0	5	1	60	0	0	5	0	0	5	17	64	34	336	0	0	6	0	0	4	37	3	0	0	467	0	0	0	7	1
