,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_indistinctus,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_senegalensis,Alistipes_shahii,Anaerostipes_hadrus,Anaerotruncus_colihominis,Anaerotruncus_unclassified,Bacteroidales_bacterium_ph8,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_eggerthii,Bacteroides_faecis,Bacteroides_finegoldii,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_nordii,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Bilophila_unclassified,Bilophila_wadsworthia,Burkholderiales_bacterium_1_1_47,C2likevirus_unclassified,Clostridiales_bacterium_1_7_47FAA,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_citroniae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Collinsella_aerofaciens,Coprococcus_catus,Coprococcus_comes,Desulfovibrio_desulfuricans,Dialister_invisus,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Escherichia_coli,Escherichia_unclassified,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Faecalibacterium_prausnitzii,Flavonifractor_plautii,Haemophilus_parainfluenzae,Holdemania_filiformis,Holdemania_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Odoribacter_splanchnicus,Oscillibacter_unclassified,Parabacteroides_distasonis,Parabacteroides_goldsteinii,Parabacteroides_merdae,Parabacteroides_unclassified,Parasutterella_excrementihominis,Peptostreptococcaceae_noname_unclassified,Prevotella_copri,Pseudoflavonifractor_capillosus,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_callidus,Ruminococcus_gnavus,Ruminococcus_lactaris,Ruminococcus_obeum,Ruminococcus_torques,Streptococcus_parasanguinis,Streptococcus_salivarius,Streptococcus_thermophilus,Subdoligranulum_unclassified,Sutterella_wadsworthensis,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
CSM67UH7,0.5931674041749546,0.0,0.0018705519352975278,0.005161022839661815,0.001627521892188796,0.0,0.0,0.00021863594048932141,0.0,0.00024535811099357185,0.0,0.022371011627484446,0.0029792183501954617,1.1640339424199985e-05,0.0,0.0,0.0,0.016022370505525775,0.04855468990793707,0.0,0.00503368764839535,0.0,0.02752383561937791,2.348311953403823e-05,0.07235078274197204,8.927634236647292e-05,0.0,0.0,0.0,0.0,0.0012269929956534975,0.0,0.014809548357866954,0.0005105554091796932,0.0,0.0,0.0,0.010615787114184747,0.0,0.0,0.0,0.00022207743214517186,0.0,0.0,0.0005325202235714445,0.0015827825006627402,0.0029883281810491836,0.0,0.0004516451696589594,0.0004793795435914011,0.00018290515947416843,0.0001961650243834745,0.00010162522419040682,0.0025038876203168263,0.00035416997952413687,3.8868611642546034e-05,0.010134180723051325,0.00038645926888343946,0.0,0.0184606673436958,0.0,0.0020089201439312788,0.002301649375364204,0.0,0.0,0.0,0.004197607616709333,0.0007049996877352424,0.0009370979338195082,5.1116273123660796e-05,0.0,0.0,3.846373027126951e-06,5.0205290038288625e-05,0.0,0.0,0.004624858683748883,0.006415851429590574,0.00018128563398906234,0.0,0.0,0.0002710680780696309,0.00015132441251459978,0.003969760625023471,0.0,0.0,0.0,0.0,0.0,0.0,0.0005387958848262305,0.0061316247069544555,0.0,9.312271539359987e-06,0.0,0.1042923802236909,0.0,0.0,0.0,3.947593369946082e-06,0.0001253107844100833
CSM79HGX,0.0,7.059474720937297e-05,0.0,0.0050228475005606975,0.033789582256104,0.0,0.0,0.0,0.0,0.0,0.0,0.049362075460578664,4.216942864276705e-05,0.0,0.0,0.0,0.0670150312668092,0.0,0.0,0.0,0.01900487645190384,0.17568200460760877,0.015327077541978365,0.07172041064901978,0.09924809305678796,0.013882904763521131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023562819016933784,0.0,0.0006187973195653446,8.954495958711027e-05,0.0,0.0,0.0006710665866731695,3.363142086818211e-05,0.015727739175107665,0.0,0.015258877601827717,0.0,0.0,0.0,0.0,0.0005495561589543814,0.0,0.0,0.0332201387863576,0.0,0.0,0.031223286187565036,0.03224420284890413,0.0008316227816537787,0.17554248106592651,0.003015270331026891,0.0,0.00021938515098842017,0.00034828824397544633,0.003038385425245889,0.0009895759254836,0.0,0.0,0.0,0.00021584500142334835,0.0,0.0035805489189320327,0.007712528193647014,0.040293878227601214,0.0,0.019041319168014874,0.002410217121537708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004553257072958526,0.0,0.0,0.0,0.01033931917093029,0.0,0.0004813562188037335,0.010748102323650052,4.841675140465846e-05,9.829121145375826e-05,0.0,0.017200233150085474,0.02334947294461519,0.0,0.0,0.0,0.0
CSM79HGZ,0.08211245927085939,0.0,0.0036962730082740003,0.08292321870177413,0.06500761283355713,0.0016472443953025988,0.0002978692674978445,0.0,0.0,0.0,0.0,0.039651858583704055,0.042371270291394335,0.0,0.0,0.0,0.0,0.006850486744311189,0.2478908354204945,5.266644648040773e-05,0.007240015885010513,0.0,0.040820142160918484,0.0,0.12100116078873678,5.276772810825467e-05,0.0,0.0,0.0,0.0,0.0018178026565968423,0.0,0.004591805161696626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012801997759852958,0.00033666013096322173,0.0,0.0,0.00025502713891858975,1.1242260691010113e-05,0.0,0.0,0.0,0.008936179306563182,0.0,0.00011303029667718276,0.04124319552043514,0.0013685173554678256,0.0,0.054460144109577,0.0,0.0021977100426507066,0.0,0.0,0.00019982865174200857,0.0,0.01152645693874862,0.0,0.0,0.0002866270068068344,0.0,0.0,0.0013415764424605401,0.0002763975623942937,0.0,0.0,0.015571543873327475,0.0008295978136942687,0.0,0.0,9.378678738626455e-05,0.0006509370221722702,0.019320179483198342,0.003305427206412667,0.004310546081165679,0.0,0.0,0.0,0.0,0.0,5.185619345763223e-05,0.0020590554941282485,0.0,0.0,0.0,0.08210455930388733,0.0,0.0,0.0,0.0007129213784145962,0.0002834872763435793
CSM79HOV,0.0,0.0004801412266245227,0.0004686463201396559,0.002202647877139998,0.08547398839991002,0.0,0.014292339478971492,0.0,0.0,0.00035115413438725686,0.0,0.03412481698430416,0.04774607771919896,3.51967933076451e-05,0.0,0.00027638637981754834,0.0,0.0,0.0,0.007590910723130325,0.0003995751563943062,0.023327946325093652,0.03261593248970213,0.09094770010826574,0.2691557784640587,0.0017246428720746095,0.028203210822383244,0.0,0.0,0.0,0.0,0.0,0.0007875536814675963,0.007483082396812106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001473992875802825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019215821548595837,0.011190342325435856,0.0,0.0,0.002485951545815696,0.032255012771044554,0.0002388499152784702,0.08466588630154027,0.0,0.004710063363383189,0.0,0.0,0.0,0.0,0.026832468655271925,0.0,0.0,0.00017639086588282254,0.001997163708118486,0.012078094970510477,0.0015526261741462056,0.05140756147155555,0.0,0.005675635508111996,0.0035736952187597685,0.0002235911898560807,0.0,0.0,0.00022735500879360345,0.0011646476490729152,0.0030126827473965813,0.0,0.0008493006570101992,0.0,0.0042106961427264555,0.000790910601060522,0.0,0.0,0.0003792301891644535,0.0037695155283471,0.0007262136052695905,0.000451658272502729,0.0,0.09718821363151459,0.0,0.0,0.0,0.0,0.00013895612617989366
CSM79HOX,0.027717626106954784,0.0,0.001082933004262939,0.06332870045401406,0.040760206184437306,0.0020651115371276675,0.00038556595298408773,0.0,0.0,0.000172997355220492,0.0,0.03240935496642431,0.10207452746355844,4.3832760970822607e-05,0.0,0.0,0.0,0.01036573771652826,0.17755007740743833,0.0,0.011114851777286555,5.093529168368738e-05,0.048154447980151886,0.00013748470165616812,0.1370869599362477,0.00012206206353680461,0.0,0.0,0.0,0.0,0.0005385747574840889,0.0,0.0030847305533216406,0.001133360972324279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002390508908501344,0.0004286884608836239,0.0,0.0,0.00010268230116313073,0.0,0.0002230194643839539,0.0,0.0,0.010979091975946367,0.0,4.829720884748046e-05,0.03786389562445552,0.0017627466582085674,0.0,0.10393640515757371,0.0,0.0010971380656886688,0.0,0.0,0.000440559833646555,0.0,0.019926454309115535,0.0,0.0,0.00021520668059980266,0.001265366578859094,0.0,0.0011953559189751416,0.00013038217094330336,0.0,0.0,0.013652788930442077,0.0005197023187327624,0.0,0.0,0.0002595467651929727,0.0014832113422951038,0.04458887609756929,0.004913327817710912,0.0003371672794121378,0.0,0.0,0.0,0.0,0.0,0.00017147538435344955,0.0031442903465852354,0.0,0.0,0.0,0.09165572369613265,0.0,0.0,0.0,3.0337952616379532e-05,9.13182520225471e-06
CSM79HOZ,0.06473539707165615,0.0,0.0033477129215170585,0.07636850628189322,0.06759738454589806,0.0013162478365034117,0.0002131213182936385,0.0,0.0,0.0,0.0,0.030664863269862636,0.052353617886898074,0.0,0.0,0.0,0.0,0.012708985483550513,0.18885436513335238,5.389040968302882e-06,0.0062482371226832475,0.0,0.06927103764662006,0.0,0.1353574571210279,0.0001081875394391371,0.0,0.0,0.0,0.0,0.0026882163230187092,0.0,0.006822627545889719,8.205577474378162e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.727681388509793e-05,0.0003772328677812018,0.0,0.0,2.1759523909751258e-05,6.873569235042921e-05,0.0002635546073554919,0.0,0.0,0.006264302565569886,0.0,0.000140826825303764,0.03359202763581553,0.012850422388963896,0.0,0.07288728749638783,0.0,9.893465777657932e-05,8.266585485340082e-05,0.0,0.0,0.0,0.021550978192279763,0.0,0.0,0.0002502345249621395,0.0008163888666887516,0.0,0.001472733384620735,0.000273315889109399,0.0,0.0,0.023346545634907324,0.0012705935083002417,0.0,0.0,0.0004627457631461588,0.0009664685736550735,0.0158754029324924,0.004205383875623375,0.014381926824144615,0.0,0.0,0.0,0.0,0.0,0.00013086218351331715,0.00028145029057098826,0.0,0.0,0.0,0.06924653276221701,0.0,0.0,0.0,0.0,0.0
CSM79HP2,0.029394368579572273,0.0,0.0016826096506176484,0.0632270215274464,0.05483103971481876,0.0016005089636681735,0.00031739539862509115,0.0,0.0,9.60365969113782e-05,0.0,0.06048124332553224,0.04037697646295497,5.685447325037427e-05,0.0,0.0,0.0,0.01560054430836735,0.237692092128483,2.2620607474394023e-05,0.013021694071431635,1.171424315638262e-05,0.038065130182100934,0.0,0.11354838058162225,0.00014036894816699862,0.0,0.0,0.0,0.0,0.001220704924778906,0.0,0.0037041244739320213,0.001045597186561945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0906364318011404e-05,0.00011744538612821539,0.0,0.0,4.604909378715926e-05,0.0,0.0,0.0,0.0,0.003213338079621508,0.0,8.260561122345675e-05,0.03127995778833069,0.032044009199720266,0.0,0.11819570359935266,0.0,0.0006087367047127106,0.0,4.241363901448879e-06,0.001272712124999053,0.0,0.00926435057902191,0.0,0.0,0.0001220906894488499,0.001317953339947841,0.0,0.0012143428789267328,0.00029649153368223595,0.0,0.0,0.016043665851213963,0.0005118922289629612,0.0010980083262012777,0.0,0.00039505275196352423,0.0009051272535401502,0.037970810327721094,0.006851317473661886,0.00717396408473639,0.0,0.0,0.0004100994953281881,0.0,0.0,8.886667222083366e-05,0.0011788971948931957,0.0,0.0,0.0,0.052067387193605624,0.0,0.0,0.0,1.9086137556519957e-05,5.786432179833828e-05
CSM79HP4,0.048387378289254705,0.0,0.0017445815683211911,0.065638765268133,0.053844370984580454,0.001329746211684556,0.00023694729886167878,0.0,0.0,0.0,0.003768629030032131,0.041260287673301324,0.05256353637805707,0.0,0.0,0.0,0.0,0.004410467002323402,0.17283859413840075,0.0,0.009352264221708796,1.1060923158853529e-05,0.03680659174193506,0.0,0.10379712359171107,0.00012796168902123208,0.0,0.0,0.0,0.0,0.0021100994143596354,0.0,0.004395854406590604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023461334259880143,0.0,0.0,0.0,0.0,0.0005445221437652113,0.0,0.0,0.005474040723680685,0.0,0.00011020332615151312,0.055822754084626405,0.010190966330955809,0.0,0.1197147053045346,0.0,0.0,0.0,3.115324229144984e-05,0.0001532293024758608,0.0,0.022576054501734836,0.0,0.0,0.00020883834734789503,0.0,0.0,0.0026835423205126747,0.00015312782611660527,0.0,0.0,0.006387023527902751,0.0013315727861511557,0.0,0.0,0.0,0.0011816922035307277,0.06174004354553528,0.012550088730928532,0.013103946699745253,0.0,0.0,0.00011507419139577891,0.0,0.0,0.000131919267032198,0.0,0.0,0.0,0.0,0.08293662841955035,0.0,0.0,0.0,0.0,0.0
CSM79HP6,0.029486435450969403,0.0,0.000647615647815396,0.03327703068738968,0.05345827885615014,0.0014204205558095056,0.0002569512132626262,0.0,0.0,0.00019225126747707283,0.005289066520479021,0.05318818225707712,0.08646932087753255,9.69472203516863e-05,0.0,0.0,0.0,0.00631204455217727,0.1493562304045174,1.2015704217317052e-05,0.009320797427858789,0.0,0.04103280831552458,0.0,0.1015482080836523,0.00012097862878632041,0.0,0.0,0.0,0.0,0.0009541701528469463,0.0,0.004394358698758798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.359643788800068e-05,0.0,0.0,0.0,8.873135422018746e-05,0.0,0.0,8.42126278478631e-06,6.0078521086585255e-05,0.00026177803461488176,0.0,0.0,0.015084535614085156,0.0,0.0,0.04410533685205186,0.01414197037214895,0.0,0.1541204057775203,0.0,0.0008028955177007241,4.559805702981856e-05,0.00010844943293578468,0.0,0.0,0.012969977068490643,0.0,0.0,0.00019522951894974117,0.0,0.004561654272861443,0.0023265278917871837,0.00036139541145930514,0.0,0.0,0.014546293684145338,0.000767567293335279,0.001964927083674591,0.0,5.73056662672044e-05,0.002301982991719331,0.04335646065416574,0.005076583682653133,0.025254032013327776,0.0,7.599676171636426e-06,0.00020087792691514663,0.0,0.0,0.00013617798112959325,0.00126575687588404,0.0,0.0,0.0,0.07854029117234965,0.0,0.0,0.0,0.0003281211536267349,3.532822436544501e-05
CSM7KOOH,0.07109448650232575,0.0,0.0013790245200050633,0.0712355357488506,0.06491918050185404,0.0037822244154222077,0.0005479065064074707,0.0,0.0,0.0,0.015336424207329037,0.02585359836965689,0.2108585052442697,0.0020105082700492046,0.0,0.0,0.0,0.012334220338147862,0.16220258617942013,2.1552001083063943e-05,0.00747125919235849,0.0,0.01681632828169943,0.05082235049766404,0.03312097360810752,0.0004478364168715541,0.0,0.0,0.0,0.0,0.000948692780069519,0.0,0.007671298188326648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001394303168660193,0.0,0.0,9.19754412418081e-05,0.00018121893868435456,0.0,0.0,0.0,7.912518707491082e-05,0.00020732417943285456,0.0,0.0,0.004728286434796142,0.0,0.0,0.00034462965112167036,0.009677860317332474,0.0,0.04824855588944856,0.0,0.0012459687386706544,0.0,0.0,0.0001968011366505135,0.0,0.0034969892461585586,0.0,0.0,0.00018263550213582356,0.00042749861303260645,0.0,0.0008673415647137284,7.720270810506004e-05,0.005525305742454802,0.0,0.0,0.00045704407930610247,0.0,0.0,0.00042365365509290485,0.001606484137069513,0.0058850116760242495,0.003167638243692018,0.06222487681716001,0.0,0.0,0.0005433532667420347,0.0,0.0,0.0003590988349473894,0.003394288395927057,0.0002721825488893991,2.5093409711736423e-05,0.0,0.0862793384203476,0.0,0.0,0.0,0.000645649384558831,0.00012364575269250769
CSM7KOOJ,0.04723837246177279,0.0,0.0006249130444357015,0.0723814311726476,0.056066004943490434,0.0014496399544923668,0.00021757284301236504,0.0,0.0,0.00022893858854286173,0.008002296692436127,0.04541376438464484,0.16590233719305256,3.8663830777850314e-05,0.0,0.0,0.0,0.011679013891680995,0.1355933441788254,6.454119783389186e-05,0.01190988059776921,1.136574553049668e-05,0.02269150799189501,0.06695073588635717,0.056475577702071546,0.00011193229750123071,0.0,0.0,0.0,0.0,0.0016231705335740573,0.0,0.012452290507238003,3.947566974431436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.140378728966648e-05,0.0,0.0,2.374628976907342e-05,0.0006968622728385778,0.0,0.0,5.287101269097117e-05,0.0001117293377596147,0.0004121097553513127,0.0,0.0,0.006281908442628,0.0,4.262154573936255e-05,0.037802774074044386,0.011029745678251374,0.0,0.07826350892429207,0.0,0.003989884080558375,8.301053432094897e-05,0.0,0.0,0.0,0.011448959024559247,0.0,0.0,0.0002708497751865682,0.0002017419831663161,0.004226230699670221,0.0012905195170654132,0.0002069174565775244,0.0029668655029428657,0.0,0.0028110939012525767,0.0010163209061421808,0.0009396021238113283,0.0,0.00016642698812512996,0.0007892089552738633,0.029503344319882416,0.0055269996836872426,0.019086029661957358,0.0,2.3238890415033393e-05,0.0007819024045756869,0.0,0.0,0.00021452844688812483,0.0015132678334889866,0.0,0.0,0.0,0.06007202432350728,0.0,0.0,0.0,0.000517750300862447,0.00042723025610170556
CSM7KOOL,0.01865416579319682,0.0,0.0006364178343726396,0.05412803287952192,0.06704996708166094,0.0014384689227812685,0.00021491676827369193,0.0,0.0,0.0,0.007112576451686556,0.052568539904251775,0.046032326530413156,0.00016786879488800904,0.0,0.0,0.0,0.016690243154697696,0.15394747230952402,1.4022938071758624e-05,0.03145385655692769,3.647996208522714e-05,0.007111458681260547,0.07707362418464996,0.15593100673822494,0.000505435463542952,0.0,0.0,0.0,0.0,0.00038685018289264547,0.0,0.0033518886611234055,0.004429622582783347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019663106025910523,0.0,0.0,0.00496940408305278,0.01129232653651009,0.0,0.10476455741016248,0.0,0.00017996103858756898,0.0,3.068787896863119e-05,0.000957624408610531,0.0,0.012678666711241994,0.0,0.0,0.0003652060828253659,0.0,0.006196512779824933,0.0005819519299779828,0.00039792627165946933,0.00996634596478271,0.0,0.009460605654759936,0.0002455030317490495,0.0,0.0,0.00019439043863242206,0.0015004543736781726,0.0346562688274456,0.008823476511934382,0.0032701898045314204,0.0,0.0,0.00036317377295989363,0.0,0.0,1.1177704260097452e-05,0.0014681406468171636,0.0,0.0,0.0,0.06902709973428563,0.0,0.0,0.0,0.0,0.0
