Name	Acidaminococcus_intestini	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_coprocola	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_sp_CAG_144	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Catenibacterium_mitsuokai	Clostridium_sp_CAG_58	Collinsella_aerofaciens	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Intestinibacter_bartlettii	Lachnospira_pectinoschiza	Lawsonibacter_asaccharolyticus	Methanobrevibacter_smithii	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_sp_CAG_409	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Slackia_isoflavoniconvertens	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_parvula
1_1_D0	0	3	49	3	42	164	1	47	8	39	0	0	43	2	2	0	0	7	18	0	0	0	6	0	50	118	0	5	343	1039	341	6	0	0	98	121	0	0	9	0	789	2	0	57	182	0	152	431	0	137	11	247	5	690	0	0	0	1535	0	438	16	417	69	0	0	7	19	0	0	0	6	5	0	5	20	0	6	0	226	0	852	19	5	5	0	413	0	0	150	2	8	5	38	465	0
1_15_D0	0	0	15	0	0	0	0	258	1	0	0	0	638	0	0	0	30	0	0	0	0	0	0	204	951	0	117	31	358	0	0	0	8	100	0	411	8	0	0	27	1476	16	26	0	0	35	0	0	10	50	0	388	0	0	0	137	0	7	0	4	167	0	28	7	0	14	5	0	4	0	18	0	0	38	156	0	0	0	0	0	1527	47	0	0	0	2171	426	0	0	82	0	0	3	3	0
1_17_D0	0	0	233	6	0	0	0	362	0	0	0	0	0	0	0	0	10	0	135	0	0	0	0	57	130	208	19	82	3408	3	300	0	2	0	364	107	0	0	0	5	536	2	2	0	54	0	57	162	4	18	168	148	0	14	0	10	16	1224	0	102	20	235	96	0	2	0	16	186	1	0	17	10	0	14	114	0	0	0	0	1	619	6	33	20	247	375	3	15	11	4	5	0	2	0	0
1_19_D0	0	4	22	0	7	119	6	485	8	31	0	0	0	0	0	0	0	64	34	0	0	0	0	16	62	426	11	30	1905	0	354	0	1	0	227	406	2	0	0	0	789	6	8	90	291	26	470	1399	0	198	0	95	74	0	0	0	0	1076	0	58	1	198	6	3	0	0	29	0	0	0	20	8	0	19	21	0	4	0	0	0	0	6	0	52	0	0	182	0	503	7	50	6	26	58	0
1_21_D0	0	0	107	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1272	2	0	1	0	181	10	0	0	0	0	0	0	0	0	464	0	0	1674	583	976	0	578	0	0	0	0	0	0	0	0	26	0	0	70	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0	0	2839	0	0	0	0	3	1	0	213
1_22_D0	0	17	106	13	1	0	9	0	12	182	0	0	0	47	0	0	0	21	45	0	0	0	0	40	895	311	0	0	430	0	574	1708	1	0	0	139	0	0	0	0	892	9	0	124	225	0	78	294	1	2	0	28	0	31	0	0	142	2053	0	177	16	746	0	1	0	1	1	0	0	0	34	0	0	53	56	0	0	1	0	9	0	0	6	7	57	0	0	376	0	21	0	0	6	0	0
1_4_D0	84	1	95	0	0	0	0	361	1	7	0	0	0	0	0	0	0	0	15	0	0	0	23	0	60	169	0	0	891	0	175	0	1	0	73	91	0	0	0	0	925	3	0	14	166	0	120	435	0	2	22	403	40	0	0	0	5	3255	0	14	8	678	46	0	0	0	0	1	6	0	0	0	0	22	58	0	0	1	1023	0	0	0	0	172	0	0	40	0	489	0	0	3	0	3	0
1_9_D0	0	0	140	7	0	0	0	228	0	0	0	0	0	0	0	0	55	0	0	0	0	7	0	0	0	277	0	41	120	0	503	0	0	1	0	654	0	0	0	0	0	0	0	36	311	36	3	0	32	8	0	103	0	2646	0	0	0	1028	0	0	27	730	0	42	7	0	40	0	0	0	0	0	0	0	0	0	0	0	0	1	605	140	0	13	25	1022	145	151	655	9	0	8	31	107	7
1_1_W10	0	1	127	2	33	392	16	81	3	84	2	0	86	3	59	7	0	20	30	0	0	6	17	22	119	113	1	24	336	445	85	3	0	1	162	96	0	0	6	5	460	1	1	57	129	18	81	322	0	12	283	274	9	620	8	0	0	2087	0	505	7	439	94	0	0	10	1	0	2	0	13	73	0	43	46	0	28	1	619	0	1008	12	0	7	0	0	0	0	289	3	11	2	8	28	0
1_1_W14	0	1	143	15	21	328	14	61	6	60	1	0	78	2	14	9	0	18	33	0	0	3	40	14	130	152	3	17	157	375	77	1	0	0	219	172	0	0	10	7	397	1	2	55	136	12	68	351	0	0	392	247	20	1077	1	3	0	2253	0	307	5	331	75	0	0	13	5	0	2	0	12	36	0	57	49	0	25	0	862	0	660	16	4	31	0	0	0	0	201	3	73	6	19	11	0
