Name	Acidaminococcus_intestini	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Alistipes_sp_An31A	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_lavalense	Clostridium_leptum	Clostridium_sp_CAG_299	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Coprococcus_eutactus	Dielma_fastidiosa	Dorea_formicigenerans	Dorea_longicatena	Dorea_sp_CAG_317	Eggerthella_lenta	Eisenbergiella_massiliensis	Eisenbergiella_tayi	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Holdemania_filiformis	Hungatella_hathewayi	Intestinimonas_butyriciproducens	Lachnospira_pectinoschiza	Lawsonibacter_asaccharolyticus	Methanobrevibacter_smithii	Monoglobus_pectinilyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_johnsonii	Parabacteroides_merdae	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Phascolarctobacterium_faecium	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Slackia_isoflavoniconvertens	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Turicimonas_muris	Veillonella_parvula	[Collinsella]_massiliensis
BOURSI_R1.D0	102	4	381	1	0	0	1	0	0	615	0	10	0	0	417	0	0	11	3	127	11	4	134	4	149	308	0	0	0	399	528	0	0	9	0	8	0	0	0	0	0	1	0	0	0	0	0	456	0	1	0	20	24	0	0	79	174	0	3	0	0	50	223	49	78	48	104	0	0	14	0	2050	0	0	3	309	5	0	0	0	0	0	0	571	1	0	0	0	0	0	43	0	4	0	22	7	0	0	61	0	95	468	0	5	832	0	825	11	0	33	4	4	0	97	0
BOURSI_R10.D0	13	7	27	0	1	0	28	1	0	105	0	6	2	0	8	0	11	0	0	4	12	0	5	0	15	1	0	2	1206	302	16	0	0	17	0	14	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	11	251	342	0	114	381	0	0	0	0	0	0	17	117	52	849	0	282	8	14	573	2	20	0	200	39	0	1	175	0	0	0	0	0	97	0	0	1	1	2	0	13	0	0	0	0	0	19	118	39	27	73	1170	0	0	125	0	0	444	2125	1	0	7	0
BOURSI_R2.D0	0	3	114	3	3	0	0	1	0	113	0	11	0	0	46	2	2	0	0	18	6	1	35	0	26	95	0	0	0	78	0	0	0	100	0	110	0	0	0	0	0	0	0	0	0	0	0	1240	0	2	0	37	19	0	0	127	207	0	0	0	0	0	8	34	122	40	2434	0	0	16	5	746	15	6	0	170	44	1	0	0	2	0	0	76	0	95	0	6	50	1	42	0	20	5	0	0	1845	0	527	36	65	10	215	253	0	1	706	2	0	0	2	0	0	0	0
BOURSI_R3.D0	0	37	278	0	0	12	0	6	0	237	0	15	31	0	340	91	0	0	4	0	50	0	187	0	672	31	0	43	583	542	12	3	40	97	0	11	0	0	0	0	0	2	0	4	0	0	0	778	0	2	0	56	22	768	0	174	396	1	1	0	0	0	196	26	96	54	452	171	3	0	0	476	0	227	8	165	2	4	0	0	0	0	0	44	2	0	0	0	0	42	66	0	83	5	0	0	0	0	205	6	43	13	83	1229	29	0	1	11	87	293	332	24	0	0	0
BOURSI_R4.D0	0	19	87	55	1	0	52	0	0	1186	0	7	0	0	18	0	8	0	0	4	3	0	4	0	79	43	1	4	0	131	31	6	0	236	0	229	0	0	0	0	0	2	0	0	0	40	0	526	0	2	0	0	193	0	0	187	188	633	1	4	1	2	17	94	157	53	18	9	755	0	8	626	3	151	16	234	47	50	0	12	0	0	7	3	9	23	0	0	63	102	7	0	2	0	0	31	1	0	17	50	5	44	704	1428	0	0	680	75	10	24	365	115	0	0	0
BOURSI_R5.D0	34	0	183	342	2	1	0	0	0	173	0	0	12	0	132	0	0	0	0	9	16	10	8	18	119	0	28	27	1	622	352	0	0	413	4	50	3	0	0	0	0	0	0	102	0	0	0	952	0	1	0	4	304	0	0	58	479	0	6	0	0	0	0	29	30	36	8	2	0	0	0	1326	0	1	2	274	60	20	0	0	0	0	0	0	0	0	0	11	34	8	15	0	20	0	0	0	1274	0	495	46	95	216	49	582	0	819	9	4	0	3	34	33	0	0	0
BOURSI_R6.D0	0	0	132	90	0	33	146	0	0	277	0	0	47	0	33	0	0	0	0	0	66	0	0	25	163	7	0	0	89	366	304	0	0	673	1	58	0	0	0	0	0	2	0	0	0	0	0	193	0	0	0	54	0	84	0	13	536	0	3	0	0	1	0	32	376	0	472	0	160	0	32	3174	0	120	11	135	117	11	1	0	0	0	0	16	0	0	0	11	8	0	12	0	0	0	0	0	403	0	323	62	0	338	353	0	12	0	303	0	0	19	105	0	0	0	0
BOURSI_R7.D0	0	1	267	46	0	6	60	0	0	386	0	1	2	0	4	0	0	0	0	7	7	2	18	0	4	57	0	2	1	31	63	4	10	113	0	99	0	0	0	1	0	1	0	7	0	47	0	1341	0	5	0	60	177	0	0	745	954	0	0	0	0	0	0	4	186	43	1084	0	0	0	3	1006	0	26	2	190	35	9	0	13	0	0	0	0	0	0	0	0	8	0	44	0	35	5	0	0	9	0	109	16	14	441	0	1781	0	0	339	19	35	7	8	0	0	0	0
BOURSI_R8.D0	0	4	14	1197	0	0	6	0	0	90	0	2	52	8	308	0	0	0	0	4	13	0	2	1	214	19	0	6	269	297	0	0	0	82	0	40	0	0	0	0	0	0	0	0	0	0	0	1140	1	2	0	120	293	2	0	97	452	0	0	0	0	0	110	0	72	34	566	11	644	5	0	1083	29	12	0	530	97	1	0	18	0	0	0	6	0	543	0	8	58	101	23	0	137	2	3	0	273	0	52	24	1	0	0	379	0	208	143	8	76	0	0	0	0	0	2
BOURSI_R9.D0	0	1	197	22	2	0	29	1	0	360	0	1	9	0	9	4	7	20	0	8	1	0	140	0	110	163	7	16	1128	610	1294	0	0	29	0	7	0	0	0	0	0	0	0	3	0	0	0	584	0	1	0	71	62	1	0	57	187	0	0	0	0	0	2	147	117	10	1010	0	124	26	0	1134	4	3	0	474	25	0	0	0	0	0	0	0	0	0	0	9	33	12	70	0	109	4	0	0	0	0	1204	43	28	55	28	0	0	34	96	0	56	0	4	0	0	0	0
