Name	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_clarus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_leptum	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Desulfovibrio_piger	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Holdemanella_biformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Klebsiella_pneumoniae	Lachnospira_pectinoschiza	Lactobacillus_fermentum	Lactobacillus_gasseri	Lawsonibacter_asaccharolyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Paraprevotella_xylaniphila	Phascolarctobacterium_faecium	Prevotella_copri	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Streptococcus_anginosus_group	Streptococcus_gordonii	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_thermophilus	Streptococcus_vestibularis	Veillonella_parvula	[Collinsella]_massiliensis
PAUL.case2_before	1	1	0	0	0	0	184	57	0	0	1	20	0	18	8	0	0	0	0	0	0	0	1	3	2	58	9	0	47	2051	486	0	203	0	1	10	52	0	0	1	24	1	0	141	6	0	8	1109	7	0	0	0	25	1	4	217	251	2212	14	456	0	0	0	0	25	237	0	336	404	17	0	0	20	0	180	17	0	0	0	0	0	0	11	0	0	86	31	5	19	12	2	10	0	0	0	0	682	20	0	0	57	128	9	0	1	0	2	2	0	0	0
PAUL.case1_before	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	9558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	55	0
PAUL.case11_before	9	0	0	0	0	0	0	12	0	17	0	0	0	1080	0	0	620	0	0	0	13	124	814	58	439	1158	246	10	0	0	0	0	79	0	0	118	0	2	0	0	11	0	0	1	0	0	0	0	0	0	0	204	0	0	8	0	0	0	0	0	0	48	0	0	949	265	0	268	0	17	2	13	0	0	8	13	8	0	0	0	25	0	160	140	117	150	176	6	0	0	0	0	76	32	0	0	167	9	0	102	109	0	558	147	26	176	670	0	371	167	0
PAUL.case12_before	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	97	594	0	0	0	0	0	0	3884	0	0	0	0	0	0	0	0	1	0	0	0	15	11	0	0	886	0	45	0	0	0	0	184	0	0	0	398	0	0	105	0	21	767	0	426	0	47	1363	0	0	0	0	0	0	34	467	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	78	2	13	0	0	31	88	0	0	0	0	0	0	0	0	0	13	0	39	341	24	2	0	0
PAUL.case13_before	0	2	0	8	33	0	15	0	0	12	1871	25	8	0	0	0	744	0	0	441	0	0	713	0	534	437	515	0	0	0	0	2	1374	0	24	10	2	67	0	0	0	2	7	38	5	0	3	825	1	0	0	0	0	266	175	88	0	6	95	33	0	79	0	0	0	0	0	317	0	106	103	0	11	0	5	0	0	0	0	6	1	0	0	0	0	80	0	13	0	0	0	0	0	0	0	0	615	180	0	0	51	1	1	2	0	11	9	26	0	0	0
PAUL.case14_before	198	8	422	121	61	0	32	0	0	0	141	0	52	715	5	0	0	0	0	0	0	0	0	0	671	382	1212	0	0	0	0	0	0	0	0	0	0	78	0	0	3	0	0	209	1	0	0	1026	3	0	0	0	95	0	42	0	0	4	35	397	0	0	0	0	0	0	0	160	0	32	0	0	0	0	37	0	0	0	0	0	0	0	0	59	212	146	0	0	0	45	0	0	0	28	0	0	0	0	0	607	1265	0	0	0	0	0	1317	10	168	0	0
PAUL.case15_before	3	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	455	0	0	62	26	232	692	305	0	0	0	0	0	0	0	3	0	0	75	0	0	0	1	579	370	0	0	86	2	0	0	0	0	0	0	0	693	0	1	0	479	0	0	0	0	0	0	0	0	0	149	0	0	69	0	38	0	0	5	0	0	0	0	0	0	0	27	23	0	124	0	0	0	0	0	0	0	0	4970	0	0	63	50	0	0	7	7	4	383	0	10	0
PAUL.case3_before	4	0	7	38	25	328	0	87	238	12	355	0	36	129	31	6	38	0	0	46	0	32	9	207	78	671	258	0	7	0	0	39	0	0	16	168	10	69	14	1	7	2	17	4	0	38	7	0	0	8	63	0	0	182	165	94	0	0	3	20	98	198	23	296	52	1406	3	151	0	21	208	0	75	0	1	8	50	0	16	0	6	4	6	5	0	0	53	0	0	1095	276	28	154	225	0	148	1042	93	0	14	60	0	2	0	0	19	177	399	3	0	9
PAUL.case4_before	3	4	0	0	0	0	0	0	0	12	14	0	0	0	0	3	0	2	0	31	0	0	10	0	15	30	246	8	106	0	0	168	0	0	0	46	0	14	1	0	0	0	0	0	0	9	0	482	1	107	71	120	0	186	187	0	0	0	0	53	254	31	29	402	299	101	41	891	1	0	8	15	0	126	0	9	0	10	254	0	3	0	79	195	29	85	18	0	0	3448	18	104	0	425	0	16	47	0	0	230	0	0	345	44	8	134	245	0	26	101	0
PAUL.case5_before	3	1	0	13	25	1	3	0	15	0	285	0	30	11	2	6	0	0	0	302	8	0	0	0	3	113	123	13	39	0	0	87	430	501	0	84	0	13	0	0	0	0	0	0	0	0	0	619	2	0	4	156	0	56	112	33	0	3	0	1069	37	88	0	0	1	278	19	440	0	1	85	125	6	0	0	456	0	58	0	39	1780	0	2	19	21	206	0	0	0	0	479	2	200	0	0	25	531	0	0	13	3	0	3	8	0	383	419	0	0	103	0
PAUL.case6_before	3	1	0	0	0	0	0	0	60	1	0	1	0	8	0	0	0	119	0	0	0	0	24	7	11	0	123	0	0	0	0	0	0	0	0	0	30	0	0	0	362	10	2	1290	3	0	18	0	0	0	1	0	0	0	0	627	2	4963	0	0	0	0	0	0	0	0	0	0	0	112	0	0	67	0	181	0	0	0	0	0	0	1	1	0	0	0	50	0	0	0	0	0	6	0	0	0	0	1325	0	0	4	453	0	0	6	0	0	125	0	0	2
PAUL.case7_before	0	0	0	0	0	0	335	0	0	0	0	0	0	289	36	0	69	0	0	0	0	0	157	18	52	383	180	0	75	0	0	0	0	0	0	0	0	0	0	0	126	0	0	73	122	0	0	0	0	0	0	0	0	0	0	442	21	6571	12	79	0	0	0	0	0	0	0	0	0	0	0	0	49	0	124	0	0	6	0	0	0	0	0	0	0	465	77	0	2	0	0	0	0	0	0	0	0	44	0	0	0	166	0	0	0	0	0	28	0	0	0
PAUL.case8_before	0	0	0	19	26	409	71	19	248	25	0	0	6	0	0	0	537	0	0	477	0	0	295	0	757	32	1	0	328	0	0	68	116	1	5	0	0	0	0	140	0	0	0	416	0	14	2	2	0	0	1	0	0	0	0	2	858	0	29	280	16	0	0	0	0	0	0	35	0	0	0	0	4	0	0	2	15	1107	0	0	84	4	16	0	0	31	1	0	10	0	0	0	0	0	0	5	0	0	0	6	1536	0	0	0	0	0	0	0	0	1941	0
PAUL.case1_after	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2882	2806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	67	566	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	0	0	0	0	0	0	2416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUL.case11_after	0	0	0	0	0	0	41	125	269	59	777	0	0	212	3	0	453	16	0	0	0	0	48	154	33	491	321	0	199	406	0	0	496	0	6	127	0	2	0	0	0	0	0	23	10	8	0	1271	10	0	0	82	0	10	719	52	0	0	0	15	0	247	14	0	398	81	0	181	1	39	358	0	5	15	44	44	3	0	0	0	0	4	70	40	369	438	411	0	0	5	61	8	0	0	0	0	0	0	0	30	694	0	0	0	0	0	0	0	0	0	3
PAUL.case12_after	2	10	1	0	0	0	0	0	10	0	31	0	0	0	0	0	3	0	7	0	0	0	24	49	0	50	46	4	61	447	0	32	153	3	9	191	0	371	0	0	3	0	2	0	8	0	0	2090	17	0	49	762	0	378	1025	0	0	0	0	13	0	289	72	46	0	426	6	442	0	17	176	195	0	46	0	0	0	0	0	126	1	0	0	13	0	10	61	4	0	228	19	5	628	54	0	122	0	34	13	113	29	0	91	3	0	6	867	0	1	0	3
PAUL.case13_after	3	15	0	0	22	0	10	8	24	1	28	2	0	0	0	0	52	1	6	94	0	0	5	0	33	197	149	0	2	83	0	2	1430	0	5	141	0	520	0	0	3	2	3	3	44	0	0	1983	16	0	0	11	0	250	95	3	0	0	0	569	0	425	129	81	0	160	0	500	0	13	278	25	0	135	0	0	0	0	0	62	8	0	5	0	0	64	1	25	0	2	0	0	0	0	0	0	0	53	199	0	4	0	16	4	2	148	18	1791	17	18	1
PAUL.case14_after	3	0	4	29	323	0	1	0	1	0	76	0	17	214	0	0	1	9	20	0	0	0	0	0	106	53	46	0	0	0	0	0	20	0	4	3	0	34	0	0	0	0	7	36	0	0	0	185	1	0	60	265	42	62	19	0	0	0	2670	0	0	42	0	0	110	996	0	693	0	63	0	36	0	116	0	0	0	0	0	0	0	2	18	18	39	34	13	0	0	1466	0	13	0	218	0	0	647	0	0	1108	3	0	0	0	31	1	17	2	1	1	0
PAUL.case15_after	0	0	0	0	22	0	2	0	54	3	110	0	0	121	0	0	6	6	6	20	10	0	16	3	0	141	18	0	51	426	0	0	45	14	0	27	0	5	0	0	0	0	0	0	0	0	0	579	1	0	16	75	0	40	120	0	0	0	0	56	0	72	20	133	32	615	138	992	0	0	57	29	0	33	0	13	0	0	0	0	0	0	20	19	71	30	227	0	0	3147	1104	67	0	193	0	844	0	0	53	34	4	0	0	0	0	7	47	0	0	0	1
