,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Collinsella_aerofaciens,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_eggerthii,Bacteroides_faecis,Bacteroides_finegoldii,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Odoribacter_splanchnicus,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Prevotella_copri,Alistipes_finegoldii,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Streptococcus_parasanguinis,Streptococcus_salivarius,Clostridiaceae_bacterium_JC118,Clostridium_asparagiforme,Clostridium_bolteae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Clostridiales_bacterium_1_7_47FAA,Flavonifractor_plautii,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Anaerostipes_hadrus,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Coprococcus_catus,Coprococcus_comes,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Oscillibacter_unclassified,Clostridium_bartlettii,Peptostreptococcaceae_noname_unclassified,Anaerotruncus_unclassified,Faecalibacterium_prausnitzii,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_lactaris,Subdoligranulum_unclassified,Coprobacillus_unclassified,Holdemania_filiformis,Dialister_invisus,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified,Burkholderiales_bacterium_1_1_47,Parasutterella_excrementihominis,Bilophila_unclassified,Bilophila_wadsworthia,Escherichia_coli,Escherichia_unclassified,Haemophilus_parainfluenzae,Akkermansia_muciniphila,C2likevirus_unclassified
CSM5FZ4M,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,0.5873529356676546,-2.900715907687159,8.938604639776198,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,9.31777404625213,-2.900715907687159,7.058561897556087,9.852536635551624,0.7732209573071209,6.474953336553139,-2.900715907687159,-2.900715907687159,5.023431872006586,-2.900715907687159,8.17037843840975,-2.900715907687159,1.3888261995219402,5.490222960165168,8.139477857514237,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,-0.2887787404078903,0.7918918790672844,1.537261167104198,-2.900715907687159,3.8661054687903755,-2.900715907687159,2.4388279217741378,-2.900715907687159,-2.900715907687159,4.522461764462319,-2.900715907687159,-2.900715907687159,5.101474736318581,-2.900715907687159,-2.900715907687159,3.819215582269729,4.548850787876704,4.074719476605011,-2.900715907687159,4.377691798095303,4.1835006101742795,5.188197746459678,-2.900715907687159,-2.900715907687159,1.7955389412713796,-2.900715907687159,-2.900715907687159,-2.900715907687159,3.978520743576916,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,5.490680274398049,-2.900715907687159,-2.900715907687159,-2.900715907687159,8.605457705042333,-2.900715907687159,6.027974573078733,-2.900715907687159,6.817236218470618,-2.900715907687159,3.0524269098127235,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159,3.3304560732511677,0.9836704800208924,4.08065102899869,-2.900715907687159,-2.900715907687159,-2.900715907687159,-2.900715907687159
CSM5MCUO,0.9653305733031559,-4.765946557654736,0.9843511279933086,0.8537124217771925,5.48217536156189,1.3142103035138453,3.9909402176096407,-4.765946557654736,3.188454236886744,-4.765946557654736,4.064045411910312,-4.765946557654736,5.773088779105878,6.660542249600917,1.763192379584404,6.4491890939392,7.364809860371678,2.1345014945870737,5.206098504755016,3.3468249899195985,-4.765946557654736,3.1920668299102806,-4.765946557654736,-4.765946557654736,-4.765946557654736,3.4808692316033243,6.088242091667823,2.979058138237992,-4.765946557654736,-4.765946557654736,1.2502422583929356,-4.765946557654736,-0.41799586723506366,-4.765946557654736,-1.6625686308598286,-4.765946557654736,-4.765946557654736,-4.765946557654736,-0.3776913381671996,6.545307879601847,0.4761085925644455,0.6099937615446915,5.865270221233536,-4.765946557654736,-4.765946557654736,4.214304219370051,-4.765946557654736,2.431032957626912,2.998938836447498,-0.9007424400232775,2.5271779714325984,4.775013036635833,4.3373930331242,-4.765946557654736,0.113813246147771,-4.765946557654736,2.7432688101554543,-4.765946557654736,2.2897069839590003,0.13524641492939793,2.5184129640163055,-0.151859611287799,6.438728196496177,4.25790760243731,-4.765946557654736,-4.765946557654736,-4.765946557654736,2.8971351321897902,-4.765946557654736,7.313559474813831,0.8006413326757151,-4.765946557654736,1.7005854430177756,5.70255941314641,-4.765946557654736,2.669655872204298,-4.765946557654736,-4.765946557654736,-4.765946557654736,-1.6051694230998486,-0.9053494744190012,2.2054871279725656,4.394723561498523,2.3832691882796144,-0.5994329964548353,3.2050636187323747,-4.765946557654736,0.8147957356668947,-4.765946557654736,-4.765946557654736
CSM5MCWQ,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845,1.032400327331029,1.1962253518843422,7.734497131020835,-3.50866421750845,-3.50866421750845,-3.50866421750845,5.958194082621976,-3.50866421750845,8.33810216838047,1.2809379125886728,4.929946796775236,8.90720955306932,3.3499797710633326,-0.09744086480467473,-3.50866421750845,-3.50866421750845,2.7454535852556745,0.6237847069659885,-3.50866421750845,-3.50866421750845,2.515452482625234,6.317448052882488,8.27015620403716,-3.50866421750845,-3.50866421750845,-3.50866421750845,0.49565430844131164,-3.50866421750845,1.861328493498105,2.5584836978110124,-3.50866421750845,1.4265786757390337,1.6351150099093985,2.789869226667313,-3.50866421750845,-3.50866421750845,5.069633509481233,-3.50866421750845,-0.7224795980290768,6.511583345340037,-3.50866421750845,-3.50866421750845,4.386263723202122,6.768016405881531,5.012494961599539,-3.50866421750845,5.672463342383475,4.756397196772161,7.007947896732404,-3.50866421750845,-3.50866421750845,3.2592613680644993,-3.50866421750845,2.715983023746964,-3.50866421750845,4.077320829036971,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845,1.6123228373045695,-3.50866421750845,-3.50866421750845,-3.50866421750845,1.9526998667020123,8.335716103433988,1.0396396995051926,7.032920618677202,-3.50866421750845,7.631161909174402,0.9411753466615043,2.810745064945725,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845,3.6281086567814347,1.538465441734827,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845,-3.50866421750845
CSM5MCX3,0.7390883260267938,-4.906831609047657,-4.906831609047657,2.507621181295807,5.296141480681846,2.5378226077920765,3.5032282611179877,-4.906831609047657,3.5986396349425416,-4.906831609047657,4.15785702606059,-4.906831609047657,5.622440425748179,6.356868190298448,2.233085655364717,5.947926878848769,7.295363437504301,2.340092253938944,5.622039181587834,4.331863802799943,-2.5713837294249995,4.123452256893461,-4.906831609047657,-4.906831609047657,-4.906831609047657,3.6878765286742707,5.5030655838976585,3.3445652484318176,0.34494027403424,-4.906831609047657,1.694630135775169,-4.906831609047657,-4.906831609047657,-4.906831609047657,-4.906831609047657,-4.906831609047657,-4.906831609047657,-4.906831609047657,0.0261225227163564,4.558748418456615,1.942550995754325,0.9225212960979015,6.507118894845795,-4.906831609047657,-4.906831609047657,3.7269999427819975,-4.906831609047657,2.7334791377569685,4.408720025901101,-0.23288486488251614,2.9357461027956004,3.984669026148894,2.3230878916094477,-4.906831609047657,-4.906831609047657,-4.906831609047657,3.1534382911951493,-4.906831609047657,2.119478534025302,0.117129161406206,-4.906831609047657,1.7508321235342388,6.263674937163103,5.187650885202489,-4.906831609047657,2.8742948579056113,-4.906831609047657,2.120563614357547,-4.906831609047657,7.0958644646638005,0.7335786686394599,-4.906831609047657,2.800211865982429,5.3490237193238475,0.9684917371782724,2.7929908936146424,-4.906831609047657,-2.283699702658774,-4.906831609047657,0.1373903572051436,0.045940860144904505,0.4270405369221084,2.3716479883809978,1.4118166595533541,-4.906831609047657,5.676384866307176,-4.906831609047657,3.66442535530056,-4.906831609047657,-4.906831609047657
CSM5MCXH,-3.74274730129585,-3.74274730129585,-0.8069456700697835,-0.8744798907479208,7.089535588535305,6.701266183318163,5.08383171410098,-3.74274730129585,3.9451021721958908,5.077916122528547,-3.74274730129585,-3.74274730129585,7.491649763760497,8.140172647374394,1.3614217978391778,8.57735376640929,8.587631406423771,0.9967365478602694,-3.74274730129585,-3.74274730129585,5.8232084173502106,6.635134393629686,-3.74274730129585,-3.74274730129585,5.826757819428121,-3.74274730129585,-3.74274730129585,-3.74274730129585,-3.74274730129585,-3.74274730129585,-3.74274730129585,1.6127009267511259,5.017990096845254,1.4642425987589753,0.5898163099495175,3.893865149172627,-3.74274730129585,1.2620426968347687,3.5561508846682637,3.8155550326630516,-3.74274730129585,-3.74274730129585,6.180287505738047,-3.74274730129585,-3.74274730129585,-3.74274730129585,2.88526775300054,-3.74274730129585,3.599031783875498,-3.74274730129585,-3.74274730129585,1.2025668876386604,-3.74274730129585,-0.1864554761755528,-3.74274730129585,0.30694935048256333,-3.74274730129585,-3.74274730129585,-3.74274730129585,3.497330363668236,2.9992051561550213,-3.74274730129585,-3.74274730129585,4.116259100704274,-3.74274730129585,6.634984481625466,-3.74274730129585,-3.74274730129585,-3.74274730129585,7.1752620115531425,-3.74274730129585,3.7259182465225402,2.0990731626129806,6.386995870550606,-3.74274730129585,-3.74274730129585,-3.74274730129585,-3.74274730129585,-3.74274730129585,-3.74274730129585,-3.74274730129585,3.2636682079575507,-3.74274730129585,4.548809779669201,2.4427684833888383,0.4967594100204362,1.2156128649123499,-3.74274730129585,5.058954299677129,-0.09427716084505988
CSM5MCXJ,-3.89165447940079,-3.89165447940079,-3.89165447940079,0.28222042733978014,7.734684794860651,4.149148592410564,3.260451198542123,-3.89165447940079,4.493700889737922,6.281551934595826,-3.89165447940079,-3.89165447940079,7.206962684419358,8.1094703293636,2.0631718472076477,8.269689207753503,8.21498054466095,0.6111505902532883,-3.89165447940079,-3.89165447940079,5.2510394073147655,6.245076639897811,-3.89165447940079,-3.89165447940079,5.154303980349062,-3.89165447940079,-3.89165447940079,-3.89165447940079,-3.89165447940079,-3.89165447940079,-3.89165447940079,0.8234991849770488,5.755422847041444,2.770796834283824,2.275448874694521,2.4211677336542383,-0.3684084843428561,-0.9201122013881058,3.267402868311885,2.7630054776550894,-1.185779080319124,-3.89165447940079,7.23236795223132,-3.89165447940079,-3.89165447940079,0.9300485934271485,1.362087526952605,-1.6295667503042708,2.741926772529652,-3.89165447940079,-3.89165447940079,-3.89165447940079,3.1560140344753114,-3.89165447940079,1.4778766720293302,-3.89165447940079,-3.89165447940079,-3.89165447940079,0.17545335419260333,3.415655858095424,2.5922679060779954,-3.89165447940079,-3.89165447940079,3.8337811470697165,-3.89165447940079,6.0518173042749455,-3.89165447940079,-3.89165447940079,-3.89165447940079,6.131964777806312,-3.89165447940079,2.680143827338883,2.9476950962558854,6.1387630865957465,1.860158303137002,-3.89165447940079,-3.89165447940079,-3.89165447940079,-3.89165447940079,-3.89165447940079,-3.89165447940079,3.7035944642419496,-1.9071811514966015,4.7818685373253915,2.8862361510674015,-3.89165447940079,-3.89165447940079,-3.89165447940079,6.62555059200509,1.3309169562288652
CSM5MCXL,-4.199269102791847,-4.199269102791847,2.250542639219905,1.6927580617761988,6.877200941176156,5.036527410662329,4.8615865479221965,-4.199269102791847,3.731955372317638,6.0677081008608935,-4.199269102791847,-4.199269102791847,6.810498509530729,8.069485748885645,1.3470589676713836,7.170019559671502,8.131460855776597,0.9864569348593637,-4.199269102791847,-4.199269102791847,5.1625768078055465,6.019045633748527,-4.199269102791847,-4.199269102791847,5.178512945378479,-4.199269102791847,-4.199269102791847,-4.199269102791847,-4.199269102791847,-4.199269102791847,0.544168724333268,0.35644272859036086,4.487681473469268,1.1767877634353603,0.08926001423211893,1.8264389335877258,-0.5792289948294229,-0.20605229510723966,3.8634350179489694,2.9497582393529234,-0.4129213302244512,-4.199269102791847,6.721232214016295,-4.199269102791847,-4.199269102791847,-1.6361262188938017,0.8576416776692408,0.1907114796477707,3.209184065009069,-4.199269102791847,-4.199269102791847,-0.31566496554580503,1.2098560313041613,-4.199269102791847,1.513358883007843,-4.199269102791847,-4.199269102791847,-4.199269102791847,-4.199269102791847,3.3690461627687025,4.134033458566514,-4.199269102791847,-4.199269102791847,5.16068360613288,-4.199269102791847,5.648599573537241,-4.199269102791847,-4.199269102791847,1.1000452488670973,6.295491144761609,-1.4237195196876442,3.3542372084234726,2.233899435213324,6.3208942549372,-4.199269102791847,-0.8517033516039039,-4.199269102791847,-4.199269102791847,-4.199269102791847,-4.199269102791847,-4.199269102791847,4.000982710090444,-0.7015563382311107,4.155937063731313,2.3335711745753036,-4.199269102791847,-4.199269102791847,-4.199269102791847,6.714847764766278,2.487577830974196
CSM5MCXN,2.6263589811483428,3.1273088958252595,2.4032113201021916,3.642902203466842,5.417287551742396,-4.192051818751603,-0.6780441237398627,-4.192051818751603,-4.192051818751603,-4.192051818751603,-1.315775669417377,-4.192051818751603,4.659518065692377,6.781653323257068,4.472964455788268,7.737988622441895,6.388697307356489,-1.4437245573092117,-4.192051818751603,4.0216155494990105,4.81573652926667,5.243802457549423,-4.192051818751603,-4.192051818751603,-4.192051818751603,4.0091077254542355,6.500090959780406,-4.192051818751603,-2.3549723068577357,-4.192051818751603,-0.2514961039057635,2.10323826454482,-4.192051818751603,-4.192051818751603,-4.192051818751603,3.446700355411566,-4.192051818751603,-4.192051818751603,3.066086587493973,3.8150661825134247,-4.192051818751603,-4.192051818751603,7.767324668668026,2.52050322915587,-4.192051818751603,0.5615671429009144,-4.192051818751603,3.91761032108848,3.4132601533620326,-1.5755378804658804,2.869765615441845,1.7401099310469377,3.757808030664684,-4.192051818751603,-4.192051818751603,-4.192051818751603,3.189748332408942,-4.192051818751603,2.471705982092871,3.4339631163277753,2.440787966016601,-4.192051818751603,-4.192051818751603,4.632521779528536,4.717867423616421,4.7903342147964585,-0.3774877377452235,0.9103750661910439,0.9591695844233872,8.504210635551559,3.304304836490463,4.882874176025296,-4.192051818751603,7.355647127770965,-4.192051818751603,1.8012119534503128,-4.192051818751603,-4.192051818751603,-4.192051818751603,-4.192051818751603,-1.1525580107943352,-4.192051818751603,-4.192051818751603,1.2375704238748249,-4.192051818751603,-0.44458789589010195,-4.192051818751603,3.432576349457185,-4.192051818751603,-4.192051818751603
CSM5MCXP,-4.30986044402049,-4.30986044402049,1.147968219786046,1.229665980088381,6.799005363931904,3.8448985574832637,4.904112033331142,-4.30986044402049,3.626294411127801,5.366715028865322,-4.30986044402049,-4.30986044402049,6.785692048789176,7.375037470086365,1.2280798834217723,7.327800607367465,7.972233555404091,0.9803210284893566,-4.30986044402049,-4.30986044402049,4.484023959937821,6.191307631742246,-4.30986044402049,-4.30986044402049,4.972064658565833,-4.30986044402049,-4.30986044402049,-4.30986044402049,-4.30986044402049,-4.30986044402049,-4.30986044402049,1.0945436671533617,4.689448946518262,1.795840424461237,1.5178516160465412,4.186241194146279,0.8910384043283646,0.5124245461688393,3.1090870057547653,3.6385887306117617,-1.5545900968526158,-4.30986044402049,7.071151743123661,-4.30986044402049,-4.30986044402049,0.7794147320734339,-0.26192892402361423,-0.6201785969292342,3.3170297531838138,-4.30986044402049,-4.30986044402049,-0.30327087085379745,1.1284313873001928,-4.30986044402049,1.5255441553187659,-4.30986044402049,-4.30986044402049,-0.8838677650318534,0.6705200601504657,2.457001446272516,4.041355658283556,-4.30986044402049,-4.30986044402049,5.7774686981349745,-4.30986044402049,5.838255245637867,-4.30986044402049,-4.30986044402049,-4.30986044402049,6.56100862975137,-1.028273776484527,2.629366495319837,2.7534722372393503,5.676968382054765,-0.2375762910604653,0.14593102427848414,-4.30986044402049,-4.30986044402049,-4.30986044402049,-4.30986044402049,-1.224395356961832,4.474479793184835,0.17819504973761013,4.866773948055899,3.118479620966653,-4.30986044402049,-4.30986044402049,-4.30986044402049,6.897785073280381,-4.30986044402049
CSM5MCXR,-4.337522905959165,-4.337522905959165,4.265467989145814,3.377426621435699,6.737256235129326,1.793271332880968,4.756669167400186,-4.337522905959165,3.5383483100684865,5.036809630209655,-4.337522905959165,-4.337522905959165,6.825883470652656,7.602511059872525,0.6058121222454762,7.484470029552415,8.007889942430035,0.5414105262160511,-4.337522905959165,-4.337522905959165,3.8455597470233105,6.087134111954039,-4.337522905959165,-4.337522905959165,4.458436725486232,-4.337522905959165,-4.337522905959165,-4.337522905959165,-4.337522905959165,-4.337522905959165,-4.337522905959165,-4.337522905959165,5.47010364868662,2.8241935594971066,0.7031751509447659,3.4608288032962164,-4.337522905959165,0.705803563227942,3.4422066302674574,1.1822261964843737,1.2680879568157692,-4.337522905959165,7.303299141878444,-4.337522905959165,-4.337522905959165,2.3701022588563507,1.2844098101210228,0.9077462994699061,2.9625670011182104,-4.337522905959165,-4.337522905959165,0.12068143181827828,3.6911525419135387,-4.337522905959165,-4.337522905959165,-4.337522905959165,-4.337522905959165,0.14512023037576505,1.0945415137548764,2.949288643589382,4.263823769198207,-4.337522905959165,-4.337522905959165,-4.337522905959165,-0.27783819087257733,5.569943298653834,-4.337522905959165,-4.337522905959165,1.8218364047808313,4.707981712423555,-4.337522905959165,-4.337522905959165,2.0778056641347726,5.689326303912468,0.743790992374656,0.8446664394498384,-4.337522905959165,-4.337522905959165,-4.337522905959165,-0.6271455742069545,-1.300989187020015,5.129626785862151,0.6079855130425926,5.561673233167419,3.549679187453668,4.226114965617434,-4.337522905959165,-0.37933911037905155,5.767036815036423,-4.337522905959165
