	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Dialister_invisus	Escherichia_coli	Eubacterium_eligens	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Prevotella_copri	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_torques	Subdoligranulum_unclassified
CSM5FZ4M	0	48	674	0	0	1499	0	0	0	0	2190	0	229	3739	0	0	0	0	12	0	0	32	1074	24	30	0	348	0	0	0	12	90
CSM5MCUO	0	42	565	308	5	69	0	0	75	0	412	1001	7	811	2025	234	3	0	32	892	452	0	1924	0	0	31	0	0	802	91	26	192
CSM5MCWQ	0	222	1567	1	1	917	0	0	155	0	1678	1	56	2964	11	0	0	0	0	0	0	270	1674	0	6	1	0	0	0	0	60	414
CSM5MCX3	0	59	360	293	19	49	0	0	94	0	406	845	14	562	2161	405	3	0	428	140	982	0	1770	13	0	91	0	0	770	263	120	154
CSM5MCXH	71	0	0	543	368	73	0	73	0	0	811	1551	2	2402	2427	0	0	0	1	21	219	0	591	172	153	344	0	0	0	28	17	134
CSM5MCXJ	397	0	0	1202	33	14	0	281	0	0	709	1749	4	2053	1943	0	0	0	0	8	727	0	242	112	100	271	0	0	0	24	8	122
CSM5MCXL	593	0	0	697	111	93	0	310	0	0	652	2297	3	934	2444	0	0	0	0	14	597	0	390	102	126	296	0	0	0	125	18	200
CSM5MCXN	0	41	490	166	0	0	0	0	0	0	78	650	65	1691	439	0	10	0	0	33	1741	9	3638	44	91	140	0	0	0	76	22	577
CSM5MCXP	801	0	0	726	38	109	0	173	0	0	716	1291	3	1232	2347	0	0	0	0	31	953	0	572	139	72	395	0	0	0	261	22	118
CSM5MCXR	275	0	0	727	5	100	0	133	0	0	794	1726	2	1534	2589	0	0	0	59	3	1280	0	96	113	40	379	0	0	0	0	17	127
CSM5MCY4	95	185	944	0	186	0	0	0	45	0	0	1809	231	2062	0	0	0	0	211	27	60	8	1148	0	84	1601	0	0	31	4	187	1081
CSM5MCY8	3	185	815	0	95	0	0	0	21	0	0	1952	288	2393	1	0	0	0	376	50	209	6	570	37	97	1781	0	0	161	88	114	758
CSM67U9H	205	0	0	101	0	139	0	0	0	0	103	32	0	66	63	0	0	0	22	56	2339	0	258	40	39	0	3	6459	38	2	17	16
CSM67U9N	0	0	0	1548	0	929	0	0	0	0	773	345	0	1565	330	0	0	0	226	30	1545	132	466	170	336	0	56	1461	0	0	26	63
CSM67UAK	0	0	0	695	296	3479	0	0	0	0	2016	0	178	2074	1	0	0	69	144	0	0	0	3	29	351	0	152	0	54	72	217	170
CSM67UAM	0	0	0	916	160	3882	0	0	0	0	2216	0	188	803	0	0	0	216	2	0	0	0	0	25	619	0	468	0	44	0	411	49
CSM67UAO	0	15	5	907	433	1084	0	0	0	0	2280	19	272	3610	8	3	0	82	11	0	0	1	10	0	552	1	347	0	135	50	87	88
CSM67UAQ	0	0	0	448	661	1608	0	0	0	0	3201	0	92	2853	1	0	0	118	0	0	0	0	0	24	541	0	247	0	87	9	81	28
CSM67UAS	176	0	0	1169	406	1385	0	0	0	0	1413	0	264	4174	0	0	0	20	22	0	0	0	0	50	281	0	206	0	47	0	232	155
CSM67UBX	0	73	1023	286	0	1099	0	0	111	0	2101	0	126	3954	0	0	0	0	2	0	0	76	930	0	8	0	0	0	58	0	52	101
CSM67UBZ	0	72	1056	1040	0	1370	0	0	0	0	1310	0	185	2807	0	0	0	0	0	0	0	21	1790	20	18	0	192	0	0	0	9	111
CSM67UC6	0	28	1291	528	0	2172	0	0	20	0	441	0	65	2907	0	0	0	0	0	0	0	48	1813	51	425	0	0	0	0	0	43	169
CSM67UDF	175	0	0	895	111	114	0	258	0	0	744	1495	2	1304	2706	0	0	0	0	3	446	0	510	76	408	589	0	0	0	26	7	131
CSM67UDJ	227	0	0	820	28	99	0	240	0	0	739	1979	3	1558	2595	0	0	0	2	0	744	0	273	113	101	293	0	0	0	50	22	111
CSM67UDN	17	0	0	556	6	103	0	408	0	0	555	2569	3	776	2763	0	0	0	39	14	1113	0	302	93	184	356	0	0	0	47	15	81
CSM67UDR	0	0	0	295	0	61	0	310	0	0	185	1479	0	365	2446	0	0	0	0	14	781	0	2932	113	110	105	0	0	0	388	125	290
CSM67UDR_TR	0	0	0	176	0	140	0	443	0	0	173	1152	0	344	3040	0	0	0	0	20	932	0	1957	20	132	157	0	0	0	865	150	297
