,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Anaerostipes_hadrus,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_faecis,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Bilophila_unclassified,Bilophila_wadsworthia,Burkholderiales_bacterium_1_1_47,C2likevirus_unclassified,Clostridiales_bacterium_1_7_47FAA,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Collinsella_aerofaciens,Coprococcus_catus,Coprococcus_comes,Dialister_invisus,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Escherichia_coli,Escherichia_unclassified,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Faecalibacterium_prausnitzii,Flavonifractor_plautii,Haemophilus_parainfluenzae,Holdemania_filiformis,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Odoribacter_splanchnicus,Oscillibacter_unclassified,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Parasutterella_excrementihominis,Peptostreptococcaceae_noname_unclassified,Prevotella_copri,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Streptococcus_parasanguinis,Streptococcus_salivarius,Subdoligranulum_unclassified,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
CSM5FZ4M,0.0,7.193306532784875e-05,0.004405953299314,0.0623287279549822,0.0,0.0,3.172269400151442e-05,0.0,0.1385952830369843,0.0,0.0,0.0,0.2024979446558878,0.0,0.021146517574956,0.3456733905692781,3.84067398948101e-05,0.011796810521834,0.0,0.0,0.0,0.0,0.0005073509120911,4.763708898555176e-05,0.0,0.0,0.0002074176146252,1.262542002066962e-05,0.0,3.914941166073185e-05,8.360362164947614e-05,0.0,0.0008675467185631,0.0,0.0,0.0,0.0014476794637145,0.0,0.0011919881843043,0.0032571461733996,0.0,0.0010753887170546,0.0,0.0,0.0016733455845882,0.0,0.0,0.0029864953627044,0.0,0.0993260890300059,0.0,0.0,0.0003839613029815,0.0,0.0001085361737911,0.0,0.0,0.0,0.0009708841899928,0.0,0.0,0.0044079691226786,0.002762208489396,0.0,0.0642848192904535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075443780861327,0.000827760731103,0.0017181180824766,0.001069022959061,0.0,0.0,0.016612188156104,0.0,0.0,0.0,0.0
CSM5MCUO,0.0,0.0,0.0038144572381316,0.0517494625536555,0.0023090043713947,0.007943624194927,0.0282284748695517,0.0004360977530055,0.0063532983936097,0.0028470812318418,0.0068352319174868,0.0,0.037760122111757,0.0917183644086335,0.0006838082946297,0.0742447377958147,0.1854890309407901,0.0009917194061306,0.0214182442816311,0.0003073628367298,0.0,0.0003132842042586,0.0012721071241178,6.349021850394454e-05,0.0010647496056533,0.0,0.0,0.0,0.0,7.631984814981935e-05,0.0,2.127306112221976e-05,0.0,0.0,0.000274795315321,4.671301050549288e-05,0.001469157076884,0.0,0.0139172971369639,0.0089842497106479,0.0,0.0028947811369354,0.0,0.0817353773747836,0.0001880582465185,0.0002151430202154,0.0414064783050414,0.0,0.0,0.1762220907581159,7.949984182272849e-05,0.0002642684397141,0.0016942786979351,0.0001305990504977,0.0,0.0018237811988905,0.0,0.0011583949365728,0.0001334500793079,0.0014563274472381,0.0033358133628816,0.0,0.0,0.0028573887975402,0.0,0.0095144314143899,0.0021273061122219,0.0,9.989566331104227e-05,0.073472108988252,0.0082977000421623,0.0,0.00026054017127,0.0,0.0,0.0013343911381252,0.0023553884170375,0.0,0.0,0.0351886037799159,0.0,0.0,2.2588920573078715e-05,4.649370059701639e-05
CSM5MCWQ,0.0,0.0004122764337338,0.01850984897735,0.1304588012046194,0.0,0.0,9.279059128390832e-05,0.0001094860832285,0.0763549584248178,0.0,0.0129232193633179,0.0,0.139631100044385,0.0001192535138899,0.0046211304506238,0.2466855473372848,0.0009510751669662,2.9302291984392097e-05,0.0,0.0,0.0,0.0,0.0012563641625245,0.0001545752689564,0.0,0.0,0.000542773850362,0.0,0.0,0.000213861301576,0.0004304483977552,0.0,0.000138106926562,0.0001703621626999,0.0,0.0,0.0097110975729979,0.0,0.0038847116086594,0.0369228186715113,0.0,0.0,0.0,0.0,0.0053140501537121,0.0,1.5219019867862565e-05,0.02247599369978,0.0,0.1392983259532444,0.0,0.0,0.0005542449026505,0.0,0.0008685063054443,0.0,0.0005040448520415,0.0,0.0019693866008114,0.0,0.0,0.0,0.0005191502971343,6.133037857198346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001665006203454,9.347203993470812e-05,0.0378565168978821,0.0026826361886486,0.0290462944412416,0.0050188693131406,0.0,0.0,0.0688586825416944,0.0,0.0,0.0,0.0
CSM5MCX3,0.0,0.0,0.0054019919164581,0.0331854584253639,0.003831976205189,0.005617564885519,0.0269822906805916,0.0017096936608101,0.0044910294420449,0.00494073243472,0.0086435870986467,0.0,0.0373932427652766,0.0779394068832004,0.0012603240283965,0.0517789603671318,0.1992249818401997,0.0014027799801161,0.0373782415535121,0.0002821339012606,0.0,0.0,0.0005538225143297,0.0,0.0002062388817407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016588006608978,0.0001061196832233,0.0025457611964877,0.0,0.0072689205005782,0.0013791114015543,0.0,0.0394658546307018,0.0,0.0129067092419576,0.000942298338988,0.0003391385059659,0.0905755387129604,0.0,0.0,0.1631931823826213,0.0001377889080595,0.0052767595782459,0.0022069560507832,0.0,0.0,0.0031651445622329,0.0,0.0011248686421669,0.0001510121984298,0.0,0.01028660870717,0.0023939711574479,9.334087320164638e-06,0.0083512301493687,0.0,0.0014477836154098,0.0011260909631255,0.0,0.0007777294899265,0.0710040688842309,0.0242080665849341,0.0,0.0002805782200406,0.0,0.0,0.0020793901907409,0.011108452871693,0.0001899042289304,0.0,0.0284476312697703,1.2778810021653968e-05,0.0,0.0001541235608698,0.0001405669102381
CSM5MCXH,0.0066445424523311,0.0143203272421012,0.0,0.0,0.0,0.0,0.0506281557450654,0.0343371920521763,0.0068119399411023,0.0021806777578864,0.0,0.0,0.0756886771641532,0.144771662854692,0.0001637071583389,0.2241557959099658,0.226471478256163,0.000113375151611,0.0,0.0,0.0,1.783659708890334e-05,0.0039890421788366,0.0004846633967605,0.0011026912349731,3.741585021522827e-05,0.0001481257631808,0.0002107588713493,0.0,0.006377813569427,0.0001815437554278,7.513922796647213e-05,0.0020717105009582,0.0,1.660648694484104e-05,0.0,0.0,0.0,0.0001395149921723,0.0,3.403304731905695e-05,6.837362217412947e-05,0.0001413601573884,0.001915589021841,0.0,0.0,0.0203937910600515,0.0,0.0,0.0551598815157909,0.0014776698105548,0.0,0.0,0.0,5.638004826952205e-05,0.0,0.0,0.0,0.0013932022473292,0.0008462132699361,0.0,0.0321349873667688,0.0142695851986586,0.0321398052981664,0.0,0.0,0.0,0.0,0.0,0.0,0.0025879467247497,0.0,0.0,0.00175126680843,0.0007549801009182,0.0,0.0015424556114754,0.0,0.0,0.0250769228876753,0.0,0.0,0.0,0.0
CSM5MCXJ,0.03694471940681,0.0084831793881463,0.0,0.0,0.0,0.0001231763922373,0.1120085342920242,0.0031041058122658,0.00127579163858,0.0043814156479564,0.0,0.0,0.0660787195323143,0.1629369624317064,0.000384609934677,0.1912503264123787,0.1810682844575077,8.926999010135484e-05,0.0,0.0,0.0,0.0,0.0058450588756839,0.0008772142904857,0.0019877248702953,0.0001844103423635,1.8522004748920563e-05,0.00011062596279,0.0,0.0154754892137155,0.0007814666593793,0.0004758029744517,0.0005505994854323,3.289427072895728e-05,6.396670492523386e-05,0.0,0.0,0.0,0.0,0.0011491739995587,0.0,0.0,0.0,0.000775393870937,1.3967413417218784e-05,0.0,0.0677789990830089,0.0,0.0,0.0225519071592102,0.001284698394962,0.0,0.0,0.0002137621531678,0.0,0.0,0.0,5.7387850779442405e-05,0.0014901610705921,0.0006535332495288,0.0,0.0208148872384399,0.0093449080681042,0.0252527798189094,0.0,6.275214723678005e-06,0.0,0.0,0.0,0.0,0.0022642391707,0.0,0.0,0.0007136538551073,0.0001902807045244,8.603116959881135e-06,0.0007591997684243,0.0,0.0,0.0227057511330811,0.0,0.0,0.0,0.0
CSM5MCXL,0.0549455881354896,0.0118217633331869,0.0,0.0,0.0,1.1976537042661344e-05,0.0646313309689397,0.0102568291596125,0.0086105159522867,0.0027818322279603,0.0,0.0,0.0604608346254174,0.2129366868046507,0.0002552947297811,0.0866192293436212,0.226551040878787,0.000177703147915,0.0,0.0,0.0,0.0006315831927625,0.0042512611958869,0.0006863476997525,0.003640867260969,0.0008007901648268,5.322905352293931e-05,9.41744793098157e-05,0.0,0.0059240865664097,0.00021516821251,7.185922225596807e-05,0.0004129346190606,3.63390653858528e-05,0.0003611386554402,0.0,0.0,0.0,4.7599057477243806e-05,0.0002224360255872,0.0,0.0,0.0,0.0012718672885048,4.309506064068741e-05,0.0,0.0552975140701278,0.0,0.0,0.0361247160818585,0.003172861044225,0.0,2.7433435277207185e-05,0.0003016654244848,0.0,0.0,0.0,0.0,0.0019348760955588,0.0041591339878664,0.0,0.0189169914406658,0.0116348474644698,0.027399450573804,0.0,3.203979567823078e-05,0.0,0.0,0.0,0.0,0.0116128392981094,0.0,1.5047443976677076e-05,0.0019064190246369,0.0001561044358124,7.963885315547458e-05,0.0016488722964375,0.0,0.0,0.0370541772472205,0.0,0.0,0.0,0.0
CSM5MCXN,0.0,0.0,0.003644174598818,0.0440077069491654,0.0,0.0001150033374313,0.0149023212606558,0.0,3.258258721577022e-05,0.0,1.6748058849227686e-05,0.0,0.0069843465536758,0.0583192784976849,0.0057955388855415,0.1517566988175261,0.0393685961513163,1.4616487722962342e-05,0.0,0.0009135304826851,0.0015082388269131,0.0007306213793741,0.0002270630766407,0.0,0.0,0.0,0.0,0.0005410130525235,4.43569801037121e-05,0.0,0.0,0.0,0.0020761502769824,0.0,0.0025264193015592,1.2687923370627034e-05,0.0011655633925192,0.0,0.0003759685453184,0.0028341775708371,0.0,4.141338188172664e-05,0.0,0.0030012521457816,0.0,0.0,0.156274614571339,0.0008216699174818,0.0,0.3265242154600214,0.001418611336223,0.0020470188049234,0.0003997203378682,0.0,0.0,0.0016054790716256,0.0,0.0007824896101133,0.0020498608997585,0.0007586363141765,0.0036900541297262,0.0079606061295053,0.0081654399644007,0.0125286645564789,0.0,0.0,0.0001634204530136,0.0,0.0,0.0,0.0067982908453689,0.0074040630587761,0.0018004670779854,0.0087325393873742,0.0,0.0033254539637478,0.0020078384975549,5.278176122180846e-06,0.0,0.1035375148397951,0.0,0.0,0.0,1.9894663845143183e-05
CSM5MCXP,0.0736907047302679,0.0107410916524338,0.0,0.0,0.0,0.0001612722006464,0.0667594292799715,0.0034789005734189,0.0100353870946333,0.0027955865275281,0.0,0.0,0.0658765169319673,0.1187635112114941,0.0002531539860053,0.113283887283339,0.2157961228912323,0.0001973794225547,0.0,0.0,0.0,0.0002335875026248,0.0096675573787125,0.0016820115635899,0.0065301625409963,0.0,0.0001232486736647,0.0002213836650524,0.0,0.0080964897930531,0.0004474068055456,0.0003385808490119,0.0048946465899754,0.0001804352513798,0.0002535574186523,0.0,0.0,0.0,5.395911653898359e-05,0.0002290488853458,0.0,0.0,0.0,0.0028301808770101,1.4725291616245991e-05,0.0,0.0876406996571024,0.0,0.0,0.0526199218671992,0.0016662776903561,0.0,8.512428852131244e-05,0.0003412031612175,0.0,0.0,2.975315771775731e-05,0.000144529745795,0.0008675819074174,0.0042343282049647,0.0,0.0255419260318344,0.0065927954594462,0.0363569467168348,0.0,8.794831705045552e-05,0.0,0.0,0.0,0.0,0.0240355085278601,0.0,2.561797308579782e-05,0.0010309721294607,5.627885425935112e-05,3.903210859922738e-05,0.0020516567264224,0.0,0.0,0.0217372535959464,0.0,0.0,0.0,2.087763948330767e-05
CSM5MCXR,0.0244532601990715,0.0066064932931725,0.0,0.0,0.0,0.0008176242315384,0.0645221363191857,0.0004588012076713,0.0089024317684493,0.00263197908493,0.0,0.0,0.0705017063926539,0.1532808964879993,0.0001392371654405,0.1362144272689225,0.2299020203627998,0.0001304903456977,0.0,0.0,0.0,0.0054469294340146,0.0199133556309431,0.0026619827107919,0.012926985922197,0.0,0.0001539847103556,0.0,0.0,0.0181708060652075,0.0012881217679356,0.0001535778815304,0.0024355824695425,0.0,0.0022406097550432,0.0,0.0,0.0,8.533234609538408e-05,0.0030666756847056,0.0,0.0052367006385686,0.0,0.0002485724122254,0.0002709479976139,0.0,0.1136425469722019,0.0,0.0,0.0084793297901932,0.0023906278843528,5.136213918732892e-05,0.0001770722461883,0.0,0.0,0.0,8.746819742792648e-05,0.0002276207277252,0.0014599052393958,0.0054379791998592,0.0,0.0200787315484057,0.0035788731756905,0.0336789174691789,0.0,0.0001395422870594,0.0,0.0,0.0,0.0,0.0,5.695603553446375e-05,0.0,0.0,0.0002754231146916,0.0001886668677079,0.0014794330230076,0.0,0.0,0.0226248697512089,0.0,0.0,3.986922487412462e-05,1.983290523075077e-05
