,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Anaerostipes_hadrus,Anaerotruncus_unclassified,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_faecis,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Bilophila_unclassified,Bilophila_wadsworthia,Burkholderiales_bacterium_1_1_47,C2likevirus_unclassified,Clostridiales_bacterium_1_7_47FAA,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_citroniae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Collinsella_aerofaciens,Coprococcus_catus,Coprococcus_comes,Dialister_invisus,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Escherichia_coli,Escherichia_unclassified,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Faecalibacterium_prausnitzii,Flavonifractor_plautii,Haemophilus_parainfluenzae,Holdemania_filiformis,Holdemania_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Odoribacter_splanchnicus,Oscillibacter_unclassified,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Parasutterella_excrementihominis,Peptostreptococcaceae_noname_unclassified,Prevotella_copri,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Streptococcus_parasanguinis,Streptococcus_salivarius,Subdoligranulum_unclassified,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
CSM5FZ4M,-2.807144426794027,1.4823976804150725,5.5837944410583,8.233049338407369,-2.807144426794027,-2.807144426794027,-2.807144426794027,0.6809244165607868,-2.807144426794027,9.03217612066933,-2.807144426794027,-2.807144426794027,-2.807144426794027,9.411345527145262,-2.807144426794027,7.152133378449219,9.946108116444757,0.8667924382002532,6.568524817446272,-2.807144426794027,-2.807144426794027,-2.807144426794027,-2.807144426794027,3.4240275541443,1.0772419609140247,-2.807144426794027,-2.807144426794027,2.53239940266727,-0.19520725951475804,-2.807144426794027,0.8854633599604167,-2.807144426794027,1.6308326479973303,-2.807144426794027,3.959676949683508,-2.807144426794027,-2.807144426794027,-2.807144426794027,4.4712632789884355,-2.807144426794027,4.277072091067412,5.28176922735281,-2.807144426794027,4.174222509891822,-2.807144426794027,-2.807144426794027,4.616033245355451,-2.807144426794027,-2.807144426794027,5.195046217211712,-2.807144426794027,8.699029185935466,-2.807144426794027,-2.807144426794027,3.1459983907058557,-2.807144426794027,-2.807144426794027,1.8891104221645119,-2.807144426794027,-2.807144426794027,-2.807144426794027,4.0720922244700475,-2.807144426794027,-2.807144426794027,5.584251755291182,5.117003352899718,-2.807144426794027,8.263949919302883,-2.807144426794027,-2.807144426794027,-2.807144426794027,-2.807144426794027,-2.807144426794027,-2.807144426794027,-2.807144426794027,-2.807144426794027,6.121546053971866,3.9127870631628614,4.642422268769836,4.168290957498144,-2.807144426794027,-2.807144426794027,6.91080769936375,-2.807144426794027,-2.807144426794027,-2.807144426794027,-2.807144426794027
CSM5MCUO,-4.630946682760435,-4.630946682760435,3.615864392581515,6.223237251501322,3.1140533000215695,4.349299379705941,-4.630946682760435,5.617170521471305,1.449205474043664,4.125935378094069,3.323449398284688,4.199040572342429,-4.630946682760435,5.9080839389731326,6.795537409394711,1.8981875462121662,6.584184253745093,7.499805020139483,2.269496659079203,5.341093664717539,1.1003257483364983,-4.630946682760435,1.119346302738558,2.5182643517256658,-0.46443776359806144,2.34048229213922,-4.630946682760435,-4.630946682760435,-4.630946682760435,-4.630946682760435,-0.2830006465101107,-2.887827748969025,-4.630946682760435,-1.5275732594194427,-4.630946682760435,-4.630946682760435,0.9887075986161804,-0.7657471814574741,2.6621731343822352,-4.630946682760435,4.910008196716993,4.472388193391353,-4.630946682760435,3.340058780103048,-4.630946682760435,6.68030303940192,0.6111037772470969,0.7449889431020917,6.000265381089794,-4.630946682760435,-4.630946682760435,7.448554634582973,-0.24269611985124584,0.9497909131843425,2.8046510347280327,-4.630946682760435,0.24880844171992145,-4.630946682760435,2.8782639724818004,-4.630946682760435,2.4247021477683024,0.2702416097417739,2.6534081269941776,3.481820151075058,-4.630946682760435,-4.630946682760435,3.327061991302254,-4.630946682760435,4.529718721736437,3.0321302941476294,-4.630946682760435,-0.01686440481235607,6.573723356302738,4.392902762747878,-4.630946682760435,0.935636510446546,-4.630946682760435,-4.630946682760435,2.5660281209002207,3.133933998190896,-4.630946682760435,-4.630946682760435,5.837554573022789,-4.630946682760435,-4.630946682760435,-1.4701740634685976,-0.7703542153968641
CSM5MCWQ,-3.4443182379736736,2.5797054472401717,6.381700796911225,8.334408943743327,-3.4443182379736736,-3.4443182379736736,2.016953001775043,1.0966540605036705,1.260478934826864,7.798749871233449,-3.4443182379736736,6.0224468288281425,-3.4443182379736736,8.402354908039687,1.3451914269824243,4.994199555940237,8.971462292438737,3.414232607993335,-0.033185048661625416,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,3.6923614699318756,1.602718780081556,-3.4443182379736736,-3.4443182379736736,2.8541221371360592,-3.4443182379736736,-3.4443182379736736,1.9255816664665648,-3.4443182379736736,2.622736652923024,-3.4443182379736736,1.4908320850411432,1.6993682930399938,-3.4443182379736736,-3.4443182379736736,5.736716090975803,-3.4443182379736736,4.820649959760451,7.072200638249162,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,5.1338862660162174,-3.4443182379736736,-0.6582211099465773,6.575836088479924,-3.4443182379736736,8.3999688430948,-3.4443182379736736,-3.4443182379736736,2.8749979718718457,-3.4443182379736736,-3.4443182379736736,3.323514214294809,-3.4443182379736736,2.7802359473653233,-3.4443182379736736,4.1415736153515414,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,2.809706503512368,0.6880389419345416,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,1.676576132979692,1.1038934255065804,7.097173360131677,4.450516496939275,6.832269148083064,5.0767477191661285,-3.4443182379736736,-3.4443182379736736,7.695414649519957,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736,-3.4443182379736736
CSM5MCX3,-4.748546718433216,-4.748546718433216,3.8461614192887117,5.6613504745120995,3.5028501390462585,3.8852848333964385,-4.748546718433216,5.454426371296287,2.6961074984065174,3.6615131517324286,3.7569245255569825,4.316141916675032,-4.748546718433216,5.78072531636262,6.515153080912889,2.391370545979159,6.10621176946321,7.453648328118742,2.498377144553385,5.780324072202275,0.8973732166412347,-4.748546718433216,-4.748546718433216,1.570101550167795,-4.748546718433216,0.5853254275365494,-4.748546718433216,-4.748546718433216,-4.748546718433216,-4.748546718433216,-4.748546718433216,-4.748546718433216,-4.748546718433216,-4.748546718433216,-4.748546718433216,-4.748546718433216,2.665906071910248,-0.07459997426807341,3.0940309934100423,-4.748546718433216,4.142953916763336,2.4813727822238887,-4.748546718433216,5.834669756921617,-4.748546718433216,4.717033309071057,2.100835886368766,1.0808061867123424,6.665403785460237,-4.748546718433216,-4.748546718433216,7.2541493552782415,0.18440741333079735,3.822710245915001,2.9512757842290833,-4.748546718433216,-4.748546718433216,-4.748546718433216,3.3117231818095902,-4.748546718433216,2.277763424639743,0.2754140520206487,-4.748546718433216,4.490148693414385,3.0325797485200523,-2.4130988388105568,4.281737147507902,-4.748546718433216,2.5299328789954396,2.2788485049719887,-4.748546718433216,1.9091170141486797,6.421959827777544,5.34593577581693,-4.748546718433216,0.8918635592539008,-4.748546718433216,-4.748546718433216,2.8917640283714103,4.5670049165155415,0.503225164648681,-4.748546718433216,5.507308609938288,-2.1254148120443332,-4.748546718433216,0.2956752478195863,0.20422575075934546
CSM5MCXH,5.141368236425183,5.909171753414845,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,7.171949520807576,6.783680115911267,5.166245650722446,4.027516119485368,-3.6602991322202634,-3.6602991322202634,7.574063695808865,8.22258657920691,1.4438359373075347,8.659767698158053,8.67004533817097,1.0791507788050563,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-0.7245299208400162,4.631223719846098,2.525182485482377,3.346082170574987,-0.011862338001019879,1.3444568580226512,1.6951150200313414,-3.6602991322202634,5.10040403380874,-0.09820548851721966,1.5466567179158481,0.6722306912225147,3.9762790972871445,-3.6602991322202634,-0.7920640145258968,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,1.28498106289595,-3.6602991322202634,-0.1040405672723459,0.5791738351478024,1.2980270370114866,3.8979689821231336,-3.6602991322202634,-3.6602991322202634,6.262701439012831,-3.6602991322202634,-3.6602991322202634,7.257675943769858,3.6385648394189225,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,0.38936387876779044,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,3.5797443198217147,3.0816191281636103,-3.6602991322202634,6.717398414286897,5.905622351345436,6.717548326290958,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,4.198673045525001,-3.6602991322202634,-3.6602991322202634,3.808332197657859,2.9676817298861975,-3.6602991322202634,3.6814457376542515,-3.6602991322202634,-3.6602991322202634,6.469409803511892,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634,-3.6602991322202634
CSM5MCXJ,6.69840887493198,5.2271622752966325,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,1.002907938889006,-3.8186638220314943,7.807543075386187,4.222006914389369,3.333309581572803,4.566559199290167,-3.8186638220314943,-3.8186638220314943,7.279820965766411,8.18232860951971,2.1360304698690884,8.342547487789329,8.2878388247357,0.684010336160604,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,4.85472683931448,2.959094581156428,3.776452810154238,1.4037759495927382,-0.847247140653911,0.89635865030559,-3.8186638220314943,5.828281134939115,1.074457880853128,2.8436552828190242,2.3483074316932164,2.4940262530031,-0.29554629913177344,0.3550807444449404,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,3.2288724289204467,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,2.83586392751367,-1.1129119560135354,-3.8186638220314943,7.305226233528114,-3.8186638220314943,-3.8186638220314943,6.204823063019978,3.340261250624266,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,1.5507355678071928,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,0.24831390090239047,3.488514226220043,2.6651263876829505,-3.8186638220314943,6.124675589978449,5.323897700823591,6.31793492448368,-3.8186638220314943,-1.8343046753590038,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,3.9066394848560684,-3.8186638220314943,-3.8186638220314943,2.7530022919285058,1.4349464984033613,-1.5566946852412862,2.814785226020616,-3.8186638220314943,-3.8186638220314943,6.211621371769641,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943,-3.8186638220314943
CSM5MCXL,6.753044333242064,5.216709530400605,-4.160823314631838,-4.160823314631838,-4.160823314631838,-1.5979104469880774,1.1382430578402865,6.915397508972134,5.074723998900824,4.899783140806078,3.7701520258260226,-4.160823314631838,-4.160823314631838,6.848695077592719,8.107682313995669,1.385256504144147,7.208216126488534,8.169657420816277,1.02465489359858,-4.160823314631838,-4.160823314631838,-4.160823314631838,2.2887395971869617,4.194133686287894,2.371768101148173,4.039179342471526,2.5257747057870716,-0.16785113483627612,0.3946419114561941,-4.160823314631838,4.525878079476522,1.1934460400068438,1.214985480435832,0.12745999921899198,1.8646360996880018,-0.5410257554564666,1.7309553140022942,-4.160823314631838,-4.160823314631838,-4.160823314631838,-0.2774632728105697,1.2480537107984713,-4.160823314631838,-4.160823314631838,-4.160823314631838,2.9879549991142635,-0.3747191136206851,-4.160823314631838,6.759428782463214,-4.160823314631838,-4.160823314631838,6.333687715600741,3.901631660422206,-4.160823314631838,-0.8134980214290319,-0.47988064284100673,1.5515562704810115,-4.160823314631838,-4.160823314631838,-4.160823314631838,-4.160823314631838,3.4072428554639647,4.172230082421185,-4.160823314631838,5.686796150652277,5.20077339316634,6.057242206784753,-4.160823314631838,-0.6633522302274564,-4.160823314631838,-4.160823314631838,-4.160823314631838,-4.160823314631838,5.198880191534267,-4.160823314631838,-1.385507423471255,3.392433903039662,0.8958398281653235,0.22891113458970835,3.2473807800240237,-4.160823314631838,-4.160823314631838,6.359090825603266,-4.160823314631838,-4.160823314631838,-4.160823314631838,-4.160823314631838
CSM5MCXN,-4.124499862141478,-4.124499862141478,4.076103750742967,6.567086845112572,-4.124499862141478,0.6285678106043466,1.0261686790259539,5.4842834617584035,-4.124499862141478,-0.6110316878813595,-4.124499862141478,-1.2487484564044635,-4.124499862141478,4.726514018014599,6.848649205487601,4.539960424441608,7.804984498800083,6.455693194178003,-1.3766930665782393,-4.124499862141478,2.693355462064133,3.1943051370737647,2.470207953076777,1.3045687355327953,-4.124499862141478,-4.124499862141478,-4.124499862141478,-4.124499862141478,2.170235163482867,-0.3104796015562137,-4.124499862141478,-4.124499862141478,-4.124499862141478,-4.124499862141478,3.513696495893683,-4.124499862141478,3.709898296241329,-1.508501371421973,2.93676196495273,-4.124499862141478,1.807107279295689,3.8248040995493353,-4.124499862141478,-0.37757890858837584,-4.124499862141478,3.882062240480054,-4.124499862141478,-4.124499862141478,7.834320544920251,2.587499777986727,-4.124499862141478,8.571206509947949,3.133082852011319,3.4995724937483947,1.8682092142388855,2.1979384958359196,-4.124499862141478,-4.124499862141478,3.2567445513487634,-4.124499862141478,2.538702564735643,3.5009592602426025,2.5077845709524604,4.088611572890987,4.857330157354457,4.882732470072283,5.310798374636033,-4.124499862141478,-4.124499862141478,0.977374321903552,-4.124499862141478,-4.124499862141478,-4.124499862141478,4.699517734029733,4.784863371425278,3.3713010179530585,4.94987011240811,-4.124499862141478,3.9846063609980193,3.480256302950485,-2.287887839338877,-4.124499862141478,7.422643005836132,-4.124499862141478,-4.124499862141478,-4.124499862141478,-1.0855355173737404
CSM5MCXP,6.940693280689835,5.014972882112354,-4.2667493333301305,-4.2667493333301305,-4.2667493333301305,0.822324187260639,-4.2667493333301305,6.841913571627259,3.887806820452906,4.9470202582059635,3.6692026883457824,-4.2667493333301305,-4.2667493333301305,6.828600256525268,7.417945676450742,1.2709888865168413,7.370708813814489,8.01514176100018,1.0232302560662898,-4.2667493333301305,-4.2667493333301305,-4.2667493333301305,1.1908772894773438,4.909682173699933,3.161387946195892,4.5173880289110855,-4.2667493333301305,0.5553343840529159,1.137452784315542,-4.2667493333301305,4.732357176234427,0.7868980015507034,1.8387490816671352,1.5607604182817916,4.2291494402524314,0.9339477274354788,1.2725749819180514,-4.2667493333301305,-4.2667493333301305,-4.2667493333301305,-0.2603589738853156,1.1713404740577058,-4.2667493333301305,-4.2667493333301305,-4.2667493333301305,3.6814970069431006,-1.5116689878058516,-4.2667493333301305,7.114059950094803,-4.2667493333301305,-4.2667493333301305,6.603916838263487,3.1519953321218397,-4.2667493333301305,0.18884158513808913,-0.3894651773527187,1.5684529529747495,-4.2667493333301305,-4.2667493333301305,-0.8409529618357787,0.7134296592048379,2.499909884558024,4.084263910852129,-4.2667493333301305,5.881163458238129,4.526932195368941,6.234215841979331,-4.2667493333301305,0.2211055357899614,-4.2667493333301305,-4.2667493333301305,-4.2667493333301305,-4.2667493333301305,5.820376911233138,-4.2667493333301305,-0.9853579481886623,2.672274896615182,-0.21901717658993292,-0.5772653231898541,3.359938056700015,-4.2667493333301305,-4.2667493333301305,5.719876596045497,-4.2667493333301305,-4.2667493333301305,-4.2667493333301305,-1.1814778768227718
CSM5MCXR,5.806164232200696,4.4975642269364045,-4.297632701851267,-4.297632701851267,-4.297632701851267,2.4092305769995432,1.8609654036511154,6.776383632914936,1.8324003784884972,4.7957966390684375,3.5774759858544263,-4.297632701851267,-4.297632701851267,6.865010867435184,7.641638450809695,0.6449449497509328,7.5235974211133385,8.047017331708002,0.5805437156955389,-4.297632701851267,-4.297632701851267,-4.297632701851267,4.304595515177753,5.600800657445671,3.588806859974147,5.168754230848543,-4.297632701851267,0.7449358729451774,-4.297632701851267,-4.297632701851267,5.509231076639449,2.3215055692933104,2.863321537416134,0.7423074736206594,3.4999565024431876,-4.297632701851267,3.416554347823432,-4.297632701851267,-4.297632701851267,-4.297632701851267,0.15981765694133543,3.7302801766303073,-4.297632701851267,4.2652424972715774,-4.297632701851267,1.2213566401047586,1.30721814885543,-4.297632701851267,7.342426534552082,-4.297632701851267,-4.297632701851267,4.747109188368041,3.481334335301317,-0.3401971508444763,0.8837981107901758,-4.297632701851267,-4.297632701851267,-4.297632701851267,-4.297632701851267,0.18425624209942804,1.1336722375906945,2.9884165519015857,4.302951295460646,-4.297632701851267,5.609070722616487,3.8846873461485263,6.126261520570431,-4.297632701851267,0.647118328734317,-4.297632701851267,-4.297632701851267,-4.297632701851267,-4.297632701851267,-4.297632701851267,-0.23869763796520616,-4.297632701851267,-4.297632701851267,1.3235399567320538,0.9468777088389313,3.001694902540266,-4.297632701851267,-4.297632701851267,5.728453723598454,-4.297632701851267,-4.297632701851267,-0.58799951644699,-1.2618251717393587
