	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
CSM5FZ4M	0.0	0.7515780228609417	46.03470816131149	651.2290545431147	0.0	0.0	0.0	0.33144812512599053	0.0	1448.0846649317189	0.0	0.0	0.0	2115.758645683008	0.0	220.9450938444375	3611.698212158837	0.40128502105554703	123.25657870487923	0.0	0.0	0.0	0.0	2.6504764788503126	0.4977264487677919	0.0	0.0	2.1671608181314768	0.131914136755829	0.0	0.40904467615883117	0.0	0.8735154601982628	0.0	9.064385682793393	0.0	0.0	0.0	15.125784840615855	0.0	12.454246440770916	34.03163023868866	0.0	11.235980589555318	0.0	0.0	17.483611469856598	0.0	0.0	31.20379021462043	0.0	1037.787912995865	0.0	0.0	4.0117416883978585	0.0	0.0	1.1340181672370848	0.0	0.0	0.0	10.14408626430749	0.0	0.0	23.02788504115306	28.860374373428645	0.0	335.8334387815037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.82590210563232	8.64868987368889	17.951407820368868	11.169469260098596	0.0	0.0	86.78453693620773	0.0	0.0	0.0	0.0
CSM5MCUO	0.0	0.0	38.895748079532225	527.6855744027379	23.544752696794976	81.00056868790527	0.0	287.84374254337894	4.446857647108022	64.78413005174545	29.031484020496023	69.6983717814512	0.0	385.03726884894036	935.2456125716926	6.972744351864627	757.0682897343	1891.4184033488855	10.1124919689326	218.40030753425373	3.1341568983766113	0.0	3.1945366602433034	6.485792753847142	0.6474052244595284	10.857175698621797	0.0	0.0	0.0	0.0	0.7782280418373606	0.048080180745699	0.0	0.21691988522478156	0.0	0.0	2.8020682081098074	0.47632923250390174	14.980889805369191	0.0	141.91368511775283	91.61175276410724	0.0	29.517876546644374	0.0	833.4498066394033	1.9176165111365997	2.193798014489801	422.2189025777015	0.0	0.0	1796.9240760275125	0.8106542102472506	2.6947264092356886	17.276438900041747	0.0	1.3317091922820352	0.0	18.596966654941067	0.0	11.812070451106145	1.360780929477109	14.85006698799136	34.015050661974634	0.0	0.0	29.136589531893595	0.0	97.01797773865269	10.845994261239078	0.0	1.0186289455658557	749.1898489544349	84.6110548187858	0.0	2.656709522134438	0.0	0.0	13.606691151032818	24.017727498084064	0.0	0.0	179.40784002136104	0.0	0.0	0.23033761008404638	0.23704647251367877
CSM5MCWQ	0.0	4.273418998314118	191.86238601935077	1352.26045911942	0.0	0.0	1.2149224259669889	0.9618135872238661	1.1348693978993964	791.4513254927277	0.0	133.9546154661626	0.0	1447.3352024538133	1.2361129333966459	47.8999647943264	2556.999669016046	9.858294956441439	0.3037306064917472	0.0	0.0	0.0	0.0	6.511372032968424	1.6022378117646046	0.0	0.0	5.626079722573876	0.0	0.0	2.216762527224651	0.0	4.461779064355511	0.0	1.4315365019145916	1.765875619138065	0.0	0.0	100.65961929252074	0.0	40.26667311799893	382.72057743661844	0.0	0.0	0.0	0.0	55.08236956256728	0.0	0.15775155530966717	232.9731476832977	0.0	1443.8835042436049	0.0	0.0	5.744982014262506	0.0	0.0	9.002433906365855	0.0	5.224637331823156	0.0	20.41352215723603	0.0	0.0	0.0	5.381211636720064	0.6357152228897035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8629245525521346	0.9688770897004185	392.3987530799078	27.806654749360735	301.0770840613891	52.0226957398074	0.0	0.0	356.87463324970736	0.0	0.0	0.0	0.0
CSM5MCX3	0.0	0.0	54.92668551789139	337.4250215265289	38.96298905838822	57.118600807822475	0.0	274.35209413214113	17.38392198498945	45.66414863806926	50.23666470938424	87.88732922691939	0.0	380.20917425014744	792.4768043954003	12.814795473401164	526.481104842811	2025.6912809338285	14.263267329943247	380.0566440624461	2.8686973820283512	0.0	0.0	2.815594279643423	0.0	2.097007617583545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.866449200046958	1.07900984633205	25.88493777954688	0.0	73.90934984063985	14.022608589347723	0.0	401.28319692426834	0.0	131.23358393854863	9.581155494131712	3.4483120952936304	920.9591956891129	0.0	0.0	1659.3245036808923	1.4010180203683165	53.65334091389536	22.44001524397995	0.0	0.0	0.0	32.18273975175091	0.0	11.437504371119733	1.5354705561939854	0.0	104.59277433994822	12.170779125328632	0.09490767234753111	84.91412041998454	0.0	14.720857893047414	5.7249663783921445	0.0	7.90784284238536	721.9592739879425	246.14417808656415	0.0	2.8528794366370955	0.0	0.0	21.14294372189702	112.94860399287877	1.9309191909753651	0.0	144.62573441873064	0.12993312285673903	0.0	1.5671064469764961	0.7146321757120647
CSM5MCXH	68.54797197400109	147.73468564501158	0.0	0.0	0.0	0.0	0.0	522.3019381704041	354.2373151115449	70.27491682402261	22.496814326091506	0.0	0.0	780.8371092846766	1493.5270500847323	1.688873806175346	2312.488079665352	2336.3776596788157	1.1696270692735962	0.0	0.0	0.0	0.18401004525642467	20.576341669852038	4.999997091795264	11.375839407030805	0.1929990417201006	1.528129398824906	2.174279615213846	0.0	65.79628152712054	0.35321468457267724	1.8728838514317707	0.7751687538675822	21.37266100363415	0.0	0.17131969730770574	0.0	0.0	0.0	1.4392969631838737	0.0	0.17554981329061206	0.705371840149628	0.7291662425534758	19.762044343142573	0.0	0.0	210.39116358381986	0.0	0.0	569.0531800134847	15.244280473398632	0.0	0.0	0.0	0.0	0.5816409476496183	0.0	0.0	0.0	14.37287658091993	8.729901859722906	0.0	165.75920984817537	147.2112087921269	331.5681235591499	0.0	0.0	0.0	0.0	0.0	0.0	26.698377026113207	0.0	0.0	18.066825362992866	7.7887010535262515	0.0	15.912638798697827	0.0	0.0	129.35218787679435	0.0	0.0	0.0	0.0
CSM5MCXJ	378.84231193041035	86.98908378590524	0.0	0.0	0.0	1.2630879313660643	0.0	1148.5693427490294	31.830438592494517	13.082352814190008	44.92835945842691	0.0	0.0	677.5911491266789	1670.8048277981472	3.943906441405953	1961.1386140925947	1856.7288804069528	0.9154014424526448	0.0	0.0	0.0	0.0	29.96849960410444	8.99522029675405	20.382731211255663	0.9454996758212693	0.18993023125718142	1.134392036962291	0.0	158.69034076078162	1.3575341119365754	8.0133951668672	4.879027416065627	5.646013431907469	0.3373077877518249	0.6559339134127795	0.0	0.0	0.0	0.0	11.783977298874522	0.0	0.0	0.0	7.951122959897632	0.14322607603000564	0.0	695.0263292080418	0.0	0.0	231.25406780218648	13.173685384412039	0.0	0.0	0.0	2.1919816853287823	0.0	0.0	0.0	0.5884723558624145	15.280561720215747	6.7015273400416415	0.0	106.72107043432892	95.8255099548869	258.94963185190176	0.0	0.0643479472018866	0.0	0.0	0.0	0.0	23.218192368603304	0.0	0.0	7.318022189040361	1.951195818379787	0.0882189598735542	7.785063741312119	0.0	0.0	116.41581518937446	0.0	0.0	0.0	0.0
CSM5MCXL	566.6721176465744	121.92177551752727	0.0	0.0	0.0	0.12351800823939015	1.027205316383988	666.5644036091328	105.78208910758029	88.80311366728873	28.689960614646726	0.0	0.0	623.5526882955497	2196.086843928029	2.63293942349606	893.3329096419319	2336.4962037215237	1.832711643620353	0.0	0.0	0.0	6.5137274430516	21.92233504354749	7.0785320106419745	37.54947450477461	4.1294076002425175	0.5489689255084006	0.9712527143610166	0.0	61.09707428066861	2.1715943841745773	2.2191013104204966	0.7411080494363409	4.2587320105786315	0.3747768626066966	3.7245430176800722	0.0	0.0	0.0	0.490904904541166	2.294056682941836	0.0	0.0	0.0	13.11719019123438	0.44445368776737826	0.0	570.3016468117627	0.0	0.0	372.5662069720532	32.72277079818921	0.0	0.28293013853125265	0.199529090232861	3.1111758143716477	0.0	0.0	0.0	0.0	19.955020442230364	42.89453156217659	0.0	97.5486109344264	119.99405002141506	282.57964298650495	0.0	0.330437064777172	0.0	0.0	0.0	0.0	119.76707248490678	0.0	0.15518929240333637	19.661533208977797	1.6099569450005982	0.8213419693183378	17.00536817709484	0.0	0.0	191.07602448950374	0.0	0.0	0.0	0.0
CSM5MCXN	0.0	0.0	38.74572296408774	467.9003092470312	0.0	1.2227425803106067	0.9124703015468827	158.44499088339106	0.0	0.34642574428923634	0.0	0.1780693078122243	0.0	74.25921818940206	620.0643100003184	61.619534958512546	1613.5129782847177	418.5761901909712	0.15540594136339575	0.0	9.712871335212235	16.0359505744354	7.768138652317518	1.2070940653816538	0.0	0.0	0.0	0.0	5.7521782462979125	0.4716138637208607	0.0	0.0	0.0	0.0	22.074118921159005	0.0	26.861485281492502	0.13490099076683656	12.392544615804677	0.0	3.997386158402902	30.133643713532887	0.0	0.4403168338629546	0.0	31.910019959950592	0.0	0.0	1661.548523076973	8.736188162060337	0.0	3471.681853820207	15.083009975658465	21.76438624635835	4.249920813118419	2.957029717609058	0.0	0.0	17.069831767672433	0.0	8.319613902572346	21.794604068290116	8.066000039930692	39.23352494670062	42.31952001148277	86.81688161790534	133.20771353073124	0.0	0.0	0.8687623805384277	0.0	0.0	0.0	72.28103006079718	39.36087148198451	19.14299019377718	92.84641630121989	0.0	35.3570100760248	21.34781198687035	0.056118812159004015	0.0	550.417626487216	0.0	0.0	0.0	0.10576237676119987
CSM5MCXP	758.3949372591276	110.54297227389978	0.0	0.0	0.0	1.6597482808526602	0.0	687.061052890749	35.803438055941726	103.28014630696667	28.77104618428645	0.0	0.0	677.9744759985763	1222.2660369933915	2.605358464628003	1165.8719631355273	2220.886442596843	2.031349209273706	0.0	0.0	0.0	2.4039881291149223	49.747295798802384	17.310582914183748	67.20579249036042	0.0	1.2684255154483746	2.27839116727429	0.0	83.32579924560858	1.601620761323111	4.604529939876423	3.4845371975124326	50.373723620875296	1.8569666506850588	2.6095104303086853	0.0	0.0	0.0	0.5553254097912278	2.357278515207249	0.0	0.0	0.0	29.12707724140494	0.15154674734489582	0.0	901.9626445571726	0.0	0.0	541.5429597142037	17.14865625263715	0.0	0.8760647586239182	0.24340898802998676	3.511524974436866	0.0	0.0	0.30620746895030315	1.4874417051043538	8.928802196306806	43.57799379301891	0.0	131.43358759625164	67.85038516228633	374.1709951773881	0.0	0.9051285183886928	0.0	0.0	0.0	0.0	247.36373534083646	0.0	0.2636498207233119	10.610348296983046	0.5791992124551497	0.40170267960599093	21.1148214691087	0.0	0.0	111.85551242470541	0.0	0.0	0.0	0.10743211198764872
CSM5MCXR	252.33139280835388	68.1719182094408	0.0	0.0	0.0	8.437004287297475	2.435910803684219	665.7991773632208	4.734335904963167	91.86353840865131	27.15919852552357	0.0	0.0	727.5019209953631	1581.6942929842364	1.4367780655940092	1405.5866528040503	2372.342032732408	1.3465202762287174	0.0	0.0	0.0	56.20646406346762	102.74222580011565	27.468803733230096	133.3926166084723	0.0	1.5889568965006062	0.0	0.0	187.50321084214357	7.727536082519131	13.292033747807253	1.5847588597859419	25.13259630151917	0.0	23.120687206016086	0.0	0.0	0.0	0.8805382009009305	31.644800755142853	0.0	54.03712859116462	0.0	2.56500043266016	2.795892451966721	0.0	1172.6690807826635	0.0	0.0	87.49758022539997	24.668713244548716	0.5300021352264243	1.8271954800578305	0.0	0.0	0.0	0.0	0.9025778936529204	2.3488015418549253	15.06465475057444	56.114107255745	0.0	103.59547676237128	36.93012897890576	347.53027138680636	0.0	1.4399265931300078	0.0	0.0	0.0	0.0	0.0	0.29386257002653227	0.0	0.0	2.8420708558280334	1.946839526425776	15.266160512878349	0.0	0.0	116.73218315173592	0.0	0.0	0.4114075980371451	0.10232714491995318
