,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Anaerostipes_hadrus,Anaerotruncus_unclassified,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_eggerthii,Bacteroides_faecis,Bacteroides_finegoldii,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Bilophila_unclassified,Bilophila_wadsworthia,Burkholderiales_bacterium_1_1_47,C2likevirus_unclassified,Clostridiaceae_bacterium_JC118,Clostridiales_bacterium_1_7_47FAA,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_citroniae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Collinsella_aerofaciens,Coprobacillus_unclassified,Coprococcus_catus,Coprococcus_comes,Dialister_invisus,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Eggerthella_unclassified,Escherichia_coli,Escherichia_unclassified,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Faecalibacterium_prausnitzii,Flavonifractor_plautii,Haemophilus_parainfluenzae,Holdemania_filiformis,Holdemania_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Odoribacter_splanchnicus,Oscillibacter_unclassified,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Parasutterella_excrementihominis,Peptostreptococcaceae_noname_unclassified,Prevotella_copri,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_gnavus,Ruminococcus_lactaris,Ruminococcus_obeum,Ruminococcus_torques,Streptococcus_parasanguinis,Streptococcus_salivarius,Subdoligranulum_unclassified,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
CSM5FZ4M,0.0,7.193306532784874e-05,0.004405953299314016,0.06232872795498222,0.0,0.0,0.0,3.172269400151442e-05,0.0,0.13859528303698432,0.0,0.0,0.0,0.0,0.0,0.20249794465588786,0.0,0.02114651757495601,0.3456733905692781,3.84067398948101e-05,0.011796810521834076,0.0,0.0,0.0,0.0,0.0005073509120911103,4.7637088985551754e-05,0.0,0.0,0.0,0.0002074176146252866,1.2625420020669617e-05,0.0,3.9149411660731844e-05,0.0,8.360362164947614e-05,0.0,0.0008675467185631551,0.0,0.0,0.0,0.0,0.0014476794637145961,0.0,0.0011919881843043963,0.003257146173399641,0.0,0.0,0.0010753887170546826,0.0,0.0,0.0016733455845882456,0.0,0.0,0.002986495362704446,0.0,0.09932608903000596,0.0,0.0,0.0003839613029815408,0.0,0.0,0.00010853617379113462,0.0,0.0,0.0,0.0009708841899928375,0.0,0.0,0.004407969122678661,0.00276220848939608,0.0,0.06428481929045353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007544378086132738,0.0008277607311030619,0.0,0.0017181180824766705,0.0010690229590610677,0.0,0.0,0.01661218815610409,0.0,0.0,0.0,0.0
CSM5MCUO,0.0,0.0,0.0038144392524286806,0.05174921854765328,0.002308993484114032,0.007943586739620492,0.0,0.02822834176831815,0.0004360956967431973,0.0063532684369132795,0.0,0.0028470678074529483,0.0,0.00683519968840595,0.0,0.03775994406746466,0.09171793194363145,0.0006838050703773141,0.07424438772142246,0.18548815633389246,0.000991714730034065,0.021418143291593732,0.00030736138747075234,0.0,0.000313282727079536,0.0012721011259536918,6.34899191386249e-05,0.0010647445852090636,0.0,0.000409011050754872,0.0,0.0,0.0,7.631948829098952e-05,4.715140799586997e-06,0.0,2.1272960816741333e-05,0.0,0.0,0.0002747940196224422,0.0,4.671279024707117e-05,0.0014691501496015482,0.0,0.01391723151494842,0.008984207348645622,0.0,0.0,0.002894767487634817,0.0,0.08173499198097099,0.00018805735979748135,0.00021514200578580668,0.04140628306766621,0.0,0.0,0.176221259846146,7.949946696978076e-05,0.0002642671936512712,0.0016942707091725275,0.0,0.00013059843470483983,0.0,0.0018237725995053705,0.0,0.0011583894745776054,0.00013344945007203197,0.0014563205804491838,0.0033357976340520003,0.0,0.0,0.00285737532454972,0.0,0.009514386552506162,0.0021272960816741335,0.0,9.989519228892451e-05,0.07347176255691337,0.008297660917338317,0.0,0.00026053894278648147,0.0,0.0,0.0006422460386786287,0.0013343848462831198,0.0023553773110495044,0.0,0.0,0.03518843786069456,0.0,0.0,2.25888140631377e-05,4.649348137267178e-05
CSM5MCWQ,0.0,0.00041223799464726573,0.018508123189431992,0.1304466377221841,0.0,0.0,0.00023439647960108996,9.27819398420981e-05,0.00010947587516252457,0.07634783937890387,0.0,0.0,0.0,0.01292201445149691,0.0,0.13961808137169185,0.00011924239514590332,0.00462069959399668,0.24666254731509854,0.0009509864923350422,2.9299559950136245e-05,0.0,0.0,0.0,0.0,0.0012562470239085547,0.00015456085694626136,0.0,0.0,5.3829424094436356e-05,0.00054272324419264,0.0,0.0,0.00021384136196165326,0.0,0.00043040826438378436,0.0,0.00013809404999754135,0.00017034627877986186,0.0,8.460531846066473e-05,0.0,0.00971019214719554,0.0,0.003884349412924264,0.036919376128331176,0.0,9.323619658551107e-05,0.0,0.0,0.0,0.005313554691887304,0.0,1.5217600904334328e-05,0.022473898123613032,0.0,0.13928533830714185,0.0,0.0,0.0005541932269638173,0.0,0.0,0.0008684253292197358,0.0,0.0005039978568166847,0.0,0.0019692029826952036,0.0,0.0,0.0,0.0005191018935351658,6.132466036075028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001664850964608517,9.346332495721754e-05,0.03785298730023067,0.0026823860698535584,0.0,0.029043586275223035,0.005018401372854731,0.0,0.0,0.06885226242003238,0.0,0.0,0.0,0.0
CSM5MCX3,0.0,0.0,0.00540199191645814,0.03318545842536391,0.0038319762051890194,0.005617564885519085,0.0,0.026982290680591645,0.0017096936608101566,0.00449102944204493,0.0,0.0049407324347200045,0.0,0.008643587098646746,0.0,0.0373932427652767,0.07793940688320046,0.001260324028396516,0.05177896036713188,0.19922498184019977,0.0014027799801161714,0.03737824155351216,0.0002821339012606907,0.0,0.0,0.0005538225143297686,0.0,0.00020623888174078062,0.0,0.0007351704965501102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016588006608978304,0.0003551397985148356,0.00010611968322330038,0.0025457611964877606,0.0,0.007268920500578213,0.0013791114015543255,0.0,0.0,0.03946585463070183,0.0,0.012906709241957656,0.0009422983389880494,0.0003391385059659819,0.09057553871296048,0.0,0.0,0.16319318238262134,0.00013778890805957327,0.005276759578245932,0.0022069560507832135,0.0,0.0,0.0,0.0031651445622329715,0.0,0.001124868642166984,0.0001510121984298065,0.0,0.010286608707170013,0.0023939711574479405,9.33408732016464e-06,0.008351230149368732,0.0,0.0014477836154098227,0.001126090963125577,0.0,0.0007777294899265752,0.07100406888423098,0.02420806658493414,0.0,0.0002805782200406633,0.0,0.0,0.002222957343332067,0.0020793901907409634,0.01110845287169308,0.0001899042289304925,0.0,0.028447631269770346,1.2778810021653971e-05,0.0,0.0001541235608698614,0.0001405669102381937
CSM5MCXH,0.006644314963839075,0.014319836958582993,0.0,0.0,0.0,0.0,0.0,0.050626422394290514,0.034336016453389955,0.0068117067214402294,0.0,0.002180603098254349,0.006771524499162426,0.0,0.0,0.07568608581897622,0.14476670632269317,0.00016370155351441712,0.22414812151186023,0.22646372457628772,0.00011337126999808725,0.0,0.0,0.0,1.7835986419228917e-05,0.003988905606424563,0.0004846468033914616,0.001102653482250836,3.741456921275031e-05,0.0,0.0001481206918148608,0.0002107516556203141,0.0,0.0063775952129032495,3.423689347139344e-05,0.00018153753993364603,7.513665543272871e-05,0.002071639572026531,0.0,1.660591839031658e-05,0.0,0.0,0.0,0.0,0.00013951021561247446,0.0,3.403188213324138e-05,0.0,6.837128127371084e-05,0.00014135531765584295,0.00191552343802374,0.0,0.0,0.020393092839999516,0.0,0.0,0.05515799301280358,0.0014776192197309473,0.0,0.0,0.0,0.0,5.637811799181554e-05,0.0,0.0,0.0,0.0013931545484123,0.0008461842982226132,0.0,0.032133887164629636,0.01426909665239036,0.03213870493107621,0.0,0.0,0.0,0.0,0.0,0.0,0.0025878581214934093,0.0,0.0,0.0017512068504948665,0.0007549542527449481,0.00034339399140469466,0.0,0.0015424028025869973,0.0,0.0,0.02507606433173787,0.0,0.0,0.0,0.0
CSM5MCXJ,0.03693982906148977,0.008482056475933487,0.0,0.0,0.0,0.00012316008746896204,0.0,0.11199370780476708,0.003103694924063761,0.0012756227629796767,0.0,0.004380835683191371,0.026187457546707732,0.0,0.0,0.06606997274083717,0.16291539458589469,0.0003845590241430204,0.19122501074741272,0.18104431658194226,8.925817349845895e-05,0.0,0.0,0.0,0.0,0.005844285169541954,0.000877098174275673,0.0019874617566170466,0.00018438593210225873,0.0,1.8519553004782297e-05,0.00011061131931271612,0.0,0.015473440734596793,0.00013236926409975543,0.0007813632172127001,0.00047573999276219437,0.0005505266029836923,3.288991653854779e-05,6.395823769957602e-05,0.0003137192039061482,0.0,0.0,0.0,0.0,0.0011490218842420666,0.0,0.0,0.0,0.0,0.0007752912326209682,1.396556456098337e-05,0.0,0.06777002722677891,0.0,0.0,0.022548921979855585,0.0012845283403808835,0.0,0.0,0.0,0.0002137338576289629,0.0,0.0,0.0,5.738025439186646e-05,0.0014899638190678129,0.000653446741813548,0.0,0.020812131987133872,0.009343671089500244,0.025249437127028346,0.0,6.274384078122963e-06,0.0,0.0,0.0,0.0,0.0022639394550272394,0.0,0.0,0.0007135593892716938,0.00019025551720759954,0.0009327580330332155,8.601978171620193e-06,0.000759099273709683,0.0,0.0,0.022702745589512796,0.0,0.0,0.0,0.0
CSM5MCXL,0.05493189607038238,0.011818817430545208,0.0,0.0,0.0,1.1973552571468803e-05,0.00019914985729981444,0.06461522528290332,0.010254273227873282,0.008608370270549072,0.0,0.0027811390143780874,0.028758631191657072,0.0,0.0,0.06044576819857185,0.21288362443734538,0.0002552311120790017,0.08659764442355838,0.22649458590747654,0.00017765886550487046,0.0,0.0,0.0,0.0006314258065466883,0.00425020181064676,0.0006861766665957123,0.0036399599817265164,0.0008005906133897474,0.00011379991845703685,5.3215789206528015e-05,9.415101167308803e-05,0.0,0.0059226103245180696,0.00021050938153428488,0.00021511459406177286,7.184131542881282e-05,0.00041283171857525773,3.633000993907201e-05,0.00036104866215505934,0.0,0.0,0.0,0.0,4.758719611737601e-05,0.00022238059604958726,0.0,0.0,0.0,0.0,0.0012715503478675204,4.308432164605441e-05,0.0,0.055283734307482464,0.0,0.0,0.03611571404945957,0.0031720703889337354,0.0,2.742659905259521e-05,3.868378523089921e-05,0.0003015902515223809,0.0,0.0,0.0,0.0,0.0019343939376572936,0.0041580975600969995,0.0,0.018912277455663058,0.011631948139985361,0.027392622817947965,0.0,3.203181158008321e-05,0.0,0.0,0.0,0.0,0.011609945457909584,0.0,1.5043694256460805e-05,0.0019059439580430342,0.00015606553565376005,0.0006209873248177154,7.961900769745922e-05,0.0016484614087283716,0.0,0.0,0.03704494359945048,0.0,0.0,0.0,0.0
CSM5MCXN,0.0,0.0,0.0036421486952703808,0.043983241774071945,0.0,0.00011493940370289513,0.00017154680640917534,0.014894036623163506,0.0,3.2564473599849376e-05,0.0,0.0,0.0,1.673874811207211e-05,0.0,0.006980463750567089,0.05828685710019145,0.005792316975484734,0.15167233281744175,0.03934670999398623,1.4608361988717475e-05,0.0,0.0009130226242948422,0.0015074003527107845,0.0007302152055193639,0.00022693684561639576,0.0,0.0,0.0,5.041913825272629e-05,0.0,0.0005407122874990566,4.4332320757427335e-05,0.0,0.0,0.0,0.0,0.0020749960841474117,0.0,0.0025250147909665135,0.0,1.268086978187281e-05,0.0011649154216419638,0.0,0.00037575953337645507,0.0028326019683956203,0.0,0.0,4.139035896803285e-05,0.0,0.0029995836616833215,0.0,0.0,0.15618773692937102,0.0008212131270740831,0.0,0.326342691071288,0.0014178226885716348,0.002045880807128232,0.00039949812160812096,0.0005559293312373039,0.0,0.0,0.0016045865387190577,0.0,0.0007820546011876599,0.002048721321959371,0.0007582145659977389,0.0036880027204016326,0.007956180595063509,0.008160900556822065,0.01252169950437074,0.0,0.0,0.0001633296027905218,0.0,0.0,0.0,0.006794511476085705,0.007399946922951442,0.0017994661455268792,0.008727684712592653,0.0,0.0,0.0033236052463497356,0.0020067222812418083,5.275241829259089e-06,0.0,0.10347995529841232,0.0,0.0,0.0,1.988360381797656e-05
CSM5MCXP,0.07367575395843429,0.010738912441214141,0.0,0.0,0.0,0.000161239480863324,0.0,0.06674588476308081,0.0034781947551085894,0.010033351060600836,0.0,0.0027950193436958185,0.015935583264410764,0.0,0.0,0.06586315154514615,0.11873941582300805,0.00025310262474480494,0.1132609036308227,0.2157523409976035,0.00019733937714166668,0.0,0.0,0.0,0.0002335401111191109,0.009665595971977607,0.0016816703079159813,0.00652883766602675,0.0,0.0,0.00012322366830205245,0.00022133874952782746,0.0,0.008094847133073292,0.00015559256971363908,0.00044731603321432464,0.00033851215588378896,0.004893653537396568,0.000180398643692612,0.000253505975541211,5.767916388606711e-05,0.0,0.0,0.0,5.3948169019311025e-05,0.00022900241465954266,0.0,0.0,0.0,0.0,0.0028296066744876386,1.4722304068821326e-05,0.0,0.08762291863426226,0.0,0.0,0.052609246050641094,0.0016659396268561449,0.0,8.510701804167945e-05,4.7292880878610974e-05,0.00034113393606042836,0.0,0.0,2.97471212349472e-05,0.0001445004228124723,0.00086740588767124,0.0042334691213789435,0.0,0.025536743946662502,0.006591457877168792,0.036349570421318055,0.0,8.793047361652189e-05,0.0,0.0,0.0,0.0,0.024030632072882262,0.0,2.5612775571785046e-05,0.0010307629602156958,5.626743609864589e-05,0.0011670955294009453,3.9024189552286666e-05,0.002051240475123037,0.0,0.0,0.02173284342345602,0.0,0.0,0.0,2.0873403714013796e-05
CSM5MCXR,0.024434613921148405,0.006601455661828555,0.0,0.0,0.0,0.0008170007707592793,0.00047176484362042233,0.0644729364302463,0.00045845135923561507,0.008895643421390686,0.0,0.002629972129084293,0.011772067456071601,0.0,0.0,0.07044794691842637,0.15316401562332316,0.00013913099330382554,0.13611056005255476,0.22972671380114415,0.00013039084324967726,0.0,0.0,0.0,0.005442776001743153,0.01989817115409007,0.0026599528763630574,0.01291712874281682,0.0,0.0,0.0001538672928137267,0.0,0.0,0.018156950329930508,0.0007482991261476021,0.001287139539951023,0.00015346077420655703,0.0024337252714731264,0.0,0.002238901228987054,0.0001598634422694796,0.0,0.0,0.0,8.526727785384195e-05,0.003064337260845104,0.0,1.4228151250939062e-05,0.005232707511488218,0.0,0.00024838286898067903,0.0002707413923750119,0.0,0.11355589143026258,0.0,0.0,0.008472864069934211,0.0023888049653808764,5.1322974155173046e-05,0.00017693722377060649,0.0,0.0,0.0,0.0,8.740150054148281e-05,0.00022744716071144012,0.0014587920218284236,0.005433832592385421,0.0,0.02006342096790455,0.0035761441872717405,0.03365323637593541,0.0,0.0001394358822592028,0.0,0.0,0.0,0.0,0.0,5.691260500375625e-05,0.0,0.0,0.00027521309705387845,0.0006096762811027388,0.00018852300407494257,0.0014783049149725684,0.0,0.0,0.02260761767087604,0.0,0.0,3.983882350262937e-05,1.9817782099522264e-05
