,Alistipes_finegoldii,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Bacteroides_caccae,Bacteroides_ovatus,Bacteroides_uniformis,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_longum,Bilophila_unclassified,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_symbiosum,Collinsella_aerofaciens,Escherichia_coli,Eubacterium_siraeum,Flavonifractor_plautii,Odoribacter_splanchnicus,Parabacteroides_distasonis,Parabacteroides_merdae,Roseburia_intestinalis,Ruminococcus_gnavus,Subdoligranulum_unclassified,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
Alistipes_finegoldii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17657621744808233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17240930493656795,-0.15320692210348966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes_onderdonkii,0.0,0.0,0.20911148816412328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes_putredinis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes_shahii,0.0,0.0,0.0,0.0,-0.17476214007986213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_caccae,0.0,-0.15098832755991096,0.0,0.0,0.0,0.0,0.0,0.0,-0.24002502684875912,0.0,-0.22959111152522088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_ovatus,0.0,0.0,0.0,0.0,0.2233957148322249,0.0,0.0,0.0,0.0,0.3735415488904003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_uniformis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnesiella_intestinihominis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1636548246014105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_adolescentis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20241725266346708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bifidobacterium_longum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bilophila_unclassified,0.19314595136231713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380856486891942,0.0,0.0,0.18754799995813437,0.0,0.0,0.0
Clostridium_asparagiforme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium_bartlettii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium_bolteae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16756067499088081,0.0,0.0,0.0,0.0,-0.18273787675069286,0.0,0.0,0.0,0.0,0.0,0.16556707319900027,0.0,0.0,0.0,0.0
Clostridium_clostridioforme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15442794287867817,0.0,0.0,0.0
Clostridium_hathewayi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium_symbiosum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17807079256212288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collinsella_aerofaciens,0.15943434683460345,0.0,0.17223240666733278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16210271723301975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia_coli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eubacterium_siraeum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1662877754891156,0.0,0.0,0.0
Flavonifractor_plautii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odoribacter_splanchnicus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3910612769630672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parabacteroides_distasonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163244515152792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18057366137201925
Parabacteroides_merdae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roseburia_intestinalis,0.0,0.0,0.0,0.0,0.0,-0.17682947642564398,0.0,0.0,0.0,-0.2224925280886307,-0.21908162474427764,0.0,0.0,0.0,0.0,0.0,0.0,-0.172395529831398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruminococcus_gnavus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subdoligranulum_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veillonella_dispar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15739647552613234,0.17177427876394766,0.0,0.1928393546026621,0.0,0.0,0.0,-0.22965932407165124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veillonella_parvula,-0.2090907599289293,0.0,0.0,0.0,0.0,0.0,0.0,-0.16028616567010348,0.0,0.0,0.0,-0.17699788514474923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20496639584016463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16725709556077928,0.0,0.0
Veillonella_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,-0.17371045209942984,0.19235567258672315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1685960688751734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
