cause,effect,weight,direction,bootstrap_support
Alistipes_finegoldii,Alistipes_onderdonkii,0.4366,positive,1.0
Alistipes_finegoldii,Alistipes_shahii,0.3745,positive,0.95
Clostridium_clostridioforme,Clostridium_asparagiforme,0.3459,positive,0.85
Alistipes_onderdonkii,Alistipes_shahii,-0.2547,negative,0.75
Clostridium_hathewayi,Clostridium_bartlettii,0.2104,positive,0.7
Clostridium_clostridioforme,Roseburia_intestinalis,-0.1821,negative,0.7
Alistipes_finegoldii,Barnesiella_intestinihominis,0.2099,positive,0.7
Flavonifractor_plautii,Collinsella_aerofaciens,0.1816,positive,0.7
Clostridium_bolteae,Clostridium_clostridioforme,0.199,positive,0.65
Odoribacter_splanchnicus,Alistipes_shahii,0.191,positive,0.6
Clostridium_clostridioforme,Parabacteroides_distasonis,-0.1549,negative,0.55
Subdoligranulum_unclassified,Escherichia_coli,-0.1615,negative,0.55
Clostridium_bartlettii,Veillonella_parvula,0.1797,positive,0.55
Clostridium_hathewayi,Roseburia_intestinalis,0.153,positive,0.55
Alistipes_finegoldii,Bifidobacterium_adolescentis,-0.1609,negative,0.5
Alistipes_finegoldii,Escherichia_coli,-0.1573,negative,0.5
Veillonella_unclassified,Veillonella_parvula,0.2538,positive,0.45
Ruminococcus_gnavus,Eubacterium_siraeum,0.1672,positive,0.45
Clostridium_clostridioforme,Clostridium_hathewayi,0.1925,positive,0.45
Clostridium_bolteae,Collinsella_aerofaciens,-0.1713,negative,0.4
Clostridium_bolteae,Alistipes_shahii,-0.1612,negative,0.4
Parabacteroides_merdae,Bacteroides_caccae,0.1583,positive,0.4
Bacteroides_uniformis,Bifidobacterium_adolescentis,-0.1521,negative,0.35
Clostridium_clostridioforme,Bifidobacterium_longum,-0.1551,negative,0.35
Alistipes_putredinis,Bilophila_unclassified,0.1656,positive,0.35
Clostridium_bartlettii,Veillonella_unclassified,0.1564,positive,0.35
Odoribacter_splanchnicus,Alistipes_finegoldii,0.1918,positive,0.3
Alistipes_finegoldii,Bacteroides_ovatus,0.1526,positive,0.3
Veillonella_dispar,Veillonella_unclassified,0.1717,positive,0.25
