,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Collinsella_aerofaciens,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_eggerthii,Bacteroides_faecis,Bacteroides_finegoldii,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_nordii,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Bacteroidales_bacterium_ph8,Barnesiella_intestinihominis,Odoribacter_splanchnicus,Parabacteroides_distasonis,Parabacteroides_goldsteinii,Parabacteroides_merdae,Parabacteroides_unclassified,Prevotella_copri,Alistipes_finegoldii,Alistipes_indistinctus,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_senegalensis,Alistipes_shahii,Streptococcus_parasanguinis,Streptococcus_salivarius,Streptococcus_thermophilus,Clostridium_asparagiforme,Clostridium_bolteae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Clostridiales_bacterium_1_7_47FAA,Flavonifractor_plautii,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Anaerostipes_hadrus,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Coprococcus_catus,Coprococcus_comes,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Oscillibacter_unclassified,Clostridium_bartlettii,Peptostreptococcaceae_noname_unclassified,Anaerotruncus_colihominis,Anaerotruncus_unclassified,Faecalibacterium_prausnitzii,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_callidus,Ruminococcus_lactaris,Subdoligranulum_unclassified,Holdemania_filiformis,Dialister_invisus,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified,Burkholderiales_bacterium_1_1_47,Parasutterella_excrementihominis,Sutterella_wadsworthensis,Bilophila_unclassified,Bilophila_wadsworthia,Desulfovibrio_desulfuricans,Escherichia_coli,Escherichia_unclassified,Haemophilus_parainfluenzae,Akkermansia_muciniphila,C2likevirus_unclassified
CSM67UH7,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,6.151746699083169,4.1359325721009,-1.3269260350534182,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,5.817984315504108,6.926647387128396,-3.8638192765919683,4.660287490567926,-3.8638192765919683,6.3590247129330475,-0.6658353951205989,7.325476095688927,0.6390561602086908,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,0.07202357117656533,-3.8638192765919683,-3.8638192765919683,4.575598017472731,-3.8638192765919683,-3.8638192765919683,3.6707040009939913,4.685264528252899,3.531608791195641,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,-1.5304846789355988,-3.8638192765919683,-3.8638192765919683,5.406372440811016,-3.8638192765919683,-3.8638192765919683,1.5436996639485372,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,3.9621798737716887,2.008777213848804,-0.17822993791321018,5.35994861371397,2.0957914541178546,-3.8638192765919683,1.5281520830824338,-3.8638192765919683,2.4273718004471867,4.857558834752496,2.415677700781785,3.503751976166831,2.2512892520231427,2.3107572306743327,1.3506009104929824,-3.8638192765919683,-3.8638192765919683,4.478688952883532,2.6957955185998195,2.9800350740212638,0.08965796742231191,-3.8638192765919683,1.7422330454081596,1.1621932627460474,4.422893671942537,-3.8638192765919683,-2.2855886808648727,-3.8638192765919683,1.3417555977584819,-3.8638192765919683,1.6429669365305344,5.959632549363111,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,7.691143893769935,3.877996364727082,-3.8638192765919683,-3.8638192765919683,-3.8638192765919683,-2.2649180061287044,0.9749261363724262,5.739275656173954,4.902863568263214,-3.8638192765919683,3.2493171282336215,-3.8638192765919683,4.138984675934182,1.4202217887076518,0.7672644757376208,3.7420309942844963,9.429414347875582,2.3736366297748033
CSM79HGX,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,6.1082077019767915,7.25192084563712,0.21008532330095697,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,7.557650026988321,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,6.297466365365477,8.521399428525557,6.082404421609526,7.62550748138909,7.950350947260023,5.983448377112508,-3.5554750379498383,-3.5554750379498383,4.6285134136282,7.048942528996431,-3.5554750379498383,6.299381974108549,4.232849638232653,-3.5554750379498383,0.7159784839522647,-3.5554750379498383,4.966914157479267,6.872900289343347,-3.5554750379498383,-3.5554750379498383,0.34524349504919627,1.0430155436711939,-3.5554750379498383,1.9114511322296313,2.874354705384439,-3.5554750379498383,-3.5554750379498383,2.9553196625830926,-0.010288364055169197,-3.5554750379498383,4.456739103387965,6.855904540674262,-3.5554750379498383,-3.5554750379498383,6.793914351554797,6.826087439840942,3.1695430617320044,-3.5554750379498383,5.688768863969168,2.6236448676873936,5.727540375690946,-3.5554750379498383,6.0779451463950736,-3.5554750379498383,-3.5554750379498383,2.7558910612831333,4.464373358292017,3.34324896602649,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,1.8241436911883788,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,2.5681687565853375,5.3956938089185495,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,8.52060493519968,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,6.1976992206810815,1.8403376064541082,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,6.503335389859457,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383,-3.5554750379498383
CSM79HGZ,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,7.127266023998003,7.193597128963594,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,5.3715686434538235,8.960095488602155,0.522133932341168,5.426864484664839,-3.4607460847142786,7.156303120570513,-3.4607460847142786,8.242911387873864,0.5240194000719214,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,2.1647990888869035,-3.4607460847142786,-3.4607460847142786,6.192612334932407,-3.4607460847142786,-3.4607460847142786,4.7546984832100945,7.8650301473659745,7.621622750260073,3.946813647165188,2.2393536379939505,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,5.6373230005527155,-3.4607460847142786,1.2758110574111274,7.166613371402898,3.761561299462377,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,0.506920826902574,4.169835861263011,1.399314237030504,2.361387288620607,2.084630790416984,-0.9557659974545238,-3.4607460847142786,1.8417993050690402,-3.4607460847142786,5.891834726885431,-3.4607460847142786,-3.4607460847142786,2.2010119058957685,-3.4607460847142786,3.019295528113738,6.408304857375301,4.642971169679386,4.908399523020217,3.741693401757802,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,7.444590479011535,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,7.855108712288187,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,3.1101204171141372,2.1900359064983963,4.971593948770845,3.2614932925492486,-3.4607460847142786,4.0452813374876735,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,-3.4607460847142786,4.234973786945708,7.855204924859127,-3.4607460847142786
CSM79HOV,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,1.0627275373117744,6.500632005782748,6.836495678988859,-0.3482132095425783,-3.9374048415455256,1.6882331269223396,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,4.9976610902511664,2.055723377059156,6.1202727296142925,6.455409366378998,7.4808734282791445,8.565871846847246,3.5161773470626825,-3.9374048415455256,6.310049096973065,5.462054069512606,6.910382538057037,-3.9374048415455256,4.7069364953526724,4.244457673711156,-3.9374048415455256,2.238982904236071,2.2148019562987864,3.760691828286199,7.418801615446678,-3.9374048415455256,5.630371460447813,2.652042478478589,2.177959512516069,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,5.385718270699047,-3.9374048415455256,-3.9374048415455256,3.8816354085215403,6.4442822796225645,1.5428349661274439,-3.9374048415455256,-3.9374048415455256,2.003598771652121,4.297789495027188,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,6.260227748618962,-3.9374048415455256,-3.9374048415455256,1.2411768373772212,3.662806317377523,3.1238544777496715,4.073740577861586,-3.9374048415455256,2.8084122730023084,3.411169337785627,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,1.926890855237744,7.409302388068927,-3.9374048415455256,4.408443215128939,2.7372707602099338,-3.9374048415455256,7.547237550394649,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,1.0041499039023947,2.733022735570577,1.4771033426106257,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,-3.9374048415455256,1.3263309847061215,4.5204914197540695,-3.9374048415455256,4.9833562059962695
CSM79HOX,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,6.692310875413714,7.839545916016288,0.10901098957716115,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,5.5524352730964,8.393091240055485,-3.6941819454805174,5.622205068219841,0.2560711904435724,7.088267186413972,1.236835622950471,8.134455675198376,1.1187643356124042,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,1.1841860709424523,-3.6941819454805174,-3.6941819454805174,5.82784995538104,-3.6941819454805174,-3.6941819454805174,3.294428771427807,7.362187330451309,6.921563707860253,3.939501144567272,2.2633794586405935,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,5.609916703043259,-3.6941819454805174,0.20393983379671,6.847857353144595,3.7812730962733836,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,1.4563306570265606,4.3597390373857925,1.7869274998290692,2.369137467468569,0.9474065588987273,-3.6941819454805174,1.7178094190330029,2.396390581587145,-3.6941819454805174,6.205931295391808,-3.6941819454805174,-3.6941819454805174,1.6823112393346182,3.4499845475702395,3.608716287633823,7.011339748065238,4.805987843985396,2.1296175500215506,3.393112899380421,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,1.4651162425176842,7.857621755915707,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,7.731883245469014,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-0.2491007405848773,-1.3782665023924068,4.340621267373666,2.5612556497833046,-3.6941819454805174,2.5968584971393494,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,-3.6941819454805174,3.307448755671425,6.535937514443515,3.339902157549984
CSM79HOZ,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,6.843267068772927,7.378157129918507,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,5.962504900211421,8.661098449347795,-1.6331265421876306,5.252576315426258,-3.4881011382981804,7.658158314473043,-3.4881011382981804,8.328043487583686,1.2054244255735007,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,2.126640349948671,-3.4881011382981804,-3.4881011382981804,6.570608840321925,-3.4881011382981804,-3.4881011382981804,4.628692924840851,7.755700471549634,7.633701072214794,3.6956612299210896,1.8789023157287428,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,5.25514380145454,-3.4881011382981804,1.4669652250501937,6.934435514368893,5.973571454503118,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,1.3941155181235292,2.1558626487597934,0.8726072430698366,2.447870549391113,-0.36267492641323074,0.7570673509013055,2.090407650432688,-3.4881011382981804,-3.4881011382981804,6.490584579878043,-3.4881011382981804,-3.4881011382981804,2.0387467379614232,3.218476099079802,3.387044178625107,6.184950878974539,4.856720225226662,6.086158827319613,3.807915578138897,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,7.709044947960345,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,7.657804503314807,0.9391871311392119,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,5.340508154403698,3.660387474535307,-3.4881011382981804,4.409366642908547,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,-3.4881011382981804,1.1168736342513501,7.590440581072331,0.9318685100238202
CSM79HP2,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,7.268229636366683,6.864164309143847,0.31604841469338574,-3.742274833074676,-3.742274833074676,-3.742274833074676,5.913249697651214,8.636860130724303,-0.5797728347603481,5.7325733224055995,-1.1991839915527258,6.805204724437634,-3.742274833074676,7.898117629755112,1.2094948428607442,-3.742274833074676,-3.742274833074676,-3.742274833074676,1.9535089649458897,-3.742274833074676,-3.742274833074676,5.94125624349423,-3.742274833074676,-3.742274833074676,3.6868196726269016,7.312627394935704,7.170154501912329,3.6368258575355235,2.021417289008408,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,4.333501146999788,-3.742274833074676,0.684230402580086,6.608889342037559,6.633021259345724,-3.742274833074676,-3.742274833074676,-3.742274833074676,0.7564472497615018,3.331306793058342,-1.26483592218006,1.0325731474341584,0.10930765920130625,-3.742274833074676,-3.742274833074676,3.4078150763515014,-3.742274833074676,5.392161474762617,-3.742274833074676,-3.742274833074676,1.0710426931564925,3.442718014812419,3.067303852746104,6.802723860197656,5.090466673871685,5.1364775201329245,3.3609057330761534,-3.742274833074676,3.2602877079942827,-3.742274833074676,0.8332086209845802,7.938230032636993,-3.742274833074676,-3.742274833074676,2.2769588357862567,-3.742274833074676,7.118437804976843,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,-0.7418654351805962,0.33335292261941163,4.475596566381057,2.498189505372004,-3.742274833074676,3.3661268554355646,-3.742274833074676,-3.742274833074676,-3.742274833074676,-3.742274833074676,2.671151118286028,6.546716936807087,3.2114235650288503
CSM79HP4,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,7.342830288705728,7.5849472519699805,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,5.107112854215943,8.77526953623612,-3.2848808591617686,5.858630967212725,-0.7948815528893345,7.228609693935258,-3.2848808591617686,8.265353466665047,1.5746654289175783,4.949882161379948,-3.2848808591617686,-3.2848808591617686,1.752932390279149,-3.2848808591617686,-3.2848808591617686,5.477330482157789,-3.2848808591617686,-3.2848808591617686,4.179993332805869,7.807087263239657,7.609022011587749,3.908645396452088,2.1871993794380185,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,5.32310528164798,-3.2848808591617686,1.4265103072226921,7.64510505223374,5.944505365837987,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,1.604891989306772,-3.2848808591617686,-3.2848808591617686,2.177342244940526,-3.2848808591617686,-3.2848808591617686,3.016893635427918,1.7535905646750916,-3.2848808591617686,6.739839675158942,-3.2848808591617686,-3.2848808591617686,2.061487605857815,-3.2848808591617686,3.7906989153664368,7.745854494234571,6.152712984349328,6.195895340768436,4.610415817464865,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,8.408025382796604,-3.2848808591617686,-3.2848808591617686,1.4693795938346828,-3.2848808591617686,8.04099443365299,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,5.103794944125462,3.910017049488917,-3.2848808591617686,4.370114420039434,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,-3.2848808591617686,7.502165239803155,-3.2848808591617686
CSM79HP6,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,7.032274527764116,7.518220738144228,0.7350912907191649,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,4.901037526558112,8.064760451106523,-1.2831918727164187,5.290774945629732,-3.8495015515784097,6.772815812178152,-3.8495015515784097,7.678962984315565,0.9545087138782691,4.724250285459437,-3.8495015515784097,4.576323991480028,2.0433996724247043,-3.8495015515784097,-3.8495015515784097,5.735824460075088,-3.8495015515784097,-3.8495015515784097,2.6255042808145603,6.563316931406262,7.037339714351193,3.41007614259983,1.70343404583579,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,0.5885544182780773,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,5.772155863637556,-3.8495015515784097,-3.8495015515784097,6.845022957404018,5.7076371916806306,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,1.071942223956162,3.2948793587233984,-3.8495015515784097,0.6474826233842954,-1.6063842434287512,0.26282177078207525,1.7219732874617222,-3.8495015515784097,-3.8495015515784097,5.621133811913827,-3.8495015515784097,-3.8495015515784097,1.4299483617360913,-3.8495015515784097,3.8926246598073355,6.827898283586329,4.683254959007911,6.287444913201341,3.903226138706052,-3.8495015515784097,3.734383344294937,-3.8495015515784097,1.4146546057302363,8.096160136200634,-3.8495015515784097,-1.6976305094109527,1.4583265887160621,-3.8495015515784097,7.422043982824642,-0.007780494248061487,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,1.9470896447143868,-0.2567453755803566,4.538968601526948,2.7951921252592786,-3.8495015515784097,3.012553538855653,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,-3.8495015515784097,2.8401333186955897,6.442383746321724,-3.8495015515784097
CSM7KOOH,-3.924767429461884,-3.924767429461884,-3.924767429461884,-3.924767429461884,6.235900048330885,8.334603650708065,3.6822962061103643,-3.924767429461884,-3.924767429461884,-3.924767429461884,5.495870171259983,8.072263841381126,-0.8085386700144301,4.994608925054764,-3.924767429461884,5.805821367924629,6.911767489047154,6.483608497509637,2.1823138637446178,5.713707433687073,-3.924767429461884,-3.924767429461884,0.43495517401791517,4.692931069238072,-3.924767429461884,-3.924767429461884,-3.924767429461884,-3.924767429461884,3.305512553082788,7.249417416340124,7.156570109432272,4.3139881469294465,2.3835836711700376,1.6857950121211545,-0.6626771412337185,-3.924767429461884,-3.924767429461884,-3.924767429461884,-3.924767429461884,-3.924767429461884,1.020364697506361,-3.924767429461884,-3.924767429461884,-3.924767429461884,4.537185835033299,-3.924767429461884,-3.924767429461884,1.9210229175337652,5.253355707715201,-3.924767429461884,-3.924767429461884,-3.924767429461884,1.962033672757423,4.205800172821739,0.6079871429416652,1.2808629128911253,-3.924767429461884,0.4592412765754137,1.4147497017114645,1.3629163377771683,-3.924767429461884,4.235599774137246,-3.924767429461884,-3.924767429461884,1.2886068331677336,2.135942826501985,3.4580816383971156,4.7559901544690995,4.136713378712321,7.114182525363258,2.8422409710625907,-3.924767429461884,-3.924767429461884,-3.924767429461884,-3.924767429461884,6.859798207540316,-3.924767429461884,-3.924767429461884,2.3752539591784005,-3.924767429461884,7.441013331894853,-3.924767429461884,-3.924767429461884,-3.924767429461884,-3.924767429461884,2.547459896930654,0.9011286506147282,5.021027741640713,2.202620811549928,-3.924767429461884,2.9317944107566465,-3.924767429461884,-3.924767429461884,-3.924767429461884,-3.924767429461884,3.2041268503490716,7.247435440797216,-3.924767429461884
