,Roseburia_inulinivorans,Clostridium_bolteae,Lachnospiraceae_bacterium_8_1_57FAA,Lachnospiraceae_bacterium_5_1_63FAA,Barnesiella_intestinihominis,Flavonifractor_plautii,Bacteroides_caccae,Ruminococcaceae_bacterium_D16,Parabacteroides_distasonis,Eubacterium_ventriosum,Dorea_formicigenerans,Coprococcus_comes,Eubacterium_ramulus,Eubacterium_rectale,Parabacteroides_unclassified,Ruminococcus_gnavus,Ruminococcus_torques,Dorea_unclassified,Bacteroides_thetaiotaomicron,Roseburia_intestinalis,Clostridium_symbiosum,Lachnospiraceae_bacterium_7_1_58FAA,Escherichia_unclassified,Escherichia_coli,Odoribacter_splanchnicus,C2likevirus_unclassified,Bifidobacterium_longum,Clostridium_hathewayi,Dialister_invisus,Bifidobacterium_adolescentis,Burkholderiales_bacterium_1_1_47,Alistipes_onderdonkii,Anaerostipes_hadrus,Subdoligranulum_unclassified,Oscillibacter_unclassified,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Bacteroides_faecis,Veillonella_parvula,Bacteroides_cellulosilyticus,Dorea_longicatena,Parasutterella_excrementihominis,Faecalibacterium_prausnitzii,Bifidobacterium_bifidum,Veillonella_dispar,Coprococcus_catus,Veillonella_unclassified,Roseburia_unclassified,Peptostreptococcaceae_noname_unclassified,Bacteroides_uniformis,Bacteroides_ovatus,Bacteroides_dorei,Streptococcus_parasanguinis,Prevotella_copri,Eubacterium_hallii,Lachnospiraceae_bacterium_2_1_58FAA,Ruminococcus_bromii,Clostridium_clostridioforme,Haemophilus_parainfluenzae,Lachnospiraceae_bacterium_1_1_57FAA,Bacteroides_stercoris,Clostridium_leptum,Alistipes_putredinis,Collinsella_aerofaciens,Eubacterium_siraeum,Clostridiales_bacterium_1_7_47FAA,Ruminococcus_obeum,Alistipes_finegoldii,Veillonella_atypica,Bilophila_wadsworthia,Parabacteroides_merdae,Eubacterium_eligens,Bacteroides_fragilis,Holdemania_filiformis,Clostridium_asparagiforme,Bacteroides_xylanisolvens,Clostridium_bartlettii,Bacteroides_vulgatus,Bacteroides_massiliensis,Streptococcus_salivarius,Roseburia_hominis,Bilophila_unclassified,Akkermansia_muciniphila,Alistipes_shahii
CSM67UH7,0.003969760625023471,0.010615787114184747,0.0,0.0009370979338195082,0.0,0.0,0.022371011627484446,0.0,5.0205290038288625e-05,0.0,0.0004516451696589594,0.0015827825006627402,3.8868611642546034e-05,0.010134180723051325,0.004624858683748883,0.0,0.0061316247069544555,0.00018290515947416843,0.02752383561937791,0.00015132441251459978,0.0,5.1116273123660796e-05,0.00010162522419040682,0.0001961650243834745,0.0,0.0005105554091796932,0.0,0.0,0.0,0.0,0.014809548357866954,0.005161022839661815,0.00021863594048932141,0.1042923802236909,3.846373027126951e-06,0.004197607616709333,0.0007049996877352424,0.0,3.947593369946082e-06,0.0029792183501954617,0.0004793795435914011,0.006415851429590574,0.0184606673436958,0.0,0.0,0.0005325202235714445,0.0001253107844100833,0.0,0.00018128563398906234,2.348311953403823e-05,0.00503368764839535,1.1640339424199985e-05,0.0,0.0,0.00035416997952413687,0.0,0.0,0.0,0.0020089201439312788,0.0,0.0,0.00022207743214517186,0.001627521892188796,0.0,0.00038645926888343946,0.0,0.0005387958848262305,0.0,0.0,0.0,0.0,0.0025038876203168263,0.016022370505525775,0.002301649375364204,0.0,8.927634236647292e-05,0.0,0.07235078274197204,0.04855468990793707,9.312271539359987e-06,0.0002710680780696309,0.0012269929956534975,0.5931674041749546,0.0
CSM79HGX,0.0,0.0006190683682522407,0.0,0.0,0.0,0.0030165910947697523,0.04938369728296383,0.0,0.040311527953025394,0.0008319870532106085,0.0,0.015265561371467168,0.0,0.031236962767042895,0.002411272856857289,0.01034384805105965,0.010752810261013932,0.0005497968782829088,0.015333791184895607,0.0,3.36461522708184e-05,0.00021593954692695526,0.0,0.0,0.0035821172888201337,0.0,0.0,0.0,0.0,0.0,0.0,0.005025047633264024,0.0,0.017207767281960693,0.007715906473696782,0.0,0.0,0.0,0.0,4.218789990613453e-05,0.0,0.0,0.17561937305864045,0.0,0.0,0.0,0.0,0.0004555251513321637,0.0,0.07175182598085045,0.019013201062635075,0.0,4.843795915148779e-05,0.0,0.0,0.000990009384463957,0.0,0.0,0.0,0.0030397163139775597,0.17575895771512,0.0006713605306050297,0.033804382937379925,0.01573462831783093,0.03225832661538771,0.0,0.000481567064854469,7.062566947249187e-05,0.0,0.0,0.0190496597415663,0.03323469003716598,0.0,0.00021948124716598876,0.00023573140120390724,0.013888985822678111,0.0,0.09929156620130462,0.0,9.833426546022468e-05,0.0,0.0,0.0,0.0
CSM79HGZ,0.0033057372408884333,0.0,0.0,0.0,0.0,0.0,0.039655577752943455,0.0,0.00027642348726512244,0.0,0.0002550510593380646,0.0003366917081968732,0.00011304089841988882,0.04124706395005214,0.015573004415381547,0.0,0.0020592486244411646,0.0,0.04082397090999849,0.019321991630719296,0.0,0.00028665389115437755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004592235852744175,0.08293099653351375,0.0,0.0821122603489905,0.0013417022764066733,0.011527538069510634,0.0,0.0,0.000712988247291754,0.04237524452944347,1.124331516541905e-05,0.0008296756263058327,0.0544652522306079,0.0,0.0,0.00012803198530711424,0.0002835138661982695,0.004310950391353466,0.0,0.0,0.007240694966529868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021979161781479997,0.0001998473947871332,0.0,0.0,0.06501371026057853,0.0,0.0013686457163526325,0.0,5.1861057339590565e-05,0.0,0.0,0.0,0.0,0.008937017480721515,0.006851129289717241,0.0,0.0,5.277267748813806e-05,0.0,0.12101251016329855,0.24791408648621388,0.0,0.0006509980771905246,0.0018179731584589288,0.08212016105694457,0.0002978972063197966
CSM79HOV,0.0,0.0,0.001997617876548375,0.0,0.028209624421791726,0.0,0.03413257719669286,0.0,0.051419251896022526,0.00023890423135209003,0.0,0.0,0.0,0.002486516867880058,0.0035745079010350406,0.0,0.003770372741474893,0.0,0.03262334957163087,0.003013367851670996,0.0,0.00017643097834945664,0.0001922019135537045,0.0,0.012080841610361034,0.007484784099966972,0.0,0.0,0.0,0.0,0.0007877327764599153,0.0022031487740488956,0.0,0.09721031488350974,0.001552979251757645,0.02683857053871276,0.0,0.0002764492319351059,0.0,0.04775693549768899,0.0,0.0002236420359931405,0.08468513989226516,0.0,0.0,0.0,0.00013898772573550045,0.0008494937936791311,0.0,0.09096838222560658,0.0003996660224663585,3.520479729464359e-05,0.0007263787511169381,0.0,0.0,0.0,0.004211653683286655,0.0,0.004711134463400542,0.0,0.023333251256638286,0.0,0.08549342575847513,0.0001474328071674525,0.032262347777407184,0.0,0.0003793164286544258,0.000480250413961612,0.0,0.0,0.005676926185714869,0.01119288708437735,0.0,0.0,0.0,0.001725035067437536,0.0,0.26921698629434504,0.0,0.00045176098262490625,0.0011649124977640881,0.0,0.0,0.014295589652882731
CSM79HOX,0.004914603387122246,0.0,0.0012656950859243664,0.0,0.0,0.0,0.032417768893475384,0.0,0.00013041601999942356,0.0,0.00010270895894118025,0.00042879975447281284,4.8309747486167785e-05,0.037873725627427926,0.013656333387597225,0.0,0.0031451066488421293,0.00022307736339201008,0.04816694955609838,0.0446004520006122,0.0,0.00021526255129865942,0.0,0.0,0.0,0.0011336552088665843,0.0,0.0,0.0,0.0,0.003085531393013599,0.06334514148057603,0.0,0.09167951881867648,0.0011956662502826529,0.019931627498557817,0.0,0.0,3.0345828778075985e-05,0.10210102745495726,0.0,0.0005198372408070407,0.10396338851876226,0.0,0.0,0.00023911295184330107,9.13419595326702e-06,0.0003372548128078478,0.0,0.00013752039462974232,0.011117737350052025,4.384414057568169e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010974228982519587,0.00044067420921205995,5.094851520600048e-05,0.0,0.040770788110605784,0.0,0.001763204292178977,0.0,0.0001715199017891251,0.0,0.0,0.0,0.0,0.01098194230354679,0.010368428808685689,0.0,0.0,0.00012209375257533583,0.0,0.1371225496504445,0.17759617191937066,0.0,0.0014835964049428588,0.0005387145791104593,0.02772482199481909,0.00038566605136016303
CSM79HOZ,0.004207330800125287,0.0,0.0008167668220751452,0.0,0.0,0.0,0.030679059874837024,0.0,0.0002734424234323067,0.0,2.1769597698851798e-05,0.00037740751150813165,0.00014089202249023243,0.03360757940079284,0.02335735415157927,0.0,0.00028158059079636346,0.0002636766225954386,0.0693031073659265,0.0158827526089693,0.0,0.0002503503735367957,0.0,0.0,0.0,8.209376328492244e-05,0.0,0.0,0.0,0.0,0.006825786149510547,0.07640386184525011,0.0,0.06927859113674227,0.0014734152012624742,0.021560955433055792,0.0,0.0,0.0,0.05237785551762153,6.876751422627952e-05,0.001271181742265664,0.07292103139470997,0.0,0.0,7.73125899585391e-05,0.0,0.014388585080928482,0.0,0.0,0.006251129806516089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.898046056534018e-05,0.0,0.0,0.0,0.06762867943077182,0.0,0.012856371620460697,0.0,0.00013092276746926292,0.0,0.0,0.0,0.0,0.006267202687060101,0.012714869235418159,8.270412583722669e-05,0.0,0.00010823762594195474,0.0,0.13542012220882477,0.1889417971494645,0.0,0.0009669160099419922,0.0026894608596366534,0.0647653669708205,0.00021321998493828678
CSM79HP2,0.006854054257196607,0.0,0.0013184798011743374,0.0,0.0,0.0,0.06050540277683909,0.0,0.0002966099682972841,0.0,4.606748826415584e-05,0.00011749230011230972,8.263860833350761e-05,0.03129245268055703,0.016050074551541595,0.0,0.0011793681096398142,0.0,0.0380803354359707,0.03798597790518403,0.0,0.00012213945901615002,0.0,0.0,0.0,0.0010460148541383103,0.0,0.0,0.0,0.0,0.003705604099844816,0.06325227778978294,0.0,0.0520881856996616,0.0012148279525799868,0.00926805125735451,0.0,0.0,1.909376158316985e-05,0.040393105192179736,0.0,0.0005120967061644867,0.1182429173004735,0.0,0.0,1.0910720904668488e-05,5.788743591088003e-05,0.007176829750626383,0.0010984469295968562,0.0,0.013026895634206366,5.687718397526258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006089798667902004,0.0012732205144586756,1.171892245316245e-05,0.0,0.05485294217186589,0.0,0.032056809295045195,0.0,8.890217033433583e-05,0.0,0.0,0.0,0.0,0.003214621659134734,0.015606776002192653,0.0,0.0,0.0001404250190508259,0.0,0.11359373789276198,0.23778703909402227,0.0,0.0009054888098939227,0.0012211925397743765,0.029406110266372125,0.0003175221833645653
CSM79HP4,0.012550479719064091,0.0,0.0,0.0,0.0,0.0,0.04126157310508559,0.0,0.00015313259669349274,0.0,0.0,0.00023462065179281327,0.00011020675944939238,0.05582449319858881,0.006387222510593192,0.0,0.0,0.0005445391079239775,0.036807738422328325,0.06174196700799302,0.0,0.00020884485354221872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004395991355974428,0.06564081019219713,0.0,0.08293921224492486,0.0026836259241613094,0.022576757840942006,0.0,0.0,0.0,0.05256517395365733,0.0,0.0013316142702531554,0.11971843492194445,0.0,0.0,0.0,0.0,0.01310435494288986,0.0,0.0,0.009352555584138953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015323407621416438,1.1061267753207892e-05,0.0,0.05384604846357467,0.0,0.01019128382248999,0.0,0.00013192337687312162,0.0,0.0,0.0,0.0,0.005474211263110518,0.004410604406951143,0.0,0.0,0.00012796567556692799,0.0,0.10380035730939226,0.17284397878875055,0.0,0.001181729018221155,0.0021101651528459163,0.04838888575993699,0.0002369546807682608
CSM79HP6,0.005077425291786068,0.0,0.0,0.0,0.0,0.0,0.053196999931078,0.0,0.0003614553245224789,0.0,8.422658883445088e-06,8.874606433288484e-05,0.0,0.04411264874852128,0.014548705206220073,0.0,0.0012659667163226918,0.00026182143285245773,0.041039610840290675,0.043363648400008094,0.0,0.00019526188460279408,0.0,0.0,0.004562410515669073,0.0,0.0,0.0,0.0,0.0,0.00439508720687478,0.03328254743934222,0.0,0.0785533117843372,0.0023269135895800613,0.012972127264732283,0.0,0.0,0.00032817555039764705,0.0864836559845097,6.008848105872411e-05,0.0007676945426203487,0.15414595625579122,0.0,0.0,0.0,3.5334081169574525e-05,0.02525821869187274,0.001965252834353108,0.0,0.009322342653690157,9.696329251185567e-05,0.0,0.0,0.0,0.0,7.600936065548008e-06,0.0,0.0008030286237899233,0.0,0.0,8.361029672102807e-05,0.05346714130746166,0.0,0.01414431486446247,0.0,0.00013620055706644132,0.0,0.0,0.0,0.0,0.015087036367294897,0.006313090979198806,4.560561639328804e-05,0.0,0.00012099868493534531,0.0,0.10156504300743155,0.1493809910655105,0.0,0.002302364620395386,0.0009543283376352234,0.029491323788269557,0.0002569938112973124
CSM7KOOH,0.00316898079398831,0.0,0.0004276798011435703,0.0,0.0,0.0,0.025864555983336583,0.0,7.723542917693352e-05,0.0,0.0,0.00018129574528949924,0.0,0.00034477571661420127,0.0,0.0,0.00339572700808573,0.00020741205030607704,0.016823455600155728,0.005887505939434871,0.0,0.00018271290912760812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076745495392901595,0.07126572773488833,0.0,0.08631590646961612,0.000867709172876375,0.003498471386348623,0.0,0.0,0.0006459230322123365,0.21094787408215868,7.915872295722413e-05,0.0004572377897669839,0.04826900522994192,0.0,0.0,9.201442348864033e-05,0.00012369815786921723,0.062251249786666234,0.0,0.05084389069779731,0.0074744257601515,0.0020113603902302346,0.00027229790889377606,0.0,0.0,0.0,0.0,0.0,0.0012464968216051892,0.00019688454750869686,0.0,0.00013948941206528754,0.06494669540674931,0.0,0.009681962115971377,0.0,0.00035925103296059903,0.0,0.0,0.0,0.0,0.004730290439630542,0.01233944799039082,0.0,0.0,0.00044802622481927623,0.0,0.03313501137678884,0.16227133302277202,2.5104045132214303e-05,0.0016071650184038971,0.0009490948675791988,0.07112461870700806,0.0005481387273828244
