,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_shahii,Anaerostipes_hadrus,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_faecis,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Bilophila_unclassified,Bilophila_wadsworthia,Burkholderiales_bacterium_1_1_47,C2likevirus_unclassified,Clostridiales_bacterium_1_7_47FAA,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Collinsella_aerofaciens,Coprococcus_catus,Coprococcus_comes,Dialister_invisus,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Escherichia_coli,Escherichia_unclassified,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Faecalibacterium_prausnitzii,Flavonifractor_plautii,Haemophilus_parainfluenzae,Holdemania_filiformis,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Odoribacter_splanchnicus,Oscillibacter_unclassified,Parabacteroides_distasonis,Parabacteroides_merdae,Parabacteroides_unclassified,Parasutterella_excrementihominis,Peptostreptococcaceae_noname_unclassified,Prevotella_copri,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_gnavus,Ruminococcus_obeum,Ruminococcus_torques,Streptococcus_parasanguinis,Streptococcus_salivarius,Subdoligranulum_unclassified,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
CSM67UH7,0.5931674041749546,0.0,0.0051610228396618,0.0016275218921887,0.0,0.0002186359404893,0.0223710116274844,0.0029792183501954,1.1640339424199985e-05,0.0,0.0160223705055257,0.048554689907937,0.0050336876483953,0.0,0.0275238356193779,2.348311953403823e-05,0.072350782741972,8.927634236647292e-05,0.0,0.0,0.0,0.0,0.0012269929956534,0.0,0.0148095483578669,0.0005105554091796,0.0,0.0,0.0,0.0106157871141847,0.0,0.0,0.0002220774321451,0.0,0.0,0.0005325202235714,0.0015827825006627,0.0,0.0004516451696589,0.0004793795435914,0.0001829051594741,0.0001961650243834,0.0001016252241904,0.0025038876203168,0.0003541699795241,3.8868611642546034e-05,0.0101341807230513,0.0003864592688834,0.0,0.0184606673436958,0.0,0.0020089201439312,0.0023016493753642,0.0,0.0,0.0041976076167093,0.0007049996877352,0.0009370979338195,5.11162731236608e-05,0.0,0.0,3.846373027126951e-06,5.020529003828863e-05,0.0,0.0046248586837488,0.0064158514295905,0.000181285633989,0.0,0.0002710680780696,0.0001513244125145,0.0039697606250234,0.0,0.0,0.0,0.0,0.0005387958848262,0.0061316247069544,0.0,9.312271539359987e-06,0.1042923802236909,0.0,0.0,3.947593369946082e-06,0.00012531078441
CSM79HGX,0.0,7.062566947249187e-05,0.005025047633264,0.0338043829373799,0.0,0.0,0.0493836972829638,4.218789990613453e-05,0.0,0.0,0.0,0.0,0.019013201062635,0.17575895771512,0.0153337911848956,0.0717518259808504,0.0992915662013046,0.0138889858226781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002357314012039,0.0,0.0006190683682522,0.0,0.0,0.000671360530605,3.36461522708184e-05,0.0157346283178309,0.0,0.0152655613714671,0.0,0.0,0.0,0.0005497968782829,0.0,0.0,0.0332346900371659,0.0,0.0,0.0312369627670428,0.0322583266153877,0.0008319870532106,0.1756193730586404,0.0030165910947697,0.0,0.0002194812471659,0.0030397163139775,0.0009900093844639,0.0,0.0,0.0,0.0002159395469269,0.0,0.0035821172888201,0.0077159064736967,0.0403115279530253,0.0190496597415663,0.0024112728568572,0.0,0.0,0.0,0.0,0.0,0.0,0.0004555251513321,0.0,0.0,0.0103438480510596,0.0004815670648544,0.0107528102610139,4.843795915148779e-05,9.833426546022468e-05,0.0172077672819606,0.0,0.0,0.0,0.0
CSM79HGZ,0.0821201610569445,0.0,0.0829309965335137,0.0650137102605785,0.0002978972063197,0.0,0.0396555777529434,0.0423752445294434,0.0,0.0,0.0068511292897172,0.2479140864862138,0.0072406949665298,0.0,0.0408239709099984,0.0,0.1210125101632985,5.277267748813806e-05,0.0,0.0,0.0,0.0,0.0018179731584589,0.0,0.0045922358527441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001280319853071,0.0003366917081968,0.0,0.000255051059338,1.124331516541905e-05,0.0,0.0,0.0,0.0089370174807215,0.0,0.0001130408984198,0.0412470639500521,0.0013686457163526,0.0,0.0544652522306079,0.0,0.0021979161781479,0.0,0.0001998473947871,0.0,0.0115275380695106,0.0,0.0,0.0002866538911543,0.0,0.0,0.0013417022764066,0.0002764234872651,0.0,0.0155730044153815,0.0008296756263058,0.0,0.0,0.0006509980771905,0.0193219916307192,0.0033057372408884,0.0043109503913534,0.0,0.0,0.0,5.1861057339590565e-05,0.0020592486244411,0.0,0.0,0.0821122603489905,0.0,0.0,0.0007129882472917,0.0002835138661982
CSM79HOV,0.0,0.0004802504139616,0.0022031487740488,0.0854934257584751,0.0142955896528827,0.0,0.0341325771966928,0.0477569354976889,3.520479729464359e-05,0.0002764492319351,0.0,0.0,0.0003996660224663,0.0233332512566382,0.0326233495716308,0.0909683822256065,0.269216986294345,0.0017250350674375,0.0282096244217917,0.0,0.0,0.0,0.0,0.0,0.0007877327764599,0.0074847840999669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001474328071674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001922019135537,0.0111928870843773,0.0,0.0,0.00248651686788,0.0322623477774071,0.000238904231352,0.0846851398922651,0.0,0.0047111344634005,0.0,0.0,0.0,0.0268385705387127,0.0,0.0,0.0001764309783494,0.0019976178765483,0.012080841610361,0.0015529792517576,0.0514192518960225,0.0056769261857148,0.003574507901035,0.0002236420359931,0.0,0.0,0.001164912497764,0.0030133678516709,0.0,0.0008494937936791,0.0,0.0042116536832866,0.0,0.0003793164286544,0.0037703727414748,0.0007263787511169,0.0004517609826249,0.0972103148835097,0.0,0.0,0.0,0.0001389877257355
CSM79HOX,0.027724821994819,0.0,0.063345141480576,0.0407707881106057,0.0003856660513601,0.0,0.0324177688934753,0.1021010274549572,4.384414057568169e-05,0.0,0.0103684288086856,0.1775961719193706,0.011117737350052,5.094851520600048e-05,0.0481669495560983,0.0001375203946297,0.1371225496504445,0.0001220937525753,0.0,0.0,0.0,0.0,0.0005387145791104,0.0,0.0030855313930135,0.0011336552088665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002391129518433,0.0004287997544728,0.0,0.0001027089589411,0.0,0.000223077363392,0.0,0.0,0.0109819423035467,0.0,4.8309747486167785e-05,0.0378737256274279,0.0017632042921789,0.0,0.1039633885187622,0.0,0.0010974228982519,0.0,0.000440674209212,0.0,0.0199316274985578,0.0,0.0,0.0002152625512986,0.0012656950859243,0.0,0.0011956662502826,0.0001304160199994,0.0,0.0136563333875972,0.000519837240807,0.0,0.0,0.0014835964049428,0.0446004520006122,0.0049146033871222,0.0003372548128078,0.0,0.0,0.0,0.0001715199017891,0.0031451066488421,0.0,0.0,0.0916795188186764,0.0,0.0,3.0345828778075985e-05,9.13419595326702e-06
CSM79HOZ,0.0647653669708205,0.0,0.0764038618452501,0.0676286794307718,0.0002132199849382,0.0,0.030679059874837,0.0523778555176215,0.0,0.0,0.0127148692354181,0.1889417971494645,0.006251129806516,0.0,0.0693031073659265,0.0,0.1354201222088247,0.0001082376259419,0.0,0.0,0.0,0.0,0.0026894608596366,0.0,0.0068257861495105,8.209376328492244e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73125899585391e-05,0.0003774075115081,0.0,2.17695976988518e-05,6.876751422627952e-05,0.0002636766225954,0.0,0.0,0.0062672026870601,0.0,0.0001408920224902,0.0336075794007928,0.0128563716204606,0.0,0.0729210313947099,0.0,9.898046056534018e-05,8.270412583722669e-05,0.0,0.0,0.0215609554330557,0.0,0.0,0.0002503503735367,0.0008167668220751,0.0,0.0014734152012624,0.0002734424234323,0.0,0.0233573541515792,0.0012711817422656,0.0,0.0,0.0009669160099419,0.0158827526089693,0.0042073308001252,0.0143885850809284,0.0,0.0,0.0,0.0001309227674692,0.0002815805907963,0.0,0.0,0.0692785911367422,0.0,0.0,0.0,0.0
CSM79HP2,0.0294061102663721,0.0,0.0632522777897829,0.0548529421718658,0.0003175221833645,0.0,0.060505402776839,0.0403931051921797,5.687718397526258e-05,0.0,0.0156067760021926,0.2377870390940222,0.0130268956342063,1.171892245316245e-05,0.0380803354359707,0.0,0.1135937378927619,0.0001404250190508,0.0,0.0,0.0,0.0,0.0012211925397743,0.0,0.0037056040998448,0.0010460148541383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910720904668488e-05,0.0001174923001123,0.0,4.606748826415584e-05,0.0,0.0,0.0,0.0,0.0032146216591347,0.0,8.263860833350761e-05,0.031292452680557,0.0320568092950451,0.0,0.1182429173004735,0.0,0.0006089798667902,0.0,0.0012732205144586,0.0,0.0092680512573545,0.0,0.0,0.0001221394590161,0.0013184798011743,0.0,0.0012148279525799,0.0002966099682972,0.0,0.0160500745515415,0.0005120967061644,0.0010984469295968,0.0,0.0009054888098939,0.037985977905184,0.0068540542571966,0.0071768297506263,0.0,0.0,0.0,8.890217033433583e-05,0.0011793681096398,0.0,0.0,0.0520881856996616,0.0,0.0,1.909376158316985e-05,5.788743591088003e-05
CSM79HP4,0.0483888857599369,0.0,0.0656408101921971,0.0538460484635746,0.0002369546807682,0.0,0.0412615731050855,0.0525651739536573,0.0,0.0,0.0044106044069511,0.1728439787887505,0.0093525555841389,1.1061267753207892e-05,0.0368077384223283,0.0,0.1038003573093922,0.0001279656755669,0.0,0.0,0.0,0.0,0.0021101651528459,0.0,0.0043959913559744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002346206517928,0.0,0.0,0.0,0.0005445391079239,0.0,0.0,0.0054742112631105,0.0,0.0001102067594493,0.0558244931985888,0.0101912838224899,0.0,0.1197184349219444,0.0,0.0,0.0,0.0001532340762141,0.0,0.022576757840942,0.0,0.0,0.0002088448535422,0.0,0.0,0.0026836259241613,0.0001531325966934,0.0,0.0063872225105931,0.0013316142702531,0.0,0.0,0.0011817290182211,0.061741967007993,0.012550479719064,0.0131043549428898,0.0,0.0,0.0,0.0001319233768731,0.0,0.0,0.0,0.0829392122449248,0.0,0.0,0.0,0.0
CSM79HP6,0.0294913237882695,0.0,0.0332825474393422,0.0534671413074616,0.0002569938112973,0.0,0.053196999931078,0.0864836559845097,9.696329251185568e-05,0.0,0.0063130909791988,0.1493809910655105,0.0093223426536901,0.0,0.0410396108402906,0.0,0.1015650430074315,0.0001209986849353,0.0,0.0,0.0,0.0,0.0009543283376352,0.0,0.0043950872068747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.361029672102807e-05,0.0,0.0,0.0,8.874606433288484e-05,0.0,8.422658883445088e-06,6.008848105872411e-05,0.0002618214328524,0.0,0.0,0.0150870363672948,0.0,0.0,0.0441126487485212,0.0141443148644624,0.0,0.1541459562557912,0.0,0.0008030286237899,4.560561639328804e-05,0.0,0.0,0.0129721272647322,0.0,0.0,0.0001952618846027,0.0,0.004562410515669,0.00232691358958,0.0003614553245224,0.0,0.01454870520622,0.0007676945426203,0.0019652528343531,0.0,0.0023023646203953,0.043363648400008,0.005077425291786,0.0252582186918727,0.0,7.600936065548008e-06,0.0,0.0001362005570664,0.0012659667163226,0.0,0.0,0.0785533117843372,0.0,0.0,0.0003281755503976,3.5334081169574525e-05
CSM7KOOH,0.071124618707008,0.0,0.0712657277348883,0.0649466954067493,0.0005481387273828,0.0,0.0258645559833365,0.2109478740821586,0.0020113603902302,0.0,0.0123394479903908,0.162271333022772,0.0074744257601515,0.0,0.0168234556001557,0.0508438906977973,0.0331350113767888,0.0004480262248192,0.0,0.0,0.0,0.0,0.0009490948675791,0.0,0.0076745495392901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001394894120652,0.0,0.0,9.201442348864032e-05,0.0001812957452894,0.0,0.0,7.915872295722413e-05,0.000207412050306,0.0,0.0,0.0047302904396305,0.0,0.0,0.0003447757166142,0.0096819621159713,0.0,0.0482690052299419,0.0,0.0012464968216051,0.0,0.0001968845475086,0.0,0.0034984713863486,0.0,0.0,0.0001827129091276,0.0004276798011435,0.0,0.0008677091728763,7.723542917693352e-05,0.0,0.0,0.0004572377897669,0.0,0.0,0.0016071650184038,0.0058875059394348,0.0031689807939883,0.0622512497866662,0.0,0.0,0.0,0.0003592510329605,0.0033957270080857,0.0002722979088937,2.5104045132214303e-05,0.0863159064696161,0.0,0.0,0.0006459230322123,0.0001236981578692
