	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
CSM67UH7	6691	58	18	252	34	0	181	548	57	0	310	0	816	0	0	2	114	4	208	1	0	0	2	69	588
CSM79HGX	0	57	385	563	0	0	0	0	217	2003	175	818	1131	0	0	0	356	368	2001	459	217	0	0	123	98
CSM79HGZ	913	922	723	441	471	0	76	2757	81	0	454	0	1346	0	0	0	459	15	606	3	0	0	215	23	457
CSM79HOV	0	25	989	395	552	0	0	0	5	270	377	1052	3113	326	0	0	29	373	979	595	66	0	35	44	562
CSM79HOX	310	709	456	363	1143	0	116	1987	124	1	539	2	1535	0	0	0	424	20	1163	1	0	0	499	35	513
CSM79HOZ	736	869	769	349	596	0	145	2149	71	0	788	0	1540	0	0	0	382	146	829	3	0	0	181	3	394
CSM79HP2	319	687	596	657	439	1	169	2582	141	0	414	0	1234	0	0	0	340	348	1284	3	0	0	413	13	283
CSM79HP4	543	737	604	463	590	0	50	1940	105	0	413	0	1165	0	0	0	627	114	1344	2	0	0	693	0	466
CSM79HP6	341	384	618	615	999	1	73	1726	108	0	474	0	1173	0	0	0	510	163	1781	4	0	0	501	15	454
CSM7KOOH	843	845	770	307	2501	24	146	1924	89	0	199	603	393	0	0	0	4	115	572	1	0	0	70	40	512
CSM7KOOJ	533	817	632	512	1871	0	132	1530	134	0	256	755	637	0	0	0	426	124	883	2	0	0	333	17	339
CSM7KOOL	212	614	760	596	522	2	189	1746	357	0	81	874	1768	0	0	0	56	128	1188	5	0	0	393	17	391
CSM7KOON	410	903	736	379	977	0	55	754	179	1	365	1132	1159	0	0	0	887	86	899	1	0	0	99	41	899
CSM7KOOP	1072	565	529	231	645	0	62	653	124	0	186	1265	1378	0	0	0	647	156	1229	5	0	0	477	11	655
CSMA8M9R	628	687	515	518	1086	0	238	1413	112	0	268	1120	759	0	0	5	748	25	851	4	0	0	414	35	485
CSMAAEUA	327	402	654	437	466	1	75	1892	205	0	212	1409	1854	0	0	0	392	64	596	12	0	0	624	7	304
CSMAE44D	216	868	770	337	388	0	154	2001	120	0	264	476	2309	0	0	1	199	126	962	3	0	0	341	0	433
CSMAG78W	0	0	921	141	0	0	0	3476	0	0	0	2818	0	0	0	0	31	672	1206	0	0	0	281	7	333
CSMAHYLR	0	11	1013	1215	0	0	0	3389	1	1	0	2524	2	0	0	0	196	277	693	0	0	0	192	25	427
HSM5MD5B	29	70	0	214	0	1	0	0	125	146	34	568	135	0	958	188	432	0	2599	0	336	0	232	51	629
HSM5MD5D	135	242	0	635	0	9	0	0	255	84	104	442	636	0	213	5	644	0	3615	0	904	0	0	52	258
HSM5MD6I	0	182	0	0	0	0	0	2383	642	4063	0	0	0	0	0	0	1009	0	1560	0	0	0	0	18	37
HSM5MD6K	0	339	0	0	0	0	0	2257	466	3355	0	1	0	0	15	0	640	0	2653	0	0	0	1	14	59
HSM5MD6M	0	152	0	0	0	0	0	1646	383	4744	0	1	1	0	4	0	1111	0	1803	0	0	0	0	14	6
HSM5MD6Q	0	913	1069	1002	0	0	0	0	816	2349	0	2133	171	0	59	62	168	14	1161	0	0	0	0	23	41
HSM5MD6W	0	0	0	206	0	1	0	1	1164	6113	0	266	227	0	133	0	0	0	1677	0	0	0	0	94	118
HSM67VDT	216	190	1184	352	0	22	1	1	305	4756	145	800	866	0	54	14	181	41	173	0	543	0	0	17	83
HSM67VEO	2	169	876	168	45	1060	31	0	150	1996	75	481	1	0	29	0	2579	151	921	60	706	0	263	48	23
HSM67VEQ	0	630	871	540	123	645	467	0	197	1178	61	254	1	0	80	5	1528	773	867	155	584	0	8	63	103
HSM67VES	0	308	628	320	267	849	8	1	401	1899	78	621	1	0	31	6	1379	904	773	109	905	0	154	23	42
HSM67VEU	3	316	869	235	33	687	27	0	218	1252	70	509	1	0	28	0	1864	946	1446	48	957	0	166	12	60
HSM67VEW	0	415	1006	232	83	501	12	0	115	1358	54	557	3	0	97	16	2399	834	947	129	801	0	29	55	78
HSM67VF3	0	0	0	1128	0	0	0	0	819	5556	0	1744	272	0	36	0	0	0	99	0	0	0	329	6	8
HSM67VFR	0	0	0	0	0	0	0	0	2705	1721	0	2	2664	0	0	162	602	0	0	0	2040	0	0	103	0
HSM67VFX	38	271	0	475	0	2	0	0	162	239	72	908	816	0	0	135	665	0	3981	0	680	0	86	74	316
HSM67VFZ	27	707	28	547	0	58	0	0	289	619	82	922	771	0	0	160	527	0	1515	0	1076	0	5	59	275
HSM67VG8	20	517	419	216	0	1	219	0	118	300	29	3220	233	0	0	36	70	0	229	0	460	0	5	32	90
HSM67VGA	413	326	969	870	0	98	9	1	64	18	824	863	737	0	1178	7	1	94	1502	904	0	150	0	72	103
HSM67VGC	249	562	1234	457	0	45	2	0	45	237	172	455	356	0	615	7	1	149	4268	568	0	317	0	4	21
HSM67VGG	2089	1660	537	361	0	22	20	0	62	29	457	45	315	0	230	21	0	104	785	1506	0	14	0	13	113
HSM67VGK	18	41	397	91	0	7	1	0	6	59	111	36	76	0	653	0	0	53	1375	959	0	6025	0	7	34
HSM67VGK_TR	11	47	508	98	0	9	0	0	7	67	121	37	116	0	580	0	0	85	1120	890	0	6205	0	2	29
HSM67VI3	256	222	1234	294	0	31	0	0	309	3083	81	285	1786	0	74	0	1000	32	486	0	425	0	4	35	217
HSM67VI5	538	200	836	371	0	17	0	0	413	4403	106	201	583	0	123	1	1052	15	274	0	502	0	8	60	142
HSM67VI7	187	143	874	319	0	50	0	0	154	4499	149	515	865	0	84	8	1088	54	197	0	542	0	0	89	106
HSM67VI9	416	172	772	669	0	46	0	0	198	4105	112	785	941	0	46	5	735	61	154	0	408	0	0	155	88
HSM67VIB	4	125	1090	280	0	36	0	0	866	4700	127	745	548	0	29	5	126	18	477	0	393	0	20	113	208
HSM6XRQ8	38	3	69	102	20	16	0	589	54	46	0	28	609	91	0	0	47	20	1447	0	55	6093	0	8	207
HSM6XRQS	0	0	0	0	0	0	533	0	1249	4446	1068	0	911	0	0	29	216	0	0	0	1525	0	0	14	2
HSM6XRQU	0	0	0	0	0	0	455	0	934	5241	760	0	1137	0	0	47	310	0	14	0	1088	0	0	4	0
HSM6XRQW	0	0	0	0	0	0	272	0	589	6350	136	0	1387	0	0	113	295	0	11	0	823	0	0	15	0
HSM6XRQY	0	0	0	0	0	0	1146	0	1444	4382	381	0	1254	0	0	35	163	0	66	0	1023	0	0	59	1
HSM6XRRJ	0	177	0	0	0	0	0	3904	873	4069	0	0	1	0	0	7	0	0	906	0	0	0	11	30	4
HSM6XRSX	195	96	0	536	0	14	3	0	203	272	54	710	884	0	758	1218	454	0	1191	0	312	0	17	30	633
HSM6XRT8	343	410	1132	507	0	34	2	0	7	58	511	1198	268	0	1673	0	1	159	1959	472	0	860	0	11	30
HSM6XRTG	37	59	366	140	0	17	1	0	2	41	211	245	127	0	85	0	1	274	2054	180	0	6031	0	10	60
HSM6XRUL	0	4	2191	139	0	77	6	1003	447	1616	11	592	1673	0	11	1	193	30	419	1	325	0	168	48	74
HSM6XRUN	0	0	1132	139	0	150	0	1380	1022	822	0	465	1928	0	12	4	116	257	772	0	40	0	1125	6	36
HSM6XRUR	14	3	33	68	21	5	4	191	20	75	1	17	273	74	2	0	80	2	525	0	10	8352	0	6	92
HSM6XRVA	670	214	0	1	0	0	0	2722	306	3607	0	0	1	0	35	0	377	0	1794	0	0	2	0	15	33
HSM6XRVC	186	182	0	0	0	0	0	2636	652	1729	0	0	1	0	41	0	457	1	3955	0	0	0	10	11	21
HSM6XRVC_TR	217	123	0	0	0	0	0	1549	232	1201	0	0	0	0	124	0	267	0	6191	0	0	0	7	1	16
HSM6XRVK	24	51	0	0	0	0	0	1572	487	415	0	0	0	0	582	0	972	0	5146	0	0	0	187	82	108
HSM7CYXE	0	0	0	2060	0	0	3	0	1085	3805	0	1923	521	0	39	4	8	0	249	0	0	0	273	8	16
HSM7CYXG	0	0	0	1933	0	0	0	0	1001	3331	0	690	565	0	101	23	353	0	1522	0	0	0	20	96	195
HSM7CYXI	0	0	0	948	0	0	3	0	1156	4274	0	1677	1180	0	31	0	159	0	362	0	0	0	124	0	65
HSM7CYXO	0	0	0	950	0	0	0	1	1249	5381	0	1517	300	0	3	1	184	0	216	0	0	0	142	17	37
HSM7CYYF	0	0	0	1	0	0	0	1	2166	4847	0	3	952	0	0	257	393	0	0	0	1227	0	0	146	1
HSM7CYYH	0	0	0	0	0	0	0	0	1049	1929	0	0	2097	0	0	482	1372	0	1	0	2159	0	0	419	0
HSM7CYYP	1	0	0	0	0	0	1	0	1424	5010	0	0	1658	0	0	108	78	0	0	0	1684	0	0	25	0
HSM7CYZJ	7	532	568	1684	265	425	655	0	167	934	111	310	1	0	61	11	752	992	1069	99	455	0	51	117	211
HSM7CYZL	9	308	853	371	98	508	32	0	240	555	87	336	2	0	95	1	2371	1954	1165	43	486	1	64	61	67
HSM7CYZR	0	1055	760	766	414	1250	46	0	136	422	81	422	2	0	69	11	1099	838	923	154	723	0	27	59	137
HSM7CZ16	99	7	155	77	7	1	2	1004	24	92	0	83	451	40	0	28	936	8	1195	0	55	5452	0	187	38
HSM7CZ18	373	43	661	304	5	35	1	1642	43	140	0	62	1054	119	0	6	648	75	2727	0	358	1325	0	33	117
HSM7CZ1A	593	15	490	1084	40	278	45	993	164	115	5	89	1207	379	0	16	1456	1	1042	0	442	949	1	123	178
HSM7CZ1C	0	153	1946	1694	0	30	1	14	73	81	10	1246	644	923	0	2	342	201	1272	0	600	6	0	49	202
HSM7CZ1E	25	5	46	66	0	8	5	579	40	65	0	31	364	52	0	0	100	0	479	0	121	7805	0	16	42
HSM7CZ1G	174	16	184	111	0	28	1	701	22	79	0	102	518	120	0	1	594	247	1206	0	133	5462	0	62	127
HSM7CZ24	320	193	961	227	0	52	0	0	266	4315	123	594	1099	0	110	13	404	125	353	0	494	1	0	66	145
HSM7CZ26	431	206	1103	217	0	11	0	0	512	3913	152	1273	612	0	75	0	249	129	308	0	336	0	0	23	148
HSM7CZ28	755	227	1141	482	0	15	0	0	263	3103	139	342	1380	0	201	0	357	31	582	0	394	1	0	132	259
HSM7CZ2A	280	170	1925	325	0	21	0	0	305	3110	144	1346	1035	0	91	0	125	166	182	0	370	2	0	106	110
HSM7CZ2E	24	217	1278	458	0	30	1	1	438	2291	202	2072	1237	0	108	3	310	215	243	0	409	0	25	33	104
HSM7CZ2H	24	260	1493	526	0	8	6	1	333	1475	52	381	860	0	0	388	934	0	677	0	527	0	4	84	448
HSM7J4G1	4	58	178	2138	11	496	3330	0	12	583	15	62	5	0	7	110	997	262	313	166	297	7	8	718	162
HSM7J4G8	0	241	846	204	82	603	32	0	98	996	72	336	2	0	44	4	997	3345	993	112	521	0	172	43	66
HSM7J4HA	198	25	458	263	16	202	2	1238	131	47	0	183	908	179	0	10	176	33	2621	0	406	2591	69	40	115
HSM7J4HC	530	18	717	379	0	230	1	2752	94	208	0	58	1281	453	0	3	174	1	491	0	450	1849	6	33	34
HSM7J4HE	37	3	140	119	0	41	0	694	38	147	0	85	564	86	0	0	210	3	529	0	291	6858	0	13	39
HSM7J4HG	166	0	413	151	0	63	4	1478	12	129	0	163	1311	55	0	70	361	77	2511	0	799	1898	0	39	121
HSM7J4HI	262	21	461	286	9	181	2	2103	113	201	1	131	978	236	0	2	407	129	1610	0	357	1998	61	32	132
HSM7J4HK	978	38	671	252	318	178	0	2051	359	524	0	82	1157	465	0	20	158	295	1073	0	114	754	7	44	157
HSM7J4HW	149	437	1917	412	0	103	14	0	288	1759	215	1380	1094	0	86	7	80	164	193	1	684	0	7	102	127
HSM7J4HY	15	177	599	659	0	21	0	0	406	3376	270	2064	1211	0	44	0	359	55	158	0	441	0	3	2	73
HSM7J4I3	0	45	0	1986	0	0	0	0	872	2920	0	2093	526	0	64	8	24	0	806	0	0	0	518	13	99
HSM7J4I5	17	528	1553	330	0	22	0	0	328	2431	73	1574	1007	0	82	1	311	367	166	0	522	0	1	50	83
HSM7J4I7	49	426	3125	198	0	26	1	0	580	1540	131	976	910	0	187	1	61	148	338	0	532	0	1	77	171
HSM7J4I9	162	349	3224	225	0	32	0	0	405	857	202	929	566	0	170	0	179	78	487	0	839	0	5	66	253
HSM7J4IU	3	368	857	711	81	724	45	0	86	1014	87	326	3	0	78	7	945	1280	1970	156	762	0	78	29	79
HSM7J4IW	9	444	991	217	220	591	10	0	237	525	76	600	2	0	51	10	1388	1932	1483	114	560	0	203	23	59
HSM7J4KC	3	2	98	99	0	24	66	474	57	122	0	27	385	73	0	66	167	6	695	1	97	7241	0	26	55
HSM7J4KG	97	5	818	139	1	30	0	1492	27	177	0	82	712	114	0	0	259	5	1276	0	240	3785	135	28	71
HSM7J4KI	1231	19	648	573	70	136	854	1084	207	206	0	176	1000	267	0	27	121	57	2046	0	637	40	20	90	157
HSM7J4KK	206	9	528	1532	13	165	1923	971	77	315	0	177	904	636	0	118	724	40	476	0	436	114	0	156	195
HSM7J4KM	0	0	150	485	2	64	27	854	18	73	0	52	589	106	0	92	677	1	2941	0	119	2687	0	215	283
HSM7J4KO	0	113	0	2310	0	0	1	1	622	3404	0	911	589	0	141	143	6	0	1316	0	0	0	341	34	52
HSM7J4KQ	0	258	0	1294	0	0	0	0	597	3728	0	1289	269	0	42	10	396	0	1763	0	0	0	265	7	59
HSM7J4LD	0	0	0	0	0	0	0	0	2172	5107	0	0	904	0	0	83	640	0	1	0	1024	1	31	34	0
HSM7J4LF	0	0	0	0	0	0	0	0	1896	3443	0	0	1885	0	0	429	85	0	1	0	2256	0	0	4	0
HSM7J4LH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0
HSM7J4LN	0	0	0	0	0	0	0	0	1131	2396	0	0	1615	0	0	72	2298	0	689	0	1554	0	27	187	31
HSM7J4NY	46	233	1207	267	0	42	32	0	316	1587	109	1365	1375	0	180	0	965	237	215	2	364	1	0	21	117
HSM7J4O1	22	251	1322	1078	0	466	0	0	224	2678	296	947	745	0	45	3	241	114	438	0	393	0	0	40	246
HSM7J4O3	7	599	1770	699	0	208	6	0	279	1926	89	1370	826	0	75	2	78	79	173	0	568	0	0	116	162
HSM7J4O5	4	424	1126	240	0	60	0	0	502	3240	230	1794	637	0	6	7	4	394	386	0	382	0	0	270	141
HSM7J4O7	0	269	1011	604	0	89	0	0	209	2921	57	476	855	0	112	0	1183	190	386	0	319	0	0	369	204
HSM7J4O9	0	205	890	511	0	47	0	1	451	1849	126	1138	1167	0	143	0	556	456	645	0	463	0	0	179	297
HSM7J4QZ	19	236	0	0	0	0	0	2032	335	1505	0	1	1	0	118	0	990	25	2954	0	0	0	536	187	240
HSM7J4R2	20	146	0	0	0	0	0	3930	253	3042	0	0	0	0	21	0	372	0	1823	0	0	0	97	43	40
HSM7J4RE	5	459	1084	315	350	884	15	0	80	514	98	875	4	0	91	2	731	1674	987	193	998	0	171	31	90
HSMA33J3	0	12	551	0	0	14	0	0	346	285	73	105	539	176	0	156	147	0	728	0	284	5951	93	75	35
HSMA33J5	0	6	342	0	0	0	0	0	268	134	21	113	243	31	0	29	316	0	3350	0	89	4839	11	17	17
HSMA33J7	0	214	1929	0	0	6	0	0	237	1274	349	206	669	338	0	67	44	0	2132	0	1091	690	3	47	102
HSMA33J9	0	91	662	0	0	4	0	0	168	806	130	379	714	268	0	448	963	0	3717	0	430	208	28	169	236
HSMA33MS	1	69	447	0	0	8	0	0	275	164	74	206	459	154	0	0	286	0	1344	0	447	5349	167	60	78
HSMA33NY	0	68	643	0	0	7	0	0	185	1171	140	142	817	120	0	712	563	0	2207	2	475	1908	98	99	118
HSMA33QM	1359	32	728	0	0	2	0	0	126	423	109	566	654	203	0	163	579	0	3301	3	537	125	27	74	110
HSMA33QO	27	3	580	0	0	4	0	0	136	198	86	71	309	97	0	4	51	0	817	0	197	7122	71	49	31
HSMA33SE	0	8	999	0	0	3	18	0	170	696	85	284	701	155	0	135	913	0	2719	1	642	1515	93	103	161
HSMA33SG	0	14	672	0	0	2	83	0	158	426	192	631	567	311	0	1037	744	0	2943	0	378	409	371	137	170
HSMA33SI	0	77	249	0	0	0	1403	0	32	487	65	110	382	125	0	1590	2376	0	1499	0	68	14	112	343	722
HSMA33SK	0	136	728	0	0	0	0	0	221	372	117	99	875	227	0	4	1361	0	3708	0	447	372	1	245	106
MSM6J2HN	0	47	438	149	276	0	84	0	16	3541	48	1718	1016	121	0	0	519	0	856	64	425	0	501	10	102
MSM6J2HP	0	377	448	257	377	0	33	0	180	1429	67	2477	310	131	0	0	19	0	1921	235	551	0	112	83	896
MSM6J2HR	0	243	661	281	260	0	47	0	15	3477	55	2363	720	258	0	0	316	0	632	28	286	0	216	21	47
MSM6J2HT	0	216	903	772	146	0	103	0	25	2635	121	3126	929	483	0	0	7	0	61	42	339	0	15	26	26
MSM6J2JN	2982	31	0	510	0	0	38	0	1103	0	142	2546	1504	0	205	8	184	0	184	0	396	0	18	3	115
MSM6J2JP	6761	89	0	405	0	0	25	0	135	0	77	1427	396	0	91	36	76	0	24	0	239	0	0	22	155
MSM6J2JR	3326	75	0	3495	0	0	173	0	140	0	62	558	835	0	139	18	314	0	42	0	395	0	7	17	190
MSM6J2JT	2121	779	0	301	0	0	3	0	397	0	102	4087	378	0	173	0	237	0	22	0	713	0	34	68	216
MSM6J2JZ	0	8	174	166	29	105	235	585	21	0	136	110	411	499	0	3	151	108	304	0	0	6125	49	9	376
MSM6J2K2	1	10	154	132	21	76	145	395	16	0	38	89	221	459	0	0	205	87	363	0	0	6846	76	10	327
MSM6J2K4	0	23	646	321	124	245	248	969	92	0	170	205	630	578	0	0	381	19	414	0	0	3966	127	24	137
MSM6J2K6	1	12	280	316	43	84	83	642	75	0	78	147	552	467	0	0	164	201	223	0	0	5885	143	28	154
MSM6J2K8	0	19	509	752	73	185	195	588	55	0	151	166	703	1522	0	0	649	214	1715	0	0	815	233	168	313
MSM6J2KA	1	19	483	417	183	154	200	603	19	0	144	423	644	933	0	5	494	254	608	0	0	2729	223	124	465
MSM6J2LV	1870	617	0	1512	0	0	497	0	675	0	420	891	1372	0	278	140	155	0	31	0	1101	0	5	49	356
MSM6J2LW	230	199	222	98	7	18	0	96	124	501	109	809	235	38	2	31	433	1145	4277	40	32	0	0	44	531
MSM6J2LY	203	301	924	88	25	44	0	63	329	2489	51	1333	488	765	6	84	100	255	1089	100	25	0	67	13	206
MSM6J2M3	22	126	746	138	4	18	0	30	191	614	21	749	314	310	50	0	875	1609	2783	82	22	53	1	107	375
MSM6J2PO	0	0	107	92	0	0	0	0	7	369	39	1319	1267	6	0	0	163	4	2571	3	607	0	89	186	1278
MSM6J2PS	0	18	227	363	2	0	0	0	27	189	15	1164	647	71	0	0	193	13	3416	44	677	0	49	84	1140
MSM6J2PU	0	0	64	116	0	0	0	0	21	177	9	671	889	16	0	0	330	0	3248	0	409	0	110	210	2779
MSM6J2PW	0	2	51	143	0	0	0	0	31	177	21	624	1356	9	0	0	733	1	3701	3	434	0	364	69	1375
MSM6J2Q1	25	54	755	125	0	12	0	24	171	1248	30	3217	202	280	15	0	217	85	2204	10	60	0	24	49	343
MSM6J2QF	0	371	916	315	108	0	131	0	12	3288	62	2297	1243	292	0	0	27	0	337	28	361	0	122	2	21
MSM6J2QH	0	138	401	104	245	0	113	0	29	2121	144	1964	1659	227	0	0	100	0	1704	35	166	0	474	21	117
MSM6J2QJ	0	95	261	134	117	0	42	0	11	1392	45	974	832	104	0	1	126	0	4539	33	144	0	430	38	396
MSM6J2QL	0	128	546	469	222	0	83	0	41	3126	72	1951	969	252	0	0	148	0	761	100	266	0	656	12	83
MSM6J2QP	0	268	841	425	377	0	121	0	33	2075	283	2341	1709	387	0	0	29	0	580	73	201	0	145	2	53
MSM6J2RK	2	12	364	109	20	357	120	809	10	0	112	227	757	960	0	0	295	1145	461	0	0	2768	167	43	595
MSM6J2RM	0	10	165	0	0	4	0	388	649	4715	43	859	486	40	0	12	506	65	1409	1	68	167	1	0	125
MSM6J2RO	0	14	242	222	23	99	92	346	43	0	88	130	354	674	0	2	298	18	400	0	0	6235	78	29	225
MSM6J2RQ	0	36	289	284	244	249	167	701	34	0	116	132	522	933	0	0	296	38	729	0	0	3660	133	63	461
MSM6J2RS	0	3	154	57	1	45	12	170	52	0	4	84	134	215	0	0	53	17	84	0	0	8685	17	9	48
MSM6J2RU	1	22	670	537	11	180	93	819	74	0	39	115	443	965	0	15	1233	245	687	0	0	2577	194	83	295
MSM6J2SE	1517	650	0	1064	0	0	379	0	565	1	75	1457	1572	0	66	92	531	0	31	0	1201	0	2	63	401
MSM6J2SI	1281	639	0	518	0	0	228	0	956	0	213	1501	2188	0	235	16	556	0	59	0	791	0	27	87	359
MSM6J2SK	64	152	0	396	0	0	80	0	969	0	185	2117	4799	0	76	0	183	0	60	1	867	0	9	9	21
MSM79H54	122	206	1171	395	0	18	0	0	152	0	4	66	89	1622	0	2	75	624	74	524	0	0	0	99	544
MSM79H58	754	84	605	532	0	46	0	0	156	0	24	19	111	812	0	12	445	384	117	282	0	0	0	367	664
MSM79H5A	703	94	701	260	0	27	0	0	285	18	27	19	57	1149	0	1	165	476	110	254	7	0	0	206	568
MSM79H5E	63	62	793	342	9	0	0	1793	105	138	172	68	1130	1064	0	8	85	0	734	122	328	1730	28	84	392
MSM79H5G	71	30	530	220	0	0	0	1705	29	91	132	189	1207	374	0	0	278	0	1751	122	207	2181	7	71	564
MSM79H5K	109	49	1223	288	20	0	0	1040	70	107	73	46	1280	1483	0	0	477	0	1099	130	343	418	82	165	1006
MSM79H5M	145	34	1042	357	4	1	0	1384	98	124	53	181	1057	941	0	131	549	0	1233	75	183	824	36	285	886
MSM79H5Q	0	188	647	323	319	0	86	0	74	2601	95	3851	349	299	0	0	34	0	550	67	200	0	181	16	66
MSM79H5S	0	109	595	780	134	0	151	0	34	1942	159	2289	598	139	0	18	750	0	1059	113	663	0	64	64	148
MSM79H5U	0	193	614	160	270	0	68	0	17	1900	85	2994	95	186	0	0	71	0	2114	57	327	0	299	43	349
MSM79H5Y	0	401	957	293	306	0	56	0	17	1423	155	1959	1135	14	0	0	107	0	1580	225	700	0	378	29	141
MSM79H6D	0	13	371	290	18	118	119	1054	204	0	138	150	664	670	0	10	1535	206	767	4	0	1843	108	65	494
MSM79H6F	0	55	590	685	100	320	290	646	276	0	276	344	581	1612	0	0	149	27	1443	12	0	760	30	70	426
MSM79H6H	0	15	232	141	541	151	214	794	26	0	93	222	290	1066	0	0	274	8	354	0	0	4732	72	36	123
MSM79H6J	0	15	276	124	568	217	381	1113	2	0	123	127	403	1145	0	0	255	117	1224	0	0	2543	98	84	378
MSM79H6L	11	40	264	279	786	190	493	1163	12	0	293	451	249	1230	0	4	51	66	569	0	0	2694	70	16	439
MSM79H6N	6	59	229	1392	666	209	593	841	12	0	95	174	488	1024	0	13	112	150	779	1	0	2103	55	62	354
