	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_colihominis	Anaerotruncus_unclassified	Bacteroidales_bacterium_ph8	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiaceae_bacterium_JC118	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprobacillus_unclassified	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Eggerthella_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Sutterella_wadsworthensis	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
CSM5MCVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2933	0	0	0	1457	0	3537	262	0	0	0	0	0	0	0	160	0	14	303	0	49	0	311	81	0	0	7	6	0	0	269	0	1	0	0	127	0	0	0	0	164	0	0	1	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	253	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0
CSM5MCVN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1825	0	0	0	1020	0	5189	201	0	0	0	0	0	0	0	0	0	6	28	1	17	0	1083	7	0	0	0	0	0	0	275	0	65	0	0	2	5	0	3	0	223	0	0	0	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CSM5MCW6	0	0	0	0	0	0	0	0	0	0	0	0	8498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	0	96	0	167	0	0	35	0	0	0	0	0	0	0	3	1	0	0	257	0	0	0	0	0	0	5	0	7	2	16	0	0	15	0	18	0	218	134	0	0	0	61	0	0	317	0	13	0	3	0	3	6	12	0	0	102	0	0	0	0	0
CSM5MCWC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	6	0	0	0	0	3	0	0	0	0	0	0	0	14	0	0	6	101	0	0	0	4	0	0	0	0	0	0	0	510	0	2	0	0	1	0	0	5	24	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	7254	0	0	0	0	100	0	38	0	0	524	0	0	0	1360	0
CSM5MCWE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	0	0	0	0	14	0	0	354	72	0	0	0	4	0	0	0	0	0	0	4	2202	0	0	0	0	0	0	0	0	22	0	0	0	0	1	0	0	0	0	0	0	591	0	0	0	0	2	0	0	2639	0	0	0	0	403	0	49	0	0	392	0	0	0	3158	68
CSM5MCWG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CSM5MCXD	310	0	0	0	0	0	12	86	0	0	234	0	0	0	144	0	0	0	1447	3973	832	0	0	0	0	0	0	0	0	0	0	41	18	0	189	2	284	5	31	0	0	0	0	0	529	0	15	1	0	11	2	0	102	0	0	0	0	558	29	0	3	0	0	0	4	0	14	14	0	0	516	0	0	0	0	0	0	4	0	82	128	0	0	4	24	189	0	0	161	0	0	0	0	1
CSM5MCXT	0	1	0	9	795	0	0	0	0	0	560	780	3	5	0	0	6	301	667	985	2292	36	149	0	0	0	17	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	28	2	0	261	1127	17	640	2	6	0	1	30	0	2	0	0	2	0	101	45	401	152	0	2	0	0	8	101	34	0	0	42	0	3	25	1	2	344	0	0	0	0	1
CSM5MCXV	0	5	0	27	861	1	0	0	0	0	230	938	0	2	0	0	6	206	87	977	2608	3	257	0	0	0	10	1	6	3	0	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	4	5	0	0	0	0	0	0	13	1133	3	1026	3	22	1	0	0	0	2	0	0	6	0	122	0	524	248	0	4	0	0	3	9	182	0	0	45	0	3	32	5	6	353	0	0	1	1	7
CSM5MCY2	0	11	2	59	1142	109	0	0	0	0	234	1103	1	3	0	0	6	181	202	833	2683	5	157	0	0	0	10	1	10	0	0	0	0	0	1	0	0	0	7	0	1	0	0	4	0	0	7	0	0	4	0	38	3	0	150	659	18	948	3	19	0	0	0	0	4	0	0	7	11	117	51	287	189	0	6	4	0	27	31	12	0	0	43	0	3	22	9	6	545	0	0	1	4	6
CSM5MCYS	814	0	0	0	0	0	47	103	5	0	4046	0	0	0	321	0	0	0	1410	1160	67	0	0	0	0	0	0	0	0	0	0	20	4	3	26	1	147	16	37	6	0	6	0	0	2	0	20	9	11	23	0	0	626	0	0	0	0	1	9	0	4	0	13	0	10	9	51	3	0	0	281	0	0	3	0	0	0	0	0	0	10	1	0	2	15	178	0	0	480	0	0	0	0	0
CSM5MCYW	0	0	0	0	0	0	0	0	0	0	0	0	8006	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	2	2	0	0	277	0	442	0	0	61	0	6	0	0	0	0	0	0	8	0	1	94	0	0	0	0	0	1	10	0	25	0	0	0	0	49	0	31	0	263	246	0	0	0	90	0	0	101	0	19	0	4	0	10	49	78	0	0	118	0	0	0	0	1
CSM5MCZ3	0	0	0	0	0	0	0	0	0	0	0	0	6053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	7	2	2	0	0	220	0	396	0	0	548	0	25	0	0	0	0	0	0	20	0	0	366	0	0	0	0	0	1	7	0	38	2	0	0	0	416	0	26	0	491	254	0	0	0	291	0	0	311	0	45	0	11	0	53	30	100	0	0	263	0	0	0	0	1
CSM5MCZ5	0	0	0	0	0	0	0	0	0	0	0	0	6827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	3	0	0	162	0	283	0	0	111	0	5	0	0	0	0	0	0	17	0	0	864	0	0	0	0	0	1	5	0	31	0	0	0	0	103	0	14	0	242	201	0	0	0	77	0	0	509	0	33	0	5	0	56	136	108	0	2	193	0	0	0	0	1
CSM5MCZ7	0	0	0	0	0	0	0	0	0	0	0	0	7813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	3	0	0	242	0	446	0	0	94	0	0	0	0	0	0	0	0	4	0	0	231	0	0	0	0	0	2	1	0	13	2	0	0	0	89	0	12	0	272	253	0	0	0	98	0	0	190	0	4	0	7	0	5	54	60	0	0	90	0	0	0	1	2
CSM5MCZB	46	72	0	0	6	0	1	2	0	0	694	34	25	23	0	0	1113	3429	3	895	700	1	0	0	0	2	76	9	103	0	0	0	0	0	62	3	4	2	2	1	3	0	0	0	0	3	29	0	0	0	0	17	0	0	1018	0	0	505	23	0	0	0	1	0	0	0	0	16	81	0	139	176	283	0	2	0	0	0	0	142	0	0	19	0	2	15	0	0	215	0	0	0	0	0
CSM5MCZD	0	0	2	42	536	0	1	0	10	44	192	0	0	0	0	0	180	333	76	2348	457	1	0	13	17	11	3	0	0	0	1	0	3	2	0	0	0	0	13	0	12	0	2	21	0	4	68	0	0	0	1	102	0	0	1545	112	0	1988	24	1	2	3	1	0	37	0	5	26	0	48	122	125	156	0	0	0	0	0	0	77	99	15	169	0	43	30	0	0	880	0	0	0	0	0
CSM5MCZF	0	0	2	52	596	0	1	0	2	58	286	0	0	0	0	0	135	312	90	3144	396	1	0	1	5	2	1	0	0	2	0	0	1	0	0	0	0	0	16	0	2	0	0	9	0	2	42	0	0	0	5	188	0	0	848	143	0	2083	24	16	0	1	0	0	24	0	5	27	0	64	75	90	133	0	0	0	0	0	0	92	48	13	73	0	19	26	0	0	844	0	0	0	0	1
CSM67U9B	0	0	0	47	311	0	1	0	2	43	170	0	1	0	0	0	261	245	39	1953	514	0	0	27	11	39	4	0	0	33	0	0	1	1	0	0	0	0	2	0	28	0	6	13	0	5	39	0	0	0	0	143	0	0	2073	1036	0	990	3	62	0	1	0	0	15	0	4	6	0	25	28	55	91	0	0	4	0	123	0	140	61	11	137	0	57	27	0	0	1109	0	0	0	0	1
CSM67U9D	0	0	1	52	423	0	0	0	0	49	168	0	0	0	0	0	215	663	45	2391	401	0	0	9	11	7	4	0	0	0	0	0	0	0	0	0	0	0	19	0	11	0	0	11	0	1	21	0	0	0	2	98	0	0	979	760	0	1628	11	9	0	2	0	0	8	0	5	12	0	38	51	82	118	0	0	0	0	6	0	43	59	27	364	0	46	7	0	1	1146	0	0	0	1	0
CSM67U9J	231	0	0	0	0	0	1	35	9	0	259	0	0	0	262	0	0	0	1213	6107	499	0	0	0	0	0	0	0	0	134	0	13	8	0	81	0	162	2	9	0	0	0	0	0	228	0	2	0	0	51	0	0	14	0	0	0	0	192	21	0	0	0	0	0	0	0	2	6	0	0	286	0	0	1	0	0	0	5	0	15	41	0	0	0	1	39	0	0	71	0	0	0	0	0
CSM67UA2	674	0	0	1569	0	0	0	12	0	0	203	0	0	0	195	0	0	0	2089	3528	600	0	0	0	0	0	0	0	0	0	0	6	3	0	33	0	6	2	21	1	0	0	0	0	338	0	4	0	0	58	0	0	21	0	0	0	0	172	27	0	0	0	0	0	0	0	0	4	0	0	247	0	0	1	0	0	0	6	0	7	80	0	0	1	3	20	0	0	68	0	0	0	0	0
CSM67UAA	0	0	0	1	88	1	0	0	0	0	25	13	49	0	0	0	1	29	13	30	208	7	5	0	13	8	1	0	1	0	0	0	0	12	1	2278	0	0	0	1	0	2	0	0	0	0	0	0	0	2270	0	2	0	0	19	7	0	84	0	22	0	0	2	0	0	0	0	0	0	0	4	15	2	0	2	8	0	1	73	4	0	0	0	658	0	74	2	0	11	0	4	0	3839	110
CSM67UAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	26	0	0	0	0	0	0	0	67	204	563	1318	1789	0	0	0	116	0	0	14	0	0	0	0	1950	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1041	0	189	27	4	0	0	125	12	2380	3
CSM67UAU	0	37	23	368	937	0	0	0	0	244	632	0	190	3	403	0	620	4	30	498	621	265	0	6	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	17	0	1	37	170	0	0	0	0	1	4	365	0	0	79	0	72	2568	9	0	0	1	0	0	16	0	1	3	21	237	115	8	0	294	0	0	0	10	38	0	49	2	88	0	19	8	0	0	882	0	0	0	0	0
CSM67UAW	0	45	30	960	1206	0	0	0	6	418	582	0	282	1	445	0	491	0	40	300	741	129	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	5	15	309	0	0	0	0	24	2	127	0	0	35	0	52	1978	1	1	0	0	0	0	2	0	2	2	33	308	203	16	0	239	0	7	0	7	47	23	20	0	53	0	17	23	0	0	755	0	0	0	1	1
CSM67UAY	414	42	23	786	1329	0	0	0	0	387	523	0	223	3	378	0	338	0	27	228	573	1214	0	0	0	0	21	1	0	0	0	0	0	1	3	0	0	1	2	0	10	0	7	35	384	0	0	4	0	94	38	155	0	0	62	0	67	1232	6	0	0	0	0	0	21	0	1	2	26	349	112	7	0	104	0	5	0	0	20	1	24	1	34	0	22	55	0	0	610	0	0	0	0	0
CSM67UB1	209	50	18	933	1369	0	0	0	10	390	791	0	268	2	1147	0	504	0	27	478	646	214	0	2	0	0	12	1	0	0	0	0	0	0	1	0	0	34	1	2	2	0	2	8	217	0	0	0	0	124	0	187	0	0	12	0	15	730	1	0	0	0	0	0	31	0	1	1	0	600	38	14	0	213	0	0	0	0	0	5	4	0	33	0	19	66	0	0	568	0	0	0	0	0
CSM67UB3	451	52	43	797	1398	0	0	0	6	446	607	0	286	1	669	0	438	0	24	140	834	200	0	3	0	0	17	0	0	1	0	0	0	0	4	0	0	1	1	3	13	0	15	20	446	0	0	0	0	46	2	139	0	0	81	0	22	801	6	0	0	0	0	0	13	0	0	3	0	418	139	10	0	150	0	0	0	3	8	12	2	1	57	0	28	57	0	0	1088	0	0	0	0	0
CSM67UB9	0	253	0	0	0	0	0	0	0	0	98	2	17	0	0	0	4598	31	209	2169	1181	7	0	0	0	0	0	0	0	0	0	7	31	0	325	5	466	66	19	19	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	0	405	0	0	0	0	1	0	0	0	0	0	0	0	16	1	3	7	0	0	0	0	0	0	0	0	0	9	4	0	0	0	36	0	0	0	0	0
CSM67UBB	41	52	0	187	0	41	1	0	0	0	0	0	0	0	0	3375	844	3538	0	0	0	0	0	0	0	1	50	0	16	0	0	0	0	0	2	0	0	0	6	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	20	51	0	966	1	0	0	0	11	1	77	0	0	0	0	0	9	0	0	1	9	4	1	4	518	0	0	0	117	11	0	16	0	0	18	0	0	0	0	2
CSM67UBF	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1955	0	0	0	2620	0	3439	96	0	0	0	0	0	0	0	0	0	11	23	3	32	0	1147	18	0	0	0	0	0	0	384	0	43	0	0	8	0	0	0	0	34	0	0	2	44	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	21	90	0	0	0	0	0	0	10	0	0	8	0	0	0	0	0
CSM67UBH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1458	0	0	0	2832	0	2187	185	0	0	0	0	0	0	0	1	0	27	144	0	38	0	1506	19	0	0	4	10	0	0	434	0	298	0	0	40	0	0	2	0	640	0	0	0	28	0	0	0	0	0	82	0	1	0	0	0	0	0	0	3	0	14	0	10	21	0	0	0	0	2	0	11	0	0	2	0	0	0	0	0
CSM67UBN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1790	0	0	0	1059	0	4960	134	0	0	0	0	0	0	0	0	0	2	15	0	20	0	907	1	0	0	10	3	0	0	300	0	73	0	0	0	3	0	9	0	675	0	0	0	7	0	0	0	0	0	11	0	2	0	0	0	0	0	0	1	0	0	0	2	9	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
CSM67UBR	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2573	0	0	0	2231	0	3792	195	0	0	0	0	0	0	0	15	0	2	1	0	12	0	352	0	0	0	1	0	0	0	257	0	32	0	0	11	10	0	2	0	341	0	0	0	23	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	139	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CSM67UCK	0	3	19	30	767	132	0	0	5	0	324	382	0	9	0	0	19	347	72	1497	1091	3	81	0	0	0	2	0	4	0	0	0	21	0	110	1	0	7	0	0	1	0	0	0	0	0	1	0	0	1	2	28	0	0	2	1425	0	1435	0	0	0	0	0	0	1	0	0	2	0	91	26	888	55	155	1	0	0	7	3	0	6	0	5	0	3	11	2	0	921	0	0	0	0	0
CSM67UGC	517	0	0	5005	0	0	0	4	0	0	2009	0	1	0	1010	0	0	0	339	328	204	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	22	0	0	2	0	0	0	0	35	0	0	0	0	56	42	0	69	0	0	0	0	11	1	0	0	0	0	0	0	6	2	0	0	0	97	0	0	0	0	0	0	6	0	0	21	0	0	0	1	140	0	0	65	0	0	0	0	0
