,Akkermansia_muciniphila,Alistipes_finegoldii,Alistipes_indistinctus,Alistipes_onderdonkii,Alistipes_putredinis,Alistipes_senegalensis,Alistipes_shahii,Anaerostipes_hadrus,Anaerotruncus_colihominis,Anaerotruncus_unclassified,Bacteroidales_bacterium_ph8,Bacteroides_caccae,Bacteroides_cellulosilyticus,Bacteroides_dorei,Bacteroides_eggerthii,Bacteroides_faecis,Bacteroides_finegoldii,Bacteroides_fragilis,Bacteroides_massiliensis,Bacteroides_nordii,Bacteroides_ovatus,Bacteroides_stercoris,Bacteroides_thetaiotaomicron,Bacteroides_uniformis,Bacteroides_vulgatus,Bacteroides_xylanisolvens,Barnesiella_intestinihominis,Bifidobacterium_adolescentis,Bifidobacterium_bifidum,Bifidobacterium_longum,Bilophila_unclassified,Bilophila_wadsworthia,Burkholderiales_bacterium_1_1_47,C2likevirus_unclassified,Clostridiales_bacterium_1_7_47FAA,Clostridium_asparagiforme,Clostridium_bartlettii,Clostridium_bolteae,Clostridium_citroniae,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_leptum,Clostridium_symbiosum,Collinsella_aerofaciens,Coprococcus_catus,Coprococcus_comes,Desulfovibrio_desulfuricans,Dialister_invisus,Dorea_formicigenerans,Dorea_longicatena,Dorea_unclassified,Escherichia_coli,Escherichia_unclassified,Eubacterium_eligens,Eubacterium_hallii,Eubacterium_ramulus,Eubacterium_rectale,Eubacterium_siraeum,Eubacterium_ventriosum,Faecalibacterium_prausnitzii,Flavonifractor_plautii,Haemophilus_parainfluenzae,Holdemania_filiformis,Holdemania_unclassified,Lachnospiraceae_bacterium_1_1_57FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_46FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_5_1_63FAA,Lachnospiraceae_bacterium_7_1_58FAA,Lachnospiraceae_bacterium_8_1_57FAA,Odoribacter_splanchnicus,Oscillibacter_unclassified,Parabacteroides_distasonis,Parabacteroides_goldsteinii,Parabacteroides_merdae,Parabacteroides_unclassified,Parasutterella_excrementihominis,Peptostreptococcaceae_noname_unclassified,Prevotella_copri,Pseudoflavonifractor_capillosus,Roseburia_hominis,Roseburia_intestinalis,Roseburia_inulinivorans,Roseburia_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_bromii,Ruminococcus_callidus,Ruminococcus_gnavus,Ruminococcus_lactaris,Ruminococcus_obeum,Ruminococcus_torques,Streptococcus_parasanguinis,Streptococcus_salivarius,Streptococcus_thermophilus,Subdoligranulum_unclassified,Sutterella_wadsworthensis,Veillonella_atypica,Veillonella_dispar,Veillonella_parvula,Veillonella_unclassified
CSM67UH7,9.544181257081277,-3.7490523673862732,3.7854709101996864,4.800031437458594,3.646375700401336,-3.7490523673862732,-3.7490523673862732,1.6429189922881289,-3.7490523673862732,1.7577338457362295,-3.7490523673862732,6.266513608288864,4.2506994813065955,-1.2121591258477231,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,5.932751224709803,7.041414296334091,-3.7490523673862732,4.775054399773621,-3.7490523673862732,6.473791622138743,-0.5510684859149038,7.440243004894622,0.7538230694143859,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,3.3640840374393166,-3.7490523673862732,5.8540425653796495,2.4884035389804984,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,5.521139350016711,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,1.6584665731542323,-3.7490523673862732,-3.7490523673862732,2.53044460998748,3.6185188853725263,4.253751585139877,-3.7490523673862732,2.3660561612288378,2.425524139880028,1.4653678196986775,1.534988697913347,0.8820313849433159,4.076946782977384,2.123544123054499,-0.06346302870751508,5.474715522919665,2.2105583633235497,-3.7490523673862732,6.074399458568806,-3.7490523673862732,3.8567979034901914,3.992763273932777,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,4.593455862089227,2.8105624278055146,3.094801983226959,0.204424876628007,-3.7490523673862732,-3.7490523673862732,-2.1708217716591776,0.18679048038226043,-3.7490523673862732,-3.7490523673862732,4.690364926678426,5.017630477468909,1.456522506964177,-3.7490523673862732,-3.7490523673862732,1.8569999546138547,1.2769601719517425,4.5376605811482325,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,2.542138709652882,4.972325743958191,-3.7490523673862732,-1.4157177697299037,-3.7490523673862732,7.80591080297563,-3.7490523673862732,-3.7490523673862732,-3.7490523673862732,-2.1501510969230093,1.0896930455781213
CSM79HGX,-3.5522768202782746,0.7187448879995451,-3.5522768202782746,4.969674533221302,6.875660590891661,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,7.2546811430978275,0.21285575414864333,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,7.560410322112639,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,6.3002266769932636,8.524159719608791,6.085164738764715,7.628267776084785,7.953111240262539,5.986208697238874,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,1.9142132711226676,-3.5522768202782746,2.877115700389262,0.9535696980855946,-3.5522768202782746,-3.5522768202782746,2.958080602647315,-0.007515432726380666,6.1109680184043595,-3.5522768202782746,6.080705463677922,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,2.758652145130715,-3.5522768202782746,-3.5522768202782746,6.858664842444675,-3.5522768202782746,-3.5522768202782746,6.796674654168055,6.828847742010243,3.1723038761714157,8.523365226284897,4.459499537136183,-3.5522768202782746,1.8430998817200237,2.303620675014648,4.467133790936287,3.3460096966162762,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,1.826905998888213,-3.5522768202782746,4.631273824466151,5.398454154271339,7.051702828453217,-3.5522768202782746,6.3021422856922475,4.2356101084055515,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,2.570930004652065,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,5.691529194902556,-3.5522768202782746,2.6264060639756774,5.730300705014076,0.3480126436954123,1.0457802418586546,-3.5522768202782746,6.200459534725733,6.506095697201021,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746,-3.5522768202782746
CSM79HGZ,7.912879683942183,-3.402977535587741,4.812373266517467,7.922704906437865,7.679297509643652,4.004488462007105,2.2970287097402853,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,7.184940784304095,7.25127188911789,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,5.42924341508325,9.017770246921387,0.5798104378706501,5.484539255557893,-3.402977535587741,7.213977880808914,-3.402977535587741,8.300586146589843,0.5816959023094874,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,4.102956146993695,-3.402977535587741,5.029268727132112,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,1.4569897218884478,2.419062324316534,-3.402977535587741,-3.402977535587741,2.1423059146737504,-0.8980835785799979,-3.402977535587741,-3.402977535587741,-3.402977535587741,5.694997768987614,-3.402977535587741,1.3334866378248975,7.224288131617731,3.819236125884909,-3.402977535587741,7.502265238674517,-3.402977535587741,4.292648587541973,-3.402977535587741,-3.402977535587741,1.8994745300090834,-3.402977535587741,5.9495094929622745,-3.402977535587741,-3.402977535587741,2.2586869899075825,-3.402977535587741,-3.402977535587741,3.799368229554527,2.222474184923067,-3.402977535587741,-3.402977535587741,6.250287098895876,3.319168163404952,-3.402977535587741,-3.402977535587741,1.148652490397227,3.076970429913305,6.4659796201702875,4.700645955985276,4.966074302713585,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,-3.402977535587741,0.5645973592215405,4.227510664730247,-3.402977535587741,-3.402977535587741,-3.402977535587741,7.912783471371353,-3.402977535587741,-3.402977535587741,-3.402977535587741,3.1677953064235504,2.2477109941088784
CSM79HOV,-3.8741156640763794,2.3020451733802627,2.2778642370085382,3.823753728069603,7.481863414717864,-3.8741156640763794,5.693433272965458,-3.8741156640763794,-3.8741156640763794,1.9899532974614464,-3.8741156640763794,6.563693809056291,6.899557480361797,-0.2851451318300686,-3.8741156640763794,1.7512957431668816,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,5.060722916809459,2.118785741242018,6.183334535971195,6.518471169960742,7.543935227390245,8.628933644303224,3.5792392754248796,6.37311090164538,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,2.7960848205009032,5.04641803298603,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,1.1257908659734266,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,1.3893939583584256,5.4487800876255905,-3.8741156640763794,-3.8741156640763794,3.9446972965519844,6.507344083282303,1.6058977106444896,7.4723641873655,-3.8741156640763794,4.583553264625162,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,6.323289553703061,-3.8741156640763794,-3.8741156640763794,1.3042399156506317,3.7258682277707873,5.5251158849460795,3.4742312807352205,6.973444339090834,-3.8741156640763794,4.769998332014972,4.307519533923672,1.5401661515284228,-3.8741156640763794,-3.8741156640763794,1.5567858100353416,3.186916469407058,4.136802449913796,-3.8741156640763794,2.871474336995533,-3.8741156640763794,4.471505065722042,2.8003328439180715,-3.8741156640763794,-3.8741156640763794,2.06666116620403,4.3608513519365975,2.715104587728474,2.241021811393809,-3.8741156640763794,7.610299349345237,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,-3.8741156640763794,1.0672133249884315
CSM79HOX,6.590451734612523,-3.639408154221849,3.348943221682304,7.416701545355036,6.976077925033132,3.9940154809935517,2.3178943408627193,-3.639408154221849,-3.639408154221849,1.5196319449949307,-3.639408154221849,6.746825094227241,7.894060129364366,0.16353098962038892,-3.639408154221849,-3.639408154221849,-3.639408154221849,5.6069495089382775,8.447605452322684,-3.639408154221849,5.6767193023744715,0.3105903987642371,7.142781402609127,1.2913517079484933,8.188969887897047,1.1732806554921158,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,2.651373188965805,-3.639408154221849,4.395135562290988,3.394416597159781,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,1.8414427918506266,2.4236522823088933,-3.639408154221849,-3.639408154221849,1.0019232729962564,-3.639408154221849,1.772324788429298,-3.639408154221849,-3.639408154221849,5.664430937486585,-3.639408154221849,0.25845930955430063,6.902371570804528,3.835787454235267,-3.639408154221849,7.912135969218237,-3.639408154221849,3.361963202828507,-3.639408154221849,-3.639408154221849,2.450905380187935,-3.639408154221849,6.260445519221775,-3.639408154221849,-3.639408154221849,1.736826650597454,3.5044989633295414,-3.639408154221849,3.4476273271336133,1.2387022572595807,-3.639408154221849,-3.639408154221849,5.882364185195563,2.615770359043988,-3.639408154221849,-3.639408154221849,1.9233742117539538,3.6632306733110607,7.065853964691378,4.860502107605079,2.1841325283372193,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,-3.639408154221849,1.5108463726667445,4.4142533307103555,-3.639408154221849,-3.639408154221849,-3.639408154221849,7.786397459106125,-3.639408154221849,-3.639408154221849,-3.639408154221849,-0.1945782475587876,-1.3237266742787401
CSM79HOZ,7.632999390217696,-3.4450794834379614,4.671251865024226,7.798259279606146,7.676259881057521,3.738220383215779,1.9214632788665025,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,6.8858258858600685,7.420715940754398,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,6.0050637386166805,8.703657253795273,-1.5904953095198167,5.295135191471831,-3.4450794834379614,7.700717123150378,-3.4450794834379614,8.370602292999568,1.2479874656618541,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,4.4519256169803505,-3.4450794834379614,5.383067024216126,0.9744328835427432,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,0.9151719567426522,2.4904305748305093,-3.4450794834379614,-3.4450794834379614,-0.3200957922478551,0.7996327886295589,2.1329682015817006,-3.4450794834379614,-3.4450794834379614,5.297702677310241,-3.4450794834379614,1.5095272898047636,6.9769943301411566,6.016130292507688,-3.4450794834379614,7.751603756306254,-3.4450794834379614,1.1594370667425746,0.9817514640312375,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,6.533143403346404,-3.4450794834379614,-3.4450794834379614,2.0813073818479566,3.261035467203997,-3.4450794834379614,3.8504746941317336,2.1692008388556516,-3.4450794834379614,-3.4450794834379614,6.613167662139025,3.7029466404427174,-3.4450794834379614,-3.4450794834379614,2.694256994368976,3.429603458928163,6.227509710118514,4.899279137234229,6.128717661490092,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,1.4366778294405673,2.1984230890847307,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,7.700363311994506,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614,-3.4450794834379614
CSM79HP2,6.582041429225409,-3.7065509803849377,3.722144388627175,7.347951880085599,7.205478988029211,3.6721505856939896,2.0567430219265024,-3.7065509803849377,-3.7065509803849377,0.8685372147094874,-3.7065509803849377,7.303554121803273,6.899488797867506,0.35137979525018714,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,5.948574202079207,8.672184611238926,-0.5444314513014774,5.767897831901757,-1.1638281069645195,6.8405292137618705,-3.7065509803849377,7.933442112106343,1.2448221461819546,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,3.4014516611038843,-3.7065509803849377,4.510921152983884,3.2467484253801935,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-1.2294779065912884,1.067900997398862,-3.7065509803849377,-3.7065509803849377,0.14464062482672801,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,4.368825750057359,-3.7065509803849377,0.7195596573510858,6.6442138336370755,6.668345750640889,-3.7065509803849377,7.97355451484996,-3.7065509803849377,2.7064762519841707,-3.7065509803849377,-2.0499692293846046,3.4431398686748107,-3.7065509803849377,5.427485996692782,-3.7065509803849377,-3.7065509803849377,1.1063704158983594,3.4780427963828044,-3.7065509803849377,3.396230540455373,1.9888347859848317,-3.7065509803849377,-3.7065509803849377,5.97658074721539,2.533514762721711,3.2956125501512927,-3.7065509803849377,2.2749964340267095,3.10262877224104,6.838048349547947,5.125791210977835,5.171802054618703,-3.7065509803849377,-3.7065509803849377,2.3122842859048793,-3.7065509803849377,-3.7065509803849377,0.7917761717896301,3.3666316103074774,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,7.15376229148024,-3.7065509803849377,-3.7065509803849377,-3.7065509803849377,-0.7065210770592678,0.36868418477312304
CSM79HP4,7.565355271165503,-3.2216596747156743,4.2431833813713125,7.870277294432796,7.672212042884849,3.9718354505809748,2.2503895410815247,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,5.0130722003627515,7.406020320179282,7.648137283281177,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,5.170302891996353,8.838459567134894,-3.2216596747156743,5.92182100126199,-0.7316889391776034,7.29179972550017,-3.2216596747156743,8.328543497683711,1.6378557012058828,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,4.433304465514846,-3.2216596747156743,5.16698498192934,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,2.2405324078809574,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,3.08008372325365,-3.2216596747156743,-3.2216596747156743,5.386295318056558,-3.2216596747156743,1.489700618087939,7.708295083510335,6.007695399613165,-3.2216596747156743,8.471215413775361,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,0.2488536197617357,1.8167807973866612,-3.2216596747156743,6.803029707257336,-3.2216596747156743,-3.2216596747156743,2.124677785039413,-3.2216596747156743,-3.2216596747156743,4.673605859788071,1.8161226231237073,-3.2216596747156743,-3.2216596747156743,5.540520517753139,3.9732071035857146,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,3.8538889724259233,7.809044525457681,6.215903017549973,6.259085373864179,-3.2216596747156743,-3.2216596747156743,1.532569892944025,-3.2216596747156743,-3.2216596747156743,1.6680822544025062,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,8.104184464747144,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743,-3.2216596747156743
CSM79HP6,6.4698967584958185,-3.821822776187428,2.6530175429195895,6.590829942940062,7.064852724004663,3.4375892657650056,1.7309476949720146,-3.821822776187428,-3.821822776187428,1.4421684700015334,4.751763323345594,7.059787537433332,7.5457337466140135,0.7626059895634558,-3.821822776187428,-3.821822776187428,-3.821822776187428,4.928550559366965,8.092273458769196,-1.2556661310742996,5.318287969964069,-3.821822776187428,6.8003288227705125,-3.821822776187428,7.706475992500713,0.9820230793184717,-3.821822776187428,-3.821822776187428,-3.821822776187428,-3.821822776187428,3.040066718943182,-3.821822776187428,4.566481645791225,-3.821822776187428,-3.821822776187428,-3.821822776187428,-3.821822776187428,-3.821822776187428,-3.821822776187428,-3.821822776187428,-3.821822776187428,0.6160693841955123,-3.821822776187428,-3.821822776187428,-3.821822776187428,0.6749974771761256,-3.821822776187428,-3.821822776187428,-1.5788536429968794,0.29033749114205776,1.7494869247946934,-3.821822776187428,-3.821822776187428,5.799668881178124,-3.821822776187428,-3.821822776187428,6.87253596771498,5.735150209953479,-3.821822776187428,8.123673143829002,-3.821822776187428,2.867646531438349,0.019736069435838388,0.8736398667336189,-3.821822776187428,-3.821822776187428,5.648646831245633,-3.821822776187428,-3.821822776187428,1.4574622129894568,-3.821822776187428,4.603837034361569,3.9307392164740245,2.070913136365104,-3.821822776187428,-3.821822776187428,5.763337478022194,2.8227053474798316,3.761896435161786,-3.821822776187428,0.24387650399347116,3.9201377383343097,6.855411293962201,4.71076799820528,6.314957926317476,-3.821822776187428,-1.6700982280977943,1.4858404163352699,-3.821822776187428,-3.821822776187428,1.0994564388312416,3.3223924961262608,-3.821822776187428,-3.821822776187428,-3.821822776187428,7.449556991487945,-3.821822776187428,-3.821822776187428,-3.821822776187428,1.974603154896828,-0.22922780630853268
CSM7KOOH,7.30388435601786,-3.867894776778522,3.3619617693344876,7.30586633154897,7.213019025219738,4.370437168173321,2.4400333522459112,-3.867894776778522,-3.867894776778522,-3.867894776778522,5.770156370570995,6.2923489739786,8.391052561978944,3.7387453259870123,-3.867894776778522,-3.867894776778522,-3.867894776778522,5.55231911486673,8.128712753254694,-0.7520709749415282,5.0510578910133335,-3.867894776778522,5.862270302377831,6.968216406644666,6.540057419562055,2.2387637168999976,-3.867894776778522,-3.867894776778522,-3.867894776778522,-3.867894776778522,2.9882437661139294,-3.867894776778522,5.077476706121032,-3.867894776778522,-3.867894776778522,-3.867894776778522,-3.867894776778522,-3.867894776778522,-3.867894776778522,-3.867894776778522,-3.867894776778522,1.076816623597363,-3.867894776778522,-3.867894776778522,0.6644406088326757,1.3373141471260226,-3.867894776778522,-3.867894776778522,-3.867894776778522,0.5156954732478649,1.4712006446021366,-3.867894776778522,-3.867894776778522,4.593634833875892,-3.867894776778522,-3.867894776778522,1.9774730525407538,5.309804660747934,-3.867894776778522,6.916247125582489,-3.867894776778522,3.260576099357648,-3.867894776778522,-3.867894776778522,1.4193673888572462,-3.867894776778522,4.29204880451244,-3.867894776778522,-3.867894776778522,1.345058049467779,2.1923927244573562,-3.867894776778522,2.898690368212675,0.49140950067261,4.7493800551610565,-3.867894776778522,-3.867894776778522,2.2590706457310237,-3.867894776778522,-3.867894776778522,2.183379130717423,3.5145308112096085,4.81243913570716,4.193162421676157,7.170631441433283,-3.867894776778522,-3.867894776778522,2.431703646710112,-3.867894776778522,-3.867894776778522,2.0184837585125326,4.26224920686038,1.7422454721919625,-0.6062119957997751,-3.867894776778522,7.497462246066757,-3.867894776778522,-3.867894776778522,-3.867894776778522,2.6039094613446006,0.9575809587437512
