	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
CSM67UH7	5932	0	52	16	0	2	2	224	30	0	0	160	486	50	0	275	0	724	1	0	0	0	0	12	0	148	5	0	0	0	106	0	0	0	2	0	0	5	16	0	5	5	2	2	1	25	4	0	101	4	0	185	0	20	23	0	0	0	42	7	9	1	0	0	0	1	0	46	64	2	0	3	2	40	0	0	0	0	5	61	0	0	1043	0	0	0	1
CSM79HGX	0	1	50	338	0	0	0	494	0	0	0	0	0	190	1757	153	717	992	139	0	0	0	0	0	0	0	0	0	2	0	6	1	0	0	7	0	157	0	153	0	0	0	5	0	0	332	0	0	312	322	8	1755	30	0	2	3	30	10	0	0	0	2	0	36	77	403	190	24	0	0	0	0	0	0	5	0	0	103	5	107	0	1	172	0	0	0	0
CSM79HGZ	821	0	829	650	3	0	0	397	424	0	0	69	2479	72	0	408	0	1210	1	0	0	0	0	18	0	46	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	0	0	0	89	0	1	412	14	0	545	0	22	0	0	2	0	115	0	0	3	0	0	13	3	0	156	8	0	0	7	193	33	43	0	0	0	1	21	0	0	821	0	0	7	3
CSM79HOV	0	5	22	855	143	0	4	341	477	0	3	0	0	4	233	326	909	2692	17	282	0	0	0	0	0	8	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	112	0	0	25	323	2	847	0	47	0	0	0	0	268	0	0	2	20	121	16	514	57	36	2	0	0	12	30	0	8	0	42	0	4	38	7	5	972	0	0	0	1
CSM79HOX	277	0	633	408	4	0	2	324	1021	0	0	104	1776	111	1	482	1	1371	1	0	0	0	0	5	0	31	11	0	0	0	0	0	0	0	0	0	0	2	4	0	1	0	2	0	0	110	0	0	379	18	0	1039	0	11	0	0	4	0	199	0	0	2	13	0	12	1	0	137	5	0	0	15	446	49	3	0	0	0	2	31	0	0	917	0	0	0	0
CSM79HOZ	647	0	764	676	2	0	0	307	524	0	0	127	1889	62	0	693	0	1354	1	0	0	0	0	27	0	68	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	3	0	0	63	0	1	336	129	0	729	0	1	1	0	0	0	216	0	0	3	8	0	15	3	0	233	13	0	0	10	159	42	144	0	0	0	1	3	0	0	692	0	0	0	0
CSM79HP2	294	0	632	548	3	0	1	605	404	1	0	156	2377	130	0	381	0	1135	1	0	0	0	0	12	0	37	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	32	0	1	313	320	0	1182	0	6	0	0	13	0	93	0	0	1	13	0	12	3	0	160	5	11	0	9	380	69	72	0	0	0	1	12	0	0	521	0	0	0	1
CSM79HP4	484	0	656	538	2	0	0	413	526	0	0	44	1728	94	0	368	0	1038	1	0	0	0	0	21	0	44	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	55	0	1	558	102	0	1197	0	0	0	0	2	0	226	0	0	2	0	0	27	2	0	64	13	0	0	12	617	126	131	0	0	0	1	0	0	0	829	0	0	0	0
CSM79HP6	295	0	333	535	3	0	2	532	865	1	0	63	1494	93	0	410	0	1015	1	0	0	0	0	10	0	44	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	0	151	0	0	441	141	0	1541	0	8	0	1	0	0	130	0	0	2	0	46	23	4	0	145	8	20	0	23	434	51	253	0	0	0	1	13	0	0	785	0	0	3	0
CSM7KOOH	711	0	712	649	5	0	0	259	2109	20	0	123	1622	75	0	168	508	331	4	0	0	0	0	9	0	77	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	2	0	0	47	0	0	3	97	0	482	0	12	0	0	2	0	35	0	0	2	4	0	9	1	0	0	5	0	0	16	59	32	622	0	0	0	4	34	3	0	863	0	0	6	1
CSM7KOOJ	472	0	724	561	2	0	2	454	1659	0	0	117	1356	119	0	227	670	565	1	0	0	0	0	16	0	125	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	1	4	0	0	63	0	0	378	110	0	783	0	40	1	0	0	0	114	0	0	3	2	42	13	2	0	28	10	9	0	8	295	55	191	0	0	0	2	15	0	0	601	0	0	5	4
