Name	Acidaminococcus_intestini	Actinobaculum_sp_oral_taxon_183	Actinomyces_graevenitzii	Actinomyces_johnsonii	Actinomyces_massiliensis	Actinomyces_naeslundii	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Actinomyces_sp_HPA0247	Actinomyces_sp_ICM47	Actinomyces_sp_S6_Spd3	Actinomyces_sp_oral_taxon_181	Actinomyces_sp_oral_taxon_448	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_indistinctus	Alistipes_putredinis	Alistipes_shahii	Allisonella_histaminiformans	Anaeromassilibacillus_sp_An250	Anaerostipes_hadrus	Anaerotruncus_colihominis	Asaccharobacter_celatus	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_faecis	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_intestinalis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_plebeius	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bilophila_wadsworthia	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Butyricimonas_synergistica	Butyricimonas_virosa	Catabacter_hongkongensis	Catenibacterium_mitsuokai	Christensenella_minuta	Clostridium_asparagiforme	Clostridium_bolteae	Clostridium_citroniae	Clostridium_innocuum	Clostridium_leptum	Clostridium_sp_CAG_242	Clostridium_sp_CAG_299	Clostridium_sp_CAG_58	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacter_fastidiosus	Coprococcus_catus	Coprococcus_comes	Coprococcus_eutactus	Desulfovibrio_piger	Desulfovibrionaceae_bacterium	Dialister_sp_CAG_357	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Eisenbergiella_tayi	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_251	Eubacterium_sp_CAG_274	Eubacterium_sp_CAG_38	Eubacterium_sulci	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Faecalitalea_cylindroides	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_145	Firmicutes_bacterium_CAG_83	Firmicutes_bacterium_CAG_95	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Gemella_haemolysans	Gemella_morbillorum	Gemella_sanguinis	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemanella_biformis	Holdemania_filiformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Klebsiella_pneumoniae	Klebsiella_quasipneumoniae	Klebsiella_variicola	Lachnospira_pectinoschiza	Lactobacillus_rogosae	Lactobacillus_ruminis	Lactococcus_lactis	Lactonifactor_longoviformis	Lawsonibacter_asaccharolyticus	Megamonas_funiformis	Megamonas_hypermegale	Megasphaera_elsdenii	Methanobrevibacter_smithii	Mogibacterium_diversum	Odoribacter_splanchnicus	Olsenella_scatoligenes	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_merdae	Paraprevotella_xylaniphila	Parasutterella_excrementihominis	Parvimonas_micra	Phascolarctobacterium_faecium	Phascolarctobacterium_succinatutens	Prevotella_copri	Proteobacteria_bacterium_CAG_139	Romboutsia_ilealis	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_sp_CAG_471	Rothia_dentocariosa	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_callidus	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Slackia_isoflavoniconvertens	Streptococcus_anginosus_group	Streptococcus_australis	Streptococcus_cristatus	Streptococcus_gordonii	Streptococcus_infantis	Streptococcus_mitis	Streptococcus_mutans	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp_A12	Streptococcus_thermophilus	Streptococcus_vestibularis	Sutterella_parvirubra	Turicibacter_sanguinis	Turicimonas_muris	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	[Collinsella]_massiliensis
FAT_006_22_0_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	13	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	22	0	0	0	54	12	0	0	2398	0	398	0	0	0	51	0	17	0	0	0	112	0	0	0	0	0	0	0	0	0	0	824	9	19	0	83	215	0	48	1	0	129	474	0	0	0	0	0	65	33	3	77	72	0	0	3	0	0	1009	0	5	0	59	67	0	864	0	0	0	71	0	0	8	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	95	35	0	0	19	119	15	43	0	32	29	0	0	0	682	619	0	0	345	245	0	8	4	0	0	7	290	0	0	0	40	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
FAT_008_22_0_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	432	3463	422	1	0	0	0	0	3	0	155	0	55	0	0	0	0	0	0	0	5	0	0	0	20	506	433	0	36	7	0	0	59	0	0	0	0	581	0	0	0	0	0	0	0	0	0	1	0	0	8	0	270	0	6	0	1	0	0	0	0	0	83	3	36	0	0	0	0	80	0	844	0	0	0	0	0	0	1	992	0	0	30	0	0	34	559	0	0	0	140	6	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	18	76	3	53	74	0	0	324	0	0	0	42	3	28	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
FAT_012_22_0_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	2	2	136	6	1	0	119	0	1	0	6	49	0	0	0	0	0	14	2	0	5	51	0	172	158	18	3	307	0	45	0	0	0	74	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	420	1	10	0	70	210	0	16	2	0	100	176	0	0	0	15	161	229	57	976	69	660	164	0	17	0	44	707	0	3	0	131	0	6	521	0	0	0	64	0	0	18	0	0	6	0	0	0	0	62	2	0	0	0	2	0	0	0	13	0	1	1	172	21	28	0	11	29	3	0	0	84	0	0	0	1285	21	90	36	1	0	0	447	862	0	0	6	199	3	0	13	0	3	0	0	0	0	0	0	5	46	0	0	473	0	0	4	0	0	0	0	2
FAT_015_22_0_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	736	17	0	420	11	14	0	211	0	1	0	14	121	9	0	98	35	5	118	17	61	16	1	50	550	901	0	146	270	0	120	6	0	0	97	2	43	0	5	0	0	0	0	8	0	0	14	0	0	14	0	294	0	6	2	19	45	48	6	1	0	51	222	1	0	0	64	51	232	7	218	0	1495	71	25	60	0	14	422	0	0	0	33	0	14	230	0	0	0	61	0	3	0	5	14	37	2	0	0	0	101	2	0	0	0	4	0	0	0	0	0	43	0	6	36	220	0	116	70	18	0	23	0	11	83	0	173	15	27	91	0	0	0	50	772	0	35	35	75	39	0	28	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	3	2
FAT_020_22_0_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	68	1	9	86	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28	0	0	0	4	9	0	0	138	0	54	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	239	0	4	0	0	20	42	52	3	0	2	0	0	0	0	0	0	0	0	1397	1	0	0	0	0	0	0	1792	0	0	0	7	0	2	99	0	0	0	149	1	0	0	0	0	0	0	0	0	0	1	0	63	0	0	4	0	0	0	0	0	0	0	21	5	1	0	0	4	0	0	0	0	5520	0	0	0	6	0	39	0	0	0	0	31	0	0	4	13	12	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1
FAT_006_22_14_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	87	0	0	0	0	1	0	0	10	0	0	0	27	50	0	0	2	4	1	8	0	291	0	47	0	0	0	37	0	13	0	0	0	137	0	0	0	0	0	0	0	0	0	0	640	1	6	0	85	176	0	21	0	0	162	308	0	0	0	63	0	74	16	35	7	0	0	0	0	0	0	2075	0	0	0	55	0	0	445	0	0	0	20	0	0	186	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	2	0	48	8	31	0	19	9	0	0	0	885	1987	0	0	9	55	0	390	0	0	0	0	9	0	0	0	1274	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAT_006_22_42_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	76	0	0	0	791	0	281	0	0	0	44	0	6	0	0	0	132	0	0	0	0	0	0	0	0	0	0	512	1	11	0	68	256	0	36	0	0	115	392	0	0	0	0	3	15	11	22	114	0	0	0	0	0	0	2752	0	0	0	32	85	0	500	0	0	0	72	0	0	11	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	78	12	0	0	4	70	13	19	0	10	12	0	0	0	673	1801	0	0	570	22	0	40	0	0	0	0	0	0	0	0	172	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
FAT_006_22_84_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	43	0	0	0	2222	0	181	0	0	0	18	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	558	0	14	0	33	119	0	72	0	0	82	188	0	0	0	0	10	21	29	145	63	254	0	0	0	0	0	2463	0	0	0	33	75	0	446	0	0	0	91	0	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	115	49	0	15	5	99	9	22	0	20	5	0	0	0	949	807	0	0	497	40	0	10	0	0	0	0	0	0	0	0	74	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
FAT_008_22_14_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	21	373	0	84	7	0	0	399	0	3	0	3	0	0	0	19	0	1032	39	37	0	7	0	149	1256	709	0	67	0	0	19	0	19	0	57	0	394	0	8	0	0	0	0	15	2	2	0	0	0	28	2	187	0	3	0	3	246	212	107	0	0	287	91	8	0	0	0	0	189	0	497	0	0	0	0	1	0	0	832	0	0	0	65	0	40	205	0	0	0	51	36	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	94	0	12	0	72	13	37	415	4	0	81	0	0	0	0	4	226	9	484	3	0	0	557	0	0	6	44	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0
FAT_008_22_42_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	735	0	680	0	225	7	0	0	251	0	109	0	4	0	0	0	0	0	14	0	0	0	2	0	11	140	178	0	15	0	0	116	0	0	0	143	0	77	0	0	0	0	0	0	0	0	0	2	0	0	77	0	767	3	14	0	1	118	125	57	0	0	220	75	38	0	0	0	10	78	0	485	0	0	0	0	2	0	0	724	0	0	25	627	0	18	2146	0	0	0	94	195	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	80	3	15	0	14	0	0	0	7	0	0	0	0	0	540	0	87	5	0	3	288	0	0	0	3	18	42	0	0	0	2	0	0	0	0	0	0	141	40	0	6	0	0	0	0	0	0	0	0	7
