	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
CSM5FZ4M	0	1	44	623	0	0	0	0	0	1386	0	0	0	2025	0	211	3457	0	118	0	0	0	0	5	0	0	0	2	0	0	0	0	1	0	9	0	0	0	14	0	12	33	0	11	0	0	17	0	0	30	0	993	0	0	4	0	0	1	0	0	0	10	0	0	44	28	0	643	0	0	0	0	0	0	0	0	75	8	17	11	0	0	166	0	0	0	0
CSM5MCUO	0	0	38	517	23	79	0	282	4	64	28	68	0	378	917	7	742	1855	10	214	3	0	3	13	1	11	0	0	0	0	1	0	0	0	0	0	3	0	15	0	139	90	0	29	0	817	2	2	414	0	0	1762	1	3	17	0	1	0	18	0	12	1	15	33	0	0	29	0	95	21	0	1	735	83	0	3	0	0	13	24	0	0	352	0	0	0	0
CSM5MCWQ	0	4	185	1304	0	0	2	1	1	763	0	129	0	1396	1	46	2467	10	0	0	0	0	0	13	2	0	0	5	0	0	2	0	4	0	1	2	0	0	97	0	39	369	0	0	0	0	53	0	0	225	0	1393	0	0	6	0	0	9	0	5	0	20	0	0	0	5	1	0	0	0	0	0	0	0	2	1	379	27	290	50	0	0	689	0	0	0	0
CSM5MCX3	0	0	54	332	38	56	0	270	17	45	49	86	0	374	779	13	518	1992	14	374	3	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	17	1	25	0	73	14	0	395	0	129	9	3	906	0	0	1632	1	53	22	0	0	0	32	0	11	2	0	103	24	0	84	0	14	11	0	8	710	242	0	3	0	0	21	111	2	0	284	0	0	2	1
CSM5MCXH	66	143	0	0	0	0	0	506	343	68	22	0	0	757	1448	2	2241	2265	1	0	0	0	0	40	5	11	0	1	2	0	64	0	2	1	21	0	0	0	0	0	1	0	0	1	1	19	0	0	204	0	0	552	15	0	0	0	0	1	0	0	0	14	8	0	321	143	321	0	0	0	0	0	0	26	0	0	18	8	0	15	0	0	251	0	0	0	0
CSM5MCXJ	369	85	0	0	0	1	0	1120	31	13	44	0	0	661	1629	4	1912	1810	1	0	0	0	0	58	9	20	2	0	1	0	155	1	8	5	6	0	1	0	0	0	0	11	0	0	0	8	0	0	678	0	0	225	13	0	0	0	2	0	0	0	1	15	7	0	208	93	252	0	0	0	0	0	0	23	0	0	7	2	0	8	0	0	227	0	0	0	0
CSM5MCXL	549	118	0	0	0	0	2	646	103	86	28	0	0	604	2129	3	866	2265	2	0	0	0	6	43	7	36	8	1	1	0	59	2	2	1	4	0	4	0	0	0	0	2	0	0	0	13	0	0	553	0	0	361	32	0	0	0	3	0	0	0	0	19	42	0	189	116	274	0	0	0	0	0	0	116	0	0	19	2	1	16	0	0	370	0	0	0	0
CSM5MCXN	0	0	36	440	0	1	2	149	0	0	0	0	0	70	583	58	1517	393	0	0	9	15	7	2	0	0	0	0	5	0	0	0	0	0	21	0	25	0	12	0	4	28	0	0	0	30	0	0	1562	8	0	3263	14	20	4	6	0	0	16	0	8	20	8	37	80	82	125	0	0	2	0	0	0	68	74	18	87	0	33	20	0	0	1035	0	0	0	0
CSM5MCXP	737	107	0	0	0	2	0	667	35	100	28	0	0	659	1187	3	1133	2158	2	0	0	0	2	97	17	65	0	1	2	0	81	2	4	3	49	2	3	0	0	0	1	2	0	0	0	28	0	0	876	0	0	526	17	0	1	0	3	0	0	0	1	9	42	0	255	66	363	0	1	0	0	0	0	240	0	0	10	1	0	21	0	0	217	0	0	0	0
CSM5MCXR	244	66	0	0	0	8	5	645	5	89	26	0	0	704	1532	1	1361	2297	1	0	0	0	54	199	27	129	0	2	0	0	182	7	13	2	24	0	22	0	0	0	1	31	0	52	0	2	3	0	1136	0	0	85	24	1	2	0	0	0	0	1	2	15	54	0	201	36	337	0	1	0	0	0	0	0	1	0	0	3	2	15	0	0	226	0	0	0	0
