cause,effect,weight,direction,bootstrap_support
Bacteroides_ovatus,Bifidobacterium_longum,0.3735,positive,0.85
Roseburia_intestinalis,Bifidobacterium_longum,-0.2225,negative,0.8
Bacteroides_caccae,Bilophila_unclassified,-0.2296,negative,0.75
Clostridium_bolteae,Eubacterium_siraeum,-0.1827,negative,0.7
Odoribacter_splanchnicus,Barnesiella_intestinihominis,0.3911,positive,0.7
Bilophila_unclassified,Parabacteroides_merdae,0.2381,positive,0.7
Eubacterium_siraeum,Subdoligranulum_unclassified,0.1663,positive,0.65
Bacteroides_ovatus,Bacteroides_caccae,0.2234,positive,0.65
Veillonella_parvula,Alistipes_finegoldii,-0.2091,negative,0.65
Clostridium_clostridioforme,Subdoligranulum_unclassified,0.1544,positive,0.65
Bacteroides_caccae,Bifidobacterium_adolescentis,-0.24,negative,0.65
Veillonella_dispar,Clostridium_symbiosum,0.1718,positive,0.55
Veillonella_dispar,Escherichia_coli,0.1928,positive,0.55
Veillonella_parvula,Veillonella_dispar,0.1673,positive,0.55
Veillonella_parvula,Barnesiella_intestinihominis,-0.1603,negative,0.55
Collinsella_aerofaciens,Alistipes_putredinis,0.1722,positive,0.55
Bifidobacterium_adolescentis,Parabacteroides_distasonis,-0.2024,negative,0.55
Clostridium_symbiosum,Clostridium_hathewayi,0.1781,positive,0.55
Parabacteroides_distasonis,Clostridium_hathewayi,0.1632,positive,0.5
Bilophila_unclassified,Subdoligranulum_unclassified,0.1875,positive,0.5
Veillonella_unclassified,Collinsella_aerofaciens,-0.1686,negative,0.45
Roseburia_intestinalis,Collinsella_aerofaciens,-0.1724,negative,0.45
Veillonella_parvula,Eubacterium_siraeum,-0.205,negative,0.45
Veillonella_dispar,Parabacteroides_distasonis,-0.2297,negative,0.45
Bilophila_unclassified,Alistipes_finegoldii,0.1931,positive,0.45
Alistipes_finegoldii,Barnesiella_intestinihominis,-0.1766,negative,0.45
Roseburia_intestinalis,Bilophila_unclassified,-0.2191,negative,0.45
Veillonella_dispar,Clostridium_hathewayi,0.1574,positive,0.4
Veillonella_unclassified,Barnesiella_intestinihominis,0.1924,positive,0.4
Roseburia_intestinalis,Bacteroides_ovatus,-0.1768,negative,0.4
Clostridium_bolteae,Ruminococcus_gnavus,0.1656,positive,0.4
Clostridium_bolteae,Clostridium_clostridioforme,0.1676,positive,0.4
Alistipes_onderdonkii,Alistipes_putredinis,0.2091,positive,0.4
Alistipes_finegoldii,Eubacterium_siraeum,-0.1724,negative,0.35
Barnesiella_intestinihominis,Flavonifractor_plautii,-0.1637,negative,0.35
Veillonella_parvula,Clostridium_asparagiforme,-0.177,negative,0.35
Collinsella_aerofaciens,Alistipes_finegoldii,0.1594,positive,0.35
Bacteroides_caccae,Alistipes_onderdonkii,-0.151,negative,0.35
Alistipes_shahii,Bacteroides_caccae,-0.1748,negative,0.3
Collinsella_aerofaciens,Eubacterium_siraeum,0.1621,positive,0.3
Veillonella_unclassified,Bacteroides_uniformis,-0.1737,negative,0.25
Parabacteroides_distasonis,Veillonella_unclassified,-0.1806,negative,0.15
Alistipes_finegoldii,Flavonifractor_plautii,-0.1532,negative,0.1
