species,ace,ci_lower,ci_upper,p_value,significant,n_samples,n_parents_adjusted,p_corrected,sig_bonferroni,p_fdr,sig_fdr
Anaerostipes_hadrus,0.36766,0.26477,0.46943,0.00333,1,154,0,0.43623,0,0.02077,1
Eubacterium_ramulus,0.36631,0.2203,0.49797,0.00333,1,111,0,0.43623,0,0.02077,1
Eggerthella_lenta,0.35704,0.17971,0.49687,0.00333,1,53,0,0.43623,0,0.02077,1
Barnesiella_intestinihominis,0.33155,0.16647,0.47717,0.00333,1,93,1,0.43623,0,0.02077,1
Alistipes_shahii,0.3263,0.14754,0.49242,0.00333,1,30,4,0.43623,0,0.02077,1
Megasphaera_elsdenii,0.31221,0.11978,0.38796,0.00667,1,11,0,0.8737699999999999,0,0.03495,1
Blautia_wexlerae,0.30042,0.17612,0.40695,0.00333,1,128,0,0.43623,0,0.02077,1
Oscillibacter_sp_57_20,0.29901,0.15278,0.46825,0.00333,1,105,0,0.43623,0,0.02077,1
Alistipes_inops,0.28778,0.07889,0.43138,0.00333,1,23,0,0.43623,0,0.02077,1
Bacteroides_eggerthii,0.2732,0.10821,0.4473,0.00333,1,27,0,0.43623,0,0.02077,1
Eubacterium_siraeum,0.24868,0.0368,0.42212,0.02667,1,70,1,1.0,0,0.1294,0
Ruminococcus_gnavus,0.22891,0.02894,0.42515,0.03333,1,65,0,1.0,0,0.15056,0
Bacteroides_plebeius,0.22808,0.0312,0.40274,0.01333,1,37,0,1.0,0,0.06716,0
Agathobaculum_butyriciproducens,0.22177,0.09868,0.33921,0.00667,1,135,0,0.8737699999999999,0,0.03495,1
Roseburia_inulinivorans,0.21928,0.10043,0.33786,0.00333,1,124,0,0.43623,0,0.02077,1
Bacteroides_xylanisolvens,0.21463,0.01957,0.37898,0.04,1,76,0,1.0,0,0.17467,0
Fusicatenibacter_saccharivorans,0.21079,0.11116,0.31695,0.00333,1,152,0,0.43623,0,0.02077,1
Dorea_formicigenerans,0.20746,0.11029,0.31342,0.00333,1,131,0,0.43623,0,0.02077,1
Bacteroides_uniformis,0.19747,0.09705,0.3197,0.00333,1,132,0,0.43623,0,0.02077,1
Blautia_obeum,0.19502,0.08248,0.30925,0.00333,1,117,0,0.43623,0,0.02077,1
Slackia_isoflavoniconvertens,0.19049,-0.03016,0.37085,0.12667,0,26,0,1.0,0,0.35543,0
Parasutterella_excrementihominis,0.17896,-0.02142,0.34111,0.09333,0,67,0,1.0,0,0.2982,0
Bacteroides_faecis,0.16981,0.00669,0.32118,0.04667,1,17,0,1.0,0,0.19106,0
Bacteroides_caccae,0.16787,-0.00393,0.33306,0.05333,0,85,1,1.0,0,0.19961,0
Eubacterium_hallii,0.16673,0.03107,0.29356,0.00667,1,142,0,0.8737699999999999,0,0.03495,1
Clostridium_spiroforme,0.1634,-0.0465,0.31927,0.18182,0,11,0,1.0,0,0.46703,0
Alistipes_finegoldii,0.15921,0.00259,0.33041,0.05333,1,76,1,1.0,0,0.19961,0
Bifidobacterium_bifidum,0.1592,-0.08794,0.32436,0.28,0,54,0,1.0,0,0.51662,0
Eubacterium_eligens,0.15343,-0.00406,0.28315,0.06,0,120,0,1.0,0,0.21385,0
Bacteroides_massiliensis,0.15209,-0.09287,0.33769,0.25333,0,24,0,1.0,0,0.49362,0
Bacteroides_dorei,0.14553,-0.00648,0.29102,0.06667,0,76,0,1.0,0,0.22984,0
Roseburia_hominis,0.14261,-0.02468,0.29351,0.1,0,105,0,1.0,0,0.3119,0
Asaccharobacter_celatus,0.13857,-0.05326,0.31994,0.15333,0,62,0,1.0,0,0.40172,0
Bacteroides_sp_CAG_144,0.137,-0.02418,0.30743,0.12752,0,10,0,1.0,0,0.35543,0
Odoribacter_splanchnicus,0.13157,-0.05819,0.30452,0.23333,0,64,0,1.0,0,0.49362,0
Streptococcus_salivarius,0.12367,-0.04984,0.29559,0.15333,0,84,0,1.0,0,0.40172,0
Coprococcus_eutactus,0.12307,-0.02491,0.25649,0.11333,0,79,0,1.0,0,0.33741,0
Gordonibacter_pamelaeae,0.12097,-0.05163,0.26806,0.18667,0,29,0,1.0,0,0.469,0
Sellimonas_intestinalis,0.12096,-0.04511,0.32859,0.21333,0,41,0,1.0,0,0.49028,0
Firmicutes_bacterium_CAG_110,0.10992,-0.11051,0.30324,0.42,0,32,0,1.0,0,0.68163,0
Bacteroides_stercoris,0.108,-0.06625,0.25681,0.24,0,69,0,1.0,0,0.49362,0
Prevotella_sp_CAG_279,0.10543,-0.10543,0.29862,0.40134,0,13,0,1.0,0,0.68163,0
Ruminococcus_bicirculans,0.10403,-0.02845,0.24975,0.11333,0,124,0,1.0,0,0.33741,0
Adlercreutzia_equolifaciens,0.10158,-0.10233,0.32032,0.38,0,57,0,1.0,0,0.66373,0
Dialister_sp_CAG_357,0.09794,-0.10891,0.30702,0.36667,0,46,0,1.0,0,0.6491,0
