species,ace_cd,sig_cd_uncorr,sig_cd_fdr,n_cd,ace_uc,sig_uc_uncorr,sig_uc_fdr,n_uc
Anaerostipes_hadrus,0.36766,1,1,154,0.02109,1,1,18
Eubacterium_ramulus,0.36631,1,1,111,0.0,0,0,10
Barnesiella_intestinihominis,0.33155,1,1,93,0.27363,1,1,15
Blautia_wexlerae,0.30042,1,1,128,0.22541,1,1,13
Agathobaculum_butyriciproducens,0.22177,1,1,135,0.12483,1,1,18
Roseburia_inulinivorans,0.21928,1,1,124,0.04042,0,0,15
Fusicatenibacter_saccharivorans,0.21079,1,1,152,0.13615,0,0,19
Dorea_formicigenerans,0.20746,1,1,131,0.0267,1,1,14
Bacteroides_uniformis,0.19747,1,1,132,0.18457,1,1,17
Blautia_obeum,0.19502,1,1,117,0.07465,1,1,16
Bacteroides_caccae,0.16787,0,0,85,0.13236,0,0,12
Eubacterium_hallii,0.16673,1,1,142,0.01811,1,1,17
Alistipes_finegoldii,0.15921,1,0,76,0.22177,0,0,15
Eubacterium_eligens,0.15343,0,0,120,0.26004,1,1,14
Bacteroides_dorei,0.14553,0,0,76,0.22249,1,0,15
Odoribacter_splanchnicus,0.13157,0,0,64,0.0,0,0,12
Streptococcus_salivarius,0.12367,0,0,84,-0.0768,0,0,10
Ruminococcus_bicirculans,0.10403,0,0,124,-0.06659,0,0,14
Roseburia_intestinalis,0.09353,0,0,115,0.08206,0,0,11
Parabacteroides_merdae,0.0927,0,0,98,0.1703,1,1,11
Eubacterium_ventriosum,0.07247,0,0,64,0.04124,0,0,13
Bacteroides_cellulosilyticus,0.07076,0,0,68,0.07683,0,0,10
Alistipes_putredinis,0.07038,0,0,124,0.27605,1,1,17
Bifidobacterium_adolescentis,0.05578,0,0,119,0.02665,1,1,14
Collinsella_aerofaciens,0.04539,0,0,137,0.02621,1,1,13
Gemmiger_formicilis,0.03995,0,0,128,0.26016,1,1,12
Coprococcus_comes,0.03887,0,0,137,0.01811,1,1,17
Eubacterium_rectale,0.03024,0,0,144,-0.04728,0,0,16
Bifidobacterium_longum,0.01434,0,0,134,0.0232,1,1,15
Bacteroides_thetaiotaomicron,-0.0114,0,0,94,0.10749,0,0,11
Roseburia_faecis,-0.0184,0,0,127,0.07068,0,0,12
Bacteroides_vulgatus,-0.03675,0,0,123,0.08121,1,1,13
Parabacteroides_distasonis,-0.04499,0,0,117,0.09061,0,0,10
Coprococcus_catus,-0.07131,0,0,98,0.10577,0,0,13
Ruminococcus_lactaris,-0.074,0,0,67,-0.14919,0,0,10
Ruminococcus_torques,-0.08652,0,0,121,0.10467,0,0,19
Bacteroides_ovatus,-0.13762,0,0,108,0.26001,1,1,12
