species,ace,ci_lower,ci_upper,p_value,significant,n_samples,n_parents_adjusted,p_corrected,sig_bonferroni,p_fdr,sig_fdr
Alistipes_putredinis,0.27605,0.03331,0.43805,0.01333,1,17,2,0.49321,0,0.02901,1
Barnesiella_intestinihominis,0.27363,0.07328,0.45063,0.00333,1,15,4,0.12321,0,0.00821,1
Gemmiger_formicilis,0.26016,0.0444,0.4097,0.00333,1,12,0,0.12321,0,0.00821,1
Eubacterium_eligens,0.26004,0.03031,0.41758,0.02,1,14,0,0.74,0,0.04111,1
Bacteroides_ovatus,0.26001,0.04439,0.41305,0.00333,1,12,1,0.12321,0,0.00821,1
Blautia_wexlerae,0.22541,0.03115,0.36973,0.00333,1,13,0,0.12321,0,0.00821,1
Bacteroides_dorei,0.22249,0.00647,0.40415,0.05333,1,15,0,1.0,0,0.10385,0
Alistipes_finegoldii,0.22177,-0.0001,0.40661,0.06,0,15,3,1.0,0,0.111,0
Bacteroides_uniformis,0.18457,0.02486,0.36682,0.00333,1,17,1,0.12321,0,0.00821,1
Parabacteroides_merdae,0.1703,0.03011,0.32672,0.00692,1,11,1,0.25604,0,0.016,1
Fusicatenibacter_saccharivorans,0.13615,-0.02305,0.32926,0.16054,0,19,0,1.0,0,0.28286,0
Bacteroides_caccae,0.13236,-0.05995,0.34024,0.26936,0,12,2,1.0,0,0.42094,0
Agathobaculum_butyriciproducens,0.12483,0.01857,0.31553,0.00333,1,18,0,0.12321,0,0.00821,1
Bacteroides_thetaiotaomicron,0.10749,-0.11881,0.32578,0.42809,0,11,0,1.0,0,0.56569,0
Coprococcus_catus,0.10577,-0.09745,0.30169,0.27304,0,13,0,1.0,0,0.42094,0
Ruminococcus_torques,0.10467,-0.12671,0.32216,0.36667,0,19,0,1.0,0,0.52027,0
Parabacteroides_distasonis,0.09061,-0.12185,0.24102,0.36913,0,10,2,1.0,0,0.52027,0
Roseburia_intestinalis,0.08206,-0.07518,0.26558,0.37966,0,11,0,1.0,0,0.52027,0
Bacteroides_vulgatus,0.08121,0.01743,0.25999,0.00333,1,13,0,0.12321,0,0.00821,1
Bacteroides_cellulosilyticus,0.07683,-0.14914,0.29309,0.52,0,10,0,1.0,0,0.64133,0
Blautia_obeum,0.07465,0.01748,0.2418,0.00333,1,16,0,0.12321,0,0.00821,1
Roseburia_faecis,0.07068,-0.14106,0.28679,0.50167,0,12,0,1.0,0,0.64006,0
Eubacterium_ventriosum,0.04124,-0.16893,0.25329,0.80667,0,13,0,1.0,0,0.85277,0
Roseburia_inulinivorans,0.04042,-0.15471,0.29294,0.6443,0,15,0,1.0,0,0.7224,0
Dorea_formicigenerans,0.0267,0.01532,0.1552,0.00333,1,14,0,0.12321,0,0.00821,1
Bifidobacterium_adolescentis,0.02665,0.01529,0.18292,0.00333,1,14,1,0.12321,0,0.00821,1
Collinsella_aerofaciens,0.02621,0.01352,0.19615,0.00333,1,13,2,0.12321,0,0.00821,1
Bifidobacterium_longum,0.0232,0.01349,0.15504,0.00333,1,15,2,0.12321,0,0.00821,1
Anaerostipes_hadrus,0.02109,0.0118,0.16429,0.00333,1,18,0,0.12321,0,0.00821,1
Coprococcus_comes,0.01811,0.01004,0.12643,0.00333,1,17,0,0.12321,0,0.00821,1
Eubacterium_hallii,0.01811,0.00828,0.12169,0.00333,1,17,0,0.12321,0,0.00821,1
Odoribacter_splanchnicus,0.0,-0.14189,0.13253,1.00781,0,12,0,1.0,0,1.0,0
Eubacterium_ramulus,0.0,-0.1616,0.15754,0.94382,0,10,0,1.0,0,0.97004,0
Eubacterium_rectale,-0.04728,-0.21599,0.10028,0.57439,0,16,0,1.0,0,0.66414,0
Ruminococcus_bicirculans,-0.06659,-0.25997,0.177,0.57333,0,14,0,1.0,0,0.66414,0
Streptococcus_salivarius,-0.0768,-0.28795,0.15533,0.70903,0,10,0,1.0,0,0.77159,0
Ruminococcus_lactaris,-0.14919,-0.34091,0.0768,0.24161,0,10,0,1.0,0,0.40634,0
