species,historical_engraftment_rate,causal_ace,causal_sig,resource_accessibility,crossfeeding_synergy,butyrate_flux,propionate_flux,acetate_flux,lactate_flux,succinate_flux,formate_flux,therapeutic_score,keystone_conflict_mean,niche_overlap_mean,causal_ace_missing,resource_accessibility_missing,crossfeeding_synergy_missing,scfa_missing,historical_engraftment_rate_missing,cece_score
Blautia_wexlerae,0.75,0.8866839347093122,1.0,0.3464301557445848,0.325642711132715,0.0,0.0,0.12336802103486201,0.0,0.01770423590589362,0.3363075585286231,0.11507899110275623,0.550671088332831,0.8445707664733989,0,0,0,0,0,0.6539233213140863
Anaerostipes_hadrus,0.7207792207792207,0.9227173123056662,1.0,0.2970328013863243,0.378565050341902,0.4024919887600221,0.0,0.19812461565861358,0.0,0.0,0.3684543083345117,0.30933674410505235,0.45595290524794796,0.9486549647401779,0,0,0,0,0,0.6464470861982483
Faecalibacterium_prausnitzii,0.6333333333333333,0.3990393285135822,0.0,0.3238779434999269,1.0,0.0,0.0,0.11645190610003887,0.0,0.0,0.2673268082230702,0.10760089061495345,0.7318573597023577,0.8341681712020461,0,0,0,0,0,0.6115849783032637
Ruminococcus_bromii,0.5851063829787234,0.5569107690290005,0.0,0.43874821019864574,0.46070047873166026,0.0,0.0,0.2227959354976346,0.0,0.08567020104793395,0.5440282127515964,0.21112526363371775,0.8440300263050964,0.637733687830819,0,0,0,0,0,0.5891742208312264
Fusicatenibacter_saccharivorans,0.8486842105263158,0.7398481942326923,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6017778763898609,0.9456808950796072,0,1,1,1,0,0.587409672970873
Barnesiella_intestinihominis,0.5591397849462365,0.9423870336672185,1.0,0.17509432845538078,0.06395171199123896,0.0,0.0,0.024621003723960384,0.0,0.3041010983410702,0.0,0.04143195145145083,0.7118537159143487,0.8581114460793614,0,0,0,0,0,0.5814678646798341
Blautia_obeum,0.8034188034188035,0.7015005710476128,1.0,0.10154885386082581,0.07462984930516882,0.0,0.0,0.041642799118087735,0.0,0.0003345931178157584,0.08518423922070235,0.03849826211964047,0.4866557781751467,0.8684768358487484,0,0,0,0,0,0.5638671185559512
Alistipes_shahii,0.6,0.9496057312414957,1.0,0.03701806174136494,0.0023354712675290436,0.0,0.0,0.004995546314463828,0.0,0.03214848180095621,0.013817587387510823,0.006590880543594913,0.726354408930921,0.791713892519676,0,0,0,0,0,0.5638319532278624
Roseburia_faecis,0.7401574803149606,0.40885369705514296,0.0,0.24319919580367846,0.4667861210454551,0.4245382991171071,0.0,0.05888701107712215,0.0,0.009174266845321142,0.43409734807734807,0.18816203612324914,0.6408459111038958,0.7453527562666349,0,0,0,0,0,0.5576386372728619
Parabacteroides_goldsteinii,1.0,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.5329357858325546
Eubacterium_rectale,0.5625,0.4430728372596272,0.0,0.30281794238195997,0.6238179320151096,0.650280240262454,0.0,0.013812358131963798,0.0,0.014239644734227916,0.4846249759886146,0.21764480166183697,0.6127697040190244,0.7528413356404016,0,0,0,0,0,0.5323686411776242
Collinsella_aerofaciens,0.6430656934306569,0.48384946201303847,0.16666666666666666,0.18068049816561685,0.27395222865163327,0.0,0.0,0.11133597223593075,0.0,0.0,0.2441269088807202,0.1028737971860804,0.6524552473569737,0.8677401473821161,0,0,0,0,0,0.5288291998635684
Oscillibacter_sp_57_20,0.5333333333333333,0.9048672929064411,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7028358846265255,0.797542042347623,0,1,1,1,0,0.5261530455100294
Slackia_isoflavoniconvertens,0.6153846153846154,0.7269627370940507,0.0,0.20695786415715986,0.00917105502719897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7157880479337311,0.5481605006256627,0,0,0,1,0,0.5241529744131146
Bacteroides_uniformis,0.48181818181818176,0.7348808996868801,1.0,0.2566398464220402,0.09494621022183018,0.0,0.0,0.008300901787490904,0.0,0.00026739155544804483,0.008287853815253496,0.007686412503502951,0.6043646580699584,0.8861816176380665,0,0,0,0,0,0.51878509294262
Roseburia_inulinivorans,0.4798387096774194,0.7252905785340743,0.8333333333333334,0.1996734262561098,0.16656200297106932,0.3301288678148136,0.0,0.06440156008091999,0.0,0.0,0.3073371263100161,0.16307548110669062,0.7123949308375352,0.7556876968844096,0,0,0,0,0,0.5180449521596353
Bacteroides_dorei,0.47368421052631576,0.674284277884337,0.16666666666666666,0.3425609899340966,0.1228537995376913,0.0,0.0,0.05069669104544577,0.0,0.04300123872364745,0.04662513613381403,0.04948520831859725,0.7243207083128382,0.6285451976317196,0,0,0,0,0,0.5121342731887434
Agathobaculum_butyriciproducens,0.7407407407407407,0.7517554932594523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2918673681490431,0.8924146509678137,0,1,1,1,0,0.5055948911932505
Eubacterium_ramulus,0.5675675675675675,0.9151106302289109,0.8333333333333334,0.03972091107724329,0.0037890402152594956,0.07380178182622768,0.0,0.020311153595373718,0.0,0.00037711548540564235,0.061892209082543795,0.04194382666615428,0.4274555195045674,0.7989029599508578,0,0,0,0,0,0.5036380609199358
Prevotella_copri,0.6117647058823529,0.20351153297595043,1.0,0.5438190464916861,0.33843799443238937,0.0,1.0,0.3151540219682214,0.0,0.21510261484729176,0.6786476399255851,1.0,0.5193200148008313,0.8404789730387194,0,0,0,0,0,0.5015942743008844
Candidatus_Stoquefichus_sp_KLE1796,0.6,0.5566976507811603,0.0,0.10354798297402207,0.42993459211503543,0.0,0.0,0.9999999999999999,0.0,0.65955934798588,0.0,0.9645139115048302,1.0,0.0,0,0,0,0,0,0.49986518681383885
Odoribacter_splanchnicus,0.625,0.5944223129340918,0.0,0.03871017859520886,0.010243225127460393,0.0,0.0,0.003976685289910587,0.0,0.024281131844705005,0.012905117428840443,0.005166132453066112,0.6274362548753927,0.8226556539272941,0,0,0,0,0,0.489596315512884
Bifidobacterium_adolescentis,0.49369747899159666,0.4981639043263004,0.16666666666666666,0.24458491422494585,0.40130620095364344,0.0,0.0,0.2530463243131182,0.23039569696860843,0.0,0.10549167829672414,0.25252190919130113,0.5908759047150587,0.7421369340136819,0,0,0,0,0,0.4874054609004723
Dorea_formicigenerans,0.5696564885496183,0.7053940774985382,1.0,0.06155862667633379,0.015330364677532477,0.0,0.0,0.022189240963031782,0.0,0.00015550828585448473,0.04375846452966816,0.020512284433848615,0.43334608408706743,0.9857811487526997,0,0,0,0,0,0.48632262002212656
Dorea_longicatena,0.657,0.408268988016197,0.0,0.11491889220755949,0.18628182551586947,0.0,0.0,0.11042790369115014,0.0,0.0,0.029922451615129273,0.10203474708007458,0.5225777257556132,0.9282737555185652,0,0,0,0,0,0.48583384840115873
Eubacterium_sp_CAG_180,0.59375,0.5131395596649125,0.0,0.1434056086589823,0.0476502369685956,0.16598676907014692,0.0,0.06649154106399467,0.0,0.0013477407441541832,0.36022226009351827,0.1135943611587487,0.8263036429525081,0.5427505404454084,0,0,0,0,0,0.4852493774161065
Phascolarctobacterium_faecium,0.4835164835164835,0.4566632239872785,0.0,0.3129953785222123,0.14936040791037689,0.0,0.0,0.0,0.0,0.04141379635298792,0.0008864668495950622,0.0025442340841577574,0.8419504266558311,0.6053101510958828,0,0,0,0,0,0.4850965165297333
Parabacteroides_merdae,0.5270408163265307,0.5878511669590212,0.16666666666666666,0.0863988231754534,0.03341782542326553,0.0,0.0,0.0416349379796395,0.0,0.003932913612127493,0.0869444075114001,0.03871205933804832,0.7239897481036581,0.8429023378833221,0,0,0,0,0,0.4848727803122889
Bacteroides_stercoris,0.5188405797101446,0.5917310119838031,0.0,0.12652791090169327,0.14341198279632997,0.0,0.00956654136608754,0.0467257376897418,0.011554620966048977,0.1634228480487598,0.02856744103934674,0.06080670397323516,0.6643736354933574,0.7399288347931426,0,0,0,0,0,0.4809676900280089
Bacteroides_vulgatus,0.5926829268292683,0.3866620764274824,0.16666666666666666,0.4147631519056286,0.1347612969000867,0.0,0.007346276978985466,0.024066951907469755,0.0,0.013871067102228823,0.025294684184668865,0.02819984494168949,0.47561259000502987,0.7876030956596852,0,0,0,0,0,0.4809300938768529
Prevotella_stercorea,0.3333333333333333,0.41467892916277316,0.0,0.9501859441970122,0.037728782113940894,0.0,0.0,0.2844480845252711,0.0,0.9365263290974448,0.6711407654599628,0.32036337835982914,1.0,0.0,0,0,0,0,0,0.47923655567350054
Eggerthella_lenta,0.37232704402515693,1.0,1.0,0.16745532653675238,0.023920524199775157,0.0,0.0,0.0763606873811023,0.17985783163440075,0.003298674419557324,0.00628539581712824,0.08536428096890113,0.42736119554331875,0.7481215298142703,0,0,0,0,0,0.4781247969209623
Bacteroides_xylanisolvens,0.35526315789473684,0.7665371563468254,1.0,0.686678972522676,0.2053929770701318,0.0,0.015067897343656954,0.34612089769118193,0.0,0.19561072632871165,0.43977594575977874,0.34231195510647966,0.09933360084914655,0.679967448337398,0,0,0,0,0,0.46632430718431245
Alistipes_inops,0.391304347826087,0.8864571550353284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9860687013787077,0.19157869201663644,0,1,1,1,0,0.46175090976336153
Eubacterium_hallii,0.44366197183098594,0.6474040558041935,1.0,0.10632954211035978,0.09611005061669546,0.08927123320768077,0.0,0.04359897039355355,0.0,0.005741841554770741,0.14209647943532455,0.06864432724385601,0.4844671930263422,0.9999999999999999,0,0,0,0,0,0.4608099180423093
Bifidobacterium_bifidum,0.325,0.675666814210069,0.0,0.23170575988592357,0.10366737816391647,0.0,0.0,0.2306553997932066,0.050683803325469845,0.0,0.19737316591872758,0.21723988101574096,0.7696384653221839,0.6287685426588991,0,0,0,0,0,0.45607858870551143
Ruthenibacterium_lactatiformans,0.6376811594202898,0.5532713651043459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5745946525191483,0.6761231995842529,0,1,1,1,0,0.4557601386832537
Escherichia_coli,0.5285714285714286,0.22267578157018966,0.0,1.0,0.16630347176420257,0.0,0.0,0.25495313728389624,0.9999999999999999,0.0015755300211405916,0.0,0.31687389824044343,0.13840234528449924,0.6364649802289486,0,0,0,0,0,0.45414378187745646
Prevotella_sp_CAG_520,0.42857142857142855,0.41467892916277316,0.0,0.5935947896167183,0.026248689221533235,0.0,0.0,0.37837679303224325,0.0,0.10737991656555933,0.9019788224956459,0.3562148046197273,1.0,0.0,0,0,0,0,0,0.45317130176864423
Coprococcus_comes,0.5111313868613139,0.47272906113214974,0.16666666666666666,0.049046513565775274,0.02943173608471415,0.0,0.0,0.041737055954828135,0.0,0.0005392817351376782,0.0,0.03859792982800793,0.7171246998646325,0.8375429031474019,0,0,0,0,0,0.4495083742225969
Megasphaera_elsdenii,0.45454545454545453,0.9265069919179003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7673096608659815,0.12118822781594221,0,1,1,1,0,0.4488803066587079
Alistipes_putredinis,0.41129032258064513,0.5862527801002202,0.16666666666666666,0.19740335751758745,0.22251262109200998,0.0,0.0,0.07440534789679637,0.0,0.2777907974298601,0.0,0.08581603972434179,0.5139152874037949,0.7660060402963289,0,0,0,0,0,0.4461873156712788
Bacteroides_caccae,0.4061764705882353,0.6801778171226851,0.0,0.19525466216849408,0.07070841205372365,0.0,0.0,0.07662582890453547,0.0,0.1858838862581709,0.06814482586984139,0.08222150022158925,0.5026011758367882,0.7350115102636793,0,0,0,0,0,0.44313887253354023
Gordonibacter_pamelaeae,0.6206896551724138,0.6129936556336989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3653624028678488,0.7822701666406112,0,1,1,1,0,0.4418370047727024
Bacteroides_sp_CAG_144,0.6,0.639272774963524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7950108917152695,0.14396440420477014,0,1,1,1,0,0.4415026291704722
Parabacteroides_distasonis,0.5115384615384616,0.3779734094001541,0.0,0.18032373289998538,0.029634427509117652,0.0,0.0,0.00025276233949259687,0.0,0.0006406335161433295,0.013404401705343646,0.00027290791817768576,0.6564977515045416,0.8118780824984806,0,0,0,0,0,0.4387306940030082
Prevotella_sp_CAG_279,0.46153846153846156,0.5875178281611174,0.0,0.1747369900714677,0.009669079138891316,0.0,0.0,0.05111463112131922,0.0,0.04295625261200553,0.13434278797983398,0.04986861884454375,1.0,0.0,0,0,0,0,0,0.4331425605183712
Prevotella_sp_CAG_5226,0.6666666666666666,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.4329357858325546
Bacteroides_massiliensis,0.4583333333333333,0.6640108854243512,0.0,0.1222462872813183,0.03461079938556576,0.0,0.0,0.025597214492746195,0.0,0.08103693517623049,0.054913317616872806,0.028630138878053796,0.48732798652738274,0.6599557690884942,0,0,0,0,0,0.4311949750035814
Turicimonas_muris,0.6666666666666666,0.41467892916277316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6445906432748538,0.48888611890692907,0,1,1,1,0,0.4285129942144756
Parasutterella_excrementihominis,0.3283582089552239,0.7080607878817686,0.0,0.08537600678671659,0.029986086783420816,0.0,0.0,0.0,0.0,0.10421312624666407,0.0,0.00640227680537839,0.6262586168794599,0.7609737548822092,0,0,0,0,0,0.42596079797941033
