sample_id,species,metabolite,flux
FRICKE_16B,Anaerostipes_hadrus,EX_12dgr180(e),-0.00226874
FRICKE_16B,Anaerostipes_hadrus,EX_26dap_M(e),-0.10222125
FRICKE_16B,Anaerostipes_hadrus,EX_MGlcn100(e),-7.462e-05
FRICKE_16B,Anaerostipes_hadrus,EX_MGlcn113(e),-0.01423773
FRICKE_16B,Anaerostipes_hadrus,EX_MGlcn174(e),7.462e-05
FRICKE_16B,Anaerostipes_hadrus,EX_ac(e),7.06493881
FRICKE_16B,Anaerostipes_hadrus,EX_ala_L(e),0.04086805
FRICKE_16B,Anaerostipes_hadrus,EX_alaglu(e),-0.04899162
FRICKE_16B,Anaerostipes_hadrus,EX_alathr(e),-0.14396246
FRICKE_16B,Anaerostipes_hadrus,EX_arbt(e),-1.06304819
FRICKE_16B,Anaerostipes_hadrus,EX_asn_L(e),0.00319195
FRICKE_16B,Anaerostipes_hadrus,EX_asp_L(e),0.00648402
FRICKE_16B,Anaerostipes_hadrus,EX_biomass(e),0.31403788
FRICKE_16B,Anaerostipes_hadrus,EX_but(e),2.77654209
FRICKE_16B,Anaerostipes_hadrus,EX_ca2(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_cgly(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_cl(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_co2(e),2.15555616
FRICKE_16B,Anaerostipes_hadrus,EX_cobalt2(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_core6(e),0.01423773
FRICKE_16B,Anaerostipes_hadrus,EX_cu2(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_cys_L(e),-0.02287245
FRICKE_16B,Anaerostipes_hadrus,EX_fe2(e),-0.00498673
FRICKE_16B,Anaerostipes_hadrus,EX_fe3(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_for(e),5.35983535
FRICKE_16B,Anaerostipes_hadrus,EX_gal(e),-0.05412601
FRICKE_16B,Anaerostipes_hadrus,EX_gam(e),-0.358832
FRICKE_16B,Anaerostipes_hadrus,EX_gcald(e),0.0074801
FRICKE_16B,Anaerostipes_hadrus,EX_glc_D(e),-2.7894037
FRICKE_16B,Anaerostipes_hadrus,EX_glu_L(e),0.0984543
FRICKE_16B,Anaerostipes_hadrus,EX_gly(e),0.36648127
FRICKE_16B,Anaerostipes_hadrus,EX_glyasn(e),-0.04977319
FRICKE_16B,Anaerostipes_hadrus,EX_glygln(e),-0.20211626
FRICKE_16B,Anaerostipes_hadrus,EX_glyglu(e),-0.10250299
FRICKE_16B,Anaerostipes_hadrus,EX_glyleu(e),-0.08136008
FRICKE_16B,Anaerostipes_hadrus,EX_glypro(e),-0.03900988
FRICKE_16B,Anaerostipes_hadrus,EX_h(e),9.56491822
FRICKE_16B,Anaerostipes_hadrus,EX_his_L(e),-0.02573478
FRICKE_16B,Anaerostipes_hadrus,EX_hxan(e),-0.05499972
FRICKE_16B,Anaerostipes_hadrus,EX_ile_L(e),-0.03865579
FRICKE_16B,Anaerostipes_hadrus,EX_k(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_leu_L(e),-0.05386639
FRICKE_16B,Anaerostipes_hadrus,EX_met_L(e),-0.03813667
FRICKE_16B,Anaerostipes_hadrus,EX_mg2(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_mn2(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_mqn7(e),-0.00498673
FRICKE_16B,Anaerostipes_hadrus,EX_nac(e),-0.00498673
FRICKE_16B,Anaerostipes_hadrus,EX_nh4(e),0.07643045
FRICKE_16B,Anaerostipes_hadrus,EX_ocdca(e),-0.0215734
FRICKE_16B,Anaerostipes_hadrus,EX_phe_L(e),-0.05533033
FRICKE_16B,Anaerostipes_hadrus,EX_pheme(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_pi(e),-0.39008275
FRICKE_16B,Anaerostipes_hadrus,EX_pnto_R(e),-0.00498673
FRICKE_16B,Anaerostipes_hadrus,EX_pro_L(e),-0.01155964
FRICKE_16B,Anaerostipes_hadrus,EX_ptrc(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_ribflv(e),-0.00498673
FRICKE_16B,Anaerostipes_hadrus,EX_ser_L(e),-0.09642172
FRICKE_16B,Anaerostipes_hadrus,EX_so4(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_spmd(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_succ(e),-2.67476681
FRICKE_16B,Anaerostipes_hadrus,EX_thm(e),-0.00249337
FRICKE_16B,Anaerostipes_hadrus,EX_thr_L(e),0.01290728
FRICKE_16B,Anaerostipes_hadrus,EX_trp_L(e),-0.01711381
FRICKE_16B,Anaerostipes_hadrus,EX_tyr_L(e),-0.03487077
FRICKE_16B,Anaerostipes_hadrus,EX_val_L(e),-0.04762871
FRICKE_16B,Anaerostipes_hadrus,EX_zn2(e),-0.00249337
FRICKE_16B,Bacteroides_stercoris,EX_ac(e),0.00125
FRICKE_16B,Bacteroides_stercoris,EX_acnam(e),-0.00249999
FRICKE_16B,Bacteroides_stercoris,EX_amylose300(e),-0.0006608
FRICKE_16B,Bacteroides_stercoris,EX_arg_L(e),-0.0061939
FRICKE_16B,Bacteroides_stercoris,EX_asn_L(e),-0.44395854
FRICKE_16B,Bacteroides_stercoris,EX_biomass(e),0.02148645
FRICKE_16B,Bacteroides_stercoris,EX_ca2(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_cit(e),-0.00033559
FRICKE_16B,Bacteroides_stercoris,EX_cl(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_co2(e),-0.0050178
FRICKE_16B,Bacteroides_stercoris,EX_cobalt2(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_cu2(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_cytd(e),-0.00630937
FRICKE_16B,Bacteroides_stercoris,EX_fe2(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_fe3(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_fru(e),1.24566152
FRICKE_16B,Bacteroides_stercoris,EX_glc_D(e),0.06608035
FRICKE_16B,Bacteroides_stercoris,EX_gly(e),-0.01358328
FRICKE_16B,Bacteroides_stercoris,EX_glyc3p(e),-3.51861709
FRICKE_16B,Bacteroides_stercoris,EX_glymet(e),-0.0078715
FRICKE_16B,Bacteroides_stercoris,EX_hdca(e),0.00046116
FRICKE_16B,Bacteroides_stercoris,EX_indole(e),0.12875216
FRICKE_16B,Bacteroides_stercoris,EX_k(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_lac_D(e),0.09092477
FRICKE_16B,Bacteroides_stercoris,EX_leu_L(e),-0.00942525
FRICKE_16B,Bacteroides_stercoris,EX_lys_L(e),0.93275581
FRICKE_16B,Bacteroides_stercoris,EX_malt(e),0.06608035
FRICKE_16B,Bacteroides_stercoris,EX_meoh(e),0.00224746
FRICKE_16B,Bacteroides_stercoris,EX_mg2(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_mn2(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_nac(e),-0.00033559
FRICKE_16B,Bacteroides_stercoris,EX_phe_L(e),-0.00387959
FRICKE_16B,Bacteroides_stercoris,EX_pi(e),3.49368734
FRICKE_16B,Bacteroides_stercoris,EX_ser_L(e),-0.98962193
FRICKE_16B,Bacteroides_stercoris,EX_so4(e),-0.0001678
FRICKE_16B,Bacteroides_stercoris,EX_succ(e),0.4280411
FRICKE_16B,Bacteroides_stercoris,EX_trp_L(e),-0.12993729
FRICKE_16B,Bacteroides_stercoris,EX_xan(e),-0.00508081
FRICKE_16B,Bacteroides_stercoris,EX_zn2(e),-0.0001678
FRICKE_16B,Bacteroides_uniformis,EX_26dap_M(e),-0.00055027
FRICKE_16B,Bacteroides_uniformis,EX_ac(e),0.00110054
FRICKE_16B,Bacteroides_uniformis,EX_acnam(e),-0.00220108
FRICKE_16B,Bacteroides_uniformis,EX_ala_L(e),-0.01111065
FRICKE_16B,Bacteroides_uniformis,EX_arg_L(e),-0.00545332
FRICKE_16B,Bacteroides_uniformis,EX_asn_L(e),-0.02880718
FRICKE_16B,Bacteroides_uniformis,EX_biomass(e),0.01891741
FRICKE_16B,Bacteroides_uniformis,EX_ca2(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_cit(e),-0.00029547
FRICKE_16B,Bacteroides_uniformis,EX_cl(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_co2(e),0.01945564
FRICKE_16B,Bacteroides_uniformis,EX_cobalt2(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_cu2(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_cys_L(e),-0.00197874
FRICKE_16B,Bacteroides_uniformis,EX_cytd(e),-0.00511054
FRICKE_16B,Bacteroides_uniformis,EX_dcyt(e),-0.00022222
FRICKE_16B,Bacteroides_uniformis,EX_ddca(e),-0.00275135
FRICKE_16B,Bacteroides_uniformis,EX_fe2(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_fe3(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_gal(e),0.03938611
FRICKE_16B,Bacteroides_uniformis,EX_galmannan(e),-0.00017903
FRICKE_16B,Bacteroides_uniformis,EX_h(e),0.0080314
FRICKE_16B,Bacteroides_uniformis,EX_h2(e),0.00673267
FRICKE_16B,Bacteroides_uniformis,EX_k(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_leu_L(e),-0.00829831
FRICKE_16B,Bacteroides_uniformis,EX_lys_L(e),-0.0063099
FRICKE_16B,Bacteroides_uniformis,EX_man(e),0.13964167
FRICKE_16B,Bacteroides_uniformis,EX_met_L(e),-0.00297286
FRICKE_16B,Bacteroides_uniformis,EX_mg2(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_mn2(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_nac(e),-0.00029547
FRICKE_16B,Bacteroides_uniformis,EX_nh4(e),0.02184605
FRICKE_16B,Bacteroides_uniformis,EX_pac(e),0.04180112
FRICKE_16B,Bacteroides_uniformis,EX_phe_L(e),-0.04521685
FRICKE_16B,Bacteroides_uniformis,EX_pi(e),-0.02194901
FRICKE_16B,Bacteroides_uniformis,EX_pullulan1200(e),-2.111e-05
FRICKE_16B,Bacteroides_uniformis,EX_pydx(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_ser_L(e),-0.0146667
FRICKE_16B,Bacteroides_uniformis,EX_so4(e),-0.00014773
FRICKE_16B,Bacteroides_uniformis,EX_thr_L(e),-0.01388932
FRICKE_16B,Bacteroides_uniformis,EX_thymd(e),-0.00022222
FRICKE_16B,Bacteroides_uniformis,EX_trp_L(e),-0.00104343
FRICKE_16B,Bacteroides_uniformis,EX_ttdca(e),-0.00055027
FRICKE_16B,Bacteroides_uniformis,EX_val_L(e),-0.00808187
FRICKE_16B,Bacteroides_uniformis,EX_zn2(e),-0.00014773
FRICKE_16B,Bacteroides_vulgatus,EX_26dap_M(e),-0.0009309
FRICKE_16B,Bacteroides_vulgatus,EX_2obut(e),-0.01217024
FRICKE_16B,Bacteroides_vulgatus,EX_MGlcn12(e),0.0012412
FRICKE_16B,Bacteroides_vulgatus,EX_MGlcn174(e),-0.0012412
FRICKE_16B,Bacteroides_vulgatus,EX_ac(e),0.02106641
FRICKE_16B,Bacteroides_vulgatus,EX_ade(e),0.00702983
FRICKE_16B,Bacteroides_vulgatus,EX_adn(e),-0.01536942
FRICKE_16B,Bacteroides_vulgatus,EX_amylose300(e),-0.00115461
FRICKE_16B,Bacteroides_vulgatus,EX_arg_L(e),-0.0091821
FRICKE_16B,Bacteroides_vulgatus,EX_asn_L(e),-0.02005208
FRICKE_16B,Bacteroides_vulgatus,EX_biomass(e),0.03721968
FRICKE_16B,Bacteroides_vulgatus,EX_ca2(e),-0.00011525
FRICKE_16B,Bacteroides_vulgatus,EX_cgly(e),-0.00317988
FRICKE_16B,Bacteroides_vulgatus,EX_chor(e),-0.01211495
FRICKE_16B,Bacteroides_vulgatus,EX_cl(e),-0.00011525
FRICKE_16B,Bacteroides_vulgatus,EX_co2(e),0.05333283
FRICKE_16B,Bacteroides_vulgatus,EX_cobalt2(e),-0.00011525
FRICKE_16B,Bacteroides_vulgatus,EX_cu2(e),-0.00011525
FRICKE_16B,Bacteroides_vulgatus,EX_cytd(e),-0.00651106
FRICKE_16B,Bacteroides_vulgatus,EX_dcyt(e),-0.0005963
FRICKE_16B,Bacteroides_vulgatus,EX_ddca(e),-0.00465451
FRICKE_16B,Bacteroides_vulgatus,EX_fe2(e),-0.00017288
FRICKE_16B,Bacteroides_vulgatus,EX_fe3(e),-0.00011525
FRICKE_16B,Bacteroides_vulgatus,EX_fol(e),-0.00034575
FRICKE_16B,Bacteroides_vulgatus,EX_for(e),0.05438227
FRICKE_16B,Bacteroides_vulgatus,EX_fru(e),0.01461755
FRICKE_16B,Bacteroides_vulgatus,EX_glc_D(e),0.11546146
FRICKE_16B,Bacteroides_vulgatus,EX_gsn(e),-0.00291653
FRICKE_16B,Bacteroides_vulgatus,EX_h(e),0.06482778
FRICKE_16B,Bacteroides_vulgatus,EX_h2(e),0.00628638
FRICKE_16B,Bacteroides_vulgatus,EX_h2s(e),-0.00487193
FRICKE_16B,Bacteroides_vulgatus,EX_inulin(e),-0.00269475
