species,butyrate_flux,propionate_flux,acetate_flux,lactate_flux,succinate_flux,formate_flux,therapeutic_score
Acidaminococcus_intestini,0.6724788,0.0,3.18441367,0.0,0.04608176,5.48277166,0.9081783420000001
Akkermansia_muciniphila,0.0,0.06733046,3.3358039739999996,0.0,2.237798347,3.6723313810000002,0.7992498501499999
Alistipes_finegoldii,0.0,0.0,0.43197523875,1.346844385,0.851127336,0.5597282775,0.1962936338
Alistipes_indistinctus,0.0,0.0,5.98820024,0.0,7.64678225,0.0,1.5799791605
Alistipes_onderdonkii,0.0,0.0,1.35725981,0.0,6.64003907,2.10324911,0.6034539155
Alistipes_putredinis,0.0,0.0,2.1393415466666665,0.0,2.1242057389999998,0.0,0.5340785962833333
Alistipes_shahii,0.0,0.0,0.143634565,0.0,0.24583244,0.18539391,0.041018535
Alistipes_sp_An31A,0.0,0.0,0.63886458,0.96339394,0.09031078,0.79976625,0.18045815200000004
Anaerostipes_hadrus,1.9646239762068964,0.0,5.6965827548275865,0.0,0.0,4.94364051862069,1.9251661414482761
Anaerotruncus_sp_CAG_528,0.10835871999999999,0.0,3.5940009775,0.0,0.038671897499999996,0.0,0.7640772783750001
Bacteroides_caccae,0.0,0.0,2.20318598,0.0,1.421413602,0.9143156008333332,0.5117078761
Bacteroides_cellulosilyticus,0.0,0.441381235,1.0461619283333332,0.0,0.1754735725,0.43948804166666666,0.3504204347916666
Bacteroides_clarus,0.0,0.0,0.02196132,0.0,0.0,0.05446877,0.004392264
Bacteroides_coprocola,0.0,0.1217272975,0.664388692,0.0,0.32213318599999996,0.44990083399999997,0.18550258695
Bacteroides_dorei,0.0,0.0,1.457657822962963,0.0,0.328821109,0.6255807218518519,0.3079726200425926
Bacteroides_eggerthii,0.0,0.6205898799999999,0.659082095,0.0,1.3462890933333334,0.85004096,0.3853078376666667
Bacteroides_faecis,0.0,0.0,0.283274855,0.0,0.50882689,0.00048257,0.0820963155
Bacteroides_faecis_CAG_32,0.0,0.0,0.38487792,0.0,0.29776145,0.00282906,0.0918636565
Bacteroides_finegoldii,0.0,0.43410172199999997,0.216293222,0.0,0.068105924,0.5400636139999999,0.1768944572
Bacteroides_fragilis,0.0,0.0,0.15714364,0.0,0.0,0.05092002599999999,0.031428728
Bacteroides_intestinalis,0.0,0.0,0.31899548,0.0,0.36457949,0.00176858,0.0820280705
Bacteroides_massiliensis,0.0,0.0,0.7359845225,0.0,0.6196717975,0.73678525625,0.178180494375
Bacteroides_nordii,0.0,0.0,0.14130765,0.0,0.21606904,0.00046882,0.039064982000000005
Bacteroides_ovatus,0.0,0.4096229171428571,1.1028020073333333,0.0,0.16348102083333332,0.6990710186666667,0.3516213276511905
Bacteroides_pectinophilus,0.0,0.0,3.66794152,0.0,0.03010938,3.67390671,0.735093773
Bacteroides_plebeius,0.0,0.0,4.519150438,0.0,0.5281998733333334,2.0117135060000004,0.9302400812666666
Bacteroides_salyersiae,0.0,0.0,0.18942665,0.0,0.12501886,0.24140242,0.044136273000000004
Bacteroides_stercoris,0.0,0.138044935625,1.3434828915384616,0.11678537666666666,1.2496589337037036,0.3832962618181818,0.37843227451371086
Bacteroides_thetaiotaomicron,0.0,0.26288479,2.201240095333333,0.0,0.2776646275,1.4170921253333333,0.5329966874416667
Bacteroides_uniformis,0.0,0.0,0.23867187736842102,0.0,0.002044685,0.111200138,0.047836609723684205
Bacteroides_vulgatus,0.0,0.10600658,0.6919856108823529,0.0,0.10606902970588235,0.339384892,0.17550254766176468
Bacteroides_xylanisolvens,0.0,0.21742935500000002,9.951849397,0.0,1.49579263,5.900580168,2.1303883174
Barnesiella_intestinihominis,0.0,0.0,0.7079159990000001,0.0,2.3253948810000002,0.0,0.25785294385
Bifidobacterium_adolescentis,0.0,0.0,7.275720497741935,2.328665590322581,0.0,1.4154073474193547,1.5715773790645162
Bifidobacterium_angulatum,0.0,0.0,0.18057553,0.0,0.0,0.0,0.036115106
Bifidobacterium_animalis,0.0,0.0,0.52285465,0.16780359,0.006172,0.08968387,0.11326970950000001
Bifidobacterium_bifidum,0.0,0.0,6.631924904444444,0.5122735812500001,0.0,2.6482034766666667,1.3519986599513891
Bifidobacterium_catenulatum,0.0,0.0,3.5926540025,1.25085209,0.0,0.3907371925,0.7810734050000001
Bifidobacterium_longum,0.0,0.0,0.21899966458333334,0.19374684999999997,0.03764512222222222,0.06773222388888889,0.055369531527777786
Bifidobacterium_pseudocatenulatum,0.0,0.0,3.5785261171428573,1.7901666914285712,0.0,0.5541091428571429,0.805213558
Blautia_hansenii,0.0,0.0,1.20513984,0.0,0.0,1.19376114,0.241027968
Blautia_obeum,0.0,0.0,1.1973355785714286,0.0,0.0025585607142857144,1.1429375285714285,0.23959504375000001
Blautia_sp_CAG_257,0.0,0.0,2.0939151425,0.0,2.5045652533333334,1.1638266375,0.5440112911666667
Blautia_wexlerae,0.0,0.0,3.547141978235294,0.0,0.135380436875,4.512319805882353,0.7161974174908088
Butyrivibrio_crossotus,4.88115051,0.0,3.5853714974999997,0.0,0.0,13.4172417225,2.6695345035000004
Candidatus_Stoquefichus_sp_KLE1796,0.0,0.0,28.75252394,0.0,5.043506715,0.0,6.00268012375
Catenibacterium_mitsuokai,0.323938675,0.0,7.2852709749999995,0.0,0.0,1.2506726,1.586629665
Clostridium_clostridioforme,0.0,0.0,0.0,0.779733625,0.052181086666666675,0.03362314,0.041595735583333335
Clostridium_saccharolyticum,0.0,0.0,1.5491947400000001,0.0,0.031871569999999995,1.2522665966666666,0.3114325265000001
Clostridium_sp_CAG_253,0.0,0.0,0.46914398,0.0,0.00727431,0.19884504,0.0941925115
Clostridium_sp_CAG_299,0.0,0.0,4.58244244,0.0,0.016606975,2.99365462,0.9173188367500001
Clostridium_sp_CAG_413,0.0,0.0,4.36506272,0.0,0.06708143,1.8531738,0.8763666155000001
Clostridium_spiroforme,0.0,0.0,0.15423602,0.0,0.00279273,0.08995008,0.0309868405
Collinsella_aerofaciens,0.0,0.0,3.2011902070967744,0.0,0.0,3.275509747419355,0.6402380414193549
Collinsella_intestinalis,0.0,0.0,0.61289874,0.0,0.0,0.617830275,0.122579748
Collinsella_stercoris,0.0,0.0,0.09910336,0.09026398,0.0,0.01254452,0.024333871
Coprococcus_catus,0.0,0.0,0.27917282,0.0,0.1523735,0.00160698,0.06345323900000001
Coprococcus_comes,0.0,0.0,1.2000457005263157,0.0,0.0041237700000000006,0.0,0.24021532860526315
Coprococcus_eutactus,1.9588772269999999,0.0,0.37286940375,0.0,0.0,3.917107379,0.85812477155
Dialister_sp_CAG_357,0.0,0.02276749,0.13604805875,2.413730105,0.0,0.001443385,0.154726364
Dialister_succinatiphilus,0.0,0.0,0.10258230333333333,1.5496891066666667,0.0,0.0011238933333333333,0.09800091600000001
Dorea_formicigenerans,0.0,0.0,0.637996682,0.0,0.001189138,0.587117896,0.12765879330000002
Dorea_longicatena,0.0,0.0,3.1750809445238093,0.0,0.0,0.40147676625,0.6350161889047619
Dorea_sp_CAG_317,0.0,0.0,0.79000007,0.0,0.0,0.0,0.15800001400000002
Eggerthella_lenta,0.0,0.0,2.195562492,1.81786704,0.025224245,0.084332675,0.53126706265
Escherichia_coli,0.0,0.0,7.330546183333333,10.10724428,0.012047735,0.0,1.9720738374166669
Eubacterium_eligens,0.0,0.0,1.014314546153846,0.0,0.0688481625,0.5978248611538461,0.2063053173557692
Eubacterium_hallii,0.4357463255,0.0,1.2535804400000001,0.0,0.04390661208333333,1.9065428125,0.42720994880416674
Eubacterium_ramulus,0.360237605,0.0,0.58399693,0.0,0.00288372,0.83042273,0.261038614
Eubacterium_rectale,3.1741157264,0.0,0.39714015785714285,0.0,0.1088874626,6.5023304475999995,1.3545186952614288
Eubacterium_siraeum,2.0508920925,0.0,2.01726737625,0.0,0.015663766666666665,6.11596234125,1.2245935005833333
Eubacterium_sp_CAG_180,0.8102064025,0.0,1.9117996262499999,0.0,0.01030588,4.8331891375,0.7069577802500001
Eubacterium_sp_CAG_251,0.281909595,0.0,2.2725017175,0.0,0.0013224125,0.0,0.567330302125
Eubacterium_sp_CAG_274,0.13884548,0.0,0.6747912899999999,0.0,0.006223349999999999,0.74325842,0.19080761749999997
Eubacterium_sp_CAG_38,0.1999503157142857,0.0,0.5579186045454546,0.0,0.01804428818181818,0.828965849,0.19246606160389612
Faecalibacterium_prausnitzii,0.0,0.0,3.348286218,0.0,0.0,3.5867884048333334,0.6696572436000001
Flavonifractor_plautii,0.0,0.0,0.3667294,0.0,0.50148601,0.370139715,0.09842018050000001
Hafnia_alvei,0.0,0.0,9.15737139,0.00098534,0.02092717,9.80513851,1.8325699035
Klebsiella_aerogenes,0.0,0.0,5.64585766,0.0,0.0,0.98013693,1.129171532
Lachnospira_pectinoschiza,0.0,0.66285459,0.6441904386363636,0.0,0.06228622,0.6273940186363636,0.3308087757272727
Lactobacillus_ruminis,0.0,0.0,3.1350206933333333,0.0,0.07078435,6.763683066666666,0.6305433561666667
Lactococcus_lactis,0.0,0.0,0.85499493,0.0,0.143338155,0.46733176,0.17816589375000003
Megamonas_funiformis_CAG_377,0.0,0.0,0.13203516666666668,0.0,0.007534560000000001,0.0,0.026783761333333336
Methanobrevibacter_smithii,0.0,0.0,0.0,0.0,0.36046489666666665,0.0013458333333333332,0.018023244833333334
Mitsuokella_jalaludinii,0.0,0.0,0.628546,0.0,0.31583743,0.00118219,0.14150107150000002
Odoribacter_splanchnicus,0.0,0.0,0.11433973900000001,0.0,0.185672528,0.17315107999999999,0.032151574200000005
Parabacteroides_distasonis,0.0,0.0,0.007267555217391303,0.0,0.004898784999999999,0.17985009782608696,0.0016984502934782606
Parabacteroides_merdae,0.0,0.0,1.197109551,0.0,0.030074133999999995,1.166554132,0.24092561690000003
Paraprevotella_xylaniphila,0.0,0.0,0.47714461,0.0,0.000152765,0.339409315,0.09543656025000001
Parasutterella_excrementihominis,0.0,0.0,0.0,0.0,0.796895084,0.0,0.0398447542
Phascolarctobacterium_faecium,0.0,0.0,0.0,0.0,0.31668228285714284,0.01189394,0.015834114142857143
Phascolarctobacterium_sp_CAG_266,0.0,0.0,0.0,0.0,0.101189075,0.002436845,0.005059453750000001
Phascolarctobacterium_succinatutens,0.0,0.0,0.0,0.0,0.26689728,0.00728627,0.013344864000000001
Prevotella_copri,0.0,14.42997321,9.061473561428572,0.0,1.644842857142857,9.105579429285715,6.223528818142857
Prevotella_sp_CAG_1124,0.0,1.85953347,2.91472975,0.0,1.0085086300000001,3.482536135,1.1912314225
Prevotella_sp_CAG_279,0.0,0.0,1.469674655,0.0,0.32847711,1.8025096600000001,0.31035878650000004
Prevotella_sp_CAG_520,0.0,0.0,10.8792878,0.0,0.82111084,12.10206789,2.2169131020000004
Prevotella_stercorea,0.0,0.0,8.17860036,0.0,7.16141291,9.00485788,1.9937907175000003
Roseburia_faecis,2.0722353352500003,0.0,1.69315019575,0.0,0.07015362086956521,5.82438905025,1.1710318542934783
Roseburia_hominis,0.27642339499999996,0.0,0.22293934166666665,0.0,0.008381845,0.8091684366666666,0.15557631858333335
Roseburia_intestinalis,0.44829783176470583,0.0,1.5099757370588236,0.2304888277777778,0.0,1.1401688257142857,0.49283872150653596
Roseburia_inulinivorans,1.6114086914999999,0.0,1.8517073980000003,0.0,0.0,4.123616514,1.0149049562
Ruminococcus_bicirculans,0.0,0.0,1.171216462222222,1.1020965028571428,0.0007681538888888889,2.1516634666666667,0.289386525281746
Ruminococcus_bromii,0.0,0.0,6.405945469130435,0.0,0.6551013727272728,7.299358034347826,1.3139441624624506
Ruminococcus_gnavus,0.0,0.0,3.746569042,0.51578744,0.040002960000000004,4.070836304,0.7771033284000001
Ruminococcus_lactaris,0.0,0.0,1.48793238,0.0,0.0,2.348537035,0.297586476
Ruminococcus_sp_CAG_330,0.0,0.0,0.3440230925,0.0,0.013998710000000001,0.66211751,0.06950455400000001
Ruminococcus_sp_CAG_403,0.0,0.0,1.08083937,0.0,0.02557204,1.41858996,0.21744647600000003
Ruminococcus_torques,0.0,0.0,2.845380634,0.0,0.059928397333333334,2.8566808273333333,0.5720725466666667
Sphingomonas_melonis,0.0,0.0,0.0044392649999999995,0.36903112,0.0008244050000000001,0.0,0.019380629250000003
Staphylococcus_epidermidis,0.0,0.00295115,2.118139075,0.0,0.0,0.27155575,0.42451316000000006
Staphylococcus_warneri,0.0,0.00459615,1.0747351,0.0,0.0,0.22935654,0.216325865
Streptococcus_salivarius,0.0,0.0,1.09766802,0.0,0.021660333999999996,0.977907214,0.2206166207
Streptococcus_thermophilus,0.0,0.0,0.513479564,0.0,0.0,0.783445036,0.10269591280000001
Veillonella_atypica,0.0,0.0,0.50980918,0.0,0.00404176,0.53063522,0.102163924
