Name	Acidaminococcus_intestini	Actinobaculum_sp_oral_taxon_183	Actinomyces_graevenitzii	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Actinomyces_sp_HPA0247	Actinomyces_sp_ICM47	Actinomyces_sp_S6_Spd3	Actinomyces_sp_oral_taxon_181	Actinomyces_sp_oral_taxon_448	Adlercreutzia_equolifaciens	Agathobaculum_butyriciproducens	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_inops	Alistipes_onderdonkii	Alistipes_shahii	Anaeromassilibacillus_sp_An250	Anaerostipes_hadrus	Asaccharobacter_celatus	Atopobium_parvulum	Atopobium_rimae	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_dentium	Bifidobacterium_longum	Bilophila_wadsworthia	Blautia_obeum	Blautia_sp_CAG_257	Blautia_wexlerae	Clostridium_aldenense	Clostridium_bolteae	Clostridium_bolteae_CAG_59	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_innocuum	Clostridium_lavalense	Clostridium_leptum	Clostridium_methylpentosum	Clostridium_sp_CAG_58	Clostridium_spiroforme	Clostridium_symbiosum	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Coprobacillus_cateniformis	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dielma_fastidiosa	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Eisenbergiella_massiliensis	Eisenbergiella_tayi	Enterococcus_faecalis	Enterococcus_faecium	Enterorhabdus_caecimuris	Erysipelatoclostridium_ramosum	Escherichia_coli	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_sp_CAG_180	Eubacterium_sp_CAG_38	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Firmicutes_bacterium_CAG_110	Firmicutes_bacterium_CAG_83	Flavonifractor_plautii	Fusicatenibacter_saccharivorans	Fusobacterium_nucleatum	Gemella_haemolysans	Gemella_morbillorum	Gemella_sanguinis	Gemmiger_formicilis	Gordonibacter_pamelaeae	Haemophilus_parainfluenzae	Holdemania_filiformis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Janibacter_indicus	Klebsiella_oxytoca	Klebsiella_pneumoniae	Klebsiella_quasipneumoniae	Klebsiella_variicola	Lachnospira_pectinoschiza	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_paragasseri	Lactobacillus_rhamnosus	Lactobacillus_rogosae	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactococcus_lactis	Lawsonibacter_asaccharolyticus	Megasphaera_micronuciformis	Monoglobus_pectinilyticus	Odoribacter_splanchnicus	Oscillibacter_sp_57_20	Oscillibacter_sp_CAG_241	Parabacteroides_distasonis	Parabacteroides_merdae	Parasutterella_excrementihominis	Phascolarctobacterium_faecium	Prevotella_copri	Prevotella_sp_885	Proteobacteria_bacterium_CAG_139	Romboutsia_ilealis	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_sp_CAG_471	Rothia_dentocariosa	Rothia_mucilaginosa	Ruminococcus_bicirculans	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Scardovia_wiggsiae	Sellimonas_intestinalis	Slackia_isoflavoniconvertens	Streptococcus_anginosus_group	Streptococcus_gordonii	Streptococcus_infantis	Streptococcus_lutetiensis	Streptococcus_mitis	Streptococcus_mutans	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_thermophilus	Streptococcus_vestibularis	Turicibacter_sanguinis	Turicimonas_muris	Tyzzerella_nexilis	Veillonella_atypica	Veillonella_dispar	Veillonella_infantium	Veillonella_parvula	Veillonella_sp_T11011_6	[Collinsella]_massiliensis
FRICKE_16A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	275	0	0	3389	0	0	0	0	0	1	0	0	609	1	0	0	137	0	0	434	0	18	0	0	0	44	0	0	0	51	0	0	0	0	0	1	71	0	0	0	0	0	1667	294	0	0	0	0	0	0	0	0	0	0	18	0	0	3	1	1	0	9	11	0	135	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2626	0	0	0	0	0	0	0	0	1	0	5	0	2	2	0	0	88	0	0	0	15	0	1	1	23	0	0
FRICKE_18A	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1138	0	0	4	0	2580	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2556	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	10	1	4	0	0	1	0	73	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	1169	0	1	0	0	0	0	0	0	3	0	9	0	49	30	38	4	22	0	0	0	2137	2	0	0	1	0	0
FRICKE_19A	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	183	0	931	4736	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	13	0	0	18	3	0	1	0	0	0	0	13	0	0	0	3	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	13	1	0	0	0	0	0	0	0	2	0	2407	12	4	4	23	31	6	1304	30	0	0	0	34	0	0	0	0	0
FRICKE_20A	242	0	0	17	0	3	0	4	17	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	1777	0	0	0	11	0	0	0	1	0	0	0	0	0	15	3	28	0	0	0	0	0	0	0	0	3278	32	3	41	0	0	0	0	2324	0	0	0	5	0	467	0	0	0	0	0	0	1	24	0	0	0	1	0	0	0	0	0	7	5	0	9	0	0	0	0	0	0	0	0	14	47	0	40	0	26	109	555	0	115	27	30	0	0	686	5	1	2	0	0
FRICKE_23A	0	0	0	7	2	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	7886	0	0	0	0	0	0	0	0	0	0	0	104	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	295	0	17	0	0	578	314	0	0	0	2	0	0	0	0	0	0	6	0	190	1	3	8	0	0	0	0	0	308	0	0	15	21	4	30	0	0	0	0	9	0	0	0	4	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	23	55	7	11	11	6	0	0	0	13	2	2	1	0
FRICKE_28A	0	1	0	15	14	4	0	0	5	0	0	0	0	1	0	0	0	0	0	2	0	1	3	0	0	102	0	0	2	97	0	0	2	0	0	2	0	0	0	6	0	19	28	0	0	199	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3531	3673	0	0	0	18	0	0	0	2	0	0	0	1	28	4	35	37	0	0	6	51	0	0	0	0	1	155	13	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0	2	14	0	19	37	0	1	0	0	0	0	0	216	46	0	140	0	576	223	517	41	0	7	0	0	0	2	4	9	19	0	0
FRICKE_29A	1306	0	0	1	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	20	0	0	0	0	0	2464	1528	493	393	0	0	0	0	58	0	0	12	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	5	1	0	68	39	0	2187	3	3	0	0	23	461	41	114	23	0
FRICKE_54A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	688	61	16	0	0	1	8505	0	66	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	4	0	0	0	3	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	29	0	0	0	0	17	0	0	1	0	0
FRICKE_9A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	93	1	0	3	79	0	0	0	4	0	0	0	2	0	0	0	0	487	7	5299	6	0	0	233	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	1	0	0	0	0	0	0	1678	259	0	0	152	0	393	0	0	22	0	0	0	0	0	713	0	0	541	0	0
FRICKE_16D	0	0	0	0	0	0	0	0	0	0	0	9	0	0	15	0	0	58	0	1972	16	0	0	82	0	176	78	0	2428	1466	0	0	0	0	0	0	0	0	5	754	1	6	1	3	0	4	0	135	1	0	2	95	3	5	3	0	0	0	0	2	0	0	81	39	60	2	0	1	601	0	0	0	0	1	0	0	0	663	0	0	5	0	0	0	0	0	0	14	0	17	97	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	162	0	0	224	50	58	0	0	0	3	0	0	0	0	0	0	0	0	0	0	193	0	0	321	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	4	51	0	0	0	0	0	1
