species,smillie_auc,genome_name,smillie_engraftment_prob
Roseburia_intestinalis,0.53125,Roseburia_intestinalis_L1-82,0.0625
Roseburia_inulinivorans,0.53125,Roseburia_inulinivorans_DSM_16841,0.0625
Rothia_mucilaginosa,0.5,Rothia_mucilaginosa_ATCC_25296,0.0
Ruminococcus_flavefaciens,0.5,Ruminococcus_flavefaciens_FD-1,0.0
Ruminococcus_gnavus,0.510416666666667,Ruminococcus_gnavus_ATCC_29149,0.020833333333333925
Ruminococcus_lactaris,0.5,Ruminococcus_lactaris_ATCC_29176,0.0
Ruminococcus_obeum,0.53125,Ruminococcus_obeum_ATCC_29174,0.0625
Ruminococcus_sp.,0.5625,Ruminococcus_sp._5_1_39BFAA,0.125
Ruminococcus_torques,0.5,Ruminococcus_torques_ATCC_27756,0.0
Salmonella_enterica,0.5,"Salmonella_enterica_subsp._arizonae_serovar_62:z4,z23:--",0.0
Selenomonas_flueggei,0.5,Selenomonas_flueggei_ATCC_43531,0.0
Selenomonas_noxia,0.53125,Selenomonas_noxia_ATCC_43541,0.0625
Selenomonas_sputigena,0.53125,Selenomonas_sputigena_ATCC_35185,0.0625
Serratia_proteamaculans,0.583333333333333,Serratia_proteamaculans_568,0.16666666666666607
Slackia_exigua,0.5,Slackia_exigua_ATCC_700122,0.0
Slackia_heliotrinireducens,0.5,Slackia_heliotrinireducens_DSM_20476,0.0
Stackebrandtia_nassauensis,0.5,Stackebrandtia_nassauensis_DSM_44728,0.0
Streptococcus_dysgalactiae,0.635416666666667,Streptococcus_dysgalactiae_subsp._equisimilis_GGS_124,0.2708333333333339
Streptococcus_equi,0.557291666666667,Streptococcus_equi_subsp._equi_4047,0.11458333333333393
Streptococcus_gordonii,0.53125,Streptococcus_gordonii_str._Challis_substr._CH1,0.0625
Streptococcus_infantarius,0.557291666666667,Streptococcus_infantarius_subsp._infantarius_ATCC_BAA-102,0.11458333333333393
Streptococcus_mutans,0.53125,Streptococcus_mutans_UA159,0.0625
Streptococcus_pyogenes,0.557291666666667,Streptococcus_pyogenes_MGAS10750,0.11458333333333393
Streptococcus_salivarius,0.583333333333333,Streptococcus_salivarius_SK126,0.16666666666666607
Streptococcus_sanguinis,0.53125,Streptococcus_sanguinis_SK36,0.0625
Streptococcus_sp.,0.53125,Streptococcus_sp._2_1_36FAA,0.0625
Streptococcus_suis,0.53125,Streptococcus_suis_BM407,0.0625
Streptococcus_thermophilus,0.598958333333333,Streptococcus_thermophilus_LMD-9,0.19791666666666607
Streptomyces_albus,0.5,Streptomyces_albus_J1074,0.0
Streptomyces_griseoflavus,0.5,Streptomyces_griseoflavus_Tu4000,0.0
Streptomyces_hygroscopicus,0.520833333333333,Streptomyces_hygroscopicus_ATCC_53653,0.041666666666666075
Streptomyces_sp.,0.53125,Streptomyces_sp._SPB78,0.0625
Streptomyces_viridochromogenes,0.5,Streptomyces_viridochromogenes_DSM_40736,0.0
Subdoligranulum_variabile,0.5625,Subdoligranulum_variabile_DSM_15176,0.125
Symbiobacterium_thermophilum,0.53125,Symbiobacterium_thermophilum_IAM_14863,0.0625
Veillonella_dispar,0.552083333333333,Veillonella_dispar_ATCC_17748,0.10416666666666607
Veillonella_parvula,0.520833333333333,Veillonella_parvula_DSM_2008,0.041666666666666075
Weissella_paramesenteroides,0.53125,Weissella_paramesenteroides_ATCC_33313,0.0625
Aerococcus_viridans,0.614583333333333,Aerococcus_viridans_ATCC_11563,0.22916666666666607
Afipia_sp.,0.53125,Afipia_sp._1NLS2,0.0625
Alicycliphilus_denitrificans,0.59375,Alicycliphilus_denitrificans_BC,0.1875
Bacteroides_sp.,0.557291666666667,Bacteroides_sp._3_1_23,0.11458333333333393
Desulfovibrio_aespoeensis,0.5625,Desulfovibrio_aespoeensis_Aspo-2,0.125
Desulfovibrio_sp.,0.541666666666667,Desulfovibrio_sp._FW1012B,0.08333333333333393
Enterococcus_faecium,0.5,Enterococcus_faecium_E1071,0.0
Ethanoligenens_harbinense,0.53125,Ethanoligenens_harbinense_YUAN-3,0.0625
Fusobacterium_sp.,0.583333333333333,Fusobacterium_sp._1_1_41FAA,0.16666666666666607
Lactobacillus_amylolyticus,0.515625,Lactobacillus_amylolyticus_DSM_11664,0.03125
Lactobacillus_gasseri,0.5,Lactobacillus_gasseri_224-1,0.0
Lactobacillus_iners,0.572916666666667,Lactobacillus_iners_AB-1,0.14583333333333393
Megasphaera_genomosp.,0.5625,Megasphaera_genomosp._type_1_str._28L,0.125
Micromonospora_sp.,0.5,Micromonospora_sp._L5,0.0
Peptostreptococcus_anaerobius,0.5,Peptostreptococcus_anaerobius_653-L,0.0
Prevotella_bivia,0.59375,Prevotella_bivia_JCVIHMP010,0.1875
Prevotella_buccae,0.59375,Prevotella_buccae_D17,0.1875
Prevotella_buccalis,0.59375,Prevotella_buccalis_ATCC_35310,0.1875
Prevotella_melaninogenica,0.59375,Prevotella_melaninogenica_D18,0.1875
Prevotella_oris,0.59375,Prevotella_oris_C735,0.1875
Prevotella_sp.,0.59375,Prevotella_sp._oral_taxon_299_str._F0039,0.1875
Prevotella_timonensis,0.59375,Prevotella_timonensis_CRIS_5C-B1,0.1875
Rhodopseudomonas_palustris,0.53125,Rhodopseudomonas_palustris_DX-1,0.0625
Ruminococcus_albus,0.5625,Ruminococcus_albus_8,0.125
Serratia_odorifera,0.557291666666667,Serratia_odorifera_4Rx13,0.11458333333333393
Streptococcus_oralis,0.5625,Streptococcus_oralis_ATCC_35037,0.125
Streptococcus_parasanguinis,0.541666666666667,Streptococcus_parasanguinis_ATCC_15912,0.08333333333333393
Turicibacter_sp.,0.5,Turicibacter_sp._PC909,0.0
Veillonella_sp.,0.520833333333333,Veillonella_sp._6_1_27,0.041666666666666075
Acidaminococcus_fermentans,0.53125,Acidaminococcus_fermentans_DSM_20731,0.0625
Bifidobacterium_dentium,0.557291666666667,Bifidobacterium_dentium_Bd1,0.11458333333333393
Bifidobacterium_longum,0.520833333333333,Bifidobacterium_longum_subsp._longum_JDM301,0.041666666666666075
Clostridium_saccharolyticum,0.5625,Clostridium_saccharolyticum_WM1,0.125
Enterobacter_cloacae,0.520833333333333,Enterobacter_cloacae_subsp._cloacae_ATCC_13047,0.041666666666666075
Klebsiella_variicola,0.604166666666667,Klebsiella_variicola_At-22,0.20833333333333393
Olsenella_uli,0.5,Olsenella_uli_DSM_7084,0.0
Pantoea_ananatis,0.520833333333333,Pantoea_ananatis_LMG_20103,0.041666666666666075
Prevotella_ruminicola,0.59375,Prevotella_ruminicola_23,0.1875
Ralstonia_solanacearum,0.5,Ralstonia_solanacearum_PSI07,0.0
Streptococcus_gallolyticus,0.557291666666667,Streptococcus_gallolyticus_UCN34,0.11458333333333393
Streptococcus_mitis,0.572916666666667,Streptococcus_mitis_B6,0.14583333333333393
Erysipelotrichaceae_bacterium,0.53125,Erysipelotrichaceae_bacterium_5_2_54FAA,0.0625
Bacteroides_caccae,0.53125,Bacteroides_caccae_ATCC_43185,0.0625
Bacteroides_capillosus,0.5625,Bacteroides_capillosus_ATCC_29799,0.125
Bacteroides_cellulosilyticus,0.5,Bacteroides_cellulosilyticus_DSM_14838,0.0
Bacteroides_coprocola,0.5,Bacteroides_coprocola_DSM_17136,0.0
Bacteroides_coprophilus,0.5,Bacteroides_coprophilus_DSM_18228,0.0
Bacteroides_eggerthii,0.583333333333333,Bacteroides_eggerthii_DSM_20697,0.16666666666666607
Bacteroides_finegoldii,0.557291666666667,Bacteroides_finegoldii_DSM_17565,0.11458333333333393
Bacteroides_intestinalis,0.5,Bacteroides_intestinalis_DSM_17393,0.0
Bacteroides_pectinophilus,0.53125,Bacteroides_pectinophilus_ATCC_43243,0.0625
Bacteroides_plebeius,0.5,Bacteroides_plebeius_DSM_17135,0.0
Bacteroides_stercoris,0.583333333333333,Bacteroides_stercoris_ATCC_43183,0.16666666666666607
Bacteroides_thetaiotaomicron,0.557291666666667,Bacteroides_thetaiotaomicron_VPI-5482,0.11458333333333393
Bacteroides_vulgatus,0.625,Bacteroides_vulgatus_ATCC_8482,0.25
Bifidobacterium_angulatum,0.53125,Bifidobacterium_angulatum_DSM_20098,0.0625
Bifidobacterium_animalis,0.59375,Bifidobacterium_animalis_subsp._lactis_Bl-04,0.1875
Bifidobacterium_bifidum,0.53125,Bifidobacterium_bifidum_NCIMB_41171,0.0625
Bifidobacterium_breve,0.510416666666667,Bifidobacterium_breve_DSM_20213,0.020833333333333925
Bifidobacterium_catenulatum,0.53125,Bifidobacterium_catenulatum_DSM_16992,0.0625
Bifidobacterium_gallicum,0.5625,Bifidobacterium_gallicum_DSM_20093,0.125
Bifidobacterium_pseudocatenulatum,0.53125,Bifidobacterium_pseudocatenulatum_DSM_20438,0.0625
Blautia_hansenii,0.5625,Blautia_hansenii_DSM_20583,0.125
Blautia_hydrogenotrophica,0.53125,Blautia_hydrogenotrophica_DSM_10507,0.0625
Bradyrhizobium_sp.,0.5,Bradyrhizobium_sp._ORS278,0.0
Bryantella_formatexigens,0.53125,Bryantella_formatexigens_DSM_14469,0.0625
