donor_id,n_species_baseline,n_species_eco,fitness_baseline,fitness_eco,mutualism_baseline,mutualism_eco,competition_baseline,competition_eco,compatibility_baseline,compatibility_eco
FRICKE_16B,6,8,0.8832,0.9018,3,19,1,0,0.0448,0.2279
FRICKE_18B,5,5,0.9073,0.9422,7,6,0,0,0.1995,0.1634
FRICKE_19B,5,5,0.9169,0.9674,8,8,0,0,0.253,0.2783
FRICKE_20B,8,7,0.8476,0.8798,18,16,1,0,0.2087,0.2347
FRICKE_23B,5,6,0.9253,0.9677,8,15,0,0,0.2875,0.384
FRICKE_28B,5,5,0.8861,0.9496,10,9,0,0,0.3353,0.3017
FRICKE_29B,5,5,0.9172,0.9612,8,8,0,0,0.2938,0.2938
FRICKE_54B,5,5,0.9144,0.9561,3,8,0,0,0.1139,0.3265
FRICKE_9B,5,5,0.6635,0.6822,3,6,0,0,0.0763,0.1409
FMT1,8,5,0.847,0.848,11,4,8,0,0.0688,0.0962
FMT2,9,7,0.8356,0.8463,13,14,3,4,0.0864,0.1643
FMT27,5,5,0.8083,0.811,1,1,0,0,0.0182,0.0182
FMT30,6,6,0.9174,0.9475,9,10,0,0,0.2021,0.2282
FMT33,5,5,0.9031,0.9288,5,5,0,0,0.1707,0.1707
FMT34,5,5,0.8624,0.9003,3,4,0,0,0.0899,0.1204
FMT4,5,7,0.8357,0.842,2,5,0,2,0.0616,0.0533
DA_D_08,5,5,0.9,0.9586,9,10,0,0,0.2761,0.2981
DA_D_09,6,6,0.9108,0.9622,15,15,0,0,0.3264,0.384
DA_D_10,5,6,0.9163,0.9236,10,14,0,0,0.3853,0.2813
DA_D_14,5,9,0.8801,0.9097,4,22,0,0,0.1397,0.2045
