species,pct_donors,mean_cece,butyrate_producer,ibd_depleted,known_engrafter,smillie_auc,causal_ace,keystone_any,butyrate_flux
Faecalibacterium_prausnitzii,70.0,0.6116,True,True,True,0.625,-0.0095,False,0.0
Anaerostipes_hadrus,55.0,0.6464,True,False,False,,0.3677,False,1.9646
Dorea_longicatena,50.0,0.4858,False,False,False,0.656,-0.0039,False,0.0
Blautia_wexlerae,50.0,0.6539,False,False,False,,0.3004,False,0.0
Fusicatenibacter_saccharivorans,45.0,0.5874,False,False,False,,0.2108,False,
Collinsella_aerofaciens,40.0,0.5288,False,False,False,0.625,0.0454,True,0.0
Dorea_formicigenerans,35.0,0.4863,False,False,False,0.594,0.2075,False,0.0
Bifidobacterium_longum,30.0,0.3989,False,False,False,0.521,0.0143,True,0.0
Coprococcus_comes,30.0,0.4495,False,False,False,0.531,0.0389,False,0.0
Eubacterium_hallii,20.0,0.4608,True,True,False,0.5,0.1667,False,0.4357
Bifidobacterium_adolescentis,15.0,0.4874,False,False,False,0.562,0.0558,True,0.0
Ruminococcus_torques,15.0,0.3926,False,False,False,0.5,-0.0865,False,0.0
Roseburia_faecis,15.0,0.5576,False,False,False,,-0.0184,False,2.0722
Bacteroides_vulgatus,15.0,0.4808999999999999,False,False,True,0.625,-0.0367,False,0.0
Prevotella_copri,10.0,0.5016,False,False,False,0.625,-0.1288,False,0.0
Bacteroides_xylanisolvens,10.0,0.4663,False,False,False,,0.2146,False,0.0
Eubacterium_rectale,10.0,0.5324,True,True,True,0.594,0.0302,False,3.1741
Eggerthella_lenta,10.0,0.4781,False,False,False,0.583,0.357,False,0.0
Dialister_invisus,5.0,0.3396,False,True,False,0.531,0.0359,False,
Blautia_obeum,5.0,0.5639,False,False,False,,0.195,False,0.0
Agathobaculum_butyriciproducens,5.0,0.5056,False,False,False,,0.2218,False,
Bacteroides_uniformis,5.0,0.5188,False,False,True,0.5,0.1975,True,0.0
Blautia_sp_CAG_257,5.0,0.3138,False,False,False,,0.0116,False,0.0
Bacteroides_stercoris,5.0,0.481,False,False,False,0.583,0.108,False,0.0
Flavonifractor_plautii,5.0,0.358,False,False,False,,-0.0355,True,0.0
Firmicutes_bacterium_CAG_83,5.0,0.3781,False,False,False,,-0.1264,False,
Erysipelatoclostridium_ramosum,5.0,0.3994,False,False,False,,0.0678,False,
Eubacterium_eligens,5.0,0.4011,False,False,False,0.5,0.1534,False,0.0
Parabacteroides_distasonis,5.0,0.4387,False,False,False,0.562,-0.045,True,0.0
Roseburia_inulinivorans,5.0,0.518,False,False,False,0.531,0.2193,False,1.6114
Ruminococcus_gnavus,5.0,0.4252,False,False,False,0.51,0.2289,True,0.0
Streptococcus_salivarius,5.0,0.4068,False,False,False,0.583,0.1237,False,0.0
