species,disease,causal_ace,causal_sig
Agathobaculum_butyriciproducens,rCDI,0.22177,1.0
Akkermansia_muciniphila,rCDI,0.01261,0.0
Anaerostipes_hadrus,rCDI,0.36766,1.0
Bacteroides_finegoldii,rCDI,0.08317,0.0
Bacteroides_massiliensis,rCDI,0.15209,0.0
Bacteroides_salyersiae,rCDI,0.05019,0.0
Bacteroides_stercoris,rCDI,0.108,0.0
Bacteroides_thetaiotaomicron,rCDI,-0.0114,0.0
Bacteroides_uniformis,rCDI,0.19747,1.0
Bacteroides_vulgatus,rCDI,-0.03675,0.0
Blautia_hydrogenotrophica,rCDI,,
Blautia_obeum,rCDI,0.19502,1.0
Blautia_sp_CAG_257,rCDI,0.01162,0.0
Blautia_wexlerae,rCDI,0.30042,1.0
Candidatus_Stoquefichus_sp_KLE1796,rCDI,0.08663,0.0
Clostridium_disporicum,rCDI,,
Clostridium_leptum,rCDI,0.04099,0.0
Clostridium_scindens,rCDI,,
Collinsella_aerofaciens,rCDI,0.04539,0.0
Collinsella_intestinalis,rCDI,-0.03835,0.0
Collinsella_stercoris,rCDI,,
Dorea_longicatena,rCDI,-0.00391,0.0
Eisenbergiella_massiliensis,rCDI,,
Erysipelatoclostridium_ramosum,rCDI,0.0678,0.0
Eubacterium_hallii,rCDI,0.16673,1.0
Eubacterium_siraeum,rCDI,0.24868,1.0
Faecalibacterium_prausnitzii,rCDI,-0.00954,0.0
Flavonifractor_plautii,rCDI,-0.03545,0.0
Fusicatenibacter_saccharivorans,rCDI,0.21079,1.0
Gemella_sanguinis,rCDI,,
Gemmiger_formicilis,rCDI,0.03995,0.0
Gordonibacter_pamelaeae,rCDI,0.12097,0.0
Intestinibacter_bartlettii,rCDI,0.05269,0.0
Monoglobus_pectinilyticus,rCDI,-0.10387,0.0
Parabacteroides_distasonis,rCDI,-0.04499,0.0
Roseburia_faecis,rCDI,-0.0184,0.0
Roseburia_intestinalis,rCDI,0.09353,0.0
Roseburia_inulinivorans,rCDI,0.21928,1.0
Ruminococcus_bromii,rCDI,0.08676,0.0
Ruminococcus_gnavus,rCDI,0.22891,1.0
Ruminococcus_torques,rCDI,-0.08652,0.0
Ruthenibacterium_lactatiformans,rCDI,0.08454,0.0
Sellimonas_intestinalis,rCDI,0.12096,0.0
Slackia_isoflavoniconvertens,rCDI,0.19049,0.0
Streptococcus_parasanguinis,rCDI,0.08463,0.0
Streptococcus_salivarius,rCDI,0.12367,0.0
Absiella_dolichum,rCDI,,
Actinomyces_sp_ICM47,rCDI,,
Adlercreutzia_equolifaciens,rCDI,0.10158,0.0
Asaccharobacter_celatus,rCDI,0.13857,0.0
Bifidobacterium_adolescentis,rCDI,0.05578,0.0
Bifidobacterium_longum,rCDI,0.01434,0.0
Bifidobacterium_pseudocatenulatum,rCDI,-0.04511,0.0
Blautia_hansenii,rCDI,0.06749,0.0
Clostridium_saccharolyticum,rCDI,,
Clostridium_sp_CAG_58,rCDI,0.01147,0.0
Clostridium_spiroforme,rCDI,0.1634,0.0
Clostridium_symbiosum,rCDI,,
Eggerthella_lenta,rCDI,0.35704,1.0
Escherichia_coli,rCDI,-0.11712,0.0
Eubacterium_dolichum_CAG_375,rCDI,,
Eubacterium_rectale,rCDI,0.03024,0.0
Eubacterium_sulci,rCDI,,
Hungatella_hathewayi,rCDI,,
Ruminococcus_lactaris,rCDI,-0.074,0.0
Streptococcus_thermophilus,rCDI,0.00384,0.0
Dorea_formicigenerans,rCDI,0.20746,1.0
Firmicutes_bacterium_CAG_424,rCDI,,
Propionibacterium_freudenreichii,rCDI,,
Turicibacter_sanguinis,rCDI,,
Alistipes_finegoldii,rCDI,0.15921,1.0
Alistipes_putredinis,rCDI,0.07038,0.0
Anaeromassilibacillus_sp_An250,rCDI,,
Bacteroides_dorei,rCDI,0.14553,0.0
Bacteroides_eggerthii,rCDI,0.2732,1.0
Barnesiella_intestinihominis,rCDI,0.33155,1.0
Clostridium_bolteae,rCDI,,
Coprobacillus_cateniformis,rCDI,,
Coprococcus_catus,rCDI,-0.07131,0.0
Coprococcus_comes,rCDI,0.03887,0.0
Desulfovibrio_piger,rCDI,-0.08739,0.0
Dorea_sp_CAG_317,rCDI,,
Eisenbergiella_tayi,rCDI,,
Eubacterium_ventriosum,rCDI,0.07247,0.0
Firmicutes_bacterium_CAG_83,rCDI,-0.12639,0.0
Methanobrevibacter_smithii,rCDI,0.05304,0.0
Roseburia_hominis,rCDI,0.14261,0.0
Ruminococcus_bicirculans,rCDI,0.10403,0.0
Bacteroides_caccae,rCDI,0.16787,0.0
Bacteroides_coprocola,rCDI,-0.05565,0.0
Eubacterium_ramulus,rCDI,0.36631,1.0
Faecalitalea_cylindroides,rCDI,0.0,0.0
Megasphaera_sp_MJR8396C,rCDI,,
Streptococcus_sp_F0442,rCDI,,
Eubacterium_sp_CAG_180,rCDI,0.06006,0.0
Firmicutes_bacterium_CAG_145,rCDI,,
Holdemania_filiformis,rCDI,,
Klebsiella_pneumoniae,rCDI,,
Ruminococcus_callidus,rCDI,0.00933,0.0
Acidaminococcus_intestini,rCDI,-0.12516,0.0
Bifidobacterium_breve,rCDI,,
Clostridium_innocuum,rCDI,,
Lactococcus_lactis,rCDI,,
Streptococcus_mutans,rCDI,,
Bacteroides_fragilis,rCDI,-0.25295,1.0
Bacteroides_ovatus,rCDI,-0.13762,0.0
Bifidobacterium_bifidum,rCDI,0.1592,0.0
Dialister_invisus,rCDI,0.03589,0.0
Eubacterium_eligens,rCDI,0.15343,0.0
Anaerofustis_stercorihominis,rCDI,,
Clostridiales_bacterium_CHKCI006,rCDI,,
Bacteroides_sp_CAG_530,rCDI,,
Bifidobacterium_angulatum,rCDI,-0.03101,1.0
Bifidobacterium_animalis,rCDI,,
Coprococcus_eutactus,rCDI,0.12307,0.0
Dialister_succinatiphilus,rCDI,0.01581,0.0
Eubacterium_sp_CAG_38,rCDI,0.09258,0.0
Firmicutes_bacterium_CAG_110,rCDI,0.10992,0.0
Lachnospira_pectinoschiza,rCDI,-0.17826,1.0
Lactobacillus_rogosae,rCDI,,
Lactobacillus_ruminis,rCDI,-0.12273,0.0
Megasphaera_elsdenii,rCDI,0.31221,1.0
