species,disease,keystone_conflict_mean,niche_overlap_mean
Acidaminococcus_intestini,IBD,0.1875,0.2084857142857143
Acidaminococcus_intestini,rCDI,0.12162162162162163,0.23674358974358975
Acidaminococcus_intestini,MetS,0.15,0.17739999999999997
Acidaminococcus_intestini,MDR,0.0,0.0
Acidaminococcus_intestini,ICI,0.0,0.20482222222222224
Actinomyces_sp_ICM47,IBD,0.0,0.0
Actinomyces_sp_ICM47,rCDI,0.10638297872340426,0.19819199999999998
Actinomyces_sp_ICM47,MetS,0.11538461538461539,0.20973214285714284
Actinomyces_sp_ICM47,MDR,0.0,0.0
Actinomyces_sp_ICM47,ICI,0.0,0.0
Adlercreutzia_equolifaciens,IBD,0.16666666666666666,0.22231428571428574
Adlercreutzia_equolifaciens,rCDI,0.0,0.2674216216216216
Adlercreutzia_equolifaciens,MetS,0.13157894736842105,0.24627142857142856
Adlercreutzia_equolifaciens,MDR,0.0625,0.26114000000000004
Adlercreutzia_equolifaciens,ICI,0.03125,0.22725555555555557
Agathobaculum_butyriciproducens,IBD,0.1935483870967742,0.34010000000000007
Agathobaculum_butyriciproducens,rCDI,0.01098901098901099,0.3410882352941176
Agathobaculum_butyriciproducens,MetS,0.10714285714285714,0.2685366666666667
Agathobaculum_butyriciproducens,MDR,0.09090909090909091,0.24314999999999998
Agathobaculum_butyriciproducens,ICI,0.09090909090909091,0.33746774193548384
Akkermansia_muciniphila,IBD,0.12474747474747473,0.20902722222222223
Akkermansia_muciniphila,rCDI,0.02127659574468085,0.22576153846153849
Akkermansia_muciniphila,MetS,0.0,0.17975
Akkermansia_muciniphila,MDR,0.0,0.2349416666666667
Akkermansia_muciniphila,ICI,0.06666666666666667,0.22784782608695656
Alistipes_finegoldii,IBD,0.1111111111111111,0.22513571428571424
Alistipes_finegoldii,rCDI,0.012987012987012988,0.28714375000000003
Alistipes_finegoldii,MetS,0.1,0.2341875
Alistipes_finegoldii,MDR,0.08823529411764706,0.2301294117647059
Alistipes_finegoldii,ICI,0.06153846153846154,0.2959193548387096
Alistipes_indistinctus,IBD,0.0,0.18186666666666665
Alistipes_indistinctus,rCDI,0.0,0.0
Alistipes_indistinctus,MetS,0.0,0.0
Alistipes_indistinctus,MDR,0.1875,0.20303749999999998
Alistipes_indistinctus,ICI,0.0425531914893617,0.2904578947368421
Alistipes_inops,IBD,0.0,0.0
Alistipes_inops,rCDI,0.009708737864077669,0.3285255813953488
Alistipes_inops,MetS,0.0,0.0
Alistipes_inops,MDR,0.0,0.0
Alistipes_inops,ICI,0.0,0.0
Alistipes_onderdonkii,IBD,0.15656597573306372,0.24958971224853577
Alistipes_onderdonkii,rCDI,0.011235955056179775,0.332975
Alistipes_onderdonkii,MetS,0.15656597573306372,0.24958971224853577
Alistipes_onderdonkii,MDR,0.15656597573306372,0.24958971224853577
Alistipes_onderdonkii,ICI,0.15656597573306372,0.24958971224853577
Alistipes_putredinis,IBD,0.045454545454545456,0.3013954545454545
Alistipes_putredinis,rCDI,0.14298686037816474,0.2559885190918473
Alistipes_putredinis,MetS,0.06451612903225806,0.25044374999999997
Alistipes_putredinis,MDR,0.03125,0.23979333333333336
Alistipes_putredinis,ICI,0.05454545454545454,0.26595185185185183
Alistipes_shahii,IBD,0.0784313725490196,0.23712083333333334
Alistipes_shahii,rCDI,0.027777777777777776,0.23094
Alistipes_shahii,MetS,0.04878048780487805,0.3166117647058823
Alistipes_shahii,MDR,0.03571428571428571,0.26459333333333335
Alistipes_shahii,ICI,0.0,0.3083916666666666
Anaerostipes_hadrus,IBD,0.14285714285714285,0.3236157894736842
Anaerostipes_hadrus,rCDI,0.009708737864077669,0.386055
Anaerostipes_hadrus,MetS,0.08823529411764706,0.3073911764705882
Anaerostipes_hadrus,MDR,0.05263157894736842,0.28482631578947365
Anaerostipes_hadrus,ICI,0.08571428571428572,0.3248971428571429
Anaerotignum_lactatifermentans,IBD,0.0,0.0
Anaerotignum_lactatifermentans,rCDI,0.0,0.0
Anaerotignum_lactatifermentans,MetS,0.0,0.0
Anaerotignum_lactatifermentans,MDR,0.0,0.0
Anaerotignum_lactatifermentans,ICI,0.0,0.0
Anaerotruncus_colihominis,IBD,0.0,0.0
Anaerotruncus_colihominis,rCDI,0.0,0.0
Anaerotruncus_colihominis,MetS,0.0,0.205
Anaerotruncus_colihominis,MDR,0.16666666666666666,0.19317333333333334
Anaerotruncus_colihominis,ICI,0.061224489795918366,0.2370551724137931
Anaerotruncus_sp_CAG_528,IBD,0.0,0.0
Anaerotruncus_sp_CAG_528,rCDI,0.0,0.0
Anaerotruncus_sp_CAG_528,MetS,0.0,0.0
Anaerotruncus_sp_CAG_528,MDR,0.0,0.0
Anaerotruncus_sp_CAG_528,ICI,0.0,0.0
Asaccharobacter_celatus,IBD,0.1,0.21792777777777783
Asaccharobacter_celatus,rCDI,0.0,0.2670810810810811
Asaccharobacter_celatus,MetS,0.0,0.217575
Asaccharobacter_celatus,MDR,0.058823529411764705,0.27837
Asaccharobacter_celatus,ICI,0.06451612903225806,0.221575
Bacteroides_caccae,IBD,0.06060606060606061,0.26534615384615384
Bacteroides_caccae,rCDI,0.1138095238095238,0.25964595959595954
Bacteroides_caccae,MetS,0.08888888888888889,0.234672
Bacteroides_caccae,MDR,0.0,0.207525
Bacteroides_caccae,ICI,0.08333333333333333,0.29323333333333335
Bacteroides_cellulosilyticus,IBD,0.0,0.18695
Bacteroides_cellulosilyticus,rCDI,0.1114996114996115,0.22748373015873016
Bacteroides_cellulosilyticus,MetS,0.06666666666666667,0.17653000000000002
Bacteroides_cellulosilyticus,MDR,0.21428571428571427,0.22316249999999999
Bacteroides_cellulosilyticus,ICI,0.06153846153846154,0.2925885714285714
Bacteroides_clarus,IBD,0.0,0.0
Bacteroides_clarus,rCDI,0.0,0.0
Bacteroides_clarus,MetS,0.0,0.0
Bacteroides_clarus,MDR,0.0,0.17913333333333334
Bacteroides_clarus,ICI,0.0,0.0
Bacteroides_coprocola,IBD,0.0,0.23129999999999998
Bacteroides_coprocola,rCDI,0.0,0.0
Bacteroides_coprocola,MetS,0.0,0.0
Bacteroides_coprocola,MDR,0.0,0.0
Bacteroides_coprocola,ICI,0.0,0.0
Bacteroides_dorei,IBD,0.0,0.2349
Bacteroides_dorei,rCDI,0.06666666666666667,0.20062000000000002
Bacteroides_dorei,MetS,0.045454545454545456,0.1998875
Bacteroides_dorei,MDR,0.0,0.2004125
Bacteroides_dorei,ICI,0.08,0.24203043478260874
Bacteroides_eggerthii,IBD,0.125,0.17895
Bacteroides_eggerthii,rCDI,0.0,0.0
Bacteroides_eggerthii,MetS,0.0,0.16394999999999998
Bacteroides_eggerthii,MDR,0.14285714285714285,0.21725
Bacteroides_eggerthii,ICI,0.07692307692307693,0.26221538461538463
Bacteroides_faecis,IBD,0.23529411764705882,0.1870125
Bacteroides_faecis,rCDI,0.08838383838383838,0.20771153846153845
Bacteroides_faecis,MetS,0.05970149253731343,0.26628125
Bacteroides_faecis,MDR,0.08838383838383838,0.20771153846153845
Bacteroides_faecis,ICI,0.08695652173913043,0.253095652173913
Bacteroides_faecis_CAG_32,IBD,0.0,0.0
Bacteroides_faecis_CAG_32,rCDI,0.0,0.0
Bacteroides_faecis_CAG_32,MetS,0.0,0.0
Bacteroides_faecis_CAG_32,MDR,0.0,0.0
Bacteroides_faecis_CAG_32,ICI,0.0,0.0
Bacteroides_finegoldii,IBD,0.15,0.1925923076923077
Bacteroides_finegoldii,rCDI,0.0,0.0
Bacteroides_finegoldii,MetS,0.05263157894736842,0.26468888888888886
Bacteroides_finegoldii,MDR,0.0,0.2125
Bacteroides_finegoldii,ICI,0.04878048780487805,0.2107636363636364
Bacteroides_fragilis,IBD,0.0,0.1831
Bacteroides_fragilis,rCDI,0.009615384615384616,0.34783720930232553
Bacteroides_fragilis,MetS,0.25,0.183275
Bacteroides_fragilis,MDR,0.16666666666666666,0.21703750000000002
Bacteroides_fragilis,ICI,0.045454545454545456,0.24206538461538463
Bacteroides_galacturonicus,IBD,0.0,0.0
Bacteroides_galacturonicus,rCDI,0.0,0.0
Bacteroides_galacturonicus,MetS,0.0,0.0
Bacteroides_galacturonicus,MDR,0.0,0.0
Bacteroides_galacturonicus,ICI,0.0,0.0
Bacteroides_intestinalis,IBD,0.0,0.0
Bacteroides_intestinalis,rCDI,0.0,0.0
Bacteroides_intestinalis,MetS,0.0,0.16146666666666668
Bacteroides_intestinalis,MDR,0.2222222222222222,0.19096666666666665
Bacteroides_intestinalis,ICI,0.0,0.0
Bacteroides_massiliensis,IBD,0.125,0.22557857142857143
Bacteroides_massiliensis,rCDI,0.1226107226107226,0.22065337995337994
Bacteroides_massiliensis,MetS,0.0,0.19462307692307693
Bacteroides_massiliensis,MDR,0.058823529411764705,0.24328
Bacteroides_massiliensis,ICI,0.05084745762711865,0.24757931034482755
Bacteroides_nordii,IBD,0.0,0.0
Bacteroides_nordii,rCDI,0.0,0.0
Bacteroides_nordii,MetS,0.0,0.0
Bacteroides_nordii,MDR,0.0,0.0
Bacteroides_nordii,ICI,0.0,0.0
Bacteroides_ovatus,IBD,0.043478260869565216,0.24982500000000005
Bacteroides_ovatus,rCDI,0.014492753623188406,0.29913666666666666
Bacteroides_ovatus,MetS,0.05970149253731343,0.27190833333333336
Bacteroides_ovatus,MDR,0.18518518518518517,0.23107333333333333
Bacteroides_ovatus,ICI,0.05714285714285714,0.28496571428571427
Bacteroides_pectinophilus,IBD,0.0,0.0
Bacteroides_pectinophilus,rCDI,0.0,0.0
Bacteroides_pectinophilus,MetS,0.0,0.0
Bacteroides_pectinophilus,MDR,0.0,0.0
Bacteroides_pectinophilus,ICI,0.0,0.0
Bacteroides_plebeius,IBD,0.10256410256410256,0.25357
Bacteroides_plebeius,rCDI,0.0,0.0
Bacteroides_plebeius,MetS,0.0,0.16754999999999998
Bacteroides_plebeius,MDR,0.0,0.0
Bacteroides_plebeius,ICI,0.0,0.0
Bacteroides_salyersiae,IBD,0.17391304347826086,0.18484545454545456
Bacteroides_salyersiae,rCDI,0.0,0.0
Bacteroides_salyersiae,MetS,0.08,0.24538400000000002
Bacteroides_salyersiae,MDR,0.0,0.0
Bacteroides_salyersiae,ICI,0.0,0.19467777777777778
Bacteroides_sp_CAG_144,IBD,0.14285714285714285,0.24687499999999998
Bacteroides_sp_CAG_144,rCDI,0.0,0.0
Bacteroides_sp_CAG_144,MetS,0.0,0.0
Bacteroides_sp_CAG_144,MDR,0.0,0.0
Bacteroides_sp_CAG_144,ICI,0.0,0.0
Bacteroides_sp_CAG_530,IBD,0.0,0.0
Bacteroides_sp_CAG_530,rCDI,0.0,0.0
Bacteroides_sp_CAG_530,MetS,0.0,0.0
Bacteroides_sp_CAG_530,MDR,0.0,0.0
Bacteroides_sp_CAG_530,ICI,0.0,0.0
Bacteroides_stercoris,IBD,0.09375,0.25950625
Bacteroides_stercoris,rCDI,0.010869565217391304,0.29389268292682924
Bacteroides_stercoris,MetS,0.0784313725490196,0.25022903225806453
Bacteroides_stercoris,MDR,0.0,0.22758000000000003
Bacteroides_stercoris,ICI,0.05084745762711865,0.23764687499999998
Bacteroides_thetaiotaomicron,IBD,0.05555555555555555,0.2152272727272727
Bacteroides_thetaiotaomicron,rCDI,0.010416666666666666,0.3599405405405405
Bacteroides_thetaiotaomicron,MetS,0.0,0.23013636363636367
Bacteroides_thetaiotaomicron,MDR,0.04,0.25185
Bacteroides_thetaiotaomicron,ICI,0.056338028169014086,0.29516578947368416
Bacteroides_uniformis,IBD,0.08888888888888889,0.3006944444444445
Bacteroides_uniformis,rCDI,0.008695652173913044,0.34208297872340426
Bacteroides_uniformis,MetS,0.058823529411764705,0.2838612903225806
Bacteroides_uniformis,MDR,0.06451612903225806,0.26396666666666674
Bacteroides_uniformis,ICI,0.0547945205479452,0.32904864864864863
Bacteroides_vulgatus,IBD,0.1111111111111111,0.2803785714285714
Bacteroides_vulgatus,rCDI,0.0,0.23746666666666674
Bacteroides_vulgatus,MetS,0.06779661016949153,0.2543709677419355
Bacteroides_vulgatus,MDR,0.125,0.28573076923076923
Bacteroides_vulgatus,ICI,0.06153846153846154,0.29266129032258065
Bacteroides_xylanisolvens,IBD,0.1875,0.22044285714285713
Bacteroides_xylanisolvens,rCDI,0.02,0.27975
Bacteroides_xylanisolvens,MetS,0.1,0.20871818181818183
Bacteroides_xylanisolvens,MDR,0.25,0.19484
Bacteroides_xylanisolvens,ICI,0.07017543859649122,0.26228
Barnesiella_intestinihominis,IBD,0.08333333333333333,0.31007142857142855
Barnesiella_intestinihominis,rCDI,0.008695652173913044,0.3636023809523809
Barnesiella_intestinihominis,MetS,0.04878048780487805,0.30324000000000007
Barnesiella_intestinihominis,MDR,0.0,0.22016363636363637
Barnesiella_intestinihominis,ICI,0.06,0.2744409090909091
Bifidobacterium_adolescentis,IBD,0.047619047619047616,0.27486666666666665
Bifidobacterium_adolescentis,rCDI,0.1,0.25844374999999997
Bifidobacterium_adolescentis,MetS,0.0,0.23839999999999997
Bifidobacterium_adolescentis,MDR,0.03333333333333333,0.23923529411764707
Bifidobacterium_adolescentis,ICI,0.10416666666666667,0.261695652173913
Bifidobacterium_angulatum,IBD,0.0,0.0
