donor_id,rank,species,cece_score,ga_fitness
FRICKE_16B,1,Blautia_wexlerae,0.6539,0.8469
FRICKE_16B,2,Anaerostipes_hadrus,0.6464,0.8469
FRICKE_16B,3,Blautia_obeum,0.5639,0.8469
FRICKE_16B,4,Collinsella_aerofaciens,0.5288,0.8469
FRICKE_16B,5,Dorea_longicatena,0.4858,0.8469
FRICKE_16B,6,Bacteroides_vulgatus,0.4809,0.8469
FRICKE_16B,7,Eubacterium_hallii,0.4608,0.8469
FRICKE_16B,8,Streptococcus_salivarius,0.4068,0.8469
FRICKE_18B,1,Blautia_wexlerae,0.6539,0.8898
FRICKE_18B,2,Anaerostipes_hadrus,0.6464,0.8898
FRICKE_18B,3,Faecalibacterium_prausnitzii,0.6116,0.8898
FRICKE_18B,4,Collinsella_aerofaciens,0.5288,0.8898
FRICKE_18B,5,Bifidobacterium_longum,0.3989,0.8898
FRICKE_18B,6,Ruminococcus_torques,0.3926,0.8898
FRICKE_19B,1,Anaerostipes_hadrus,0.6464,0.9267
FRICKE_19B,2,Faecalibacterium_prausnitzii,0.6116,0.9267
FRICKE_19B,3,Collinsella_aerofaciens,0.5288,0.9267
FRICKE_19B,4,Dorea_formicigenerans,0.4863,0.9267
FRICKE_19B,5,Bifidobacterium_longum,0.3989,0.9267
FRICKE_20B,1,Anaerostipes_hadrus,0.6464,0.8573
FRICKE_20B,2,Faecalibacterium_prausnitzii,0.6116,0.8573
FRICKE_20B,3,Fusicatenibacter_saccharivorans,0.5874,0.8573
FRICKE_20B,4,Roseburia_faecis,0.5576,0.8573
FRICKE_20B,5,Collinsella_aerofaciens,0.5288,0.8573
FRICKE_20B,6,Dorea_formicigenerans,0.4863,0.8573
FRICKE_20B,7,Eubacterium_hallii,0.4608,0.8573
FRICKE_20B,8,Ruminococcus_torques,0.3926,0.8573
FRICKE_23B,1,Anaerostipes_hadrus,0.6464,0.9196
FRICKE_23B,2,Fusicatenibacter_saccharivorans,0.5874,0.9196
FRICKE_23B,3,Dorea_formicigenerans,0.4863,0.9196
FRICKE_23B,4,Dorea_longicatena,0.4858,0.9196
FRICKE_23B,5,Eubacterium_hallii,0.4608,0.9196
FRICKE_28B,1,Anaerostipes_hadrus,0.6464,0.876
FRICKE_28B,2,Fusicatenibacter_saccharivorans,0.5874,0.876
FRICKE_28B,3,Agathobaculum_butyriciproducens,0.5056,0.876
FRICKE_28B,4,Dorea_formicigenerans,0.4863,0.876
FRICKE_28B,5,Bifidobacterium_longum,0.3989,0.876
FRICKE_29B,1,Blautia_wexlerae,0.6539,0.9172
FRICKE_29B,2,Anaerostipes_hadrus,0.6464,0.9172
FRICKE_29B,3,Bifidobacterium_adolescentis,0.4874,0.9172
FRICKE_29B,4,Dorea_longicatena,0.4858,0.9172
FRICKE_29B,5,Bifidobacterium_longum,0.3989,0.9172
FRICKE_54B,1,Blautia_wexlerae,0.6539,0.9124
FRICKE_54B,2,Faecalibacterium_prausnitzii,0.6116,0.9124
FRICKE_54B,3,Collinsella_aerofaciens,0.5288,0.9124
FRICKE_54B,4,Roseburia_inulinivorans,0.518,0.9124
FRICKE_54B,5,Dorea_longicatena,0.4858,0.9124
FRICKE_9B,1,Blautia_wexlerae,0.6539,0.6635
FRICKE_9B,2,Eggerthella_lenta,0.4781,0.6635
FRICKE_9B,3,Ruminococcus_gnavus,0.4252,0.6635
FRICKE_9B,4,Erysipelatoclostridium_ramosum,0.3994,0.6635
FRICKE_9B,5,Blautia_sp_CAG_257,0.3138,0.6635
FMT1,1,Faecalibacterium_prausnitzii,0.6116,0.8761
FMT1,2,Fusicatenibacter_saccharivorans,0.5874,0.8761
FMT1,3,Eubacterium_rectale,0.5324,0.8761
FMT1,4,Bacteroides_uniformis,0.5188,0.8761
FMT1,5,Bacteroides_stercoris,0.481,0.8761
FMT1,6,Coprococcus_comes,0.4495,0.8761
FMT2,1,Faecalibacterium_prausnitzii,0.6116,0.8434
FMT2,2,Fusicatenibacter_saccharivorans,0.5874,0.8434
FMT2,3,Collinsella_aerofaciens,0.5288,0.8434
FMT2,4,Prevotella_copri,0.5016,0.8434
FMT2,5,Bifidobacterium_adolescentis,0.4874,0.8434
FMT2,6,Dorea_longicatena,0.4858,0.8434
FMT2,7,Bacteroides_vulgatus,0.4809,0.8434
FMT2,8,Eubacterium_hallii,0.4608,0.8434
FMT2,9,Coprococcus_comes,0.4495,0.8434
FMT27,1,Faecalibacterium_prausnitzii,0.6116,0.7674
FMT27,2,Collinsella_aerofaciens,0.5288,0.7674
FMT27,3,Prevotella_copri,0.5016,0.7674
FMT27,4,Dorea_longicatena,0.4858,0.7674
FMT27,5,Coprococcus_comes,0.4495,0.7674
FMT27,6,Eubacterium_eligens,0.4011,0.7674
FMT27,7,Bifidobacterium_longum,0.3989,0.7674
FMT27,8,Ruminococcus_torques,0.3926,0.7674
FMT27,9,Firmicutes_bacterium_CAG_83,0.3781,0.7674
FMT30,1,Blautia_wexlerae,0.6539,0.906
FMT30,2,Faecalibacterium_prausnitzii,0.6116,0.906
FMT30,3,Fusicatenibacter_saccharivorans,0.5874,0.906
FMT30,4,Collinsella_aerofaciens,0.5288,0.906
FMT30,5,Dorea_longicatena,0.4858,0.906
FMT30,6,Parabacteroides_distasonis,0.4387,0.906
FMT33,1,Blautia_wexlerae,0.6539,0.9031
FMT33,2,Anaerostipes_hadrus,0.6464,0.9031
FMT33,3,Faecalibacterium_prausnitzii,0.6116,0.9031
FMT33,4,Dorea_longicatena,0.4858,0.9031
FMT33,5,Bacteroides_xylanisolvens,0.4663,0.9031
FMT34,1,Blautia_wexlerae,0.6539,0.8515
FMT34,2,Anaerostipes_hadrus,0.6464,0.8515
FMT34,3,Faecalibacterium_prausnitzii,0.6116,0.8515
FMT34,4,Bacteroides_xylanisolvens,0.4663,0.8515
FMT34,5,Flavonifractor_plautii,0.358,0.8515
FMT34,6,Dialister_invisus,0.3396,0.8515
FMT4,1,Faecalibacterium_prausnitzii,0.6116,0.8784
FMT4,2,Roseburia_faecis,0.5576,0.8784
FMT4,3,Bifidobacterium_adolescentis,0.4874,0.8784
FMT4,4,Dorea_longicatena,0.4858,0.8784
FMT4,5,Bacteroides_vulgatus,0.4809,0.8784
FMT4,6,Coprococcus_comes,0.4495,0.8784
DA_D_08,1,Blautia_wexlerae,0.6539,0.9136
DA_D_08,2,Anaerostipes_hadrus,0.6464,0.9136
DA_D_08,3,Fusicatenibacter_saccharivorans,0.5874,0.9136
DA_D_08,4,Dorea_longicatena,0.4858,0.9136
DA_D_08,5,Bifidobacterium_longum,0.3989,0.9136
DA_D_09,1,Anaerostipes_hadrus,0.6464,0.913
DA_D_09,2,Faecalibacterium_prausnitzii,0.6116,0.913
DA_D_09,3,Eubacterium_rectale,0.5324,0.913
DA_D_09,4,Dorea_formicigenerans,0.4863,0.913
DA_D_09,5,Coprococcus_comes,0.4495,0.913
DA_D_10,1,Blautia_wexlerae,0.6539,0.9272
DA_D_10,2,Faecalibacterium_prausnitzii,0.6116,0.9272
DA_D_10,3,Fusicatenibacter_saccharivorans,0.5874,0.9272
DA_D_10,4,Dorea_formicigenerans,0.4863,0.9272
DA_D_10,5,Coprococcus_comes,0.4495,0.9272
DA_D_14,1,Faecalibacterium_prausnitzii,0.6116,0.8808
DA_D_14,2,Fusicatenibacter_saccharivorans,0.5874,0.8808
DA_D_14,3,Roseburia_faecis,0.5576,0.8808
DA_D_14,4,Dorea_formicigenerans,0.4863,0.8808
DA_D_14,5,Eggerthella_lenta,0.4781,0.8808
