species,betweenness,degree,eigenvector,keystone_score,condition
Escherichia_coli,0.043091655266757865,0.5232558139534884,0.1846872057382522,0.21546001296707587,CD
Clostridium_bartlettii,0.01121751025991792,0.5465116279069767,0.21668231205350869,0.2128987059127537,CD
Odoribacter_splanchnicus,0.047058823529411764,0.5116279069767442,0.17645558023830404,0.21230889990538995,CD
Clostridium_clostridioforme,0.027086183310533515,0.46511627906976744,0.21710168623781775,0.19649831262376055,CD
Alistipes_putredinis,0.016142270861833105,0.5,0.19183584939573053,0.19643830531006268,CD
Clostridium_hathewayi,0.009712722298221614,0.4883720930232558,0.2204329055499826,0.19545457016608406,CD
Clostridiales_bacterium_1_7_47FAA,0.016142270861833105,0.46511627906976744,0.21467623469042751,0.1905412660899323,CD
Ruminococcus_gnavus,0.011627906976744186,0.4418604651162791,0.2012655271271811,0.17862519844869204,CD
Bacteroides_uniformis,0.009302325581395349,0.46511627906976744,0.17097757315027118,0.17838156114168216,CD
Clostridium_symbiosum,0.00984952120383037,0.4418604651162791,0.18003111141733694,0.1734891224202663,CD
Alistipes_finegoldii,0.01039671682626539,0.43023255813953487,0.18660664103780264,0.1715894540625537,CD
Clostridium_bolteae,0.005198358413132695,0.43023255813953487,0.19903030064324465,0.17147500677707575,CD
Veillonella_dispar,0.012859097127222982,0.43023255813953487,0.17961897077843733,0.17142311016115944,CD
Bacteroides_ovatus,0.037209302325581395,0.41860465116279066,0.13496798914475766,0.17117964434057942,CD
Alistipes_onderdonkii,0.01121751025991792,0.43023255813953487,0.17867096516560393,0.1704127156049402,CD
Veillonella_atypica,0.026538987688098495,0.3953488372093023,0.1755871717743443,0.1669915793617088,CD
Veillonella_parvula,0.011627906976744186,0.3953488372093023,0.18435828409719734,0.16129026147060224,CD
Alistipes_shahii,0.013269493844049247,0.3953488372093023,0.15273833918902002,0.15578706592261932,CD
Dorea_formicigenerans,0.02051983584131327,0.36046511627906974,0.1159960304720257,0.1415986588987827,CD
Bacteroides_caccae,0.010259917920656635,0.37209302325581395,0.12353309797596841,0.1414644855322662,CD
Veillonella_unclassified,0.018057455540355677,0.3372093023255814,0.14123181883774083,0.1384378822354004,CD
Coprococcus_comes,0.008481532147742818,0.3488372093023256,0.14508220516398868,0.13790836989736682,CD
Bacteroides_faecis,0.020383036935704514,0.3372093023255814,0.10757542085871719,0.1328693933372701,CD
Lachnospiraceae_bacterium_2_1_58FAA,0.006839945280437756,0.3372093023255814,0.13041118669875473,0.13066500067764425,CD
Haemophilus_parainfluenzae,0.004924760601915185,0.32558139534883723,0.13478260689789412,0.12709332028518758,CD
Bacteroides_xylanisolvens,0.02051983584131327,0.32558139534883723,0.09052567964584436,0.12603947245447666,CD
Lachnospiraceae_bacterium_7_1_58FAA,0.019425444596443228,0.32558139534883723,0.08454805015276338,0.12429675093342545,CD
Ruminococcus_obeum,0.0106703146374829,0.3372093023255814,0.08743348297662328,0.12398464461174051,CD
Clostridium_asparagiforme,0.017783857729138167,0.29069767441860467,0.10696877501907073,0.11749498619396463,CD
Streptococcus_salivarius,0.008071135430916553,0.29069767441860467,0.11767286726296224,0.11477944349363213,CD
Bifidobacterium_bifidum,0.005745554035567715,0.3023255813953488,0.10153719844398826,0.11387789112518616,CD
Barnesiella_intestinihominis,0.015047879616963064,0.27906976744186046,0.09745132492720605,0.11073513502648089,CD
Collinsella_aerofaciens,0.012311901504787962,0.29069767441860467,0.08445144837902906,0.1102555427537812,CD
Parabacteroides_distasonis,0.009712722298221614,0.27906976744186046,0.10312272764280692,0.10920183691023033,CD
Clostridium_citroniae,0.013132694938440492,0.2558139534883721,0.10722246864956277,0.10475502724564444,CD
Bacteroides_thetaiotaomicron,0.01518467852257182,0.26744186046511625,0.08444606106757949,0.10471410961433669,CD
Streptococcus_parasanguinis,0.0035567715458276333,0.2558139534883721,0.11414529322256771,0.101351630463939,CD
Parabacteroides_merdae,0.004103967168262654,0.2558139534883721,0.08598855145379083,0.09599387992140113,CD
Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.0035567715458276333,0.2441860465116279,0.10119574097455049,0.09527334792131228,CD
Eubacterium_eligens,0.020109439124487004,0.2441860465116279,0.05858388496079232,0.09502731050789033,CD
Lachnospiraceae_bacterium_3_1_46FAA,0.013406292749658003,0.2441860465116279,0.07065385288697495,0.09408973090571236,CD
Subdoligranulum_unclassified,0.005745554035567715,0.2441860465116279,0.07215773406338069,0.09056013778394836,CD
Bifidobacterium_longum,0.009165526675786594,0.23255813953488372,0.062156476238430736,0.08678150044604456,CD
Dialister_invisus,0.003967168262653899,0.23255813953488372,0.06790734863665447,0.08533249571912296,CD
Eubacterium_ventriosum,0.007934336525307797,0.22093023255813954,0.07197593715857406,0.08464142546181055,CD
Peptostreptococcaceae_noname_unclassified,0.005471956224350205,0.22093023255813954,0.07550155773158505,0.08411535942593397,CD
Bacteroides_cellulosilyticus,0.005745554035567715,0.22093023255813954,0.07322159725235758,0.08379616623569722,CD
Flavonifractor_plautii,0.005471956224350205,0.20930232558139533,0.08466457034542058,0.08245958985567782,CD
Bilophila_unclassified,0.013132694938440492,0.20930232558139533,0.06334147238344899,0.08202533962032864,CD
Ruminococcus_torques,0.0058823529411764705,0.20930232558139533,0.0786197681495075,0.08145582777490834,CD
Bacteroides_stercoris,0.00560875512995896,0.20930232558139533,0.0677429893607539,0.07914367311154885,CD
Eubacterium_hallii,0.013406292749658003,0.20930232558139533,0.04286307471417082,0.07806645899208177,CD
Holdemania_filiformis,0.018057455540355677,0.19767441860465115,0.037652495295039154,0.07586155241058103,CD
Bacteroides_dorei,0.003009575923392613,0.19767441860465115,0.07209240077880794,0.07522559369885323,CD
Roseburia_intestinalis,0.007387140902872777,0.19767441860465115,0.059759124031634074,0.07494772083915854,CD
