species,n_donors,mean_cece,mean_fitness,pct_donors
Faecalibacterium_prausnitzii,14,0.6116,0.8809357142857143,70.0
Anaerostipes_hadrus,11,0.6464,0.8922454545454546,55.0
Dorea_longicatena,10,0.48580000000000007,0.8808,50.0
Blautia_wexlerae,10,0.6539,0.8731199999999999,50.0
Fusicatenibacter_saccharivorans,9,0.5874,0.8888888888888888,45.0
Collinsella_aerofaciens,8,0.5288,0.8687374999999999,40.0
Dorea_formicigenerans,7,0.4863,0.9000857142857143,35.0
Bifidobacterium_longum,6,0.3989,0.8817833333333334,30.0
Coprococcus_comes,6,0.4495,0.8675833333333333,30.0
Eubacterium_hallii,4,0.4608,0.8668,20.0
Bifidobacterium_adolescentis,3,0.4874,0.8796666666666667,15.0
Ruminococcus_torques,3,0.3926,0.8381666666666666,15.0
Roseburia_faecis,3,0.5576,0.8721666666666666,15.0
Bacteroides_vulgatus,3,0.48089999999999994,0.8562333333333333,15.0
Prevotella_copri,2,0.5016,0.8054,10.0
Bacteroides_xylanisolvens,2,0.4663,0.8773,10.0
Eubacterium_rectale,2,0.5324,0.89455,10.0
Eggerthella_lenta,2,0.4781,0.77215,10.0
Dialister_invisus,1,0.3396,0.8515,5.0
Blautia_obeum,1,0.5639,0.8469,5.0
Agathobaculum_butyriciproducens,1,0.5056,0.876,5.0
Bacteroides_uniformis,1,0.5188,0.8761,5.0
Blautia_sp_CAG_257,1,0.3138,0.6635,5.0
Bacteroides_stercoris,1,0.481,0.8761,5.0
Flavonifractor_plautii,1,0.358,0.8515,5.0
Firmicutes_bacterium_CAG_83,1,0.3781,0.7674,5.0
Erysipelatoclostridium_ramosum,1,0.3994,0.6635,5.0
Eubacterium_eligens,1,0.4011,0.7674,5.0
Parabacteroides_distasonis,1,0.4387,0.906,5.0
Roseburia_inulinivorans,1,0.518,0.9124,5.0
Ruminococcus_gnavus,1,0.4252,0.6635,5.0
Streptococcus_salivarius,1,0.4068,0.8469,5.0
